date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1850061.6,53757.0,41333.6,26846.7,354702.4,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2084213.6,28652.2,29047.9,30067.7,340025.1,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2127028.6,34395.3,30932.9,28787.0,356041.7,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2146967.4,34867.8,28138.9,27695.2,356927.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2138770.3,30304.5,28183.1,27339.9,363743.7,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2238062.6,29895.4,33552.8,29619.6,406703.4,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1647147.8,23801.3,43879.6,27190.6,313212.8,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1380612.2,31604.8,41333.6,26846.7,230681.4,72052.1,109065.0,82732.7,315.2,119.5,578.0
2020/03/16,1536308.6,19228.4,29047.9,30067.7,256878.2,79560.6,98243.7,96114.4,364.0,138.7,664.0
2020/03/17,1097094.2,16503.9,30932.9,28787.0,159121.2,51186.6,91926.1,53391.6,415.3,162.1,752.6
2020/03/18,1037514.4,15142.4,28138.9,27695.2,147917.5,49502.1,88843.4,51759.5,471.2,188.7,851.1
2020/03/19,1038349.1,16883.5,28183.1,27339.9,146883.7,48294.2,87397.3,52331.4,532.1,218.0,954.8
2020/03/20,928491.0,15886.5,33552.8,29619.6,125905.7,39305.4,97300.7,44514.5,600.1,254.4,1064.0
2020/03/21,752716.4,14134.8,43879.6,27190.6,94150.2,27258.8,103551.5,31880.8,677.4,294.6,1188.8
2020/03/22,897569.5,15017.0,41333.6,26846.7,115593.8,42301.5,109065.0,37530.5,761.0,341.1,1320.7
2020/03/23,1017613.9,15515.0,29047.9,30067.7,140892.0,46339.1,98243.7,50202.1,848.6,395.7,1462.4
2020/03/24,981190.2,14633.7,30932.9,28787.0,140316.8,45811.9,91926.1,47994.5,940.4,453.6,1607.5
2020/03/25,1136162.0,18905.2,28138.9,27695.2,163396.4,55766.6,88843.4,58314.2,1035.9,514.4,1755.5
2020/03/26,985118.3,15549.9,28183.1,27339.9,137963.0,49589.0,87397.3,48396.1,1131.7,572.1,1904.4
2020/03/27,965788.0,14790.8,33552.8,29619.6,136121.9,50804.6,97300.7,46939.7,1229.4,637.8,2053.2
2020/03/28,863370.1,12983.0,43879.6,27190.6,121728.5,46289.3,103551.5,35211.0,1328.0,703.0,2195.6
2020/03/29,812131.5,15361.1,41333.6,26846.7,105788.1,40271.0,109065.0,34445.0,1426.8,774.8,2341.8
2020/03/30,1002716.3,15263.9,29047.9,30067.7,136875.7,47503.9,98243.7,48313.1,1525.5,840.9,2485.0
2020/03/31,996627.7,15528.0,30932.9,28787.0,134691.8,50112.1,91926.1,48989.4,1627.8,912.4,2625.1
2020/04/01,996733.9,16125.1,28138.9,27695.2,141856.6,49678.4,88843.4,48990.0,1735.3,992.6,2770.1
2020/04/02,939982.3,14852.1,28183.1,27339.9,130617.6,49609.2,87397.3,46273.6,1848.3,1077.6,2920.5
2020/04/03,974340.5,14186.5,33552.8,29619.6,143045.1,55294.5,97300.7,46813.5,1967.8,1176.2,3086.8
2020/04/04,828929.0,11709.3,43879.6,27190.6,122303.2,45840.3,103551.5,33240.1,2090.9,1280.3,3256.6
2020/04/05,720164.3,11921.7,41333.6,26846.7,95693.2,34682.5,109065.0,28094.6,2214.7,1384.1,3425.5
2020/04/06,817490.4,10430.2,29047.9,30067.7,110666.7,40267.3,98243.7,38497.4,2337.3,1481.8,3590.7
2020/04/07,901541.4,13049.2,30932.9,28787.0,125406.0,45581.5,91926.1,43159.5,2462.4,1589.5,3761.4
2020/04/08,869354.8,13329.9,28138.9,27695.2,121381.8,45426.1,88843.4,43842.8,2594.0,1696.6,3933.4
2020/04/09,862256.0,12576.0,28183.1,27339.9,122309.0,45167.7,87397.3,41454.8,2729.6,1804.4,4110.4
2020/04/10,925843.5,12544.2,33552.8,29619.6,135354.4,53806.1,97300.7,44411.5,2871.5,1897.6,4290.4
2020/04/11,867418.5,12625.9,43879.6,27190.6,122777.8,49167.4,103551.5,35819.1,3012.4,1998.2,4466.5
2020/04/12,677043.2,11695.3,41333.6,26846.7,88661.9,29764.3,109065.0,24943.3,3149.9,2097.8,4633.9
2020/04/13,851845.1,11519.1,29047.9,30067.7,115956.6,42516.9,98243.7,38982.5,3282.7,2194.3,4800.6
2020/04/14,884577.9,13530.9,30932.9,28787.0,123129.7,45522.8,91926.1,40969.7,3412.6,2294.8,4993.2
2020/04/15,911484.3,13653.1,28138.9,27695.2,127531.3,49690.8,88843.4,42577.3,3539.8,2391.4,5174.2
2020/04/16,881146.7,13353.6,28183.1,27339.9,124894.6,47725.0,87397.3,41155.4,3667.8,2493.0,5337.3
2020/04/17,946149.3,13476.5,33552.8,29619.6,137675.0,53510.5,97300.7,44000.3,3796.6,2593.2,5492.1
2020/04/18,907513.7,12988.0,43879.6,27190.6,127024.8,54006.8,103551.5,38743.4,3922.6,2698.0,5630.2
2020/04/19,834681.9,14625.7,41333.6,26846.7,108509.7,45553.9,109065.0,32652.4,4046.8,2798.2,5770.3
2020/04/20,939345.7,13805.1,29047.9,30067.7,130871.4,45938.4,98243.7,44831.6,4168.6,2894.8,5898.4
2020/04/21,991941.5,15916.1,30932.9,28787.0,139428.2,51644.2,91926.1,49016.8,4290.0,2990.1,6024.3
2020/04/22,1017735.5,16134.6,28138.9,27695.2,141288.6,55593.8,88843.4,49393.2,4413.0,3096.3,6153.3
2020/04/23,1026449.1,15505.7,28183.1,27339.9,144227.4,56275.2,87397.3,50068.0,4536.3,3187.5,6276.5
2020/04/24,1090042.1,16071.0,33552.8,29619.6,157226.9,64373.7,97300.7,51853.4,4661.3,3269.7,6401.3
2020/04/25,1042543.4,15369.4,43879.6,27190.6,147803.9,62232.2,103551.5,43854.5,4785.9,3356.9,6530.5
2020/04/26,883979.8,14538.7,41333.6,26846.7,114976.4,49856.1,109065.0,34890.2,4912.0,3449.3,6664.6
2020/04/27,1019221.7,13533.2,29047.9,30067.7,135050.4,51484.3,98243.7,47863.3,5036.7,3538.5,6794.5
2020/04/28,1047240.6,14565.1,30932.9,28787.0,143648.3,55027.8,91926.1,50892.5,5160.1,3634.2,6919.8
2020/04/29,1008297.8,14758.4,28138.9,27695.2,136297.3,53085.4,88843.4,48825.6,5287.2,3731.8,7049.4
2020/04/30,992883.3,13562.7,28183.1,27339.9,136383.2,56617.9,87397.3,47017.2,5418.4,3830.4,7172.6
2020/05/01,1115557.9,15411.6,33552.8,29619.6,157730.8,64034.6,97300.7,51015.6,5553.8,3944.7,7303.1
2020/05/02,998342.8,13191.7,43879.6,27190.6,138265.9,63013.7,103551.5,40158.4,5694.4,4065.9,7435.0
2020/05/03,,,,,,,,,5835.0,4180.3,7567.7
2020/05/04,,,,,,,,,5976.8,4305.4,7695.7
2020/05/05,,,,,,,,,6119.0,4429.3,7821.9
2020/05/06,,,,,,,,,6260.2,4551.5,7944.7
2020/05/07,,,,,,,,,6401.8,4676.8,8062.5
2020/05/08,,,,,,,,,6542.9,4801.2,8183.6
