date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1860144.0,63839.4,41333.6,26846.7,354702.4,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2089784.9,34223.4,29047.9,30067.7,340025.1,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2133124.0,40490.8,30932.9,28787.0,356041.7,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2149153.9,37054.3,28138.9,27695.2,356927.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2140750.9,32285.2,28183.1,27339.9,363743.7,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2242204.9,34037.7,33552.8,29619.6,406703.4,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1655446.4,32099.9,43879.6,27190.6,313212.8,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1412846.8,63839.4,41333.6,26846.7,230681.4,72052.1,109065.0,82732.7,315.1,119.5,578.0
2020/03/16,1551303.6,34223.4,29047.9,30067.7,256878.2,79560.6,98243.7,96114.4,364.3,139.3,666.6
2020/03/17,1121081.1,40490.8,30932.9,28787.0,159121.2,51186.6,91926.1,53391.6,415.7,161.3,756.5
2020/03/18,1059426.3,37054.3,28138.9,27695.2,147917.5,49502.1,88843.4,51759.5,471.7,188.0,856.6
2020/03/19,1053750.8,32285.2,28183.1,27339.9,146883.7,48294.2,87397.3,52331.4,532.4,219.5,959.9
2020/03/20,946642.3,34037.7,33552.8,29619.6,125905.7,39305.4,97300.7,44514.5,600.5,256.3,1069.2
2020/03/21,770681.5,32099.9,43879.6,27190.6,94150.2,27258.8,103551.5,31880.8,678.2,302.1,1191.4
2020/03/22,946391.9,63839.4,41333.6,26846.7,115593.8,42301.5,109065.0,37530.5,762.3,352.2,1318.4
2020/03/23,1036322.3,34223.4,29047.9,30067.7,140892.0,46339.1,98243.7,50202.1,850.5,406.5,1458.4
2020/03/24,1007047.2,40490.8,30932.9,28787.0,140316.8,45811.9,91926.1,47994.5,943.8,463.4,1603.6
2020/03/25,1154311.1,37054.3,28138.9,27695.2,163396.4,55766.6,88843.4,58314.2,1041.0,527.4,1755.4
2020/03/26,1001853.6,32285.2,28183.1,27339.9,137963.0,49589.0,87397.3,48396.1,1139.2,590.4,1895.6
2020/03/27,985034.9,34037.7,33552.8,29619.6,136121.9,50804.6,97300.7,46939.7,1238.9,657.3,2040.0
2020/03/28,882486.9,32099.9,43879.6,27190.6,121728.5,46289.3,103551.5,35211.0,1339.1,727.4,2189.0
2020/03/29,860609.8,63839.4,41333.6,26846.7,105788.1,40271.0,109065.0,34445.0,1440.0,796.2,2336.6
2020/03/30,1021675.8,34223.4,29047.9,30067.7,136875.7,47503.9,98243.7,48313.1,1541.4,867.3,2479.9
2020/03/31,1021590.5,40490.8,30932.9,28787.0,134691.8,50112.1,91926.1,48989.4,1646.6,941.4,2627.8
2020/04/01,1017663.1,37054.3,28138.9,27695.2,141856.6,49678.4,88843.4,48990.0,1756.5,1010.5,2788.2
2020/04/02,957415.4,32285.2,28183.1,27339.9,130617.6,49609.2,87397.3,46273.6,1873.3,1085.7,2949.3
2020/04/03,994191.8,34037.7,33552.8,29619.6,143045.1,55294.5,97300.7,46813.5,1996.4,1168.9,3123.9
2020/04/04,849319.5,32099.9,43879.6,27190.6,122303.2,45840.3,103551.5,33240.1,2123.6,1256.4,3301.4
2020/04/05,772081.9,63839.4,41333.6,26846.7,95693.2,34682.5,109065.0,28094.6,2251.7,1338.4,3472.2
2020/04/06,841283.6,34223.4,29047.9,30067.7,110666.7,40267.3,98243.7,38497.4,2379.1,1430.2,3639.4
2020/04/07,928982.9,40490.8,30932.9,28787.0,125406.0,45581.5,91926.1,43159.5,2510.6,1518.6,3808.2
2020/04/08,893079.1,37054.3,28138.9,27695.2,121381.8,45426.1,88843.4,43842.8,2648.9,1606.8,3989.9
2020/04/09,881965.2,32285.2,28183.1,27339.9,122309.0,45167.7,87397.3,41454.8,2791.6,1700.8,4164.8
2020/04/10,947337.1,34037.7,33552.8,29619.6,135354.4,53806.1,97300.7,44411.5,2940.3,1803.2,4350.0
2020/04/11,886892.5,32099.9,43879.6,27190.6,122777.8,49167.4,103551.5,35819.1,3088.0,1902.3,4528.9
2020/04/12,729187.3,63839.4,41333.6,26846.7,88661.9,29764.3,109065.0,24943.3,3233.3,2000.1,4702.4
2020/04/13,874549.4,34223.4,29047.9,30067.7,115956.6,42516.9,98243.7,38982.5,3374.6,2097.5,4875.4
2020/04/14,911537.8,40490.8,30932.9,28787.0,123129.7,45522.8,91926.1,40969.7,3513.6,2186.8,5055.1
2020/04/15,934885.5,37054.3,28138.9,27695.2,127531.3,49690.8,88843.4,42577.3,3651.0,2281.2,5240.5
2020/04/16,900078.3,32285.2,28183.1,27339.9,124894.6,47725.0,87397.3,41155.4,3789.6,2374.8,5433.9
2020/04/17,966710.5,34037.7,33552.8,29619.6,137675.0,53510.5,97300.7,44000.3,3928.0,2475.7,5622.8
2020/04/18,926625.6,32099.9,43879.6,27190.6,127024.8,54006.8,103551.5,38743.4,4064.8,2575.6,5794.1
2020/04/19,883895.6,63839.4,41333.6,26846.7,108509.7,45553.9,109065.0,32652.4,4200.1,2676.9,5954.4
2020/04/20,959764.0,34223.4,29047.9,30067.7,130871.4,45938.4,98243.7,44831.6,4333.7,2782.6,6105.4
2020/04/21,1016516.1,40490.8,30932.9,28787.0,139428.2,51644.2,91926.1,49016.8,4467.7,2887.2,6256.4
2020/04/22,1038655.1,37054.3,28138.9,27695.2,141288.6,55593.8,88843.4,49393.2,4604.3,2993.8,6402.0
2020/04/23,1043228.6,32285.2,28183.1,27339.9,144227.4,56275.2,87397.3,50068.0,4741.3,3100.0,6549.4
2020/04/24,1108008.9,34037.7,33552.8,29619.6,157226.9,64373.7,97300.7,51853.4,4879.9,3212.5,6699.8
2020/04/25,1059273.9,32099.9,43879.6,27190.6,147803.9,62232.2,103551.5,43854.5,5019.0,3328.7,6846.4
2020/04/26,933280.5,63839.4,41333.6,26846.7,114976.4,49856.1,109065.0,34890.2,5159.1,3444.3,6987.6
2020/04/27,1039911.9,34223.4,29047.9,30067.7,135050.4,51484.3,98243.7,47863.3,5299.4,3569.1,7126.9
2020/04/28,1073166.2,40490.8,30932.9,28787.0,143648.3,55027.8,91926.1,50892.5,5438.3,3692.4,7268.5
2020/04/29,1030593.7,37054.3,28138.9,27695.2,136297.3,53085.4,88843.4,48825.6,5581.9,3826.6,7405.0
2020/04/30,1011605.8,32285.2,28183.1,27339.9,136383.2,56617.9,87397.3,47017.2,5729.3,3963.1,7545.8
2020/05/01,1134184.1,34037.7,33552.8,29619.6,157730.8,64034.6,97300.7,51015.6,5881.8,4111.3,7693.9
2020/05/02,1017251.0,32099.9,43879.6,27190.6,138265.9,63013.7,103551.5,40158.4,6038.5,4261.1,7838.0
2020/05/03,,,,,,,,,6196.3,4401.7,7988.8
2020/05/04,,,,,,,,,6357.1,4550.9,8140.1
2020/05/05,,,,,,,,,6517.7,4702.3,8318.1
2020/05/06,,,,,,,,,6678.3,4841.4,8515.6
2020/05/07,,,,,,,,,6839.4,4963.0,8642.0
2020/05/08,,,,,,,,,6998.5,5086.1,8782.1
