date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1857624.9,63839.4,41333.6,24327.6,354702.4,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2086202.3,34223.4,29047.9,26485.2,340025.1,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2132367.1,40490.8,30932.9,28030.0,356041.7,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2150974.5,37054.3,28138.9,29515.9,356927.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2146204.8,32285.2,28183.1,32793.8,363743.7,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2252586.8,34037.7,33552.8,40001.6,406703.4,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1659599.5,32099.9,43879.6,31343.7,313212.8,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1413508.3,63839.4,41333.6,27508.1,230681.4,72052.1,109065.0,82732.7,315.1,119.2,577.7
2020/03/16,1558799.1,34223.4,29047.9,37563.2,256878.2,79560.6,98243.7,96114.4,364.1,139.6,665.7
2020/03/17,1114613.2,40490.8,30932.9,22319.0,159121.2,51186.6,91926.1,53391.6,415.6,161.3,751.9
2020/03/18,1052929.0,37054.3,28138.9,21197.9,147917.5,49502.1,88843.4,51759.5,471.5,186.7,847.7
2020/03/19,1048192.7,32285.2,28183.1,21781.8,146883.7,48294.2,87397.3,52331.4,532.4,216.5,954.5
2020/03/20,931873.5,34037.7,33552.8,14850.9,125905.7,39305.4,97300.7,44514.5,600.3,251.1,1062.6
2020/03/21,752671.7,32099.9,43879.6,9180.9,94150.2,27258.8,103551.5,31880.8,677.4,294.1,1185.0
2020/03/22,936947.4,63839.4,41333.6,17402.2,115593.8,42301.5,109065.0,37530.5,760.9,346.9,1320.3
2020/03/23,1025024.7,34223.4,29047.9,18770.1,140892.0,46339.1,98243.7,50202.1,848.7,403.2,1458.5
2020/03/24,996796.7,40490.8,30932.9,18536.4,140316.8,45811.9,91926.1,47994.5,941.1,465.7,1601.6
2020/03/25,1147260.3,37054.3,28138.9,20644.5,163396.4,55766.6,88843.4,58314.2,1037.4,528.7,1744.1
2020/03/26,991295.8,32285.2,28183.1,16782.0,137963.0,49589.0,87397.3,48396.1,1134.5,589.2,1887.3
2020/03/27,973542.5,34037.7,33552.8,18127.2,136121.9,50804.6,97300.7,46939.7,1233.1,649.3,2028.6
2020/03/28,872432.5,32099.9,43879.6,17136.3,121728.5,46289.3,103551.5,35211.0,1332.2,711.6,2172.2
2020/03/29,848808.4,63839.4,41333.6,15045.3,105788.1,40271.0,109065.0,34445.0,1431.6,775.5,2314.4
2020/03/30,1009144.0,34223.4,29047.9,17536.0,136875.7,47503.9,98243.7,48313.1,1531.9,838.9,2455.9
2020/03/31,1010639.9,40490.8,30932.9,17836.4,134691.8,50112.1,91926.1,48989.4,1635.6,906.5,2604.5
2020/04/01,1007896.7,37054.3,28138.9,17928.9,141856.6,49678.4,88843.4,48990.0,1744.4,975.7,2758.5
2020/04/02,946855.4,32285.2,28183.1,16779.9,130617.6,49609.2,87397.3,46273.6,1859.1,1060.0,2921.7
2020/04/03,984039.1,34037.7,33552.8,19467.0,143045.1,55294.5,97300.7,46813.5,1980.2,1147.1,3086.5
2020/04/04,838512.8,32099.9,43879.6,16383.9,122303.2,45840.3,103551.5,33240.1,2105.7,1228.2,3263.8
2020/04/05,760246.9,63839.4,41333.6,15011.7,95693.2,34682.5,109065.0,28094.6,2231.8,1318.6,3440.0
2020/04/06,827243.0,34223.4,29047.9,16027.1,110666.7,40267.3,98243.7,38497.4,2357.4,1418.2,3601.7
2020/04/07,917586.3,40490.8,30932.9,17390.3,125406.0,45581.5,91926.1,43159.5,2486.6,1525.0,3772.7
2020/04/08,882131.9,37054.3,28138.9,16748.1,121381.8,45426.1,88843.4,43842.8,2622.7,1638.6,3944.4
2020/04/09,872057.5,32285.2,28183.1,17432.2,122309.0,45167.7,87397.3,41454.8,2763.1,1763.7,4123.8
2020/04/10,936523.8,34037.7,33552.8,18806.4,135354.4,53806.1,97300.7,44411.5,2909.5,1894.9,4307.7
2020/04/11,879294.7,32099.9,43879.6,19592.8,122777.8,49167.4,103551.5,35819.1,3055.6,2012.7,4496.2
2020/04/12,715129.2,63839.4,41333.6,12788.6,88661.9,29764.3,109065.0,24943.3,3199.2,2126.5,4667.9
2020/04/13,859077.9,34223.4,29047.9,14596.2,115956.6,42516.9,98243.7,38982.5,3337.9,2216.3,4833.3
2020/04/14,898805.1,40490.8,30932.9,16054.3,123129.7,45522.8,91926.1,40969.7,3475.4,2303.5,4999.2
2020/04/15,923360.4,37054.3,28138.9,16170.2,127531.3,49690.8,88843.4,42577.3,3610.3,2391.2,5156.4
2020/04/16,887600.3,32285.2,28183.1,14861.9,124894.6,47725.0,87397.3,41155.4,3746.9,2482.5,5307.6
2020/04/17,955075.0,34037.7,33552.8,17984.2,137675.0,53510.5,97300.7,44000.3,3884.0,2576.3,5462.3
2020/04/18,916161.9,32099.9,43879.6,16727.0,127024.8,54006.8,103551.5,38743.4,4018.1,2664.2,5611.5
2020/04/19,871729.0,63839.4,41333.6,14680.0,108509.7,45553.9,109065.0,32652.4,4151.6,2752.9,5753.5
2020/04/20,945249.5,34223.4,29047.9,15553.3,130871.4,45938.4,98243.7,44831.6,4283.2,2837.8,5896.3
2020/04/21,1005411.5,40490.8,30932.9,17682.4,139428.2,51644.2,91926.1,49016.8,4415.4,2930.2,6033.8
2020/04/22,1028094.5,37054.3,28138.9,17134.6,141288.6,55593.8,88843.4,49393.2,4549.8,3025.6,6168.8
2020/04/23,1032639.1,32285.2,28183.1,16750.3,144227.4,56275.2,87397.3,50068.0,4685.3,3119.5,6308.4
2020/04/24,1095925.9,34037.7,33552.8,17536.7,157226.9,64373.7,97300.7,51853.4,4821.9,3218.1,6453.1
2020/04/25,1048715.8,32099.9,43879.6,16632.6,147803.9,62232.2,103551.5,43854.5,4958.4,3318.6,6601.1
2020/04/26,921030.5,63839.4,41333.6,14596.6,114976.4,49856.1,109065.0,34890.2,5097.0,3427.9,6754.9
2020/04/27,1026923.1,34223.4,29047.9,17078.9,135050.4,51484.3,98243.7,47863.3,5235.4,3542.4,6901.6
2020/04/28,1062614.1,40490.8,30932.9,18235.0,143648.3,55027.8,91926.1,50892.5,5373.4,3659.3,7043.2
2020/04/29,1019817.0,37054.3,28138.9,16918.6,136297.3,53085.4,88843.4,48825.6,5514.8,3791.0,7187.2
2020/04/30,1000898.3,32285.2,28183.1,16632.4,136383.2,56617.9,87397.3,47017.2,5660.5,3922.0,7320.7
2020/05/01,1122352.4,34037.7,33552.8,17787.9,157730.8,64034.6,97300.7,51015.6,5810.9,4062.1,7462.3
2020/05/02,1006783.6,32099.9,43879.6,16723.3,138265.9,63013.7,103551.5,40158.4,5965.5,4208.9,7602.9
2020/05/03,,,,,,,,,6121.7,4354.8,7772.2
2020/05/04,,,,,,,,,6280.2,4505.6,7910.4
2020/05/05,,,,,,,,,6439.3,4655.7,8049.0
2020/05/06,,,,,,,,,6598.4,4807.4,8199.0
2020/05/07,,,,,,,,,6757.3,4962.5,8386.4
2020/05/08,,,,,,,,,6915.5,5116.3,8595.6
