date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1849437.3,53757.0,41333.6,24327.6,354702.4,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2082978.3,28652.2,29047.9,26485.2,340025.1,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2134543.7,34395.3,30932.9,28030.0,356041.7,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2165841.3,34867.8,28138.9,29515.9,356927.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2172210.4,30304.5,28183.1,32793.8,363743.7,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2305353.7,29895.4,33552.8,40001.6,406703.4,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1712991.9,23801.3,43879.6,31343.7,313212.8,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1429683.0,31604.8,41333.6,27508.1,230681.4,112568.1,116958.3,82732.7,315.1,119.5,577.7
2020/03/16,1619955.4,19228.4,29047.9,37563.2,256878.2,106611.3,147344.3,96114.4,363.8,139.9,664.1
2020/03/17,1142289.3,16503.9,30932.9,22319.0,159121.2,111913.5,82862.2,53391.6,415.4,161.6,755.3
2020/03/18,1082570.7,15142.4,28138.9,21197.9,147917.5,113175.3,76723.9,51759.5,471.3,186.7,852.4
2020/03/19,1084086.2,16883.5,28183.1,21781.8,146883.7,110326.9,76659.9,52331.4,532.1,218.4,951.2
2020/03/20,967216.6,15886.5,33552.8,14850.9,125905.7,128562.6,61537.8,44514.5,600.2,256.9,1061.2
2020/03/21,776217.0,14134.8,43879.6,9180.9,94150.2,127774.1,44546.5,31880.8,678.2,305.1,1187.4
2020/03/22,921278.3,15017.0,41333.6,17402.2,115593.8,112568.1,71951.6,37530.5,762.2,354.1,1324.2
2020/03/23,1039797.7,15515.0,29047.9,18770.1,140892.0,106611.3,71453.0,50202.1,850.4,410.9,1466.3
2020/03/24,1015308.4,14633.7,30932.9,18536.4,140316.8,111913.5,70193.3,47994.5,943.3,471.1,1611.8
2020/03/25,1176100.3,18905.2,28138.9,20644.5,163396.4,113175.3,78423.8,58314.2,1040.4,532.8,1760.3
2020/03/26,1014725.0,15549.9,28183.1,16782.0,137963.0,110326.9,66823.9,48396.1,1137.9,600.5,1907.8
2020/03/27,1006409.4,14790.8,33552.8,18127.2,136121.9,128562.6,71656.6,46939.7,1236.8,671.0,2052.9
2020/03/28,903469.4,12983.0,43879.6,17136.3,121728.5,127774.1,72220.4,35211.0,1336.6,742.9,2198.8
2020/03/29,829549.3,15361.1,41333.6,15045.3,105788.1,112568.1,65987.1,34445.0,1436.5,822.2,2343.9
2020/03/30,1018704.0,15263.9,29047.9,17536.0,136875.7,106611.3,67655.7,48313.1,1536.2,899.0,2481.5
2020/03/31,1024582.6,15528.0,30932.9,17836.4,134691.8,111913.5,69030.1,48989.4,1639.5,974.4,2625.3
2020/04/01,1029266.7,16125.1,28138.9,17928.9,141856.6,113175.3,67645.6,48990.0,1748.0,1048.5,2777.3
2020/04/02,970603.1,14852.1,28183.1,16779.9,130617.6,110326.9,67860.4,46273.6,1862.5,1132.1,2927.1
2020/04/03,1015133.1,14186.5,33552.8,19467.0,143045.1,128562.6,74978.0,46813.5,1983.7,1224.2,3079.3
2020/04/04,870919.1,11709.3,43879.6,16383.9,122303.2,127774.1,74414.5,33240.1,2108.5,1312.3,3243.7
2020/04/05,739411.2,11921.7,41333.6,15011.7,95693.2,112568.1,62261.4,28094.6,2234.2,1403.7,3406.6
2020/04/06,834104.8,10430.2,29047.9,16027.1,110666.7,106611.3,62554.7,38497.4,2357.8,1489.7,3566.6
2020/04/07,929302.7,13049.2,30932.9,17390.3,125406.0,111913.5,64752.0,43159.5,2484.4,1582.0,3730.1
2020/04/08,901864.7,13329.9,28138.9,16748.1,121381.8,113175.3,64551.4,43842.8,2617.3,1682.6,3894.7
2020/04/09,893115.5,12576.0,28183.1,17432.2,122309.0,110326.9,63005.3,41454.8,2754.7,1770.8,4071.1
2020/04/10,963787.4,12544.2,33552.8,18806.4,135354.4,128562.6,71301.3,44411.5,2898.0,1867.0,4260.9
2020/04/11,911666.4,12625.9,43879.6,19592.8,122777.8,127774.1,76790.5,35819.1,3040.3,1960.7,4448.9
2020/04/12,689178.5,11695.3,41333.6,12788.6,88661.9,112568.1,52454.6,24943.3,3180.0,2060.8,4624.0
2020/04/13,860473.6,11519.1,29047.9,14596.2,115956.6,106611.3,58249.3,38982.5,3314.0,2162.8,4802.3
2020/04/14,907889.4,13530.9,30932.9,16054.3,123129.7,111913.5,61579.5,40969.7,3445.1,2251.8,4975.5
2020/04/15,935251.0,13653.1,28138.9,16170.2,127531.3,113175.3,60650.7,42577.3,3573.8,2347.9,5143.1
2020/04/16,903814.0,13353.6,28183.1,14861.9,124894.6,110326.9,59940.7,41155.4,3704.0,2450.2,5307.0
2020/04/17,977272.8,13476.5,33552.8,17984.2,137675.0,128562.6,65007.7,44000.3,3834.0,2547.2,5463.9
2020/04/18,936507.0,12988.0,43879.6,16727.0,127024.8,127774.1,69241.2,38743.4,3961.6,2640.5,5615.0
2020/04/19,842333.1,14625.7,41333.6,14680.0,108509.7,112568.1,61868.6,32652.4,4087.5,2734.3,5758.9
2020/04/20,948792.4,13805.1,29047.9,15553.3,130871.4,106611.3,61532.0,44831.6,4211.1,2826.5,5898.4
2020/04/21,1015976.8,15916.1,30932.9,17682.4,139428.2,111913.5,66796.6,49016.8,4333.9,2926.5,6040.1
2020/04/22,1043481.2,16134.6,28138.9,17134.6,141288.6,113175.3,67568.2,49393.2,4458.8,3024.2,6176.4
2020/04/23,1048404.6,15505.7,28183.1,16750.3,144227.4,110326.9,65890.7,50068.0,4584.3,3131.1,6314.8
2020/04/24,1117522.7,16071.0,33552.8,17536.7,157226.9,128562.6,72675.4,51853.4,4711.4,3241.4,6449.6
2020/04/25,1067028.8,15369.4,43879.6,16632.6,147803.9,127774.1,73053.0,43854.5,4838.9,3352.2,6581.5
2020/04/26,889463.1,14538.7,41333.6,14596.6,114976.4,112568.1,64086.4,34890.2,4968.1,3462.1,6721.7
2020/04/27,1026900.6,13533.2,29047.9,17078.9,135050.4,106611.3,63784.4,47863.3,5095.5,3573.1,6854.6
2020/04/28,1066128.5,14565.1,30932.9,18235.0,143648.3,111913.5,64480.3,50892.5,5221.5,3675.1,6985.8
2020/04/29,1032993.7,14758.4,28138.9,16918.6,136297.3,113175.3,64226.1,48825.6,5351.2,3782.7,7115.5
2020/04/30,1010657.4,13562.7,28183.1,16632.4,136383.2,110326.9,62169.9,47017.2,5485.2,3897.6,7250.4
2020/05/01,1142565.9,15411.6,33552.8,17787.9,157730.8,128562.6,71612.4,51015.6,5623.4,4015.2,7389.3
2020/05/02,1019845.3,13191.7,43879.6,16723.3,138265.9,127774.1,70761.0,40158.4,5766.0,4138.1,7529.1
2020/05/03,,,,,,,,,5909.8,4266.5,7671.1
2020/05/04,,,,,,,,,6054.2,4390.6,7813.9
2020/05/05,,,,,,,,,6198.2,4514.6,7950.9
2020/05/06,,,,,,,,,6342.5,4632.6,8091.7
2020/05/07,,,,,,,,,6486.7,4751.0,8226.6
2020/05/08,,,,,,,,,6630.8,4883.3,8361.8
