date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1851956.3,53757.0,41333.6,26846.7,354702.4,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2086560.9,28652.2,29047.9,30067.7,340025.1,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2135300.7,34395.3,30932.9,28787.0,356041.7,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2164020.7,34867.8,28138.9,27695.2,356927.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2166756.5,30304.5,28183.1,27339.9,363743.7,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2294971.8,29895.4,33552.8,29619.6,406703.4,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1708838.8,23801.3,43879.6,27190.6,313212.8,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1429021.6,31604.8,41333.6,26846.7,230681.4,112568.1,116958.3,82732.7,315.1,119.6,577.7
2020/03/16,1612459.9,19228.4,29047.9,30067.7,256878.2,106611.3,147344.3,96114.4,364.0,140.6,663.2
2020/03/17,1148757.3,16503.9,30932.9,28787.0,159121.2,111913.5,82862.2,53391.6,415.3,161.6,754.4
2020/03/18,1089068.1,15142.4,28138.9,27695.2,147917.5,113175.3,76723.9,51759.5,471.1,187.3,852.3
2020/03/19,1089644.3,16883.5,28183.1,27339.9,146883.7,110326.9,76659.9,52331.4,532.0,216.7,950.0
2020/03/20,981985.4,15886.5,33552.8,29619.6,125905.7,128562.6,61537.8,44514.5,599.6,253.0,1060.5
2020/03/21,794226.7,14134.8,43879.6,27190.6,94150.2,127774.1,44546.5,31880.8,677.4,296.7,1185.4
2020/03/22,930722.8,15017.0,41333.6,26846.7,115593.8,112568.1,71951.6,37530.5,761.4,347.2,1316.6
2020/03/23,1051095.3,15515.0,29047.9,30067.7,140892.0,106611.3,71453.0,50202.1,849.5,401.7,1455.9
2020/03/24,1025558.9,14633.7,30932.9,28787.0,140316.8,111913.5,70193.3,47994.5,941.7,463.0,1599.2
2020/03/25,1183151.0,18905.2,28138.9,27695.2,163396.4,113175.3,78423.8,58314.2,1038.3,529.8,1744.0
2020/03/26,1025282.8,15549.9,28183.1,27339.9,137963.0,110326.9,66823.9,48396.1,1135.2,597.6,1886.8
2020/03/27,1017901.8,14790.8,33552.8,29619.6,136121.9,128562.6,71656.6,46939.7,1233.8,667.0,2028.2
2020/03/28,913523.8,12983.0,43879.6,27190.6,121728.5,127774.1,72220.4,35211.0,1333.4,734.0,2175.1
2020/03/29,841350.7,15361.1,41333.6,26846.7,105788.1,112568.1,65987.1,34445.0,1433.0,798.2,2315.9
2020/03/30,1031235.7,15263.9,29047.9,30067.7,136875.7,106611.3,67655.7,48313.1,1533.0,863.1,2458.8
2020/03/31,1035533.2,15528.0,30932.9,28787.0,134691.8,111913.5,69030.1,48989.4,1636.7,933.3,2606.8
2020/04/01,1039033.0,16125.1,28138.9,27695.2,141856.6,113175.3,67645.6,48990.0,1744.8,1006.6,2764.4
2020/04/02,981163.1,14852.1,28183.1,27339.9,130617.6,110326.9,67860.4,46273.6,1859.6,1086.5,2926.3
2020/04/03,1025285.8,14186.5,33552.8,29619.6,143045.1,128562.6,74978.0,46813.5,1980.6,1172.8,3088.9
2020/04/04,881725.8,11709.3,43879.6,27190.6,122303.2,127774.1,74414.5,33240.1,2105.1,1264.9,3253.4
2020/04/05,751246.2,11921.7,41333.6,26846.7,95693.2,112568.1,62261.4,28094.6,2230.4,1355.0,3409.9
2020/04/06,848145.4,10430.2,29047.9,30067.7,110666.7,106611.3,62554.7,38497.4,2353.8,1442.2,3568.4
2020/04/07,940699.3,13049.2,30932.9,28787.0,125406.0,111913.5,64752.0,43159.5,2480.4,1541.0,3730.2
2020/04/08,912811.9,13329.9,28138.9,27695.2,121381.8,113175.3,64551.4,43842.8,2613.4,1648.0,3894.5
2020/04/09,903023.2,12576.0,28183.1,27339.9,122309.0,110326.9,63005.3,41454.8,2749.7,1760.2,4061.3
2020/04/10,974600.6,12544.2,33552.8,29619.6,135354.4,128562.6,71301.3,44411.5,2892.5,1879.2,4245.2
2020/04/11,919264.2,12625.9,43879.6,27190.6,122777.8,127774.1,76790.5,35819.1,3034.2,1979.9,4418.9
2020/04/12,703236.7,11695.3,41333.6,26846.7,88661.9,112568.1,52454.6,24943.3,3172.4,2073.3,4612.2
2020/04/13,875945.1,11519.1,29047.9,30067.7,115956.6,106611.3,58249.3,38982.5,3305.6,2172.2,4802.8
2020/04/14,920622.1,13530.9,30932.9,28787.0,123129.7,111913.5,61579.5,40969.7,3435.9,2270.3,4962.0
2020/04/15,946776.1,13653.1,28138.9,27695.2,127531.3,113175.3,60650.7,42577.3,3563.5,2371.2,5114.5
2020/04/16,916292.0,13353.6,28183.1,27339.9,124894.6,110326.9,59940.7,41155.4,3692.1,2476.3,5261.2
2020/04/17,988908.3,13476.5,33552.8,29619.6,137675.0,128562.6,65007.7,44000.3,3821.7,2595.4,5410.7
2020/04/18,946970.7,12988.0,43879.6,27190.6,127024.8,127774.1,69241.2,38743.4,3948.0,2712.8,5553.1
2020/04/19,854499.8,14625.7,41333.6,26846.7,108509.7,112568.1,61868.6,32652.4,4072.8,2823.3,5688.9
2020/04/20,963306.8,13805.1,29047.9,30067.7,130871.4,106611.3,61532.0,44831.6,4195.7,2917.8,5821.8
2020/04/21,1027081.4,15916.1,30932.9,28787.0,139428.2,111913.5,66796.6,49016.8,4318.0,3020.7,5949.4
2020/04/22,1054041.8,16134.6,28138.9,27695.2,141288.6,113175.3,67568.2,49393.2,4442.8,3113.0,6079.5
2020/04/23,1058994.2,15505.7,28183.1,27339.9,144227.4,110326.9,65890.7,50068.0,4568.1,3207.3,6218.3
2020/04/24,1129605.7,16071.0,33552.8,29619.6,157226.9,128562.6,72675.4,51853.4,4694.6,3302.3,6357.5
2020/04/25,1077586.9,15369.4,43879.6,27190.6,147803.9,127774.1,73053.0,43854.5,4822.0,3400.6,6492.8
2020/04/26,901713.2,14538.7,41333.6,26846.7,114976.4,112568.1,64086.4,34890.2,4949.8,3503.4,6625.9
2020/04/27,1039889.4,13533.2,29047.9,30067.7,135050.4,106611.3,63784.4,47863.3,5076.9,3605.1,6759.6
2020/04/28,1076680.5,14565.1,30932.9,28787.0,143648.3,111913.5,64480.3,50892.5,5202.6,3704.7,6888.6
2020/04/29,1043770.4,14758.4,28138.9,27695.2,136297.3,113175.3,64226.1,48825.6,5332.2,3808.6,7022.9
2020/04/30,1021364.8,13562.7,28183.1,27339.9,136383.2,110326.9,62169.9,47017.2,5465.9,3917.8,7148.2
2020/05/01,1154397.6,15411.6,33552.8,29619.6,157730.8,128562.6,71612.4,51015.6,5604.7,4036.9,7281.1
2020/05/02,1030312.6,13191.7,43879.6,27190.6,138265.9,127774.1,70761.0,40158.4,5747.6,4159.1,7413.8
2020/05/03,,,,,,,,,5891.7,4283.1,7547.0
2020/05/04,,,,,,,,,6036.7,4403.5,7683.8
2020/05/05,,,,,,,,,6180.1,4529.8,7817.2
2020/05/06,,,,,,,,,6324.4,4652.6,7941.7
2020/05/07,,,,,,,,,6469.2,4777.6,8101.7
2020/05/08,,,,,,,,,6613.1,4898.9,8265.3
