date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1862038.7,63839.4,41333.6,26846.7,354702.4,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2092132.1,34223.4,29047.9,30067.7,340025.1,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2141396.1,40490.8,30932.9,28787.0,356041.7,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2166207.1,37054.3,28138.9,27695.2,356927.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2168737.2,32285.2,28183.1,27339.9,363743.7,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2299114.1,34037.7,33552.8,29619.6,406703.4,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1717137.4,32099.9,43879.6,27190.6,313212.8,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1461256.2,63839.4,41333.6,26846.7,230681.4,112568.1,116958.3,82732.7,315.1,119.6,577.4
2020/03/16,1627455.0,34223.4,29047.9,30067.7,256878.2,106611.3,147344.3,96114.4,364.3,139.1,663.9
2020/03/17,1172744.2,40490.8,30932.9,28787.0,159121.2,111913.5,82862.2,53391.6,416.1,161.2,753.7
2020/03/18,1110979.9,37054.3,28138.9,27695.2,147917.5,113175.3,76723.9,51759.5,471.9,186.8,851.9
2020/03/19,1105046.1,32285.2,28183.1,27339.9,146883.7,110326.9,76659.9,52331.4,533.0,215.9,954.6
2020/03/20,1000136.6,34037.7,33552.8,29619.6,125905.7,128562.6,61537.8,44514.5,601.0,251.1,1062.3
2020/03/21,812191.8,32099.9,43879.6,27190.6,94150.2,127774.1,44546.5,31880.8,679.3,293.0,1187.9
2020/03/22,979545.1,63839.4,41333.6,26846.7,115593.8,112568.1,71951.6,37530.5,763.9,343.2,1320.6
2020/03/23,1069803.8,34223.4,29047.9,30067.7,140892.0,106611.3,71453.0,50202.1,852.1,397.8,1461.6
2020/03/24,1051416.0,40490.8,30932.9,28787.0,140316.8,111913.5,70193.3,47994.5,945.9,457.4,1608.8
2020/03/25,1201300.2,37054.3,28138.9,27695.2,163396.4,113175.3,78423.8,58314.2,1044.2,525.1,1760.5
2020/03/26,1042018.1,32285.2,28183.1,27339.9,137963.0,110326.9,66823.9,48396.1,1143.0,597.0,1912.8
2020/03/27,1037148.8,34037.7,33552.8,29619.6,136121.9,128562.6,71656.6,46939.7,1243.6,663.0,2070.0
2020/03/28,932640.6,32099.9,43879.6,27190.6,121728.5,127774.1,72220.4,35211.0,1344.8,734.4,2218.6
2020/03/29,889829.0,63839.4,41333.6,26846.7,105788.1,112568.1,65987.1,34445.0,1446.8,805.9,2367.8
2020/03/30,1050195.2,34223.4,29047.9,30067.7,136875.7,106611.3,67655.7,48313.1,1549.4,881.3,2513.8
2020/03/31,1060496.0,40490.8,30932.9,28787.0,134691.8,111913.5,69030.1,48989.4,1656.0,961.5,2667.2
2020/04/01,1059962.1,37054.3,28138.9,27695.2,141856.6,113175.3,67645.6,48990.0,1767.9,1049.1,2819.7
2020/04/02,998596.1,32285.2,28183.1,27339.9,130617.6,110326.9,67860.4,46273.6,1886.1,1135.4,2978.6
2020/04/03,1045137.1,34037.7,33552.8,29619.6,143045.1,128562.6,74978.0,46813.5,2010.7,1225.4,3153.3
2020/04/04,902116.3,32099.9,43879.6,27190.6,122303.2,127774.1,74414.5,33240.1,2139.6,1321.9,3323.2
2020/04/05,803163.9,63839.4,41333.6,26846.7,95693.2,112568.1,62261.4,28094.6,2269.1,1420.0,3492.9
2020/04/06,871938.6,34223.4,29047.9,30067.7,110666.7,106611.3,62554.7,38497.4,2398.1,1517.1,3660.8
2020/04/07,968140.9,40490.8,30932.9,28787.0,125406.0,111913.5,64752.0,43159.5,2530.9,1611.5,3833.9
2020/04/08,936536.2,37054.3,28138.9,27695.2,121381.8,113175.3,64551.4,43842.8,2670.9,1703.5,4009.4
2020/04/09,922732.4,32285.2,28183.1,27339.9,122309.0,110326.9,63005.3,41454.8,2815.4,1799.6,4191.7
2020/04/10,996094.2,34037.7,33552.8,29619.6,135354.4,128562.6,71301.3,44411.5,2966.0,1902.2,4381.7
2020/04/11,938738.2,32099.9,43879.6,27190.6,122777.8,127774.1,76790.5,35819.1,3114.9,2021.4,4576.8
2020/04/12,755380.7,63839.4,41333.6,26846.7,88661.9,112568.1,52454.6,24943.3,3261.8,2141.4,4766.3
2020/04/13,898649.4,34223.4,29047.9,30067.7,115956.6,106611.3,58249.3,38982.5,3404.4,2257.3,4947.1
2020/04/14,947582.0,40490.8,30932.9,28787.0,123129.7,111913.5,61579.5,40969.7,3545.1,2362.0,5115.9
2020/04/15,970177.3,37054.3,28138.9,27695.2,127531.3,113175.3,60650.7,42577.3,3683.8,2456.5,5273.2
2020/04/16,935223.6,32285.2,28183.1,27339.9,124894.6,110326.9,59940.7,41155.4,3824.6,2552.0,5437.3
2020/04/17,1009469.5,34037.7,33552.8,29619.6,137675.0,128562.6,65007.7,44000.3,3965.3,2651.0,5598.0
2020/04/18,966082.6,32099.9,43879.6,27190.6,127024.8,127774.1,69241.2,38743.4,4103.6,2745.5,5754.3
2020/04/19,903713.4,63839.4,41333.6,26846.7,108509.7,112568.1,61868.6,32652.4,4241.5,2848.1,5910.3
2020/04/20,983725.1,34223.4,29047.9,30067.7,130871.4,106611.3,61532.0,44831.6,4377.9,2948.5,6064.7
2020/04/21,1051656.1,40490.8,30932.9,28787.0,139428.2,111913.5,66796.6,49016.8,4514.0,3052.1,6218.1
2020/04/22,1074961.4,37054.3,28138.9,27695.2,141288.6,113175.3,67568.2,49393.2,4652.6,3155.5,6370.3
2020/04/23,1075773.7,32285.2,28183.1,27339.9,144227.4,110326.9,65890.7,50068.0,4792.0,3265.0,6520.1
2020/04/24,1147572.4,34037.7,33552.8,29619.6,157226.9,128562.6,72675.4,51853.4,4932.1,3374.2,6669.8
2020/04/25,1094317.3,32099.9,43879.6,27190.6,147803.9,127774.1,73053.0,43854.5,5073.2,3485.3,6817.2
2020/04/26,951013.9,63839.4,41333.6,26846.7,114976.4,112568.1,64086.4,34890.2,5216.0,3603.0,6965.6
2020/04/27,1060579.6,34223.4,29047.9,30067.7,135050.4,106611.3,63784.4,47863.3,5358.0,3726.4,7112.8
2020/04/28,1102606.1,40490.8,30932.9,28787.0,143648.3,111913.5,64480.3,50892.5,5499.4,3847.9,7249.9
2020/04/29,1066066.2,37054.3,28138.9,27695.2,136297.3,113175.3,64226.1,48825.6,5644.7,3983.2,7393.3
2020/04/30,1040087.3,32285.2,28183.1,27339.9,136383.2,110326.9,62169.9,47017.2,5794.4,4121.7,7535.6
2020/05/01,1173023.8,34037.7,33552.8,29619.6,157730.8,128562.6,71612.4,51015.6,5948.6,4264.3,7682.8
2020/05/02,1049220.8,32099.9,43879.6,27190.6,138265.9,127774.1,70761.0,40158.4,6107.2,4417.8,7831.0
2020/05/03,,,,,,,,,6267.2,4548.8,7977.8
2020/05/04,,,,,,,,,6429.6,4679.5,8137.8
2020/05/05,,,,,,,,,6592.4,4811.4,8322.7
2020/05/06,,,,,,,,,6755.3,4947.5,8477.0
2020/05/07,,,,,,,,,6918.8,5098.6,8617.8
2020/05/08,,,,,,,,,7080.9,5246.3,8752.7
