date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1859519.6,63839.4,41333.6,24327.6,354702.4,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2088549.6,34223.4,29047.9,26485.2,340025.1,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2140639.1,40490.8,30932.9,28030.0,356041.7,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2168027.8,37054.3,28138.9,29515.9,356927.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2174191.0,32285.2,28183.1,32793.8,363743.7,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2309496.0,34037.7,33552.8,40001.6,406703.4,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1721290.5,32099.9,43879.6,31343.7,313212.8,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1461917.6,63839.4,41333.6,27508.1,230681.4,112568.1,116958.3,82732.7,315.1,119.4,577.1
2020/03/16,1634950.5,34223.4,29047.9,37563.2,256878.2,106611.3,147344.3,96114.4,364.1,140.7,665.7
2020/03/17,1166276.2,40490.8,30932.9,22319.0,159121.2,111913.5,82862.2,53391.6,416.0,163.6,758.6
2020/03/18,1104482.6,37054.3,28138.9,21197.9,147917.5,113175.3,76723.9,51759.5,471.6,189.8,853.3
2020/03/19,1099487.9,32285.2,28183.1,21781.8,146883.7,110326.9,76659.9,52331.4,532.6,218.2,958.6
2020/03/20,985367.8,34037.7,33552.8,14850.9,125905.7,128562.6,61537.8,44514.5,600.7,252.6,1068.0
2020/03/21,794182.0,32099.9,43879.6,9180.9,94150.2,127774.1,44546.5,31880.8,678.7,299.3,1195.6
2020/03/22,970100.7,63839.4,41333.6,17402.2,115593.8,112568.1,71951.6,37530.5,762.9,352.1,1330.4
2020/03/23,1058506.1,34223.4,29047.9,18770.1,140892.0,106611.3,71453.0,50202.1,851.6,404.5,1468.2
2020/03/24,1041165.4,40490.8,30932.9,18536.4,140316.8,111913.5,70193.3,47994.5,945.0,462.5,1609.5
2020/03/25,1194249.4,37054.3,28138.9,20644.5,163396.4,113175.3,78423.8,58314.2,1043.1,527.3,1760.5
2020/03/26,1031460.3,32285.2,28183.1,16782.0,137963.0,110326.9,66823.9,48396.1,1141.8,592.3,1909.0
2020/03/27,1025656.3,34037.7,33552.8,18127.2,136121.9,128562.6,71656.6,46939.7,1242.1,659.2,2060.6
2020/03/28,922586.3,32099.9,43879.6,17136.3,121728.5,127774.1,72220.4,35211.0,1343.6,729.1,2209.5
2020/03/29,878027.6,63839.4,41333.6,15045.3,105788.1,112568.1,65987.1,34445.0,1445.3,799.6,2355.6
2020/03/30,1037663.5,34223.4,29047.9,17536.0,136875.7,106611.3,67655.7,48313.1,1547.6,875.0,2499.6
2020/03/31,1049545.4,40490.8,30932.9,17836.4,134691.8,111913.5,69030.1,48989.4,1654.5,952.4,2652.2
2020/04/01,1050195.8,37054.3,28138.9,17928.9,141856.6,113175.3,67645.6,48990.0,1766.0,1034.7,2806.0
2020/04/02,988036.2,32285.2,28183.1,16779.9,130617.6,110326.9,67860.4,46273.6,1883.9,1120.7,2967.6
2020/04/03,1034984.4,34037.7,33552.8,19467.0,143045.1,128562.6,74978.0,46813.5,2008.2,1207.0,3134.1
2020/04/04,891309.6,32099.9,43879.6,16383.9,122303.2,127774.1,74414.5,33240.1,2136.8,1297.9,3301.2
2020/04/05,791328.9,63839.4,41333.6,15011.7,95693.2,112568.1,62261.4,28094.6,2266.7,1390.8,3478.8
2020/04/06,857898.0,34223.4,29047.9,16027.1,110666.7,106611.3,62554.7,38497.4,2396.0,1481.8,3647.7
2020/04/07,956744.2,40490.8,30932.9,17390.3,125406.0,111913.5,64752.0,43159.5,2528.4,1574.9,3821.0
2020/04/08,925589.0,37054.3,28138.9,16748.1,121381.8,113175.3,64551.4,43842.8,2668.3,1672.6,4006.4
2020/04/09,912824.7,32285.2,28183.1,17432.2,122309.0,110326.9,63005.3,41454.8,2812.4,1780.3,4186.7
2020/04/10,985280.9,34037.7,33552.8,18806.4,135354.4,128562.6,71301.3,44411.5,2963.5,1889.4,4373.1
2020/04/11,931140.4,32099.9,43879.6,19592.8,122777.8,127774.1,76790.5,35819.1,3113.5,1980.1,4555.1
2020/04/12,741322.6,63839.4,41333.6,12788.6,88661.9,112568.1,52454.6,24943.3,3261.3,2067.5,4734.6
2020/04/13,883177.9,34223.4,29047.9,14596.2,115956.6,106611.3,58249.3,38982.5,3405.0,2155.2,4910.0
2020/04/14,934849.3,40490.8,30932.9,16054.3,123129.7,111913.5,61579.5,40969.7,3546.4,2243.8,5076.6
2020/04/15,958652.2,37054.3,28138.9,16170.2,127531.3,113175.3,60650.7,42577.3,3685.3,2338.2,5232.2
2020/04/16,922745.7,32285.2,28183.1,14861.9,124894.6,110326.9,59940.7,41155.4,3826.3,2427.0,5395.7
2020/04/17,997834.0,34037.7,33552.8,17984.2,137675.0,128562.6,65007.7,44000.3,3967.1,2524.4,5577.5
2020/04/18,955618.9,32099.9,43879.6,16727.0,127024.8,127774.1,69241.2,38743.4,4106.5,2623.9,5764.0
2020/04/19,891546.8,63839.4,41333.6,14680.0,108509.7,112568.1,61868.6,32652.4,4244.1,2719.8,5924.6
2020/04/20,969210.7,34223.4,29047.9,15553.3,130871.4,106611.3,61532.0,44831.6,4381.0,2821.8,6071.2
2020/04/21,1040551.5,40490.8,30932.9,17682.4,139428.2,111913.5,66796.6,49016.8,4517.6,2924.8,6218.7
2020/04/22,1064400.8,37054.3,28138.9,17134.6,141288.6,113175.3,67568.2,49393.2,4656.2,3022.5,6364.4
2020/04/23,1065184.1,32285.2,28183.1,16750.3,144227.4,110326.9,65890.7,50068.0,4795.5,3113.4,6505.3
2020/04/24,1135489.5,34037.7,33552.8,17536.7,157226.9,128562.6,72675.4,51853.4,4936.2,3204.6,6645.5
2020/04/25,1083759.3,32099.9,43879.6,16632.6,147803.9,127774.1,73053.0,43854.5,5077.2,3303.1,6782.7
2020/04/26,938763.8,63839.4,41333.6,14596.6,114976.4,112568.1,64086.4,34890.2,5219.8,3405.6,6917.1
2020/04/27,1047590.8,34223.4,29047.9,17078.9,135050.4,106611.3,63784.4,47863.3,5361.9,3509.0,7050.6
2020/04/28,1092054.1,40490.8,30932.9,18235.0,143648.3,111913.5,64480.3,50892.5,5503.7,3612.7,7181.7
2020/04/29,1055289.6,37054.3,28138.9,16918.6,136297.3,113175.3,64226.1,48825.6,5649.6,3722.9,7319.3
2020/04/30,1029379.8,32285.2,28183.1,16632.4,136383.2,110326.9,62169.9,47017.2,5799.3,3834.2,7450.8
2020/05/01,1161192.1,34037.7,33552.8,17787.9,157730.8,128562.6,71612.4,51015.6,5954.0,3950.4,7593.5
2020/05/02,1038753.5,32099.9,43879.6,16723.3,138265.9,127774.1,70761.0,40158.4,6113.4,4068.6,7736.4
2020/05/03,,,,,,,,,6273.8,4191.9,7888.2
2020/05/04,,,,,,,,,6437.1,4320.6,8040.9
2020/05/05,,,,,,,,,6599.7,4450.4,8188.0
2020/05/06,,,,,,,,,6762.8,4578.7,8373.0
2020/05/07,,,,,,,,,6927.1,4707.7,8610.2
2020/05/08,,,,,,,,,7089.7,4839.2,8821.9
