date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1850594.8,63839.4,41333.6,26846.7,354702.4,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2084927.3,34223.4,29047.9,30067.7,340025.1,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2132735.4,40490.8,30932.9,28787.0,356041.7,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2158266.4,37054.3,28138.9,27695.2,356927.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2166583.8,32285.2,28183.1,27339.9,363743.7,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2291650.0,34037.7,33552.8,29619.6,406703.4,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1681563.0,32099.9,43879.6,27190.6,313212.8,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1420740.1,63839.4,41333.6,26846.7,230681.4,72052.1,116958.3,82732.7,315.1,119.4,577.6
2020/03/16,1600404.3,34223.4,29047.9,30067.7,256878.2,79560.6,147344.3,96114.4,364.2,140.1,664.1
2020/03/17,1112017.2,40490.8,30932.9,28787.0,159121.2,51186.6,82862.2,53391.6,415.6,161.4,758.6
2020/03/18,1047306.7,37054.3,28138.9,27695.2,147917.5,49502.1,76723.9,51759.5,471.5,187.1,851.2
2020/03/19,1043013.3,32285.2,28183.1,27339.9,146883.7,48294.2,76659.9,52331.4,532.3,217.1,953.3
2020/03/20,910879.4,34037.7,33552.8,29619.6,125905.7,39305.4,61537.8,44514.5,600.0,254.3,1063.8
2020/03/21,711676.5,32099.9,43879.6,27190.6,94150.2,27258.8,44546.5,31880.8,677.7,300.1,1190.7
2020/03/22,909278.5,63839.4,41333.6,26846.7,115593.8,42301.5,71951.6,37530.5,761.4,355.2,1323.0
2020/03/23,1009531.6,34223.4,29047.9,30067.7,140892.0,46339.1,71453.0,50202.1,849.4,411.8,1457.9
2020/03/24,985314.4,40490.8,30932.9,28787.0,140316.8,45811.9,70193.3,47994.5,942.4,469.5,1600.8
2020/03/25,1143891.5,37054.3,28138.9,27695.2,163396.4,55766.6,78423.8,58314.2,1039.4,532.5,1748.2
2020/03/26,981280.2,32285.2,28183.1,27339.9,137963.0,49589.0,66823.9,48396.1,1136.1,594.1,1899.8
2020/03/27,959390.8,34037.7,33552.8,29619.6,136121.9,50804.6,71656.6,46939.7,1234.6,655.5,2050.7
2020/03/28,851155.8,32099.9,43879.6,27190.6,121728.5,46289.3,72220.4,35211.0,1333.4,718.4,2194.9
2020/03/29,817531.9,63839.4,41333.6,26846.7,105788.1,40271.0,65987.1,34445.0,1432.8,784.9,2344.7
2020/03/30,991087.8,34223.4,29047.9,30067.7,136875.7,47503.9,67655.7,48313.1,1532.5,857.0,2491.4
2020/03/31,998694.5,40490.8,30932.9,28787.0,134691.8,50112.1,69030.1,48989.4,1635.7,935.2,2637.7
2020/04/01,996465.2,37054.3,28138.9,27695.2,141856.6,49678.4,67645.6,48990.0,1743.8,1018.5,2784.6
2020/04/02,937878.4,32285.2,28183.1,27339.9,130617.6,49609.2,67860.4,46273.6,1858.7,1105.4,2941.6
2020/04/03,971869.0,34037.7,33552.8,29619.6,143045.1,55294.5,74978.0,46813.5,1979.5,1196.4,3106.1
2020/04/04,820182.6,32099.9,43879.6,27190.6,122303.2,45840.3,74414.5,33240.1,2103.7,1289.1,3278.4
2020/04/05,725278.3,63839.4,41333.6,26846.7,95693.2,34682.5,62261.4,28094.6,2228.6,1383.9,3444.8
2020/04/06,805594.6,34223.4,29047.9,30067.7,110666.7,40267.3,62554.7,38497.4,2352.5,1484.1,3608.5
2020/04/07,901808.9,40490.8,30932.9,28787.0,125406.0,45581.5,64752.0,43159.5,2479.6,1584.3,3778.0
2020/04/08,868787.1,37054.3,28138.9,27695.2,121381.8,45426.1,64551.4,43842.8,2613.0,1690.1,3953.3
2020/04/09,857573.1,32285.2,28183.1,27339.9,122309.0,45167.7,63005.3,41454.8,2751.1,1808.4,4134.6
2020/04/10,921337.7,34037.7,33552.8,29619.6,135354.4,53806.1,71301.3,44411.5,2895.9,1929.2,4314.6
2020/04/11,860131.5,32099.9,43879.6,27190.6,122777.8,49167.4,76790.5,35819.1,3039.2,2038.9,4487.2
2020/04/12,672576.9,63839.4,41333.6,26846.7,88661.9,29764.3,52454.6,24943.3,3179.2,2132.6,4652.8
2020/04/13,834555.0,34223.4,29047.9,30067.7,115956.6,42516.9,58249.3,38982.5,3315.5,2226.9,4814.2
2020/04/14,881191.2,40490.8,30932.9,28787.0,123129.7,45522.8,61579.5,40969.7,3449.4,2319.3,4976.0
2020/04/15,906692.8,37054.3,28138.9,27695.2,127531.3,49690.8,60650.7,42577.3,3581.2,2408.8,5132.4
2020/04/16,872621.7,32285.2,28183.1,27339.9,124894.6,47725.0,59940.7,41155.4,3714.4,2499.1,5285.3
2020/04/17,934417.4,34037.7,33552.8,29619.6,137675.0,53510.5,65007.7,44000.3,3847.0,2597.7,5435.3
2020/04/18,892315.3,32099.9,43879.6,27190.6,127024.8,54006.8,69241.2,38743.4,3977.4,2688.6,5584.0
2020/04/19,836699.2,63839.4,41333.6,26846.7,108509.7,45553.9,61868.6,32652.4,4107.4,2787.2,5740.0
2020/04/20,923052.2,34223.4,29047.9,30067.7,130871.4,45938.4,61532.0,44831.6,4236.1,2885.9,5915.7
2020/04/21,991386.7,40490.8,30932.9,28787.0,139428.2,51644.2,66796.6,49016.8,4364.0,2988.1,6062.9
2020/04/22,1017380.0,37054.3,28138.9,27695.2,141288.6,55593.8,67568.2,49393.2,4493.3,3088.9,6205.6
2020/04/23,1021722.0,32285.2,28183.1,27339.9,144227.4,56275.2,65890.7,50068.0,4623.7,3188.5,6337.5
2020/04/24,1083383.5,34037.7,33552.8,29619.6,157226.9,64373.7,72675.4,51853.4,4755.4,3296.8,6471.5
2020/04/25,1028775.5,32099.9,43879.6,27190.6,147803.9,62232.2,73053.0,43854.5,4887.2,3407.2,6604.3
2020/04/26,888301.9,63839.4,41333.6,26846.7,114976.4,49856.1,64086.4,34890.2,5020.7,3518.1,6738.7
2020/04/27,1005452.6,34223.4,29047.9,30067.7,135050.4,51484.3,63784.4,47863.3,5153.7,3628.7,6867.4
2020/04/28,1045720.4,40490.8,30932.9,28787.0,143648.3,55027.8,64480.3,50892.5,5285.6,3743.3,6993.7
2020/04/29,1005976.4,37054.3,28138.9,27695.2,136297.3,53085.4,64226.1,48825.6,5422.0,3854.3,7122.6
2020/04/30,986378.4,32285.2,28183.1,27339.9,136383.2,56617.9,62169.9,47017.2,5561.9,3959.4,7252.3
2020/05/01,1108495.8,34037.7,33552.8,29619.6,157730.8,64034.6,71612.4,51015.6,5706.3,4071.5,7384.4
2020/05/02,984460.5,32099.9,43879.6,27190.6,138265.9,63013.7,70761.0,40158.4,5855.1,4189.9,7553.3
2020/05/03,,,,,,,,,6004.7,4314.2,7721.8
2020/05/04,,,,,,,,,6157.0,4444.5,7860.5
2020/05/05,,,,,,,,,6309.6,4584.1,7990.8
2020/05/06,,,,,,,,,6462.2,4721.9,8114.5
2020/05/07,,,,,,,,,6614.4,4861.0,8251.3
2020/05/08,,,,,,,,,6765.6,4999.1,8422.3
