date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1848075.7,63839.4,41333.6,24327.6,354702.4,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2081344.8,34223.4,29047.9,26485.2,340025.1,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2131978.4,40490.8,30932.9,28030.0,356041.7,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2160087.1,37054.3,28138.9,29515.9,356927.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2172037.6,32285.2,28183.1,32793.8,363743.7,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2302032.0,34037.7,33552.8,40001.6,406703.4,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1685716.1,32099.9,43879.6,31343.7,313212.8,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1421401.6,63839.4,41333.6,27508.1,230681.4,72052.1,116958.3,82732.7,315.1,119.2,577.7
2020/03/16,1607899.8,34223.4,29047.9,37563.2,256878.2,79560.6,147344.3,96114.4,364.1,140.8,662.6
2020/03/17,1105549.3,40490.8,30932.9,22319.0,159121.2,51186.6,82862.2,53391.6,415.6,163.7,755.5
2020/03/18,1040809.4,37054.3,28138.9,21197.9,147917.5,49502.1,76723.9,51759.5,471.5,189.7,853.9
2020/03/19,1037455.2,32285.2,28183.1,21781.8,146883.7,48294.2,76659.9,52331.4,532.1,220.2,956.2
2020/03/20,896110.6,34037.7,33552.8,14850.9,125905.7,39305.4,61537.8,44514.5,600.4,262.1,1066.0
2020/03/21,693666.7,32099.9,43879.6,9180.9,94150.2,27258.8,44546.5,31880.8,678.3,307.5,1195.8
2020/03/22,899834.0,63839.4,41333.6,17402.2,115593.8,42301.5,71951.6,37530.5,762.1,357.1,1331.0
2020/03/23,998234.0,34223.4,29047.9,18770.1,140892.0,46339.1,71453.0,50202.1,850.1,411.4,1469.3
2020/03/24,975063.8,40490.8,30932.9,18536.4,140316.8,45811.9,70193.3,47994.5,943.0,469.6,1614.3
2020/03/25,1136840.7,37054.3,28138.9,20644.5,163396.4,55766.6,78423.8,58314.2,1039.5,540.2,1760.8
2020/03/26,970722.4,32285.2,28183.1,16782.0,137963.0,49589.0,66823.9,48396.1,1136.5,609.9,1906.0
2020/03/27,947898.4,34037.7,33552.8,18127.2,136121.9,50804.6,71656.6,46939.7,1235.0,680.5,2047.9
2020/03/28,841101.4,32099.9,43879.6,17136.3,121728.5,46289.3,72220.4,35211.0,1333.9,753.3,2189.4
2020/03/29,805730.5,63839.4,41333.6,15045.3,105788.1,40271.0,65987.1,34445.0,1432.7,835.5,2337.4
2020/03/30,978556.0,34223.4,29047.9,17536.0,136875.7,47503.9,67655.7,48313.1,1532.2,911.3,2473.4
2020/03/31,987743.9,40490.8,30932.9,17836.4,134691.8,50112.1,69030.1,48989.4,1635.5,987.3,2616.0
2020/04/01,986698.9,37054.3,28138.9,17928.9,141856.6,49678.4,67645.6,48990.0,1743.0,1065.3,2764.2
2020/04/02,927318.5,32285.2,28183.1,16779.9,130617.6,49609.2,67860.4,46273.6,1857.3,1153.2,2920.1
2020/04/03,961716.3,34037.7,33552.8,19467.0,143045.1,55294.5,74978.0,46813.5,1977.4,1245.6,3084.8
2020/04/04,809375.8,32099.9,43879.6,16383.9,122303.2,45840.3,74414.5,33240.1,2101.6,1339.9,3248.2
2020/04/05,713443.3,63839.4,41333.6,15011.7,95693.2,34682.5,62261.4,28094.6,2225.9,1435.7,3412.1
2020/04/06,791554.0,34223.4,29047.9,16027.1,110666.7,40267.3,62554.7,38497.4,2349.4,1533.0,3569.4
2020/04/07,890412.2,40490.8,30932.9,17390.3,125406.0,45581.5,64752.0,43159.5,2476.5,1626.3,3724.5
2020/04/08,857839.9,37054.3,28138.9,16748.1,121381.8,45426.1,64551.4,43842.8,2609.6,1729.7,3885.4
2020/04/09,847665.5,32285.2,28183.1,17432.2,122309.0,45167.7,63005.3,41454.8,2747.0,1817.6,4049.2
2020/04/10,910524.4,34037.7,33552.8,18806.4,135354.4,53806.1,71301.3,44411.5,2891.4,1909.5,4229.3
2020/04/11,852533.7,32099.9,43879.6,19592.8,122777.8,49167.4,76790.5,35819.1,3035.4,2004.7,4417.0
2020/04/12,658518.8,63839.4,41333.6,12788.6,88661.9,29764.3,52454.6,24943.3,3176.2,2097.7,4620.2
2020/04/13,819083.6,34223.4,29047.9,14596.2,115956.6,42516.9,58249.3,38982.5,3313.4,2194.1,4793.9
2020/04/14,868458.5,40490.8,30932.9,16054.3,123129.7,45522.8,61579.5,40969.7,3448.3,2291.1,4965.7
2020/04/15,895167.7,37054.3,28138.9,16170.2,127531.3,49690.8,60650.7,42577.3,3580.1,2384.5,5121.9
2020/04/16,860143.7,32285.2,28183.1,14861.9,124894.6,47725.0,59940.7,41155.4,3713.9,2483.9,5271.3
2020/04/17,922782.0,34037.7,33552.8,17984.2,137675.0,53510.5,65007.7,44000.3,3848.0,2593.9,5427.1
2020/04/18,881851.6,32099.9,43879.6,16727.0,127024.8,54006.8,69241.2,38743.4,3979.7,2696.4,5578.5
2020/04/19,824532.6,63839.4,41333.6,14680.0,108509.7,45553.9,61868.6,32652.4,4110.0,2781.3,5724.2
2020/04/20,908537.8,34223.4,29047.9,15553.3,130871.4,45938.4,61532.0,44831.6,4238.7,2864.9,5865.6
2020/04/21,980282.1,40490.8,30932.9,17682.4,139428.2,51644.2,66796.6,49016.8,4367.7,2961.5,6003.6
2020/04/22,1006819.3,37054.3,28138.9,17134.6,141288.6,55593.8,67568.2,49393.2,4498.4,3059.0,6146.4
2020/04/23,1011132.5,32285.2,28183.1,16750.3,144227.4,56275.2,65890.7,50068.0,4630.0,3163.8,6285.5
2020/04/24,1071300.5,34037.7,33552.8,17536.7,157226.9,64373.7,72675.4,51853.4,4762.6,3271.9,6422.3
2020/04/25,1018217.4,32099.9,43879.6,16632.6,147803.9,62232.2,73053.0,43854.5,4895.4,3369.5,6551.6
2020/04/26,876051.8,63839.4,41333.6,14596.6,114976.4,49856.1,64086.4,34890.2,5029.7,3462.7,6686.4
2020/04/27,992463.8,34223.4,29047.9,17078.9,135050.4,51484.3,63784.4,47863.3,5163.1,3558.8,6817.5
2020/04/28,1035168.4,40490.8,30932.9,18235.0,143648.3,55027.8,64480.3,50892.5,5295.7,3661.8,6946.0
2020/04/29,995199.8,37054.3,28138.9,16918.6,136297.3,53085.4,64226.1,48825.6,5431.6,3766.3,7067.6
2020/04/30,975670.9,32285.2,28183.1,16632.4,136383.2,56617.9,62169.9,47017.2,5572.2,3881.2,7196.2
2020/05/01,1096664.1,34037.7,33552.8,17787.9,157730.8,64034.6,71612.4,51015.6,5716.5,3995.5,7341.4
2020/05/02,973993.1,32099.9,43879.6,16723.3,138265.9,63013.7,70761.0,40158.4,5864.9,4120.3,7506.3
2020/05/03,,,,,,,,,6014.0,4259.5,7636.4
2020/05/04,,,,,,,,,6165.5,4393.6,7763.9
2020/05/05,,,,,,,,,6316.9,4533.6,7949.0
2020/05/06,,,,,,,,,6468.1,4679.6,8099.5
2020/05/07,,,,,,,,,6619.4,4821.3,8247.3
2020/05/08,,,,,,,,,6769.1,4968.2,8381.0
