date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1854286.9,53757.0,38465.2,24327.6,354702.4,101124.2,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2090819.3,28652.2,27845.2,26485.2,340025.1,99406.5,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2140745.9,34395.3,28802.9,28030.0,356041.7,103252.8,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2174343.1,34867.8,28360.6,29515.9,356927.2,105234.6,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2192474.1,30304.5,31391.9,32793.8,363743.7,108173.5,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2327863.5,29895.4,36733.9,40001.6,406703.4,121098.5,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1726031.5,23801.3,35412.8,31343.7,313212.8,92199.6,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1442772.2,31604.8,30674.4,27508.1,230681.4,72052.1,116958.3,146997.1,315.1,119.6,578.3
2020/03/16,1685361.4,19228.4,28838.2,37563.2,256878.2,79560.6,147344.3,188780.9,364.1,140.2,664.2
2020/03/17,1209011.3,16503.9,14825.0,22319.0,159121.2,51186.6,82862.2,196948.5,415.6,162.1,757.0
2020/03/18,1145077.0,15142.4,14388.1,21197.9,147917.5,49502.1,76723.9,191689.7,471.6,187.8,853.1
2020/03/19,1140124.2,16883.5,13654.7,21781.8,146883.7,48294.2,76659.9,184930.5,532.8,216.8,964.7
2020/03/20,996196.5,15886.5,11453.6,14850.9,125905.7,39305.4,61537.8,184850.9,601.7,252.9,1081.2
2020/03/21,774295.9,14134.8,9332.0,9180.9,94150.2,27258.8,44546.5,165022.7,680.0,294.5,1207.4
2020/03/22,935496.0,15017.0,16351.3,17402.2,115593.8,42301.5,71951.6,146997.1,765.0,342.1,1341.0
2020/03/23,1103103.4,15515.0,14047.1,18770.1,140892.0,46339.1,71453.0,188780.9,854.4,392.4,1480.8
2020/03/24,1080244.2,14633.7,13016.4,18536.4,140316.8,45811.9,70193.3,196948.5,949.2,449.1,1629.4
2020/03/25,1239481.1,18905.2,15553.0,20644.5,163396.4,55766.6,78423.8,191689.7,1048.9,513.5,1784.7
2020/03/26,1076192.3,15549.9,13853.9,16782.0,137963.0,49589.0,66823.9,184930.5,1149.8,576.4,1933.7
2020/03/27,1047300.6,14790.8,14290.8,18127.2,136121.9,50804.6,71656.6,184850.9,1253.3,651.7,2090.8
2020/03/28,924759.1,12983.0,16842.4,17136.3,121728.5,46289.3,72220.4,165022.7,1358.0,723.1,2246.1
2020/03/29,843304.6,15361.1,14833.9,15045.3,105788.1,40271.0,65987.1,146997.1,1462.9,798.0,2399.5
2020/03/30,1084433.6,15263.9,13417.2,17536.0,136875.7,47503.9,67655.7,188780.9,1568.9,877.5,2551.2
2020/03/31,1093307.5,15528.0,13500.1,17836.4,134691.8,50112.1,69030.1,196948.5,1679.4,956.4,2711.2
2020/04/01,1093859.9,16125.1,13529.3,17928.9,141856.6,49678.4,67645.6,191689.7,1795.7,1047.7,2876.6
2020/04/02,1033761.7,14852.1,13402.5,16779.9,130617.6,49609.2,67860.4,184930.5,1919.7,1138.0,3051.7
2020/04/03,1061565.8,14186.5,15216.2,19467.0,143045.1,55294.5,74978.0,184850.9,2050.7,1247.1,3236.0
2020/04/04,893022.2,11709.3,16134.0,16383.9,122303.2,45840.3,74414.5,165022.7,2186.8,1355.8,3424.8
2020/04/05,753003.0,11921.7,13908.5,15011.7,95693.2,34682.5,62261.4,146997.1,2323.7,1464.1,3617.3
2020/04/06,900842.7,10430.2,11846.4,16027.1,110666.7,40267.3,62554.7,188780.9,2459.3,1569.7,3810.9
2020/04/07,998731.7,13049.2,12904.9,17390.3,125406.0,45581.5,64752.0,196948.5,2599.2,1684.3,4002.8
2020/04/08,965938.3,13329.9,12114.8,16748.1,121381.8,45426.1,64551.4,191689.7,2747.7,1810.1,4203.2
2020/04/09,955652.4,12576.0,12403.5,17432.2,122309.0,45167.7,63005.3,184930.5,2900.5,1941.0,4411.0
2020/04/10,1010918.3,12544.2,15000.8,18806.4,135354.4,53806.1,71301.3,184850.9,3060.4,2056.4,4625.1
2020/04/11,935220.3,12625.9,16836.6,19592.8,122777.8,49167.4,76790.5,165022.7,3220.4,2176.2,4827.0
2020/04/12,688513.2,11695.3,1418.3,12788.6,88661.9,29764.3,52454.6,146997.1,3377.5,2299.7,5027.5
2020/04/13,929161.5,11519.1,12031.7,14596.2,115956.6,42516.9,58249.3,188780.9,3529.3,2407.5,5211.1
2020/04/14,977459.6,13530.9,10915.1,16054.3,123129.7,45522.8,61579.5,196948.5,3679.2,2512.4,5389.9
2020/04/15,1005140.1,13653.1,12400.1,16170.2,127531.3,49690.8,60650.7,191689.7,3827.7,2612.6,5565.4
2020/04/16,968770.3,13353.6,11966.2,14861.9,124894.6,47725.0,59940.7,184930.5,3979.6,2720.1,5744.1
2020/04/17,1022485.6,13476.5,12967.1,17984.2,137675.0,53510.5,65007.7,184850.9,4131.4,2831.3,5922.6
2020/04/18,959723.9,12988.0,14584.4,16727.0,127024.8,54006.8,69241.2,165022.7,4281.9,2947.2,6095.6
2020/04/19,861616.3,14625.7,13286.4,14680.0,108509.7,45553.9,61868.6,146997.1,4431.0,3068.7,6260.7
2020/04/20,1014365.6,13805.1,11344.7,15553.3,130871.4,45938.4,61532.0,188780.9,4577.9,3192.2,6423.3
2020/04/21,1085040.1,15916.1,12333.8,17682.4,139428.2,51644.2,66796.6,196948.5,4725.2,3311.7,6581.9
2020/04/22,1112491.0,16134.6,12433.8,17134.6,141288.6,55593.8,67568.2,191689.7,4877.1,3435.2,6734.7
2020/04/23,1114522.6,15505.7,13490.3,16750.3,144227.4,56275.2,65890.7,184930.5,5031.4,3559.6,6895.3
2020/04/24,1166821.4,16071.0,14042.9,17536.7,157226.9,64373.7,72675.4,184850.9,5187.4,3690.3,7062.6
2020/04/25,1095265.9,15369.4,16490.3,16632.6,147803.9,62232.2,73053.0,165022.7,5344.0,3812.8,7218.1
2020/04/26,910695.9,14538.7,13171.5,14596.6,114976.4,49856.1,64086.4,146997.1,5503.7,3943.5,7376.2
2020/04/27,1096754.8,13533.2,13111.5,17078.9,135050.4,51484.3,63784.4,188780.9,5661.1,4075.6,7530.2
2020/04/28,1137405.1,14565.1,13039.2,18235.0,143648.3,55027.8,64480.3,196948.5,5818.8,4207.7,7676.0
2020/04/29,1100913.0,14758.4,13284.0,16918.6,136297.3,53085.4,64226.1,191689.7,5982.9,4344.7,7830.8
2020/04/30,1080147.5,13562.7,13468.9,16632.4,136383.2,56617.9,62169.9,184930.5,6152.0,4485.8,7984.1
2020/05/01,1192762.7,15411.6,14442.3,17787.9,157730.8,64034.6,71612.4,184850.9,6326.7,4640.7,8143.9
2020/05/02,1052218.5,13191.7,16148.9,16723.3,138265.9,63013.7,70761.0,165022.7,6507.7,4792.8,8323.6
2020/05/03,,,,,,,,,6689.2,4942.1,8504.0
2020/05/04,,,,,,,,,6871.3,5101.0,8713.3
2020/05/05,,,,,,,,,7053.5,5259.0,8918.1
2020/05/06,,,,,,,,,7238.4,5419.9,9093.3
2020/05/07,,,,,,,,,7424.9,5576.8,9285.9
2020/05/08,,,,,,,,,7611.2,5734.9,9451.5
