date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1895348.9,53757.0,38465.2,24327.6,395764.5,101124.2,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2120662.6,28652.2,27845.2,26485.2,369868.4,99406.5,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2173273.0,34395.3,28802.9,28030.0,388568.8,103252.8,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2201685.2,34867.8,28360.6,29515.9,384269.2,105234.6,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2210008.8,30304.5,31391.9,32793.8,381278.4,108173.5,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2377358.4,29895.4,36733.9,40001.6,456198.3,121098.5,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1859603.4,23801.3,35412.8,31343.7,446784.7,92199.6,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1607855.2,31604.8,30674.4,27508.1,395764.5,72052.1,116958.3,146997.1,315.1,119.5,578.0
2020/03/16,1798351.6,19228.4,28838.2,37563.2,369868.4,79560.6,147344.3,188780.9,364.2,140.4,662.9
2020/03/17,1438458.9,16503.9,14825.0,22319.0,388568.8,51186.6,82862.2,196948.5,416.5,164.2,754.8
2020/03/18,1381428.8,15142.4,14388.1,21197.9,384269.2,49502.1,76723.9,191689.7,473.9,191.3,855.0
2020/03/19,1374518.9,16883.5,13654.7,21781.8,381278.4,48294.2,76659.9,184930.5,537.3,224.0,960.3
2020/03/20,1326489.1,15886.5,11453.6,14850.9,456198.3,39305.4,61537.8,184850.9,609.1,262.7,1077.6
2020/03/21,1126930.4,14134.8,9332.0,9180.9,446784.7,27258.8,44546.5,165022.7,691.8,313.9,1209.8
2020/03/22,1215666.6,15017.0,16351.3,17402.2,395764.5,42301.5,71951.6,146997.1,786.6,372.9,1360.7
2020/03/23,1332079.9,15515.0,14047.1,18770.1,369868.4,46339.1,71453.0,188780.9,891.1,438.4,1529.6
2020/03/24,1328496.2,14633.7,13016.4,18536.4,388568.8,45811.9,70193.3,196948.5,1007.2,512.3,1708.6
2020/03/25,1460353.9,18905.2,15553.0,20644.5,384269.2,55766.6,78423.8,191689.7,1138.7,607.2,1898.3
2020/03/26,1319507.7,15549.9,13853.9,16782.0,381278.4,49589.0,66823.9,184930.5,1279.1,702.4,2113.5
2020/03/27,1367377.0,14790.8,14290.8,18127.2,456198.3,50804.6,71656.6,184850.9,1429.0,804.4,2335.1
2020/03/28,1249815.3,12983.0,16842.4,17136.3,446784.7,46289.3,72220.4,165022.7,1591.6,912.0,2566.9
2020/03/29,1133281.0,15361.1,14833.9,15045.3,395764.5,40271.0,65987.1,146997.1,1773.3,1067.7,2824.0
2020/03/30,1317426.4,15263.9,13417.2,17536.0,369868.4,47503.9,67655.7,188780.9,1967.0,1242.8,3095.2
2020/03/31,1347184.4,15528.0,13500.1,17836.4,388568.8,50112.1,69030.1,196948.5,2174.4,1396.8,3384.6
2020/04/01,1336272.5,16125.1,13529.3,17928.9,384269.2,49678.4,67645.6,191689.7,2402.0,1514.4,3692.6
2020/04/02,1284422.5,14852.1,13402.5,16779.9,381278.4,49609.2,67860.4,184930.5,2648.1,1638.3,4020.9
2020/04/03,1374719.0,14186.5,15216.2,19467.0,456198.3,55294.5,74978.0,184850.9,2912.4,1792.8,4343.8
2020/04/04,1217503.7,11709.3,16134.0,16383.9,446784.7,45840.3,74414.5,165022.7,3194.9,1948.5,4691.6
2020/04/05,1053074.3,11921.7,13908.5,15011.7,395764.5,34682.5,62261.4,146997.1,3498.9,2103.1,5069.6
2020/04/06,1160044.4,10430.2,11846.4,16027.1,369868.4,40267.3,62554.7,188780.9,3813.2,2298.3,5465.2
2020/04/07,1261894.5,13049.2,12904.9,17390.3,388568.8,45581.5,64752.0,196948.5,4144.7,2490.8,5877.1
2020/04/08,1228825.8,13329.9,12114.8,16748.1,384269.2,45426.1,64551.4,191689.7,4501.9,2696.8,6296.5
2020/04/09,1214621.8,12576.0,12403.5,17432.2,381278.4,45167.7,63005.3,184930.5,4877.5,2922.1,6720.0
2020/04/10,1331762.2,12544.2,15000.8,18806.4,456198.3,53806.1,71301.3,184850.9,5269.5,3189.0,7154.7
2020/04/11,1259227.2,12625.9,16836.6,19592.8,446784.7,49167.4,76790.5,165022.7,5674.9,3443.2,7596.8
2020/04/12,995615.8,11695.3,1418.3,12788.6,395764.5,29764.3,52454.6,146997.1,6097.8,3703.4,8058.7
2020/04/13,1183073.3,11519.1,12031.7,14596.2,369868.4,42516.9,58249.3,188780.9,6524.4,3974.6,8514.8
2020/04/14,1242898.6,13530.9,10915.1,16054.3,388568.8,45522.8,61579.5,196948.5,6960.1,4249.9,9007.2
2020/04/15,1261878.1,13653.1,12400.1,16170.2,384269.2,49690.8,60650.7,191689.7,7409.5,4530.5,9635.9
2020/04/16,1225154.1,13353.6,11966.2,14861.9,381278.4,47725.0,59940.7,184930.5,7872.4,4830.1,10154.7
2020/04/17,1341008.9,13476.5,12967.1,17984.2,456198.3,53510.5,65007.7,184850.9,8346.0,5134.2,10677.4
2020/04/18,1279483.7,12988.0,14584.4,16727.0,446784.7,54006.8,69241.2,165022.7,8830.2,5443.2,11209.8
2020/04/19,1148871.1,14625.7,13286.4,14680.0,395764.5,45553.9,61868.6,146997.1,9332.9,5765.6,11772.3
2020/04/20,1253362.6,13805.1,11344.7,15553.3,369868.4,45938.4,61532.0,188780.9,9842.3,6092.9,12418.3
2020/04/21,1334180.6,15916.1,12333.8,17682.4,388568.8,51644.2,66796.6,196948.5,10357.3,6437.1,13013.6
2020/04/22,1355471.6,16134.6,12433.8,17134.6,384269.2,55593.8,67568.2,191689.7,10885.2,6801.2,13715.1
2020/04/23,1351573.6,15505.7,13490.3,16750.3,381278.4,56275.2,65890.7,184930.5,11424.6,7180.1,14444.1
2020/04/24,1465792.8,16071.0,14042.9,17536.7,456198.3,64373.7,72675.4,184850.9,11970.8,7557.0,15183.6
2020/04/25,1394246.6,15369.4,16490.3,16632.6,446784.7,62232.2,73053.0,165022.7,12528.4,7923.4,15948.4
2020/04/26,1191483.9,14538.7,13171.5,14596.6,395764.5,49856.1,64086.4,146997.1,13101.8,8319.2,16755.7
2020/04/27,1331572.7,13533.2,13111.5,17078.9,369868.4,51484.3,63784.4,188780.9,13678.3,8729.7,17569.2
2020/04/28,1382325.5,14565.1,13039.2,18235.0,388568.8,55027.8,64480.3,196948.5,14258.8,9160.2,18400.9
2020/04/29,1348885.0,14758.4,13284.0,16918.6,384269.2,53085.4,64226.1,191689.7,14850.3,9608.6,19237.4
2020/04/30,1325042.7,13562.7,13468.9,16632.4,381278.4,56617.9,62169.9,184930.5,15451.7,10074.4,20075.1
2020/05/01,1491230.2,15411.6,14442.3,17787.9,456198.3,64034.6,71612.4,184850.9,16062.5,10544.9,20941.0
2020/05/02,1360737.2,13191.7,16148.9,16723.3,446784.7,63013.7,70761.0,165022.7,16686.7,11030.0,21827.3
2020/05/03,,,,,,,,,17325.3,11534.8,22744.4
2020/05/04,,,,,,,,,17973.3,12057.9,23657.3
2020/05/05,,,,,,,,,18618.0,12582.6,24514.8
2020/05/06,,,,,,,,,19261.5,13120.6,25371.6
2020/05/07,,,,,,,,,19905.5,13659.4,26224.9
