date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1904898.1,53757.0,38465.2,24327.6,395764.5,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2125520.1,28652.2,27845.2,26485.2,369868.4,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2173661.7,34395.3,28802.9,28030.0,388568.8,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2192572.7,34867.8,28360.6,29515.9,384269.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2184176.0,30304.5,31391.9,32793.8,381278.4,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2327913.2,29895.4,36733.9,40001.6,456198.3,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1833486.8,23801.3,35412.8,31343.7,446784.7,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1599962.0,31604.8,30674.4,27508.1,395764.5,72052.1,109065.0,146997.1,315.1,119.4,577.3
2020/03/16,1749251.0,19228.4,28838.2,37563.2,369868.4,79560.6,98243.7,188780.9,364.1,140.7,661.5
2020/03/17,1447522.8,16503.9,14825.0,22319.0,388568.8,51186.6,91926.1,196948.5,416.1,164.4,754.1
2020/03/18,1393548.3,15142.4,14388.1,21197.9,384269.2,49502.1,88843.4,191689.7,473.6,190.9,858.3
2020/03/19,1385256.4,16883.5,13654.7,21781.8,381278.4,48294.2,87397.3,184930.5,537.4,218.7,965.9
2020/03/20,1362252.0,15886.5,11453.6,14850.9,456198.3,39305.4,97300.7,184850.9,609.0,257.5,1084.1
2020/03/21,1185935.4,14134.8,9332.0,9180.9,446784.7,27258.8,103551.5,165022.7,691.3,305.5,1217.3
2020/03/22,1252780.0,15017.0,16351.3,17402.2,395764.5,42301.5,109065.0,146997.1,786.6,362.7,1368.7
2020/03/23,1358870.6,15515.0,14047.1,18770.1,369868.4,46339.1,98243.7,188780.9,891.6,431.9,1543.5
2020/03/24,1350229.1,14633.7,13016.4,18536.4,388568.8,45811.9,91926.1,196948.5,1008.0,505.3,1728.4
2020/03/25,1470773.5,18905.2,15553.0,20644.5,384269.2,55766.6,88843.4,191689.7,1139.2,604.1,1929.1
2020/03/26,1340081.1,15549.9,13853.9,16782.0,381278.4,49589.0,87397.3,184930.5,1279.3,719.1,2130.8
2020/03/27,1393021.1,14790.8,14290.8,18127.2,456198.3,50804.6,97300.7,184850.9,1429.3,823.8,2339.2
2020/03/28,1281146.4,12983.0,16842.4,17136.3,446784.7,46289.3,103551.5,165022.7,1591.7,952.6,2577.9
2020/03/29,1176358.9,15361.1,14833.9,15045.3,395764.5,40271.0,109065.0,146997.1,1774.4,1098.3,2840.1
2020/03/30,1348014.4,15263.9,13417.2,17536.0,369868.4,47503.9,98243.7,188780.9,1967.7,1244.5,3116.3
2020/03/31,1370080.4,15528.0,13500.1,17836.4,388568.8,50112.1,91926.1,196948.5,2176.8,1368.1,3400.1
2020/04/01,1357470.3,16125.1,13529.3,17928.9,384269.2,49678.4,88843.4,191689.7,2405.6,1507.7,3699.4
2020/04/02,1303959.5,14852.1,13402.5,16779.9,381278.4,49609.2,87397.3,184930.5,2654.4,1633.6,4031.0
2020/04/03,1397041.8,14186.5,15216.2,19467.0,456198.3,55294.5,97300.7,184850.9,2920.8,1759.7,4378.6
2020/04/04,1246640.6,11709.3,16134.0,16383.9,446784.7,45840.3,103551.5,165022.7,3205.3,1896.4,4744.0
2020/04/05,1099878.0,11921.7,13908.5,15011.7,395764.5,34682.5,109065.0,146997.1,3511.3,2061.9,5129.0
2020/04/06,1195733.5,10430.2,11846.4,16027.1,369868.4,40267.3,98243.7,188780.9,3828.3,2261.0,5529.6
2020/04/07,1289068.5,13049.2,12904.9,17390.3,388568.8,45581.5,91926.1,196948.5,4162.7,2458.5,5952.5
2020/04/08,1253117.8,13329.9,12114.8,16748.1,384269.2,45426.1,88843.4,191689.7,4524.2,2685.3,6404.9
2020/04/09,1239013.8,12576.0,12403.5,17432.2,381278.4,45167.7,87397.3,184930.5,4903.4,2913.0,6864.2
2020/04/10,1357761.6,12544.2,15000.8,18806.4,456198.3,53806.1,97300.7,184850.9,5300.7,3130.6,7345.3
2020/04/11,1285988.2,12625.9,16836.6,19592.8,446784.7,49167.4,103551.5,165022.7,5712.1,3369.9,7828.8
2020/04/12,1052226.2,11695.3,1418.3,12788.6,395764.5,29764.3,109065.0,146997.1,6140.8,3633.9,8321.1
2020/04/13,1223067.7,11519.1,12031.7,14596.2,369868.4,42516.9,98243.7,188780.9,6576.7,3912.6,8803.8
2020/04/14,1273245.2,13530.9,10915.1,16054.3,388568.8,45522.8,91926.1,196948.5,7021.4,4191.5,9286.1
2020/04/15,1290070.8,13653.1,12400.1,16170.2,384269.2,49690.8,88843.4,191689.7,7480.1,4498.9,9773.7
2020/04/16,1252610.7,13353.6,11966.2,14861.9,381278.4,47725.0,87397.3,184930.5,7953.4,4818.0,10345.6
2020/04/17,1373301.9,13476.5,12967.1,17984.2,456198.3,53510.5,97300.7,184850.9,8436.4,5147.1,10873.7
2020/04/18,1313794.0,12988.0,14584.4,16727.0,446784.7,54006.8,103551.5,165022.7,8931.9,5486.1,11425.6
2020/04/19,1196067.5,14625.7,13286.4,14680.0,395764.5,45553.9,109065.0,146997.1,9446.5,5840.8,11952.8
2020/04/20,1290074.3,13805.1,11344.7,15553.3,369868.4,45938.4,98243.7,188780.9,9966.9,6205.6,12549.9
2020/04/21,1359310.1,15916.1,12333.8,17682.4,388568.8,51644.2,91926.1,196948.5,10495.1,6583.5,13266.0
2020/04/22,1376746.8,16134.6,12433.8,17134.6,384269.2,55593.8,88843.4,191689.7,11036.2,6971.3,13988.2
2020/04/23,1373080.2,15505.7,13490.3,16750.3,381278.4,56275.2,87397.3,184930.5,11588.9,7374.1,14748.6
2020/04/24,1490418.1,16071.0,14042.9,17536.7,456198.3,64373.7,97300.7,184850.9,12149.0,7780.3,15505.4
2020/04/25,1424745.1,15369.4,16490.3,16632.6,446784.7,62232.2,103551.5,165022.7,12720.0,8201.4,16283.5
2020/04/26,1236462.6,14538.7,13171.5,14596.6,395764.5,49856.1,109065.0,146997.1,13307.0,8641.2,17089.5
2020/04/27,1366032.0,13533.2,13111.5,17078.9,369868.4,51484.3,98243.7,188780.9,13897.1,9084.3,17884.8
2020/04/28,1409771.3,14565.1,13039.2,18235.0,388568.8,55027.8,91926.1,196948.5,14493.6,9548.6,18690.2
2020/04/29,1373502.2,14758.4,13284.0,16918.6,384269.2,53085.4,88843.4,191689.7,15098.5,10020.2,19509.3
2020/04/30,1350270.1,13562.7,13468.9,16632.4,381278.4,56617.9,87397.3,184930.5,15713.3,10509.0,20352.2
2020/05/01,1516918.5,15411.6,14442.3,17787.9,456198.3,64034.6,97300.7,184850.9,16338.3,10999.6,21196.0
2020/05/02,1393527.7,13191.7,16148.9,16723.3,446784.7,63013.7,103551.5,165022.7,16977.1,11501.6,22046.3
2020/05/03,,,,,,,,,17630.6,12028.5,22924.3
2020/05/04,,,,,,,,,18291.3,12561.3,23796.1
2020/05/05,,,,,,,,,18951.0,13116.0,24667.6
2020/05/06,,,,,,,,,19607.7,13660.9,25526.5
2020/05/07,,,,,,,,,20263.7,14208.7,26364.1
