date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1916342.0,53757.0,38465.2,24327.6,395764.5,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2132724.9,28652.2,27845.2,26485.2,369868.4,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2182322.4,34395.3,28802.9,28030.0,388568.8,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2200513.4,34867.8,28360.6,29515.9,384269.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2186329.4,30304.5,31391.9,32793.8,381278.4,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2335377.3,29895.4,36733.9,40001.6,456198.3,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1869061.3,23801.3,35412.8,31343.7,446784.7,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1640478.0,31604.8,30674.4,27508.1,395764.5,112568.1,109065.0,146997.1,315.1,119.1,577.8
2020/03/16,1776301.7,19228.4,28838.2,37563.2,369868.4,106611.3,98243.7,188780.9,363.7,139.0,665.1
2020/03/17,1508249.8,16503.9,14825.0,22319.0,388568.8,111913.5,91926.1,196948.5,416.0,161.7,757.0
2020/03/18,1457221.5,15142.4,14388.1,21197.9,384269.2,113175.3,88843.4,191689.7,473.5,187.2,855.8
2020/03/19,1447289.1,16883.5,13654.7,21781.8,381278.4,110326.9,87397.3,184930.5,537.3,218.0,962.8
2020/03/20,1451509.2,15886.5,11453.6,14850.9,456198.3,128562.6,97300.7,184850.9,609.0,257.6,1077.7
2020/03/21,1286450.7,14134.8,9332.0,9180.9,446784.7,127774.1,103551.5,165022.7,691.4,307.5,1210.8
2020/03/22,1323046.7,15017.0,16351.3,17402.2,395764.5,112568.1,109065.0,146997.1,786.3,361.8,1367.1
2020/03/23,1419142.7,15515.0,14047.1,18770.1,369868.4,106611.3,98243.7,188780.9,891.5,427.9,1537.3
2020/03/24,1416330.7,14633.7,13016.4,18536.4,388568.8,111913.5,91926.1,196948.5,1008.3,500.0,1730.9
2020/03/25,1528182.1,18905.2,15553.0,20644.5,384269.2,113175.3,88843.4,191689.7,1139.7,582.3,1936.2
2020/03/26,1400819.0,15549.9,13853.9,16782.0,381278.4,110326.9,87397.3,184930.5,1282.0,685.4,2151.6
2020/03/27,1470779.1,14790.8,14290.8,18127.2,456198.3,128562.6,97300.7,184850.9,1433.7,805.5,2370.8
2020/03/28,1362631.2,12983.0,16842.4,17136.3,446784.7,127774.1,103551.5,165022.7,1598.7,944.9,2601.0
2020/03/29,1248656.0,15361.1,14833.9,15045.3,395764.5,112568.1,109065.0,146997.1,1783.4,1098.2,2853.7
2020/03/30,1407121.8,15263.9,13417.2,17536.0,369868.4,106611.3,98243.7,188780.9,1980.4,1260.5,3124.2
2020/03/31,1431881.9,15528.0,13500.1,17836.4,388568.8,111913.5,91926.1,196948.5,2193.1,1410.1,3412.0
2020/04/01,1420967.2,16125.1,13529.3,17928.9,384269.2,113175.3,88843.4,191689.7,2426.9,1552.8,3721.0
2020/04/02,1364677.2,14852.1,13402.5,16779.9,381278.4,110326.9,87397.3,184930.5,2681.1,1685.3,4041.3
2020/04/03,1470309.8,14186.5,15216.2,19467.0,456198.3,128562.6,97300.7,184850.9,2952.8,1827.8,4382.5
2020/04/04,1328574.4,11709.3,16134.0,16383.9,446784.7,127774.1,103551.5,165022.7,3243.4,1982.1,4739.9
2020/04/05,1177763.6,11921.7,13908.5,15011.7,395764.5,112568.1,109065.0,146997.1,3556.3,2161.3,5118.3
2020/04/06,1262077.5,10430.2,11846.4,16027.1,369868.4,106611.3,98243.7,188780.9,3880.8,2351.6,5513.7
2020/04/07,1355400.6,13049.2,12904.9,17390.3,388568.8,111913.5,91926.1,196948.5,4223.2,2551.4,5914.6
2020/04/08,1320866.9,13329.9,12114.8,16748.1,384269.2,113175.3,88843.4,191689.7,4592.7,2777.1,6357.0
2020/04/09,1304173.1,12576.0,12403.5,17432.2,381278.4,110326.9,87397.3,184930.5,4981.3,3013.7,6818.7
2020/04/10,1432518.1,12544.2,15000.8,18806.4,456198.3,128562.6,97300.7,184850.9,5387.3,3252.2,7313.0
2020/04/11,1364594.8,12625.9,16836.6,19592.8,446784.7,127774.1,103551.5,165022.7,5807.7,3518.9,7789.3
2020/04/12,1135030.0,11695.3,1418.3,12788.6,395764.5,112568.1,109065.0,146997.1,6246.6,3790.5,8274.6
2020/04/13,1287162.0,11519.1,12031.7,14596.2,369868.4,106611.3,98243.7,188780.9,6691.7,4076.7,8830.4
2020/04/14,1339636.0,13530.9,10915.1,16054.3,388568.8,111913.5,91926.1,196948.5,7148.1,4375.2,9337.6
2020/04/15,1353555.3,13653.1,12400.1,16170.2,384269.2,113175.3,88843.4,191689.7,7618.4,4688.6,9847.9
2020/04/16,1315212.6,13353.6,11966.2,14861.9,381278.4,110326.9,87397.3,184930.5,8102.8,5014.4,10354.6
2020/04/17,1448354.0,13476.5,12967.1,17984.2,456198.3,128562.6,97300.7,184850.9,8599.1,5353.4,10991.1
2020/04/18,1387561.3,12988.0,14584.4,16727.0,446784.7,127774.1,103551.5,165022.7,9108.1,5688.8,11563.4
2020/04/19,1263081.7,14625.7,13286.4,14680.0,395764.5,112568.1,109065.0,146997.1,9637.7,6046.9,12244.0
2020/04/20,1350747.2,13805.1,11344.7,15553.3,369868.4,106611.3,98243.7,188780.9,10173.9,6407.0,12880.5
2020/04/21,1419579.5,15916.1,12333.8,17682.4,388568.8,111913.5,91926.1,196948.5,10717.5,6786.8,13646.4
2020/04/22,1434328.2,16134.6,12433.8,17134.6,384269.2,113175.3,88843.4,191689.7,11274.5,7180.0,14433.0
2020/04/23,1427131.8,15505.7,13490.3,16750.3,381278.4,110326.9,87397.3,184930.5,11843.0,7583.1,15232.1
2020/04/24,1554607.1,16071.0,14042.9,17536.7,456198.3,128562.6,97300.7,184850.9,12418.8,7998.8,16046.4
2020/04/25,1490286.9,15369.4,16490.3,16632.6,446784.7,127774.1,103551.5,165022.7,13006.6,8433.0,16863.1
2020/04/26,1299174.6,14538.7,13171.5,14596.6,395764.5,112568.1,109065.0,146997.1,13613.1,8881.9,17704.0
2020/04/27,1421159.0,13533.2,13111.5,17078.9,369868.4,106611.3,98243.7,188780.9,14223.4,9329.4,18563.7
2020/04/28,1466657.0,14565.1,13039.2,18235.0,388568.8,111913.5,91926.1,196948.5,14839.6,9794.0,19406.2
2020/04/29,1433592.1,14758.4,13284.0,16918.6,384269.2,113175.3,88843.4,191689.7,15466.4,10281.4,20253.2
2020/04/30,1403979.1,13562.7,13468.9,16632.4,381278.4,110326.9,87397.3,184930.5,16101.0,10757.7,21096.0
2020/05/01,1581446.5,15411.6,14442.3,17787.9,456198.3,128562.6,97300.7,184850.9,16746.5,11249.4,21944.3
2020/05/02,1458288.0,13191.7,16148.9,16723.3,446784.7,127774.1,103551.5,165022.7,17406.7,11739.9,22815.5
2020/05/03,,,,,,,,,18082.4,12262.1,23718.7
2020/05/04,,,,,,,,,18766.5,12787.6,24622.1
2020/05/05,,,,,,,,,19449.4,13329.5,25508.6
2020/05/06,,,,,,,,,20132.1,13882.0,26407.2
2020/05/07,,,,,,,,,20814.0,14443.6,27309.5
