date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1918861.1,53757.0,38465.2,26846.7,395764.5,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2136307.5,28652.2,27845.2,30067.7,369868.4,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2183079.3,34395.3,28802.9,28787.0,388568.8,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2198692.8,34867.8,28360.6,27695.2,384269.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2180875.5,30304.5,31391.9,27339.9,381278.4,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2324995.3,29895.4,36733.9,29619.6,456198.3,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1864908.2,23801.3,35412.8,27190.6,446784.7,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1639816.6,31604.8,30674.4,26846.7,395764.5,112568.1,109065.0,146997.1,315.1,119.5,577.8
2020/03/16,1768806.2,19228.4,28838.2,30067.7,369868.4,106611.3,98243.7,188780.9,364.0,140.1,662.5
2020/03/17,1514717.7,16503.9,14825.0,28787.0,388568.8,111913.5,91926.1,196948.5,416.4,161.4,754.9
2020/03/18,1463718.8,15142.4,14388.1,27695.2,384269.2,113175.3,88843.4,191689.7,474.0,185.7,855.5
2020/03/19,1452847.2,16883.5,13654.7,27339.9,381278.4,110326.9,87397.3,184930.5,538.0,216.1,961.3
2020/03/20,1466278.0,15886.5,11453.6,29619.6,456198.3,128562.6,97300.7,184850.9,609.9,253.1,1084.9
2020/03/21,1304460.5,14134.8,9332.0,27190.6,446784.7,127774.1,103551.5,165022.7,692.5,298.6,1222.7
2020/03/22,1332491.2,15017.0,16351.3,26846.7,395764.5,112568.1,109065.0,146997.1,787.9,352.3,1371.8
2020/03/23,1430440.4,15515.0,14047.1,30067.7,369868.4,106611.3,98243.7,188780.9,893.9,415.6,1534.2
2020/03/24,1426581.2,14633.7,13016.4,28787.0,388568.8,111913.5,91926.1,196948.5,1011.3,493.1,1717.0
2020/03/25,1535232.9,18905.2,15553.0,27695.2,384269.2,113175.3,88843.4,191689.7,1143.7,583.0,1921.6
2020/03/26,1411376.8,15549.9,13853.9,27339.9,381278.4,110326.9,87397.3,184930.5,1286.8,691.9,2141.5
2020/03/27,1482271.5,14790.8,14290.8,29619.6,456198.3,128562.6,97300.7,184850.9,1439.7,812.6,2368.3
2020/03/28,1372685.6,12983.0,16842.4,27190.6,446784.7,127774.1,103551.5,165022.7,1606.1,928.4,2608.3
2020/03/29,1260457.4,15361.1,14833.9,26846.7,395764.5,112568.1,109065.0,146997.1,1793.1,1074.9,2869.5
2020/03/30,1419653.5,15263.9,13417.2,30067.7,369868.4,106611.3,98243.7,188780.9,1992.6,1245.9,3144.2
2020/03/31,1442832.4,15528.0,13500.1,28787.0,388568.8,111913.5,91926.1,196948.5,2207.4,1374.1,3436.3
2020/04/01,1430733.6,16125.1,13529.3,27695.2,384269.2,113175.3,88843.4,191689.7,2443.3,1534.0,3742.3
2020/04/02,1375237.2,14852.1,13402.5,27339.9,381278.4,110326.9,87397.3,184930.5,2698.3,1681.2,4075.5
2020/04/03,1480462.5,14186.5,15216.2,29619.6,456198.3,128562.6,97300.7,184850.9,2972.1,1827.7,4427.3
2020/04/04,1339381.1,11709.3,16134.0,27190.6,446784.7,127774.1,103551.5,165022.7,3264.7,1980.9,4798.1
2020/04/05,1189598.6,11921.7,13908.5,26846.7,395764.5,112568.1,109065.0,146997.1,3580.0,2149.0,5193.6
2020/04/06,1276118.1,10430.2,11846.4,30067.7,369868.4,106611.3,98243.7,188780.9,3906.3,2353.3,5598.4
2020/04/07,1366797.2,13049.2,12904.9,28787.0,388568.8,111913.5,91926.1,196948.5,4251.5,2549.4,6010.5
2020/04/08,1331814.1,13329.9,12114.8,27695.2,384269.2,113175.3,88843.4,191689.7,4623.1,2775.2,6459.3
2020/04/09,1314080.8,12576.0,12403.5,27339.9,381278.4,110326.9,87397.3,184930.5,5014.7,3004.2,6922.6
2020/04/10,1443331.3,12544.2,15000.8,29619.6,456198.3,128562.6,97300.7,184850.9,5424.1,3239.5,7398.1
2020/04/11,1372192.7,12625.9,16836.6,27190.6,446784.7,127774.1,103551.5,165022.7,5848.8,3486.6,7878.1
2020/04/12,1149088.1,11695.3,1418.3,26846.7,395764.5,112568.1,109065.0,146997.1,6292.2,3758.2,8368.5
2020/04/13,1302633.5,11519.1,12031.7,30067.7,369868.4,106611.3,98243.7,188780.9,6741.2,4040.7,8850.4
2020/04/14,1352368.7,13530.9,10915.1,28787.0,388568.8,111913.5,91926.1,196948.5,7201.4,4339.7,9376.9
2020/04/15,1365080.4,13653.1,12400.1,27695.2,384269.2,113175.3,88843.4,191689.7,7676.4,4644.9,9886.1
2020/04/16,1327690.6,13353.6,11966.2,27339.9,381278.4,110326.9,87397.3,184930.5,8165.9,4959.1,10544.4
2020/04/17,1459989.4,13476.5,12967.1,29619.6,456198.3,128562.6,97300.7,184850.9,8666.1,5288.9,11265.8
2020/04/18,1398025.0,12988.0,14584.4,27190.6,446784.7,127774.1,103551.5,165022.7,9180.2,5617.4,11976.3
2020/04/19,1275248.4,14625.7,13286.4,26846.7,395764.5,112568.1,109065.0,146997.1,9714.5,5955.3,12692.4
2020/04/20,1365261.6,13805.1,11344.7,30067.7,369868.4,106611.3,98243.7,188780.9,10255.3,6299.9,13477.0
2020/04/21,1430684.1,15916.1,12333.8,28787.0,388568.8,111913.5,91926.1,196948.5,10802.6,6663.5,14268.6
2020/04/22,1444888.9,16134.6,12433.8,27695.2,384269.2,113175.3,88843.4,191689.7,11363.3,7048.1,15057.0
2020/04/23,1437721.4,15505.7,13490.3,27339.9,381278.4,110326.9,87397.3,184930.5,11934.1,7433.3,15844.5
2020/04/24,1566690.0,16071.0,14042.9,29619.6,456198.3,128562.6,97300.7,184850.9,12513.4,7830.9,16637.9
2020/04/25,1500845.0,15369.4,16490.3,27190.6,446784.7,127774.1,103551.5,165022.7,13103.6,8233.7,17442.9
2020/04/26,1311424.6,14538.7,13171.5,26846.7,395764.5,112568.1,109065.0,146997.1,13711.1,8669.0,18249.5
2020/04/27,1434147.8,13533.2,13111.5,30067.7,369868.4,106611.3,98243.7,188780.9,14322.8,9136.3,19082.5
2020/04/28,1477209.0,14565.1,13039.2,28787.0,388568.8,111913.5,91926.1,196948.5,14940.9,9603.1,19905.0
2020/04/29,1444368.7,14758.4,13284.0,27695.2,384269.2,113175.3,88843.4,191689.7,15567.3,10090.0,20746.6
2020/04/30,1414686.6,13562.7,13468.9,27339.9,381278.4,110326.9,87397.3,184930.5,16202.3,10571.4,21582.4
2020/05/01,1593278.2,15411.6,14442.3,29619.6,456198.3,128562.6,97300.7,184850.9,16848.3,11048.6,22432.1
2020/05/02,1468755.4,13191.7,16148.9,27190.6,446784.7,127774.1,103551.5,165022.7,17509.3,11536.3,23286.0
2020/05/03,,,,,,,,,18184.6,12045.7,24176.6
2020/05/04,,,,,,,,,18867.0,12562.2,25072.2
2020/05/05,,,,,,,,,19549.7,13093.4,25972.7
2020/05/06,,,,,,,,,20231.0,13626.2,26863.7
2020/05/07,,,,,,,,,20911.4,14167.8,27720.0
