date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1928943.5,63839.4,38465.2,26846.7,395764.5,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2141878.7,34223.4,27845.2,30067.7,369868.4,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2189174.7,40490.8,28802.9,28787.0,388568.8,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2200879.2,37054.3,28360.6,27695.2,384269.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2182856.1,32285.2,31391.9,27339.9,381278.4,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2329137.6,34037.7,36733.9,29619.6,456198.3,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1873206.8,32099.9,35412.8,27190.6,446784.7,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1672051.1,63839.4,30674.4,26846.7,395764.5,112568.1,109065.0,146997.1,315.1,119.4,577.8
2020/03/16,1783801.2,34223.4,28838.2,30067.7,369868.4,106611.3,98243.7,188780.9,364.4,139.6,666.6
2020/03/17,1538704.6,40490.8,14825.0,28787.0,388568.8,111913.5,91926.1,196948.5,416.9,160.0,758.8
2020/03/18,1485630.6,37054.3,14388.1,27695.2,384269.2,113175.3,88843.4,191689.7,474.5,185.2,856.3
2020/03/19,1468248.9,32285.2,13654.7,27339.9,381278.4,110326.9,87397.3,184930.5,538.2,216.5,958.3
2020/03/20,1484429.3,34037.7,11453.6,29619.6,456198.3,128562.6,97300.7,184850.9,610.3,254.3,1074.9
2020/03/21,1322425.6,32099.9,9332.0,27190.6,446784.7,127774.1,103551.5,165022.7,693.0,301.6,1207.9
2020/03/22,1381313.5,63839.4,16351.3,26846.7,395764.5,112568.1,109065.0,146997.1,788.3,358.0,1362.1
2020/03/23,1449148.8,34223.4,14047.1,30067.7,369868.4,106611.3,98243.7,188780.9,894.0,421.4,1532.1
2020/03/24,1452438.3,40490.8,13016.4,28787.0,388568.8,111913.5,91926.1,196948.5,1011.4,494.7,1720.0
2020/03/25,1553382.0,37054.3,15553.0,27695.2,384269.2,113175.3,88843.4,191689.7,1144.9,584.2,1933.8
2020/03/26,1428112.1,32285.2,13853.9,27339.9,381278.4,110326.9,87397.3,184930.5,1288.2,689.2,2148.8
2020/03/27,1501518.5,34037.7,14290.8,29619.6,456198.3,128562.6,97300.7,184850.9,1441.8,795.8,2378.0
2020/03/28,1391802.4,32099.9,16842.4,27190.6,446784.7,127774.1,103551.5,165022.7,1609.0,924.6,2626.0
2020/03/29,1308935.7,63839.4,14833.9,26846.7,395764.5,112568.1,109065.0,146997.1,1797.5,1073.1,2894.7
2020/03/30,1438613.0,34223.4,13417.2,30067.7,369868.4,106611.3,98243.7,188780.9,1998.3,1233.8,3179.6
2020/03/31,1467795.2,40490.8,13500.1,28787.0,388568.8,111913.5,91926.1,196948.5,2216.0,1401.1,3474.2
2020/04/01,1451662.7,37054.3,13529.3,27695.2,384269.2,113175.3,88843.4,191689.7,2454.3,1531.5,3781.2
2020/04/02,1392670.2,32285.2,13402.5,27339.9,381278.4,110326.9,87397.3,184930.5,2713.4,1670.4,4113.3
2020/04/03,1500313.8,34037.7,15216.2,29619.6,456198.3,128562.6,97300.7,184850.9,2990.2,1800.4,4475.8
2020/04/04,1359771.7,32099.9,16134.0,27190.6,446784.7,127774.1,103551.5,165022.7,3286.6,1951.7,4847.4
2020/04/05,1241516.2,63839.4,13908.5,26846.7,395764.5,112568.1,109065.0,146997.1,3605.4,2120.8,5235.3
2020/04/06,1299911.3,34223.4,11846.4,30067.7,369868.4,106611.3,98243.7,188780.9,3937.6,2302.7,5635.1
2020/04/07,1394238.8,40490.8,12904.9,28787.0,388568.8,111913.5,91926.1,196948.5,4289.6,2495.9,6050.6
2020/04/08,1355538.5,37054.3,12114.8,27695.2,384269.2,113175.3,88843.4,191689.7,4669.5,2710.6,6485.6
2020/04/09,1333790.0,32285.2,12403.5,27339.9,381278.4,110326.9,87397.3,184930.5,5070.0,2964.4,6947.6
2020/04/10,1464824.9,34037.7,15000.8,29619.6,456198.3,128562.6,97300.7,184850.9,5488.4,3211.9,7430.9
2020/04/11,1391666.7,32099.9,16836.6,27190.6,446784.7,127774.1,103551.5,165022.7,5921.4,3472.6,7919.6
2020/04/12,1201232.2,63839.4,1418.3,26846.7,395764.5,112568.1,109065.0,146997.1,6374.6,3753.8,8429.7
2020/04/13,1325337.8,34223.4,12031.7,30067.7,369868.4,106611.3,98243.7,188780.9,6836.8,4036.2,8940.7
2020/04/14,1379328.6,40490.8,10915.1,28787.0,388568.8,111913.5,91926.1,196948.5,7311.8,4335.7,9464.2
2020/04/15,1388481.6,37054.3,12400.1,27695.2,384269.2,113175.3,88843.4,191689.7,7801.9,4655.8,10014.8
2020/04/16,1346622.2,32285.2,11966.2,27339.9,381278.4,110326.9,87397.3,184930.5,8307.1,4977.1,10557.1
2020/04/17,1480550.6,34037.7,12967.1,29619.6,456198.3,128562.6,97300.7,184850.9,8823.7,5291.0,11193.8
2020/04/18,1417136.9,32099.9,14584.4,27190.6,446784.7,127774.1,103551.5,165022.7,9355.1,5625.6,11880.8
2020/04/19,1324462.0,63839.4,13286.4,26846.7,395764.5,112568.1,109065.0,146997.1,9906.9,5971.1,12601.6
2020/04/20,1385679.9,34223.4,11344.7,30067.7,369868.4,106611.3,98243.7,188780.9,10471.8,6328.0,13377.2
2020/04/21,1455258.7,40490.8,12333.8,28787.0,388568.8,111913.5,91926.1,196948.5,11045.9,6697.2,14165.0
2020/04/22,1465808.5,37054.3,12433.8,27695.2,384269.2,113175.3,88843.4,191689.7,11633.1,7091.3,14970.3
2020/04/23,1454500.9,32285.2,13490.3,27339.9,381278.4,110326.9,87397.3,184930.5,12233.0,7501.7,15788.8
2020/04/24,1584656.8,34037.7,14042.9,29619.6,456198.3,128562.6,97300.7,184850.9,12841.6,7932.9,16622.3
2020/04/25,1517575.5,32099.9,16490.3,27190.6,446784.7,127774.1,103551.5,165022.7,13460.1,8380.8,17472.5
2020/04/26,1360725.3,63839.4,13171.5,26846.7,395764.5,112568.1,109065.0,146997.1,14100.3,8849.3,18342.6
2020/04/27,1454838.0,34223.4,13111.5,30067.7,369868.4,106611.3,98243.7,188780.9,14747.6,9321.5,19200.8
2020/04/28,1503134.6,40490.8,13039.2,28787.0,388568.8,111913.5,91926.1,196948.5,15404.6,9807.2,20096.0
2020/04/29,1466664.6,37054.3,13284.0,27695.2,384269.2,113175.3,88843.4,191689.7,16069.9,10301.9,20995.2
2020/04/30,1433409.0,32285.2,13468.9,27339.9,381278.4,110326.9,87397.3,184930.5,16745.2,10816.6,21899.9
2020/05/01,1611904.3,34037.7,14442.3,29619.6,456198.3,128562.6,97300.7,184850.9,17429.6,11333.8,22797.1
2020/05/02,1487663.6,32099.9,16148.9,27190.6,446784.7,127774.1,103551.5,165022.7,18128.8,11872.0,23721.3
2020/05/03,,,,,,,,,18845.2,12418.7,24654.9
2020/05/04,,,,,,,,,19573.6,12996.0,25606.3
2020/05/05,,,,,,,,,20303.4,13576.2,26577.2
2020/05/06,,,,,,,,,21031.1,14150.3,27519.4
2020/05/07,,,,,,,,,21758.5,14739.7,28456.3
