date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1926424.4,63839.4,38465.2,24327.6,395764.5,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2138296.2,34223.4,27845.2,26485.2,369868.4,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2188417.8,40490.8,28802.9,28030.0,388568.8,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2202699.9,37054.3,28360.6,29515.9,384269.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2188310.0,32285.2,31391.9,32793.8,381278.4,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2339519.5,34037.7,36733.9,40001.6,456198.3,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1877359.9,32099.9,35412.8,31343.7,446784.7,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1672712.6,63839.4,30674.4,27508.1,395764.5,112568.1,109065.0,146997.1,315.2,119.1,577.7
2020/03/16,1791296.7,34223.4,28838.2,37563.2,369868.4,106611.3,98243.7,188780.9,364.1,140.6,664.0
2020/03/17,1532236.7,40490.8,14825.0,22319.0,388568.8,111913.5,91926.1,196948.5,416.4,163.7,756.2
2020/03/18,1479133.3,37054.3,14388.1,21197.9,384269.2,113175.3,88843.4,191689.7,474.1,189.8,853.8
2020/03/19,1462690.8,32285.2,13654.7,21781.8,381278.4,110326.9,87397.3,184930.5,538.0,221.3,961.6
2020/03/20,1469660.5,34037.7,11453.6,14850.9,456198.3,128562.6,97300.7,184850.9,609.9,259.7,1082.6
2020/03/21,1304415.8,32099.9,9332.0,9180.9,446784.7,127774.1,103551.5,165022.7,692.9,305.6,1220.3
2020/03/22,1371869.0,63839.4,16351.3,17402.2,395764.5,112568.1,109065.0,146997.1,788.3,357.9,1365.6
2020/03/23,1437851.2,34223.4,14047.1,18770.1,369868.4,106611.3,98243.7,188780.9,894.6,426.7,1527.1
2020/03/24,1442187.7,40490.8,13016.4,18536.4,388568.8,111913.5,91926.1,196948.5,1012.8,507.9,1711.4
2020/03/25,1546331.2,37054.3,15553.0,20644.5,384269.2,113175.3,88843.4,191689.7,1145.9,605.6,1914.6
2020/03/26,1417554.2,32285.2,13853.9,16782.0,381278.4,110326.9,87397.3,184930.5,1290.0,719.4,2126.0
2020/03/27,1490026.1,34037.7,14290.8,18127.2,456198.3,128562.6,97300.7,184850.9,1443.9,843.8,2355.7
2020/03/28,1381748.0,32099.9,16842.4,17136.3,446784.7,127774.1,103551.5,165022.7,1610.9,969.4,2603.6
2020/03/29,1297134.3,63839.4,14833.9,15045.3,395764.5,112568.1,109065.0,146997.1,1798.9,1112.8,2871.0
2020/03/30,1426081.3,34223.4,13417.2,17536.0,369868.4,106611.3,98243.7,188780.9,1999.8,1249.1,3149.0
2020/03/31,1456844.6,40490.8,13500.1,17836.4,388568.8,111913.5,91926.1,196948.5,2217.6,1412.5,3440.8
2020/04/01,1441896.4,37054.3,13529.3,17928.9,384269.2,113175.3,88843.4,191689.7,2455.3,1536.6,3745.5
2020/04/02,1382110.2,32285.2,13402.5,16779.9,381278.4,110326.9,87397.3,184930.5,2714.4,1671.0,4075.1
2020/04/03,1490161.1,34037.7,15216.2,19467.0,456198.3,128562.6,97300.7,184850.9,2991.4,1810.2,4420.9
2020/04/04,1348964.9,32099.9,16134.0,16383.9,446784.7,127774.1,103551.5,165022.7,3288.5,1952.6,4794.6
2020/04/05,1229681.2,63839.4,13908.5,15011.7,395764.5,112568.1,109065.0,146997.1,3607.9,2146.6,5174.2
2020/04/06,1285870.7,34223.4,11846.4,16027.1,369868.4,106611.3,98243.7,188780.9,3940.6,2341.4,5564.8
2020/04/07,1382842.1,40490.8,12904.9,17390.3,388568.8,111913.5,91926.1,196948.5,4292.8,2543.9,5972.1
2020/04/08,1344591.3,37054.3,12114.8,16748.1,384269.2,113175.3,88843.4,191689.7,4674.1,2817.6,6401.0
2020/04/09,1323882.3,32285.2,12403.5,17432.2,381278.4,110326.9,87397.3,184930.5,5075.4,3060.5,6866.3
2020/04/10,1454011.6,34037.7,15000.8,18806.4,456198.3,128562.6,97300.7,184850.9,5494.3,3311.0,7361.5
2020/04/11,1384068.9,32099.9,16836.6,19592.8,446784.7,127774.1,103551.5,165022.7,5928.7,3566.4,7867.8
2020/04/12,1187174.1,63839.4,1418.3,12788.6,395764.5,112568.1,109065.0,146997.1,6383.4,3840.2,8382.2
2020/04/13,1309866.4,34223.4,12031.7,14596.2,369868.4,106611.3,98243.7,188780.9,6846.6,4117.0,8893.8
2020/04/14,1366595.9,40490.8,10915.1,16054.3,388568.8,111913.5,91926.1,196948.5,7324.2,4412.8,9442.6
2020/04/15,1376956.5,37054.3,12400.1,16170.2,384269.2,113175.3,88843.4,191689.7,7815.9,4729.0,10032.3
2020/04/16,1334144.2,32285.2,11966.2,14861.9,381278.4,110326.9,87397.3,184930.5,8322.4,5047.0,10671.8
2020/04/17,1468915.2,34037.7,12967.1,17984.2,456198.3,128562.6,97300.7,184850.9,8841.3,5373.6,11377.5
2020/04/18,1406673.2,32099.9,14584.4,16727.0,446784.7,127774.1,103551.5,165022.7,9373.7,5702.6,12096.1
2020/04/19,1312295.4,63839.4,13286.4,14680.0,395764.5,112568.1,109065.0,146997.1,9927.9,6054.1,12809.2
2020/04/20,1371165.5,34223.4,11344.7,15553.3,369868.4,106611.3,98243.7,188780.9,10492.5,6410.4,13589.6
2020/04/21,1444154.1,40490.8,12333.8,17682.4,388568.8,111913.5,91926.1,196948.5,11066.8,6778.1,14380.6
2020/04/22,1455247.9,37054.3,12433.8,17134.6,384269.2,113175.3,88843.4,191689.7,11654.1,7160.9,15208.6
2020/04/23,1443911.3,32285.2,13490.3,16750.3,381278.4,110326.9,87397.3,184930.5,12255.1,7565.0,16037.8
2020/04/24,1572573.8,34037.7,14042.9,17536.7,456198.3,128562.6,97300.7,184850.9,12863.7,7994.3,16877.4
2020/04/25,1507017.4,32099.9,16490.3,16632.6,446784.7,127774.1,103551.5,165022.7,13483.0,8407.1,17717.8
2020/04/26,1348475.3,63839.4,13171.5,14596.6,395764.5,112568.1,109065.0,146997.1,14121.8,8844.3,18580.9
2020/04/27,1441849.2,34223.4,13111.5,17078.9,369868.4,106611.3,98243.7,188780.9,14767.6,9298.7,19450.4
2020/04/28,1492582.6,40490.8,13039.2,18235.0,388568.8,111913.5,91926.1,196948.5,15422.8,9761.2,20332.0
2020/04/29,1455887.9,37054.3,13284.0,16918.6,384269.2,113175.3,88843.4,191689.7,16088.0,10227.1,21239.2
2020/04/30,1422701.6,32285.2,13468.9,16632.4,381278.4,110326.9,87397.3,184930.5,16763.6,10724.2,22172.8
2020/05/01,1600072.6,34037.7,14442.3,17787.9,456198.3,128562.6,97300.7,184850.9,17448.9,11231.8,23088.9
2020/05/02,1477196.3,32099.9,16148.9,16723.3,446784.7,127774.1,103551.5,165022.7,18148.3,11752.0,24052.2
2020/05/03,,,,,,,,,18863.4,12288.6,25015.0
2020/05/04,,,,,,,,,19591.6,12839.8,25982.4
2020/05/05,,,,,,,,,20322.1,13406.7,26971.0
2020/05/06,,,,,,,,,21049.0,13982.9,27933.6
2020/05/07,,,,,,,,,21775.4,14562.8,28893.5
