date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1907417.2,53757.0,38465.2,26846.7,395764.5,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2129102.7,28652.2,27845.2,30067.7,369868.4,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2174418.6,34395.3,28802.9,28787.0,388568.8,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2190752.1,34867.8,28360.6,27695.2,384269.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2178722.1,30304.5,31391.9,27339.9,381278.4,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2317531.3,29895.4,36733.9,29619.6,456198.3,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1829333.8,23801.3,35412.8,27190.6,446784.7,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1599300.5,31604.8,30674.4,26846.7,395764.5,72052.1,109065.0,146997.1,315.1,119.7,577.7
2020/03/16,1741755.5,19228.4,28838.2,30067.7,369868.4,79560.6,98243.7,188780.9,364.2,139.6,665.0
2020/03/17,1453990.8,16503.9,14825.0,28787.0,388568.8,51186.6,91926.1,196948.5,416.5,162.8,756.0
2020/03/18,1400045.6,15142.4,14388.1,27695.2,384269.2,49502.1,88843.4,191689.7,473.8,188.4,858.3
2020/03/19,1390814.5,16883.5,13654.7,27339.9,381278.4,48294.2,87397.3,184930.5,537.3,219.4,963.7
2020/03/20,1377020.8,15886.5,11453.6,29619.6,456198.3,39305.4,97300.7,184850.9,608.7,257.9,1081.5
2020/03/21,1203945.2,14134.8,9332.0,27190.6,446784.7,27258.8,103551.5,165022.7,691.3,307.2,1216.4
2020/03/22,1262224.5,15017.0,16351.3,26846.7,395764.5,42301.5,109065.0,146997.1,786.1,364.0,1370.9
2020/03/23,1370168.2,15515.0,14047.1,30067.7,369868.4,46339.1,98243.7,188780.9,890.9,434.2,1538.9
2020/03/24,1360479.6,14633.7,13016.4,28787.0,388568.8,45811.9,91926.1,196948.5,1007.5,514.2,1720.7
2020/03/25,1477824.3,18905.2,15553.0,27695.2,384269.2,55766.6,88843.4,191689.7,1138.5,609.9,1925.8
2020/03/26,1350638.9,15549.9,13853.9,27339.9,381278.4,49589.0,87397.3,184930.5,1279.6,712.4,2136.7
2020/03/27,1404513.6,14790.8,14290.8,29619.6,456198.3,50804.6,97300.7,184850.9,1430.2,821.4,2356.2
2020/03/28,1291200.8,12983.0,16842.4,27190.6,446784.7,46289.3,103551.5,165022.7,1594.3,950.5,2597.9
2020/03/29,1188160.3,15361.1,14833.9,26846.7,395764.5,40271.0,109065.0,146997.1,1777.5,1102.3,2855.0
2020/03/30,1360546.1,15263.9,13417.2,30067.7,369868.4,47503.9,98243.7,188780.9,1972.6,1266.5,3114.3
2020/03/31,1381031.0,15528.0,13500.1,28787.0,388568.8,50112.1,91926.1,196948.5,2182.7,1410.9,3397.3
2020/04/01,1367236.7,16125.1,13529.3,27695.2,384269.2,49678.4,88843.4,191689.7,2412.7,1530.9,3701.1
2020/04/02,1314519.4,14852.1,13402.5,27339.9,381278.4,49609.2,87397.3,184930.5,2662.0,1658.1,4016.0
2020/04/03,1407194.5,14186.5,15216.2,29619.6,456198.3,55294.5,97300.7,184850.9,2928.9,1804.4,4356.1
2020/04/04,1257447.4,11709.3,16134.0,27190.6,446784.7,45840.3,103551.5,165022.7,3214.5,1970.3,4715.0
2020/04/05,1111713.0,11921.7,13908.5,26846.7,395764.5,34682.5,109065.0,146997.1,3521.7,2169.5,5090.2
2020/04/06,1209774.1,10430.2,11846.4,30067.7,369868.4,40267.3,98243.7,188780.9,3839.3,2355.9,5468.9
2020/04/07,1300465.2,13049.2,12904.9,28787.0,388568.8,45581.5,91926.1,196948.5,4175.1,2551.4,5856.5
2020/04/08,1264065.0,13329.9,12114.8,27695.2,384269.2,45426.1,88843.4,191689.7,4537.5,2767.3,6269.8
2020/04/09,1248921.5,12576.0,12403.5,27339.9,381278.4,45167.7,87397.3,184930.5,4918.0,3011.4,6702.4
2020/04/10,1368574.8,12544.2,15000.8,29619.6,456198.3,53806.1,97300.7,184850.9,5315.6,3273.1,7150.5
2020/04/11,1293586.0,12625.9,16836.6,27190.6,446784.7,49167.4,103551.5,165022.7,5726.8,3522.4,7615.8
2020/04/12,1066284.3,11695.3,1418.3,26846.7,395764.5,29764.3,109065.0,146997.1,6155.7,3829.9,8099.4
2020/04/13,1238539.1,11519.1,12031.7,30067.7,369868.4,42516.9,98243.7,188780.9,6589.2,4105.6,8603.6
2020/04/14,1285978.0,13530.9,10915.1,28787.0,388568.8,45522.8,91926.1,196948.5,7033.4,4386.4,9129.1
2020/04/15,1301595.9,13653.1,12400.1,27695.2,384269.2,49690.8,88843.4,191689.7,7492.1,4685.4,9602.7
2020/04/16,1265088.6,13353.6,11966.2,27339.9,381278.4,47725.0,87397.3,184930.5,7964.2,4987.3,10093.3
2020/04/17,1384937.4,13476.5,12967.1,29619.6,456198.3,53510.5,97300.7,184850.9,8447.7,5310.5,10700.0
2020/04/18,1324257.7,12988.0,14584.4,27190.6,446784.7,54006.8,103551.5,165022.7,8944.6,5645.3,11221.8
2020/04/19,1208234.1,14625.7,13286.4,26846.7,395764.5,45553.9,109065.0,146997.1,9458.1,5965.2,11853.1
2020/04/20,1304588.8,13805.1,11344.7,30067.7,369868.4,45938.4,98243.7,188780.9,9979.2,6295.0,12475.4
2020/04/21,1370414.7,15916.1,12333.8,28787.0,388568.8,51644.2,91926.1,196948.5,10507.9,6636.6,13199.5
2020/04/22,1387307.4,16134.6,12433.8,27695.2,384269.2,55593.8,88843.4,191689.7,11048.6,6985.1,13943.4
2020/04/23,1383669.7,15505.7,13490.3,27339.9,381278.4,56275.2,87397.3,184930.5,11601.9,7337.0,14716.5
2020/04/24,1502501.1,16071.0,14042.9,29619.6,456198.3,64373.7,97300.7,184850.9,12162.0,7701.4,15473.0
2020/04/25,1435303.1,15369.4,16490.3,27190.6,446784.7,62232.2,103551.5,165022.7,12733.6,8098.0,16273.9
2020/04/26,1248712.6,14538.7,13171.5,26846.7,395764.5,49856.1,109065.0,146997.1,13322.7,8523.7,17090.1
2020/04/27,1379020.8,13533.2,13111.5,30067.7,369868.4,51484.3,98243.7,188780.9,13914.6,8973.6,17900.9
2020/04/28,1420323.3,14565.1,13039.2,28787.0,388568.8,55027.8,91926.1,196948.5,14512.9,9431.8,18724.0
2020/04/29,1384278.9,14758.4,13284.0,27695.2,384269.2,53085.4,88843.4,191689.7,15120.5,9897.9,19550.1
2020/04/30,1360977.6,13562.7,13468.9,27339.9,381278.4,56617.9,87397.3,184930.5,15738.1,10379.6,20401.2
2020/05/01,1528750.2,15411.6,14442.3,29619.6,456198.3,64034.6,97300.7,184850.9,16364.6,10874.5,21264.2
2020/05/02,1403995.0,13191.7,16148.9,27190.6,446784.7,63013.7,103551.5,165022.7,17005.4,11387.0,22135.2
2020/05/03,,,,,,,,,17661.1,11912.1,23050.7
2020/05/04,,,,,,,,,18324.0,12443.4,23965.4
2020/05/05,,,,,,,,,18985.5,12982.8,24876.7
2020/05/06,,,,,,,,,19645.9,13534.8,25793.7
2020/05/07,,,,,,,,,20306.2,14081.8,26698.2
