date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1914980.5,63839.4,38465.2,24327.6,395764.5,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2131091.4,34223.4,27845.2,26485.2,369868.4,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2179757.1,40490.8,28802.9,28030.0,388568.8,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2194759.2,37054.3,28360.6,29515.9,384269.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2186156.6,32285.2,31391.9,32793.8,381278.4,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2332055.5,34037.7,36733.9,40001.6,456198.3,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1841785.4,32099.9,35412.8,31343.7,446784.7,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1632196.6,63839.4,30674.4,27508.1,395764.5,72052.1,109065.0,146997.1,315.1,119.1,577.7
2020/03/16,1764246.1,34223.4,28838.2,37563.2,369868.4,79560.6,98243.7,188780.9,364.1,139.5,663.7
2020/03/17,1471509.7,40490.8,14825.0,22319.0,388568.8,51186.6,91926.1,196948.5,416.3,161.0,755.8
2020/03/18,1415460.1,37054.3,14388.1,21197.9,384269.2,49502.1,88843.4,191689.7,473.9,187.1,853.6
2020/03/19,1400658.1,32285.2,13654.7,21781.8,381278.4,48294.2,87397.3,184930.5,537.4,213.8,961.8
2020/03/20,1380403.3,34037.7,11453.6,14850.9,456198.3,39305.4,97300.7,184850.9,609.1,248.5,1080.8
2020/03/21,1203900.5,32099.9,9332.0,9180.9,446784.7,27258.8,103551.5,165022.7,691.2,289.5,1214.2
2020/03/22,1301602.4,63839.4,16351.3,17402.2,395764.5,42301.5,109065.0,146997.1,785.9,346.0,1366.5
2020/03/23,1377579.0,34223.4,14047.1,18770.1,369868.4,46339.1,98243.7,188780.9,890.8,410.6,1526.9
2020/03/24,1376086.1,40490.8,13016.4,18536.4,388568.8,45811.9,91926.1,196948.5,1007.2,479.1,1709.4
2020/03/25,1488922.6,37054.3,15553.0,20644.5,384269.2,55766.6,88843.4,191689.7,1138.9,568.0,1912.5
2020/03/26,1356816.4,32285.2,13853.9,16782.0,381278.4,49589.0,87397.3,184930.5,1279.7,668.5,2129.0
2020/03/27,1412268.1,34037.7,14290.8,18127.2,456198.3,50804.6,97300.7,184850.9,1430.8,776.4,2353.3
2020/03/28,1300263.2,32099.9,16842.4,17136.3,446784.7,46289.3,103551.5,165022.7,1594.9,903.3,2589.8
2020/03/29,1224837.2,63839.4,14833.9,15045.3,395764.5,40271.0,109065.0,146997.1,1779.1,1052.5,2849.7
2020/03/30,1366973.9,34223.4,13417.2,17536.0,369868.4,47503.9,98243.7,188780.9,1975.7,1219.1,3115.3
2020/03/31,1395043.1,40490.8,13500.1,17836.4,388568.8,50112.1,91926.1,196948.5,2187.8,1395.5,3398.6
2020/04/01,1378399.5,37054.3,13529.3,17928.9,384269.2,49678.4,88843.4,191689.7,2419.9,1538.1,3701.5
2020/04/02,1321392.5,32285.2,13402.5,16779.9,381278.4,49609.2,87397.3,184930.5,2671.8,1682.3,4015.4
2020/04/03,1416893.0,34037.7,15216.2,19467.0,456198.3,55294.5,97300.7,184850.9,2940.9,1821.0,4351.3
2020/04/04,1267031.2,32099.9,16134.0,16383.9,446784.7,45840.3,103551.5,165022.7,3229.7,1972.4,4707.8
2020/04/05,1151795.6,63839.4,13908.5,15011.7,395764.5,34682.5,109065.0,146997.1,3540.5,2162.7,5096.2
2020/04/06,1219526.7,34223.4,11846.4,16027.1,369868.4,40267.3,98243.7,188780.9,3864.0,2346.7,5488.9
2020/04/07,1316510.1,40490.8,12904.9,17390.3,388568.8,45581.5,91926.1,196948.5,4207.2,2554.7,5894.2
2020/04/08,1276842.2,37054.3,12114.8,16748.1,384269.2,45426.1,88843.4,191689.7,4577.0,2778.9,6329.5
2020/04/09,1258723.1,32285.2,12403.5,17432.2,381278.4,45167.7,87397.3,184930.5,4966.9,3011.3,6770.2
2020/04/10,1379255.1,34037.7,15000.8,18806.4,456198.3,53806.1,97300.7,184850.9,5374.8,3248.2,7240.6
2020/04/11,1305462.2,32099.9,16836.6,19592.8,446784.7,49167.4,103551.5,165022.7,5796.4,3502.6,7711.9
2020/04/12,1104370.3,63839.4,1418.3,12788.6,395764.5,29764.3,109065.0,146997.1,6236.4,3774.0,8197.3
2020/04/13,1245772.0,34223.4,12031.7,14596.2,369868.4,42516.9,98243.7,188780.9,6685.9,4052.7,8687.5
2020/04/14,1300205.1,40490.8,10915.1,16054.3,388568.8,45522.8,91926.1,196948.5,7148.7,4339.1,9183.4
2020/04/15,1313472.0,37054.3,12400.1,16170.2,384269.2,49690.8,88843.4,191689.7,7625.2,4646.4,9678.2
2020/04/16,1271542.3,32285.2,11966.2,14861.9,381278.4,47725.0,87397.3,184930.5,8117.1,4964.1,10275.0
2020/04/17,1393863.1,34037.7,12967.1,17984.2,456198.3,53510.5,97300.7,184850.9,8620.4,5292.5,10849.6
2020/04/18,1332905.9,32099.9,14584.4,16727.0,446784.7,54006.8,103551.5,165022.7,9136.1,5631.6,11558.7
2020/04/19,1245281.2,63839.4,13286.4,14680.0,395764.5,45553.9,109065.0,146997.1,9672.9,5987.2,12229.2
2020/04/20,1310492.6,34223.4,11344.7,15553.3,369868.4,45938.4,98243.7,188780.9,10219.9,6349.0,12975.5
2020/04/21,1383884.8,40490.8,12333.8,17682.4,388568.8,51644.2,91926.1,196948.5,10776.5,6727.8,13569.8
2020/04/22,1397666.4,37054.3,12433.8,17134.6,384269.2,55593.8,88843.4,191689.7,11347.1,7126.9,14226.3
2020/04/23,1389859.7,32285.2,13490.3,16750.3,381278.4,56275.2,87397.3,184930.5,11929.4,7536.3,15037.6
2020/04/24,1508384.9,34037.7,14042.9,17536.7,456198.3,64373.7,97300.7,184850.9,12517.9,7945.9,15836.6
2020/04/25,1441475.5,32099.9,16490.3,16632.6,446784.7,62232.2,103551.5,165022.7,13118.2,8349.8,16667.5
2020/04/26,1285763.3,63839.4,13171.5,14596.6,395764.5,49856.1,109065.0,146997.1,13737.6,8774.0,17511.6
2020/04/27,1386722.2,34223.4,13111.5,17078.9,369868.4,51484.3,98243.7,188780.9,14362.8,9200.6,18372.0
2020/04/28,1435696.9,40490.8,13039.2,18235.0,388568.8,55027.8,91926.1,196948.5,14995.9,9631.8,19252.4
2020/04/29,1395798.1,37054.3,13284.0,16918.6,384269.2,53085.4,88843.4,191689.7,15637.6,10079.7,20136.6
2020/04/30,1368992.6,32285.2,13468.9,16632.4,381278.4,56617.9,87397.3,184930.5,16287.8,10541.8,21018.3
2020/05/01,1535544.6,34037.7,14442.3,17787.9,456198.3,64034.6,97300.7,184850.9,16948.3,11033.9,21927.0
2020/05/02,1412435.9,32099.9,16148.9,16723.3,446784.7,63013.7,103551.5,165022.7,17622.4,11530.3,22838.5
2020/05/03,,,,,,,,,18313.3,12062.1,23782.2
2020/05/04,,,,,,,,,19013.1,12593.2,24729.9
2020/05/05,,,,,,,,,19715.2,13131.7,25671.3
2020/05/06,,,,,,,,,20417.4,13692.2,26629.0
2020/05/07,,,,,,,,,21118.4,14256.4,27570.7
