date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1906792.8,53757.0,38465.2,24327.6,395764.5,112568.1,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2127867.4,28652.2,27845.2,26485.2,369868.4,106611.3,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2181933.7,34395.3,28802.9,28030.0,388568.8,111913.5,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2209625.9,34867.8,28360.6,29515.9,384269.2,113175.3,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2212162.2,30304.5,31391.9,32793.8,381278.4,110326.9,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2384822.4,29895.4,36733.9,40001.6,456198.3,128562.6,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1895177.9,23801.3,35412.8,31343.7,446784.7,127774.1,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1648371.3,31604.8,30674.4,27508.1,395764.5,112568.1,116958.3,146997.1,315.1,119.6,577.7
2020/03/16,1825402.3,19228.4,28838.2,37563.2,369868.4,106611.3,147344.3,188780.9,364.3,140.1,663.7
2020/03/17,1499185.9,16503.9,14825.0,22319.0,388568.8,111913.5,82862.2,196948.5,416.5,164.0,756.4
2020/03/18,1445101.9,15142.4,14388.1,21197.9,384269.2,113175.3,76723.9,191689.7,473.8,191.1,855.5
2020/03/19,1436551.6,16883.5,13654.7,21781.8,381278.4,110326.9,76659.9,184930.5,536.9,222.3,963.0
2020/03/20,1415746.3,15886.5,11453.6,14850.9,456198.3,128562.6,61537.8,184850.9,608.0,257.6,1077.3
2020/03/21,1227445.7,14134.8,9332.0,9180.9,446784.7,127774.1,44546.5,165022.7,690.4,305.2,1212.3
2020/03/22,1285933.3,15017.0,16351.3,17402.2,395764.5,112568.1,71951.6,146997.1,784.9,363.4,1366.4
2020/03/23,1392352.0,15515.0,14047.1,18770.1,369868.4,106611.3,71453.0,188780.9,889.8,433.7,1534.0
2020/03/24,1394597.8,14633.7,13016.4,18536.4,388568.8,111913.5,70193.3,196948.5,1006.0,512.1,1713.7
2020/03/25,1517762.6,18905.2,15553.0,20644.5,384269.2,113175.3,78423.8,191689.7,1137.2,603.0,1908.9
2020/03/26,1380245.6,15549.9,13853.9,16782.0,381278.4,110326.9,66823.9,184930.5,1277.6,688.5,2121.9
2020/03/27,1445135.0,14790.8,14290.8,18127.2,456198.3,128562.6,71656.6,184850.9,1427.9,790.4,2342.8
2020/03/28,1331300.1,12983.0,16842.4,17136.3,446784.7,127774.1,72220.4,165022.7,1591.8,910.8,2592.8
2020/03/29,1205578.1,15361.1,14833.9,15045.3,395764.5,112568.1,65987.1,146997.1,1775.2,1058.6,2862.1
2020/03/30,1376533.8,15263.9,13417.2,17536.0,369868.4,106611.3,67655.7,188780.9,1970.2,1217.6,3131.7
2020/03/31,1408985.9,15528.0,13500.1,17836.4,388568.8,111913.5,69030.1,196948.5,2180.9,1390.6,3424.0
2020/04/01,1399769.4,16125.1,13529.3,17928.9,384269.2,113175.3,67645.6,191689.7,2411.4,1526.9,3738.9
2020/04/02,1345140.3,14852.1,13402.5,16779.9,381278.4,110326.9,67860.4,184930.5,2661.3,1659.5,4069.4
2020/04/03,1447987.1,14186.5,15216.2,19467.0,456198.3,128562.6,74978.0,184850.9,2929.9,1791.7,4423.6
2020/04/04,1299437.4,11709.3,16134.0,16383.9,446784.7,127774.1,74414.5,165022.7,3217.1,1941.6,4784.6
2020/04/05,1130959.9,11921.7,13908.5,15011.7,395764.5,112568.1,62261.4,146997.1,3525.6,2109.6,5170.6
2020/04/06,1226388.4,10430.2,11846.4,16027.1,369868.4,106611.3,62554.7,188780.9,3844.7,2281.4,5550.0
2020/04/07,1328226.5,13049.2,12904.9,17390.3,388568.8,111913.5,64752.0,196948.5,4181.7,2464.5,5951.0
2020/04/08,1296574.9,13329.9,12114.8,16748.1,384269.2,113175.3,64551.4,191689.7,4545.9,2713.6,6374.4
2020/04/09,1279781.0,12576.0,12403.5,17432.2,381278.4,110326.9,63005.3,184930.5,4928.5,2941.3,6804.7
2020/04/10,1406518.7,12544.2,15000.8,18806.4,456198.3,128562.6,71301.3,184850.9,5328.6,3166.7,7249.5
2020/04/11,1337833.9,12625.9,16836.6,19592.8,446784.7,127774.1,76790.5,165022.7,5742.6,3401.1,7698.2
2020/04/12,1078419.6,11695.3,1418.3,12788.6,395764.5,112568.1,52454.6,146997.1,6175.1,3651.7,8175.6
2020/04/13,1247167.6,11519.1,12031.7,14596.2,369868.4,106611.3,58249.3,188780.9,6612.2,3913.7,8634.2
2020/04/14,1309289.4,13530.9,10915.1,16054.3,388568.8,111913.5,61579.5,196948.5,7059.4,4189.8,9116.0
2020/04/15,1325362.6,13653.1,12400.1,16170.2,384269.2,113175.3,60650.7,191689.7,7521.1,4469.9,9704.6
2020/04/16,1287756.0,13353.6,11966.2,14861.9,381278.4,110326.9,59940.7,184930.5,7996.1,4770.3,10239.8
2020/04/17,1416060.9,13476.5,12967.1,17984.2,456198.3,128562.6,65007.7,184850.9,8483.7,5090.5,10843.9
2020/04/18,1353251.0,12988.0,14584.4,16727.0,446784.7,127774.1,69241.2,165022.7,8982.9,5429.3,11493.8
2020/04/19,1215885.3,14625.7,13286.4,14680.0,395764.5,112568.1,61868.6,146997.1,9500.4,5778.3,12191.2
2020/04/20,1314035.5,13805.1,11344.7,15553.3,369868.4,106611.3,61532.0,188780.9,10026.2,6130.7,12916.0
2020/04/21,1394450.0,15916.1,12333.8,17682.4,388568.8,111913.5,66796.6,196948.5,10558.8,6495.6,13584.8
2020/04/22,1413053.1,16134.6,12433.8,17134.6,384269.2,113175.3,67568.2,191689.7,11103.9,6858.6,14294.6
2020/04/23,1405625.2,15505.7,13490.3,16750.3,381278.4,110326.9,65890.7,184930.5,11659.7,7241.0,15032.6
2020/04/24,1529981.7,16071.0,14042.9,17536.7,456198.3,128562.6,72675.4,184850.9,12223.6,7630.2,15781.8
2020/04/25,1459788.5,15369.4,16490.3,16632.6,446784.7,127774.1,73053.0,165022.7,12798.7,8047.1,16558.0
2020/04/26,1254195.9,14538.7,13171.5,14596.6,395764.5,112568.1,64086.4,146997.1,13390.7,8475.3,17338.8
2020/04/27,1386699.7,13533.2,13111.5,17078.9,369868.4,106611.3,63784.4,188780.9,13986.9,8907.4,18140.7
2020/04/28,1439211.2,14565.1,13039.2,18235.0,388568.8,111913.5,64480.3,196948.5,14588.7,9360.8,18946.2
2020/04/29,1408974.8,14758.4,13284.0,16918.6,384269.2,113175.3,64226.1,191689.7,15201.0,9835.7,19736.3
2020/04/30,1378751.7,13562.7,13468.9,16632.4,381278.4,110326.9,62169.9,184930.5,15821.7,10320.4,20566.3
2020/05/01,1555758.2,15411.6,14442.3,17787.9,456198.3,128562.6,71612.4,184850.9,16452.7,10804.1,21399.7
2020/05/02,1425497.6,13191.7,16148.9,16723.3,446784.7,127774.1,70761.0,165022.7,17098.5,11281.1,22237.6
2020/05/03,,,,,,,,,17759.4,11770.9,23105.4
2020/05/04,,,,,,,,,18427.9,12283.9,23990.5
2020/05/05,,,,,,,,,19096.5,12824.2,24884.0
2020/05/06,,,,,,,,,19764.6,13355.7,25760.0
2020/05/07,,,,,,,,,20430.3,13890.8,26648.2
