date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1909311.9,53757.0,38465.2,26846.7,395764.5,112568.1,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2131449.9,28652.2,27845.2,30067.7,369868.4,106611.3,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2182690.7,34395.3,28802.9,28787.0,388568.8,111913.5,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2207805.3,34867.8,28360.6,27695.2,384269.2,113175.3,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2206708.3,30304.5,31391.9,27339.9,381278.4,110326.9,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2374440.5,29895.4,36733.9,29619.6,456198.3,128562.6,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1891024.8,23801.3,35412.8,27190.6,446784.7,127774.1,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1647709.8,31604.8,30674.4,26846.7,395764.5,112568.1,116958.3,146997.1,315.1,119.7,578.2
2020/03/16,1817906.8,19228.4,28838.2,30067.7,369868.4,106611.3,147344.3,188780.9,364.1,139.9,663.1
2020/03/17,1505653.8,16503.9,14825.0,28787.0,388568.8,111913.5,82862.2,196948.5,416.2,160.9,756.4
2020/03/18,1451599.2,15142.4,14388.1,27695.2,384269.2,113175.3,76723.9,191689.7,473.6,187.7,857.5
2020/03/19,1442109.7,16883.5,13654.7,27339.9,381278.4,110326.9,76659.9,184930.5,537.3,221.0,965.6
2020/03/20,1430515.1,15886.5,11453.6,29619.6,456198.3,128562.6,61537.8,184850.9,609.1,259.0,1081.7
2020/03/21,1245455.5,14134.8,9332.0,27190.6,446784.7,127774.1,44546.5,165022.7,691.9,308.1,1217.5
2020/03/22,1295377.7,15017.0,16351.3,26846.7,395764.5,112568.1,71951.6,146997.1,787.1,368.8,1364.6
2020/03/23,1403649.7,15515.0,14047.1,30067.7,369868.4,106611.3,71453.0,188780.9,892.1,439.3,1532.2
2020/03/24,1404848.4,14633.7,13016.4,28787.0,388568.8,111913.5,70193.3,196948.5,1008.3,518.3,1709.5
2020/03/25,1524813.4,18905.2,15553.0,27695.2,384269.2,113175.3,78423.8,191689.7,1139.8,604.2,1907.6
2020/03/26,1390803.4,15549.9,13853.9,27339.9,381278.4,110326.9,66823.9,184930.5,1281.6,691.6,2116.6
2020/03/27,1456627.4,14790.8,14290.8,29619.6,456198.3,128562.6,71656.6,184850.9,1433.4,796.5,2344.5
2020/03/28,1341354.5,12983.0,16842.4,27190.6,446784.7,127774.1,72220.4,165022.7,1597.9,920.8,2590.8
2020/03/29,1217379.5,15361.1,14833.9,26846.7,395764.5,112568.1,65987.1,146997.1,1782.5,1065.0,2853.3
2020/03/30,1389065.5,15263.9,13417.2,30067.7,369868.4,106611.3,67655.7,188780.9,1978.9,1215.9,3125.8
2020/03/31,1419936.5,15528.0,13500.1,28787.0,388568.8,111913.5,69030.1,196948.5,2190.9,1382.9,3414.7
2020/04/01,1409535.7,16125.1,13529.3,27695.2,384269.2,113175.3,67645.6,191689.7,2423.1,1529.1,3720.2
2020/04/02,1355700.2,14852.1,13402.5,27339.9,381278.4,110326.9,67860.4,184930.5,2674.4,1677.5,4047.3
2020/04/03,1458139.7,14186.5,15216.2,29619.6,456198.3,128562.6,74978.0,184850.9,2943.8,1822.9,4383.4
2020/04/04,1310244.2,11709.3,16134.0,27190.6,446784.7,127774.1,74414.5,165022.7,3232.6,1966.5,4735.7
2020/04/05,1142794.9,11921.7,13908.5,26846.7,395764.5,112568.1,62261.4,146997.1,3543.5,2125.1,5105.8
2020/04/06,1240429.0,10430.2,11846.4,30067.7,369868.4,106611.3,62554.7,188780.9,3864.5,2304.8,5506.0
2020/04/07,1339623.2,13049.2,12904.9,28787.0,388568.8,111913.5,64752.0,196948.5,4203.2,2498.9,5917.7
2020/04/08,1307522.1,13329.9,12114.8,27695.2,384269.2,113175.3,64551.4,191689.7,4568.1,2704.3,6342.6
2020/04/09,1289688.7,12576.0,12403.5,27339.9,381278.4,110326.9,63005.3,184930.5,4952.3,2929.5,6780.2
2020/04/10,1417331.9,12544.2,15000.8,29619.6,456198.3,128562.6,71301.3,184850.9,5353.3,3165.1,7268.3
2020/04/11,1345431.7,12625.9,16836.6,27190.6,446784.7,127774.1,76790.5,165022.7,5768.5,3415.1,7763.9
2020/04/12,1092477.7,11695.3,1418.3,26846.7,395764.5,112568.1,52454.6,146997.1,6202.1,3690.7,8246.0
2020/04/13,1262639.1,11519.1,12031.7,30067.7,369868.4,106611.3,58249.3,188780.9,6640.8,3986.1,8722.2
2020/04/14,1322022.1,13530.9,10915.1,28787.0,388568.8,111913.5,61579.5,196948.5,7089.1,4269.7,9226.6
2020/04/15,1336887.7,13653.1,12400.1,27695.2,384269.2,113175.3,60650.7,191689.7,7552.6,4558.3,9815.4
2020/04/16,1300234.0,13353.6,11966.2,27339.9,381278.4,110326.9,59940.7,184930.5,8029.1,4872.8,10340.9
2020/04/17,1427696.4,13476.5,12967.1,29619.6,456198.3,128562.6,65007.7,184850.9,8516.2,5201.9,10962.9
2020/04/18,1363714.7,12988.0,14584.4,27190.6,446784.7,127774.1,69241.2,165022.7,9014.4,5532.5,11494.5
2020/04/19,1228052.0,14625.7,13286.4,26846.7,395764.5,112568.1,61868.6,146997.1,9532.9,5874.0,12018.2
2020/04/20,1328549.9,13805.1,11344.7,30067.7,369868.4,106611.3,61532.0,188780.9,10057.4,6227.6,12623.7
2020/04/21,1405554.6,15916.1,12333.8,28787.0,388568.8,111913.5,66796.6,196948.5,10589.3,6602.2,13197.8
2020/04/22,1423613.7,16134.6,12433.8,27695.2,384269.2,113175.3,67568.2,191689.7,11133.7,6994.5,13890.8
2020/04/23,1416214.8,15505.7,13490.3,27339.9,381278.4,110326.9,65890.7,184930.5,11688.1,7393.2,14631.3
2020/04/24,1542064.7,16071.0,14042.9,29619.6,456198.3,128562.6,72675.4,184850.9,12251.9,7804.3,15386.0
2020/04/25,1470346.6,15369.4,16490.3,27190.6,446784.7,127774.1,73053.0,165022.7,12825.5,8226.9,16143.1
2020/04/26,1266446.0,14538.7,13171.5,26846.7,395764.5,112568.1,64086.4,146997.1,13416.9,8665.7,16928.4
2020/04/27,1399688.5,13533.2,13111.5,30067.7,369868.4,106611.3,63784.4,188780.9,14013.0,9115.4,17738.9
2020/04/28,1449763.2,14565.1,13039.2,28787.0,388568.8,111913.5,64480.3,196948.5,14614.3,9569.8,18555.5
2020/04/29,1419751.5,14758.4,13284.0,27695.2,384269.2,113175.3,64226.1,191689.7,15225.4,10027.6,19368.9
2020/04/30,1389459.1,13562.7,13468.9,27339.9,381278.4,110326.9,62169.9,184930.5,15846.1,10504.9,20203.0
2020/05/01,1567589.9,15411.6,14442.3,29619.6,456198.3,128562.6,71612.4,184850.9,16477.1,10991.0,21051.0
2020/05/02,1435964.9,13191.7,16148.9,27190.6,446784.7,127774.1,70761.0,165022.7,17122.4,11503.7,21901.0
2020/05/03,,,,,,,,,17783.8,12031.9,22782.5
2020/05/04,,,,,,,,,18453.2,12562.8,23658.7
2020/05/05,,,,,,,,,19120.3,13106.2,24556.7
2020/05/06,,,,,,,,,19787.3,13659.4,25429.5
2020/05/07,,,,,,,,,20453.5,14225.0,26302.7
