date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1919394.3,63839.4,38465.2,26846.7,395764.5,112568.1,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2137021.2,34223.4,27845.2,30067.7,369868.4,106611.3,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2188786.1,40490.8,28802.9,28787.0,388568.8,111913.5,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2209991.7,37054.3,28360.6,27695.2,384269.2,113175.3,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2208689.0,32285.2,31391.9,27339.9,381278.4,110326.9,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2378582.7,34037.7,36733.9,29619.6,456198.3,128562.6,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1899323.4,32099.9,35412.8,27190.6,446784.7,127774.1,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1679944.4,63839.4,30674.4,26846.7,395764.5,112568.1,116958.3,146997.1,315.1,119.7,577.6
2020/03/16,1832901.9,34223.4,28838.2,30067.7,369868.4,106611.3,147344.3,188780.9,363.9,139.4,664.1
2020/03/17,1529640.7,40490.8,14825.0,28787.0,388568.8,111913.5,82862.2,196948.5,416.0,162.3,755.0
2020/03/18,1473511.1,37054.3,14388.1,27695.2,384269.2,113175.3,76723.9,191689.7,474.0,189.7,855.0
2020/03/19,1457511.4,32285.2,13654.7,27339.9,381278.4,110326.9,76659.9,184930.5,537.9,219.2,960.1
2020/03/20,1448666.4,34037.7,11453.6,29619.6,456198.3,128562.6,61537.8,184850.9,610.0,255.3,1081.0
2020/03/21,1263420.6,32099.9,9332.0,27190.6,446784.7,127774.1,44546.5,165022.7,692.4,303.2,1212.9
2020/03/22,1344200.1,63839.4,16351.3,26846.7,395764.5,112568.1,71951.6,146997.1,787.6,364.4,1365.3
2020/03/23,1422358.1,34223.4,14047.1,30067.7,369868.4,106611.3,71453.0,188780.9,893.4,434.2,1529.5
2020/03/24,1430705.4,40490.8,13016.4,28787.0,388568.8,111913.5,70193.3,196948.5,1011.0,514.5,1703.4
2020/03/25,1542962.5,37054.3,15553.0,27695.2,384269.2,113175.3,78423.8,191689.7,1143.9,612.7,1903.5
2020/03/26,1407538.7,32285.2,13853.9,27339.9,381278.4,110326.9,66823.9,184930.5,1287.0,710.2,2111.8
2020/03/27,1475874.3,34037.7,14290.8,29619.6,456198.3,128562.6,71656.6,184850.9,1440.5,817.1,2333.6
2020/03/28,1360471.3,32099.9,16842.4,27190.6,446784.7,127774.1,72220.4,165022.7,1607.0,952.4,2565.1
2020/03/29,1265857.8,63839.4,14833.9,26846.7,395764.5,112568.1,65987.1,146997.1,1793.7,1115.7,2818.3
2020/03/30,1408025.0,34223.4,13417.2,30067.7,369868.4,106611.3,67655.7,188780.9,1992.9,1250.5,3091.2
2020/03/31,1444899.2,40490.8,13500.1,28787.0,388568.8,111913.5,69030.1,196948.5,2208.0,1356.6,3386.3
2020/04/01,1430464.9,37054.3,13529.3,27695.2,384269.2,113175.3,67645.6,191689.7,2443.1,1498.7,3699.2
2020/04/02,1373133.3,32285.2,13402.5,27339.9,381278.4,110326.9,67860.4,184930.5,2699.4,1659.8,4034.8
2020/04/03,1477991.0,34037.7,15216.2,29619.6,456198.3,128562.6,74978.0,184850.9,2973.7,1787.4,4390.8
2020/04/04,1330634.7,32099.9,16134.0,27190.6,446784.7,127774.1,74414.5,165022.7,3267.3,1923.5,4759.3
2020/04/05,1194712.6,63839.4,13908.5,26846.7,395764.5,112568.1,62261.4,146997.1,3583.5,2134.0,5134.8
2020/04/06,1264222.2,34223.4,11846.4,30067.7,369868.4,106611.3,62554.7,188780.9,3911.4,2306.7,5519.6
2020/04/07,1367064.7,40490.8,12904.9,28787.0,388568.8,111913.5,64752.0,196948.5,4259.1,2519.9,5932.3
2020/04/08,1331246.4,37054.3,12114.8,27695.2,384269.2,113175.3,64551.4,191689.7,4634.9,2759.1,6355.9
2020/04/09,1309397.9,32285.2,12403.5,27339.9,381278.4,110326.9,63005.3,184930.5,5029.5,2969.9,6800.5
2020/04/10,1438825.5,34037.7,15000.8,29619.6,456198.3,128562.6,71301.3,184850.9,5443.6,3194.6,7247.6
2020/04/11,1364905.7,32099.9,16836.6,27190.6,446784.7,127774.1,76790.5,165022.7,5872.0,3430.2,7711.9
2020/04/12,1144621.8,63839.4,1418.3,26846.7,395764.5,112568.1,52454.6,146997.1,6318.6,3677.6,8228.8
2020/04/13,1285343.5,34223.4,12031.7,30067.7,369868.4,106611.3,58249.3,188780.9,6773.3,3944.0,8753.8
2020/04/14,1348982.0,40490.8,10915.1,28787.0,388568.8,111913.5,61579.5,196948.5,7241.0,4217.9,9327.5
2020/04/15,1360288.9,37054.3,12400.1,27695.2,384269.2,113175.3,60650.7,191689.7,7722.9,4514.9,9940.3
2020/04/16,1319165.6,32285.2,11966.2,27339.9,381278.4,110326.9,59940.7,184930.5,8221.2,4818.8,10521.1
2020/04/17,1448257.6,34037.7,12967.1,29619.6,456198.3,128562.6,65007.7,184850.9,8729.6,5132.1,11111.5
2020/04/18,1382826.6,32099.9,14584.4,27190.6,446784.7,127774.1,69241.2,165022.7,9251.6,5463.6,11822.8
2020/04/19,1277265.6,63839.4,13286.4,26846.7,395764.5,112568.1,61868.6,146997.1,9794.7,5814.6,12578.2
2020/04/20,1348968.2,34223.4,11344.7,30067.7,369868.4,106611.3,61532.0,188780.9,10348.9,6170.5,13342.5
2020/04/21,1430129.3,40490.8,12333.8,28787.0,388568.8,111913.5,66796.6,196948.5,10911.2,6545.6,14123.1
2020/04/22,1444533.4,37054.3,12433.8,27695.2,384269.2,113175.3,67568.2,191689.7,11487.3,6927.2,14907.9
2020/04/23,1432994.3,32285.2,13490.3,27339.9,381278.4,110326.9,65890.7,184930.5,12075.3,7330.9,15719.2
2020/04/24,1560031.5,34037.7,14042.9,29619.6,456198.3,128562.6,72675.4,184850.9,12672.2,7748.3,16548.6
2020/04/25,1487077.0,32099.9,16490.3,27190.6,446784.7,127774.1,73053.0,165022.7,13279.6,8166.1,17381.1
2020/04/26,1315746.6,63839.4,13171.5,26846.7,395764.5,112568.1,64086.4,146997.1,13906.3,8608.4,18251.3
2020/04/27,1420378.7,34223.4,13111.5,30067.7,369868.4,106611.3,63784.4,188780.9,14539.7,9067.5,19129.6
2020/04/28,1475688.8,40490.8,13039.2,28787.0,388568.8,111913.5,64480.3,196948.5,15181.6,9510.9,20017.2
2020/04/29,1442047.3,37054.3,13284.0,27695.2,384269.2,113175.3,64226.1,191689.7,15833.9,9964.0,20907.6
2020/04/30,1408181.6,32285.2,13468.9,27339.9,381278.4,110326.9,62169.9,184930.5,16493.9,10447.0,21804.8
2020/05/01,1586216.0,34037.7,14442.3,29619.6,456198.3,128562.6,71612.4,184850.9,17165.6,10936.9,22729.4
2020/05/02,1454873.1,32099.9,16148.9,27190.6,446784.7,127774.1,70761.0,165022.7,17850.2,11443.2,23663.5
2020/05/03,,,,,,,,,18550.1,11962.0,24605.8
2020/05/04,,,,,,,,,19260.9,12490.2,25565.7
2020/05/05,,,,,,,,,19973.7,13039.2,26531.3
2020/05/06,,,,,,,,,20684.5,13596.3,27483.7
2020/05/07,,,,,,,,,21393.5,14152.8,28425.9
