date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1916875.2,63839.4,38465.2,24327.6,395764.5,112568.1,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2133438.7,34223.4,27845.2,26485.2,369868.4,106611.3,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2188029.2,40490.8,28802.9,28030.0,388568.8,111913.5,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2211812.4,37054.3,28360.6,29515.9,384269.2,113175.3,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2214142.9,32285.2,31391.9,32793.8,381278.4,110326.9,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2388964.7,34037.7,36733.9,40001.6,456198.3,128562.6,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1903476.5,32099.9,35412.8,31343.7,446784.7,127774.1,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1680605.9,63839.4,30674.4,27508.1,395764.5,112568.1,116958.3,146997.1,315.1,119.6,577.7
2020/03/16,1840397.4,34223.4,28838.2,37563.2,369868.4,106611.3,147344.3,188780.9,364.3,140.7,664.5
2020/03/17,1523172.8,40490.8,14825.0,22319.0,388568.8,111913.5,82862.2,196948.5,416.5,161.4,755.4
2020/03/18,1467013.8,37054.3,14388.1,21197.9,384269.2,113175.3,76723.9,191689.7,474.1,188.2,854.6
2020/03/19,1451953.3,32285.2,13654.7,21781.8,381278.4,110326.9,76659.9,184930.5,537.8,219.5,959.9
2020/03/20,1433897.6,34037.7,11453.6,14850.9,456198.3,128562.6,61537.8,184850.9,609.4,254.9,1084.8
2020/03/21,1245410.8,32099.9,9332.0,9180.9,446784.7,127774.1,44546.5,165022.7,692.3,302.9,1218.7
2020/03/22,1334755.6,63839.4,16351.3,17402.2,395764.5,112568.1,71951.6,146997.1,787.6,358.9,1374.5
2020/03/23,1411060.5,34223.4,14047.1,18770.1,369868.4,106611.3,71453.0,188780.9,893.6,426.8,1543.7
2020/03/24,1420454.9,40490.8,13016.4,18536.4,388568.8,111913.5,70193.3,196948.5,1011.0,505.4,1717.0
2020/03/25,1535911.7,37054.3,15553.0,20644.5,384269.2,113175.3,78423.8,191689.7,1144.1,600.8,1913.0
2020/03/26,1396980.8,32285.2,13853.9,16782.0,381278.4,110326.9,66823.9,184930.5,1286.4,699.4,2121.7
2020/03/27,1464381.9,34037.7,14290.8,18127.2,456198.3,128562.6,71656.6,184850.9,1439.8,815.0,2340.6
2020/03/28,1350417.0,32099.9,16842.4,17136.3,446784.7,127774.1,72220.4,165022.7,1605.9,951.1,2579.0
2020/03/29,1254056.4,63839.4,14833.9,15045.3,395764.5,112568.1,65987.1,146997.1,1792.2,1093.7,2835.6
2020/03/30,1395493.3,34223.4,13417.2,17536.0,369868.4,106611.3,67655.7,188780.9,1990.8,1264.5,3111.3
2020/03/31,1433948.6,40490.8,13500.1,17836.4,388568.8,111913.5,69030.1,196948.5,2205.8,1408.6,3397.2
2020/04/01,1420698.5,37054.3,13529.3,17928.9,384269.2,113175.3,67645.6,191689.7,2440.2,1553.4,3705.3
2020/04/02,1362573.3,32285.2,13402.5,16779.9,381278.4,110326.9,67860.4,184930.5,2695.5,1697.3,4032.1
2020/04/03,1467838.3,34037.7,15216.2,19467.0,456198.3,128562.6,74978.0,184850.9,2968.7,1839.0,4374.3
2020/04/04,1319828.0,32099.9,16134.0,16383.9,446784.7,127774.1,74414.5,165022.7,3260.6,1990.5,4735.9
2020/04/05,1182877.6,63839.4,13908.5,15011.7,395764.5,112568.1,62261.4,146997.1,3575.8,2151.3,5118.9
2020/04/06,1250181.6,34223.4,11846.4,16027.1,369868.4,106611.3,62554.7,188780.9,3902.6,2330.8,5518.2
2020/04/07,1355668.1,40490.8,12904.9,17390.3,388568.8,111913.5,64752.0,196948.5,4248.1,2537.5,5931.3
2020/04/08,1320299.2,37054.3,12114.8,16748.1,384269.2,113175.3,64551.4,191689.7,4621.3,2754.7,6373.0
2020/04/09,1299490.2,32285.2,12403.5,17432.2,381278.4,110326.9,63005.3,184930.5,5014.6,2981.9,6824.2
2020/04/10,1428012.2,34037.7,15000.8,18806.4,456198.3,128562.6,71301.3,184850.9,5425.7,3282.9,7300.9
2020/04/11,1357307.9,32099.9,16836.6,19592.8,446784.7,127774.1,76790.5,165022.7,5851.3,3535.6,7774.3
2020/04/12,1130563.7,63839.4,1418.3,12788.6,395764.5,112568.1,52454.6,146997.1,6295.7,3807.9,8270.9
2020/04/13,1269872.0,34223.4,12031.7,14596.2,369868.4,106611.3,58249.3,188780.9,6747.3,4082.6,8762.1
2020/04/14,1336249.3,40490.8,10915.1,16054.3,388568.8,111913.5,61579.5,196948.5,7213.2,4373.2,9263.9
2020/04/15,1348763.8,37054.3,12400.1,16170.2,384269.2,113175.3,60650.7,191689.7,7692.8,4673.7,9839.3
2020/04/16,1306687.6,32285.2,11966.2,14861.9,381278.4,110326.9,59940.7,184930.5,8187.2,4981.2,10386.3
2020/04/17,1436622.1,34037.7,12967.1,17984.2,456198.3,128562.6,65007.7,184850.9,8693.3,5307.4,10953.8
2020/04/18,1372362.9,32099.9,14584.4,16727.0,446784.7,127774.1,69241.2,165022.7,9211.9,5641.3,11593.1
2020/04/19,1265099.0,63839.4,13286.4,14680.0,395764.5,112568.1,61868.6,146997.1,9752.1,6002.8,12357.1
2020/04/20,1334453.8,34223.4,11344.7,15553.3,369868.4,106611.3,61532.0,188780.9,10300.8,6374.1,13040.1
2020/04/21,1419024.7,40490.8,12333.8,17682.4,388568.8,111913.5,66796.6,196948.5,10858.4,6748.3,13792.9
2020/04/22,1433972.7,37054.3,12433.8,17134.6,384269.2,113175.3,67568.2,191689.7,11430.1,7137.4,14608.4
2020/04/23,1422404.7,32285.2,13490.3,16750.3,381278.4,110326.9,65890.7,184930.5,12013.6,7541.8,15442.7
2020/04/24,1547948.5,34037.7,14042.9,17536.7,456198.3,128562.6,72675.4,184850.9,12604.5,7958.6,16288.6
2020/04/25,1476519.0,32099.9,16490.3,16632.6,446784.7,127774.1,73053.0,165022.7,13205.8,8371.8,17156.4
2020/04/26,1303496.6,63839.4,13171.5,14596.6,395764.5,112568.1,64086.4,146997.1,13827.0,8767.3,18041.7
2020/04/27,1407389.9,34223.4,13111.5,17078.9,369868.4,106611.3,63784.4,188780.9,14453.8,9172.8,18937.1
2020/04/28,1465136.8,40490.8,13039.2,18235.0,388568.8,111913.5,64480.3,196948.5,15089.8,9624.5,19832.5
2020/04/29,1431270.6,37054.3,13284.0,16918.6,384269.2,113175.3,64226.1,191689.7,15736.0,10095.2,20737.7
2020/04/30,1397474.1,32285.2,13468.9,16632.4,381278.4,110326.9,62169.9,184930.5,16390.6,10581.8,21631.3
2020/05/01,1574384.3,34037.7,14442.3,17787.9,456198.3,128562.6,71612.4,184850.9,17056.6,11085.2,22515.6
2020/05/02,1444405.8,32099.9,16148.9,16723.3,446784.7,127774.1,70761.0,165022.7,17736.5,11600.7,23425.6
2020/05/03,,,,,,,,,18431.9,12131.5,24358.0
2020/05/04,,,,,,,,,19136.7,12685.6,25299.8
2020/05/05,,,,,,,,,19845.0,13256.2,26242.6
2020/05/06,,,,,,,,,20552.3,13825.8,27178.3
2020/05/07,,,,,,,,,21258.3,14409.4,28092.5
