date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1905431.3,63839.4,38465.2,24327.6,395764.5,101124.2,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2126233.9,34223.4,27845.2,26485.2,369868.4,99406.5,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2179368.5,40490.8,28802.9,28030.0,388568.8,103252.8,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2203871.7,37054.3,28360.6,29515.9,384269.2,105234.6,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2211989.5,32285.2,31391.9,32793.8,381278.4,108173.5,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2381500.6,34037.7,36733.9,40001.6,456198.3,121098.5,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1867902.0,32099.9,35412.8,31343.7,446784.7,92199.6,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1640089.8,63839.4,30674.4,27508.1,395764.5,72052.1,116958.3,146997.1,315.1,119.5,578.0
2020/03/16,1813346.7,34223.4,28838.2,37563.2,369868.4,79560.6,147344.3,188780.9,364.4,139.6,664.1
2020/03/17,1462445.8,40490.8,14825.0,22319.0,388568.8,51186.6,82862.2,196948.5,416.5,162.4,753.9
2020/03/18,1403340.6,37054.3,14388.1,21197.9,384269.2,49502.1,76723.9,191689.7,473.9,190.2,852.2
2020/03/19,1389920.6,32285.2,13654.7,21781.8,381278.4,48294.2,76659.9,184930.5,537.4,223.8,958.4
2020/03/20,1344640.4,34037.7,11453.6,14850.9,456198.3,39305.4,61537.8,184850.9,608.7,266.2,1077.4
2020/03/21,1144895.5,32099.9,9332.0,9180.9,446784.7,27258.8,44546.5,165022.7,691.2,310.6,1210.9
2020/03/22,1264489.0,63839.4,16351.3,17402.2,395764.5,42301.5,71951.6,146997.1,786.1,369.3,1366.2
2020/03/23,1350788.3,34223.4,14047.1,18770.1,369868.4,46339.1,71453.0,188780.9,891.4,432.1,1533.3
2020/03/24,1354353.3,40490.8,13016.4,18536.4,388568.8,45811.9,70193.3,196948.5,1008.4,512.6,1723.1
2020/03/25,1478503.1,37054.3,15553.0,20644.5,384269.2,55766.6,78423.8,191689.7,1140.2,605.6,1920.6
2020/03/26,1336243.0,32285.2,13853.9,16782.0,381278.4,49589.0,66823.9,184930.5,1281.3,702.9,2124.0
2020/03/27,1386623.9,34037.7,14290.8,18127.2,456198.3,50804.6,71656.6,184850.9,1432.0,814.6,2348.4
2020/03/28,1268932.1,32099.9,16842.4,17136.3,446784.7,46289.3,72220.4,165022.7,1595.7,948.2,2586.9
2020/03/29,1181759.3,63839.4,14833.9,15045.3,395764.5,40271.0,65987.1,146997.1,1778.8,1105.5,2836.2
2020/03/30,1336385.9,34223.4,13417.2,17536.0,369868.4,47503.9,67655.7,188780.9,1974.6,1274.4,3105.4
2020/03/31,1372147.2,40490.8,13500.1,17836.4,388568.8,50112.1,69030.1,196948.5,2185.6,1386.0,3393.8
2020/04/01,1357201.7,37054.3,13529.3,17928.9,384269.2,49678.4,67645.6,191689.7,2416.9,1494.8,3697.4
2020/04/02,1301855.6,32285.2,13402.5,16779.9,381278.4,49609.2,67860.4,184930.5,2667.6,1608.0,4010.1
2020/04/03,1394570.2,34037.7,15216.2,19467.0,456198.3,55294.5,74978.0,184850.9,2935.5,1772.8,4351.5
2020/04/04,1237894.2,32099.9,16134.0,16383.9,446784.7,45840.3,74414.5,165022.7,3221.8,1955.7,4704.6
2020/04/05,1104992.0,63839.4,13908.5,15011.7,395764.5,34682.5,62261.4,146997.1,3530.2,2157.2,5072.7
2020/04/06,1183837.7,34223.4,11846.4,16027.1,369868.4,40267.3,62554.7,188780.9,3851.0,2334.6,5452.7
2020/04/07,1289336.0,40490.8,12904.9,17390.3,388568.8,45581.5,64752.0,196948.5,4190.8,2530.4,5852.3
2020/04/08,1252550.1,37054.3,12114.8,16748.1,384269.2,45426.1,64551.4,191689.7,4557.0,2746.4,6265.2
2020/04/09,1234331.0,32285.2,12403.5,17432.2,381278.4,45167.7,63005.3,184930.5,4941.8,2978.8,6710.5
2020/04/10,1353255.7,34037.7,15000.8,18806.4,456198.3,53806.1,71301.3,184850.9,5343.5,3241.4,7171.5
2020/04/11,1278701.2,32099.9,16836.6,19592.8,446784.7,49167.4,76790.5,165022.7,5759.9,3524.7,7636.9
2020/04/12,1047759.9,63839.4,1418.3,12788.6,395764.5,29764.3,52454.6,146997.1,6194.0,3796.8,8112.1
2020/04/13,1205777.6,34223.4,12031.7,14596.2,369868.4,42516.9,58249.3,188780.9,6635.1,4083.3,8589.6
2020/04/14,1269858.5,40490.8,10915.1,16054.3,388568.8,45522.8,61579.5,196948.5,7088.8,4369.1,9123.3
2020/04/15,1285279.3,37054.3,12400.1,16170.2,384269.2,49690.8,60650.7,191689.7,7556.9,4664.2,9718.6
2020/04/16,1244085.7,32285.2,11966.2,14861.9,381278.4,47725.0,59940.7,184930.5,8039.6,4959.3,10323.5
2020/04/17,1361570.1,34037.7,12967.1,17984.2,456198.3,53510.5,65007.7,184850.9,8532.1,5266.1,10881.1
2020/04/18,1298595.7,32099.9,14584.4,16727.0,446784.7,54006.8,69241.2,165022.7,9037.1,5576.5,11549.3
2020/04/19,1198084.8,63839.4,13286.4,14680.0,395764.5,45553.9,61868.6,146997.1,9563.4,5899.5,12270.3
2020/04/20,1273780.9,34223.4,11344.7,15553.3,369868.4,45938.4,61532.0,188780.9,10098.8,6223.8,12982.9
2020/04/21,1358755.3,40490.8,12333.8,17682.4,388568.8,51644.2,66796.6,196948.5,10642.8,6558.0,13618.6
2020/04/22,1376391.3,37054.3,12433.8,17134.6,384269.2,55593.8,67568.2,191689.7,11201.1,6911.9,14410.2
2020/04/23,1368353.1,32285.2,13490.3,16750.3,381278.4,56275.2,65890.7,184930.5,11771.4,7284.1,15215.0
2020/04/24,1483759.6,34037.7,14042.9,17536.7,456198.3,64373.7,72675.4,184850.9,12347.6,7665.4,16043.8
2020/04/25,1410977.1,32099.9,16490.3,16632.6,446784.7,62232.2,73053.0,165022.7,12935.2,8071.9,16878.6
2020/04/26,1240784.6,63839.4,13171.5,14596.6,395764.5,49856.1,64086.4,146997.1,13540.6,8503.8,17732.9
2020/04/27,1352262.9,34223.4,13111.5,17078.9,369868.4,51484.3,63784.4,188780.9,14151.5,8935.3,18586.2
2020/04/28,1408251.1,40490.8,13039.2,18235.0,388568.8,55027.8,64480.3,196948.5,14770.2,9372.8,19444.6
2020/04/29,1371180.8,37054.3,13284.0,16918.6,384269.2,53085.4,64226.1,191689.7,15399.2,9822.4,20318.7
2020/04/30,1343765.2,32285.2,13468.9,16632.4,381278.4,56617.9,62169.9,184930.5,16037.0,10283.5,21206.3
2020/05/01,1509856.3,34037.7,14442.3,17787.9,456198.3,64034.6,71612.4,184850.9,16684.9,10768.4,22086.5
2020/05/02,1379645.4,32099.9,16148.9,16723.3,446784.7,63013.7,70761.0,165022.7,17346.9,11244.1,23000.6
2020/05/03,,,,,,,,,18022.9,11754.4,23927.1
2020/05/04,,,,,,,,,18710.0,12280.4,24862.2
2020/05/05,,,,,,,,,19398.4,12815.7,25792.0
2020/05/06,,,,,,,,,20083.6,13368.0,26715.6
2020/05/07,,,,,,,,,20768.2,13933.1,27622.0
