date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1875280.0,53757.0,38465.2,24327.6,354702.4,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2102881.7,28652.2,27845.2,26485.2,340025.1,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2149795.2,34395.3,28802.9,28030.0,356041.7,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2173171.3,34867.8,28360.6,29515.9,356927.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2168794.7,30304.5,31391.9,32793.8,363743.7,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2285882.4,29895.4,36733.9,40001.6,406703.4,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1735489.4,23801.3,35412.8,31343.7,313212.8,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1475395.0,31604.8,30674.4,27508.1,230681.4,112568.1,109065.0,146997.1,315.1,119.6,577.8
2020/03/16,1663311.5,19228.4,28838.2,37563.2,256878.2,106611.3,98243.7,188780.9,364.2,139.4,663.9
2020/03/17,1278802.2,16503.9,14825.0,22319.0,159121.2,111913.5,91926.1,196948.5,415.6,163.1,755.7
2020/03/18,1220869.7,15142.4,14388.1,21197.9,147917.5,113175.3,88843.4,191689.7,471.9,188.8,852.9
2020/03/19,1212894.4,16883.5,13654.7,21781.8,146883.7,110326.9,87397.3,184930.5,533.2,217.4,955.1
2020/03/20,1121216.6,15886.5,11453.6,14850.9,125905.7,128562.6,97300.7,184850.9,601.8,251.5,1071.1
2020/03/21,933816.2,14134.8,9332.0,9180.9,94150.2,127774.1,103551.5,165022.7,680.4,297.6,1198.0
2020/03/22,1042876.1,15017.0,16351.3,17402.2,115593.8,112568.1,109065.0,146997.1,765.4,344.1,1333.1
2020/03/23,1190166.3,15515.0,14047.1,18770.1,140892.0,106611.3,98243.7,188780.9,855.1,396.5,1476.7
2020/03/24,1168078.6,14633.7,13016.4,18536.4,140316.8,111913.5,91926.1,196948.5,949.9,455.4,1626.9
2020/03/25,1307309.3,18905.2,15553.0,20644.5,163396.4,113175.3,88843.4,191689.7,1050.7,515.6,1784.4
2020/03/26,1157503.6,15549.9,13853.9,16782.0,137963.0,110326.9,87397.3,184930.5,1152.8,587.6,1941.5
2020/03/27,1150702.7,14790.8,14290.8,18127.2,136121.9,128562.6,97300.7,184850.9,1257.6,666.7,2103.7
2020/03/28,1037575.0,12983.0,16842.4,17136.3,121728.5,127774.1,103551.5,165022.7,1364.6,744.6,2262.0
2020/03/29,958679.6,15361.1,14833.9,15045.3,105788.1,112568.1,109065.0,146997.1,1472.4,826.8,2412.4
2020/03/30,1174129.0,15263.9,13417.2,17536.0,136875.7,106611.3,98243.7,188780.9,1581.2,912.2,2563.6
2020/03/31,1178004.9,15528.0,13500.1,17836.4,134691.8,111913.5,91926.1,196948.5,1694.8,1000.3,2717.7
2020/04/01,1178554.6,16125.1,13529.3,17928.9,141856.6,113175.3,88843.4,191689.7,1815.0,1096.6,2891.7
2020/04/02,1114016.4,14852.1,13402.5,16779.9,130617.6,110326.9,87397.3,184930.5,1943.0,1197.6,3078.7
2020/04/03,1157156.6,14186.5,15216.2,19467.0,143045.1,128562.6,97300.7,184850.9,2079.0,1309.5,3269.3
2020/04/04,1004093.0,11709.3,16134.0,16383.9,122303.2,127774.1,103551.5,165022.7,2220.3,1437.0,3467.6
2020/04/05,877692.3,11921.7,13908.5,15011.7,95693.2,112568.1,109065.0,146997.1,2363.1,1563.8,3660.2
2020/04/06,1002875.8,10430.2,11846.4,16027.1,110666.7,106611.3,98243.7,188780.9,2505.0,1652.4,3849.5
2020/04/07,1092237.8,13049.2,12904.9,17390.3,125406.0,111913.5,91926.1,196948.5,2652.1,1766.7,4053.0
2020/04/08,1057979.5,13329.9,12114.8,16748.1,121381.8,113175.3,88843.4,191689.7,2807.4,1883.2,4253.3
2020/04/09,1045203.6,12576.0,12403.5,17432.2,122309.0,110326.9,87397.3,184930.5,2968.5,1995.6,4456.3
2020/04/10,1111674.2,12544.2,15000.8,18806.4,135354.4,128562.6,97300.7,184850.9,3137.9,2111.3,4667.0
2020/04/11,1040588.0,12625.9,16836.6,19592.8,122777.8,127774.1,103551.5,165022.7,3307.4,2227.3,4880.3
2020/04/12,827927.5,11695.3,1418.3,12788.6,88661.9,112568.1,109065.0,146997.1,3474.0,2329.8,5083.5
2020/04/13,1033250.2,11519.1,12031.7,14596.2,115956.6,106611.3,98243.7,188780.9,3636.3,2429.5,5279.7
2020/04/14,1074197.0,13530.9,10915.1,16054.3,123129.7,111913.5,91926.1,196948.5,3797.1,2531.9,5472.1
2020/04/15,1096817.4,13653.1,12400.1,16170.2,127531.3,113175.3,88843.4,191689.7,3957.6,2633.6,5657.5
2020/04/16,1058828.9,13353.6,11966.2,14861.9,124894.6,110326.9,87397.3,184930.5,4121.3,2737.7,5848.9
2020/04/17,1129830.7,13476.5,12967.1,17984.2,137675.0,128562.6,97300.7,184850.9,4286.2,2853.1,6034.7
2020/04/18,1067801.4,12988.0,14584.4,16727.0,127024.8,127774.1,103551.5,165022.7,4450.2,2972.1,6214.0
2020/04/19,975826.9,14625.7,13286.4,14680.0,108509.7,112568.1,109065.0,146997.1,4613.1,3084.4,6418.5
2020/04/20,1111750.2,13805.1,11344.7,15553.3,130871.4,106611.3,98243.7,188780.9,4773.2,3198.5,6608.9
2020/04/21,1170438.9,15916.1,12333.8,17682.4,139428.2,111913.5,91926.1,196948.5,4935.8,3318.7,6798.0
2020/04/22,1191347.6,16134.6,12433.8,17134.6,141288.6,113175.3,88843.4,191689.7,5102.8,3449.3,6978.5
2020/04/23,1190080.9,15505.7,13490.3,16750.3,144227.4,110326.9,87397.3,184930.5,5272.3,3577.2,7150.5
2020/04/24,1255635.7,16071.0,14042.9,17536.7,157226.9,128562.6,97300.7,184850.9,5443.9,3707.2,7323.2
2020/04/25,1191306.2,15369.4,16490.3,16632.6,147803.9,127774.1,103551.5,165022.7,5617.6,3839.4,7499.9
2020/04/26,1018386.5,14538.7,13171.5,14596.6,114976.4,112568.1,109065.0,146997.1,5793.0,3972.1,7673.5
2020/04/27,1186341.0,13533.2,13111.5,17078.9,135050.4,106611.3,98243.7,188780.9,5967.8,4110.3,7839.2
2020/04/28,1221736.6,14565.1,13039.2,18235.0,143648.3,111913.5,91926.1,196948.5,6143.2,4246.0,8008.7
2020/04/29,1185620.1,14758.4,13284.0,16918.6,136297.3,113175.3,88843.4,191689.7,6324.8,4377.3,8178.3
2020/04/30,1159083.9,13562.7,13468.9,16632.4,136383.2,110326.9,87397.3,184930.5,6513.0,4519.1,8349.3
2020/05/01,1282979.0,15411.6,14442.3,17787.9,157730.8,128562.6,97300.7,184850.9,6707.9,4682.7,8523.1
2020/05/02,1149769.3,13191.7,16148.9,16723.3,138265.9,127774.1,103551.5,165022.7,6909.2,4875.3,8700.4
2020/05/03,,,,,,,,,7111.1,5037.3,8871.8
2020/05/04,,,,,,,,,7314.9,5177.7,9044.8
2020/05/05,,,,,,,,,7518.8,5323.9,9254.8
2020/05/06,,,,,,,,,7726.1,5474.8,9486.9
2020/05/07,,,,,,,,,7934.5,5652.4,9678.0
