date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1877799.1,53757.0,38465.2,26846.7,354702.4,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2106464.2,28652.2,27845.2,30067.7,340025.1,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2150552.2,34395.3,28802.9,28787.0,356041.7,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2171350.7,34867.8,28360.6,27695.2,356927.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2163340.8,30304.5,31391.9,27339.9,363743.7,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2275500.5,29895.4,36733.9,29619.6,406703.4,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1731336.3,23801.3,35412.8,27190.6,313212.8,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1474733.5,31604.8,30674.4,26846.7,230681.4,112568.1,109065.0,146997.1,315.1,119.6,577.8
2020/03/16,1655816.0,19228.4,28838.2,30067.7,256878.2,106611.3,98243.7,188780.9,364.1,139.3,663.5
2020/03/17,1285270.2,16503.9,14825.0,28787.0,159121.2,111913.5,91926.1,196948.5,416.0,160.0,752.8
2020/03/18,1227367.0,15142.4,14388.1,27695.2,147917.5,113175.3,88843.4,191689.7,472.1,184.3,851.9
2020/03/19,1218452.5,16883.5,13654.7,27339.9,146883.7,110326.9,87397.3,184930.5,533.3,215.7,956.9
2020/03/20,1135985.4,15886.5,11453.6,29619.6,125905.7,128562.6,97300.7,184850.9,602.2,255.2,1071.9
2020/03/21,951826.0,14134.8,9332.0,27190.6,94150.2,127774.1,103551.5,165022.7,681.3,302.6,1200.1
2020/03/22,1052320.5,15017.0,16351.3,26846.7,115593.8,112568.1,109065.0,146997.1,766.7,352.7,1335.0
2020/03/23,1201463.9,15515.0,14047.1,30067.7,140892.0,106611.3,98243.7,188780.9,856.6,402.4,1476.1
2020/03/24,1178329.2,14633.7,13016.4,28787.0,140316.8,111913.5,91926.1,196948.5,952.2,464.0,1627.9
2020/03/25,1314360.1,18905.2,15553.0,27695.2,163396.4,113175.3,88843.4,191689.7,1053.0,524.7,1779.0
2020/03/26,1168061.4,15549.9,13853.9,27339.9,137963.0,110326.9,87397.3,184930.5,1155.1,587.4,1922.0
2020/03/27,1162195.1,14790.8,14290.8,29619.6,136121.9,128562.6,97300.7,184850.9,1261.3,659.3,2078.3
2020/03/28,1047629.4,12983.0,16842.4,27190.6,121728.5,127774.1,103551.5,165022.7,1369.1,730.8,2239.5
2020/03/29,970481.0,15361.1,14833.9,26846.7,105788.1,112568.1,109065.0,146997.1,1477.8,805.8,2396.3
2020/03/30,1186660.8,15263.9,13417.2,30067.7,136875.7,106611.3,98243.7,188780.9,1587.3,887.0,2555.6
2020/03/31,1188955.5,15528.0,13500.1,28787.0,134691.8,111913.5,91926.1,196948.5,1702.0,974.2,2712.7
2020/04/01,1188320.9,16125.1,13529.3,27695.2,141856.6,113175.3,88843.4,191689.7,1822.5,1063.7,2882.0
2020/04/02,1124576.3,14852.1,13402.5,27339.9,130617.6,110326.9,87397.3,184930.5,1951.0,1169.1,3057.4
2020/04/03,1167309.3,14186.5,15216.2,29619.6,143045.1,128562.6,97300.7,184850.9,2086.7,1280.0,3237.8
2020/04/04,1014899.7,11709.3,16134.0,27190.6,122303.2,127774.1,103551.5,165022.7,2228.2,1397.2,3419.7
2020/04/05,889527.3,11921.7,13908.5,26846.7,95693.2,112568.1,109065.0,146997.1,2371.3,1502.8,3604.6
2020/04/06,1016916.4,10430.2,11846.4,30067.7,110666.7,106611.3,98243.7,188780.9,2513.3,1603.3,3780.4
2020/04/07,1103634.5,13049.2,12904.9,28787.0,125406.0,111913.5,91926.1,196948.5,2660.2,1703.5,3968.4
2020/04/08,1068926.6,13329.9,12114.8,27695.2,121381.8,113175.3,88843.4,191689.7,2816.1,1804.0,4166.2
2020/04/09,1055111.3,12576.0,12403.5,27339.9,122309.0,110326.9,87397.3,184930.5,2977.8,1922.4,4363.6
2020/04/10,1122487.4,12544.2,15000.8,29619.6,135354.4,128562.6,97300.7,184850.9,3148.0,2063.6,4564.5
2020/04/11,1048185.8,12625.9,16836.6,27190.6,122777.8,127774.1,103551.5,165022.7,3318.2,2201.8,4773.6
2020/04/12,841985.6,11695.3,1418.3,26846.7,88661.9,112568.1,109065.0,146997.1,3486.2,2339.7,4985.8
2020/04/13,1048721.7,11519.1,12031.7,30067.7,115956.6,106611.3,98243.7,188780.9,3649.7,2474.3,5192.0
2020/04/14,1086929.7,13530.9,10915.1,28787.0,123129.7,111913.5,91926.1,196948.5,3811.2,2585.1,5398.8
2020/04/15,1108342.4,13653.1,12400.1,27695.2,127531.3,113175.3,88843.4,191689.7,3973.6,2696.1,5593.6
2020/04/16,1071306.8,13353.6,11966.2,27339.9,124894.6,110326.9,87397.3,184930.5,4137.6,2817.7,5797.4
2020/04/17,1141466.2,13476.5,12967.1,29619.6,137675.0,128562.6,97300.7,184850.9,4304.3,2943.7,5985.9
2020/04/18,1078265.1,12988.0,14584.4,27190.6,127024.8,127774.1,103551.5,165022.7,4469.4,3050.2,6165.2
2020/04/19,987993.6,14625.7,13286.4,26846.7,108509.7,112568.1,109065.0,146997.1,4633.4,3159.4,6343.6
2020/04/20,1126264.6,13805.1,11344.7,30067.7,130871.4,106611.3,98243.7,188780.9,4795.0,3273.2,6515.3
2020/04/21,1181543.5,15916.1,12333.8,28787.0,139428.2,111913.5,91926.1,196948.5,4958.1,3389.1,6691.1
2020/04/22,1201908.2,16134.6,12433.8,27695.2,141288.6,113175.3,88843.4,191689.7,5124.6,3501.4,6862.0
2020/04/23,1200670.4,15505.7,13490.3,27339.9,144227.4,110326.9,87397.3,184930.5,5294.5,3619.0,7032.6
2020/04/24,1267718.6,16071.0,14042.9,29619.6,157226.9,128562.6,97300.7,184850.9,5466.4,3743.8,7201.3
2020/04/25,1201864.3,15369.4,16490.3,27190.6,147803.9,127774.1,103551.5,165022.7,5639.6,3869.2,7374.7
2020/04/26,1030636.6,14538.7,13171.5,26846.7,114976.4,112568.1,109065.0,146997.1,5815.1,3996.6,7545.8
2020/04/27,1199329.8,13533.2,13111.5,30067.7,135050.4,106611.3,98243.7,188780.9,5988.8,4125.8,7713.9
2020/04/28,1232288.6,14565.1,13039.2,28787.0,143648.3,111913.5,91926.1,196948.5,6163.4,4256.8,7880.4
2020/04/29,1196396.8,14758.4,13284.0,27695.2,136297.3,113175.3,88843.4,191689.7,6344.4,4391.9,8049.3
2020/04/30,1169791.3,13562.7,13468.9,27339.9,136383.2,110326.9,87397.3,184930.5,6531.5,4533.5,8233.4
2020/05/01,1294810.7,15411.6,14442.3,29619.6,157730.8,128562.6,97300.7,184850.9,6724.9,4686.6,8464.4
2020/05/02,1160236.7,13191.7,16148.9,27190.6,138265.9,127774.1,103551.5,165022.7,6924.2,4849.2,8703.5
2020/05/03,,,,,,,,,7124.8,5005.7,8936.7
2020/05/04,,,,,,,,,7326.6,5171.1,9126.8
2020/05/05,,,,,,,,,7529.0,5341.7,9293.3
2020/05/06,,,,,,,,,7734.0,5511.3,9469.5
2020/05/07,,,,,,,,,7941.1,5682.1,9691.6
