date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1887881.5,63839.4,38465.2,26846.7,354702.4,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2112035.4,34223.4,27845.2,30067.7,340025.1,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2156647.6,40490.8,28802.9,28787.0,356041.7,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2173537.1,37054.3,28360.6,27695.2,356927.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2165321.4,32285.2,31391.9,27339.9,363743.7,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2279642.8,34037.7,36733.9,29619.6,406703.4,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1739634.9,32099.9,35412.8,27190.6,313212.8,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1506968.1,63839.4,30674.4,26846.7,230681.4,112568.1,109065.0,146997.1,315.1,119.6,577.8
2020/03/16,1670811.1,34223.4,28838.2,30067.7,256878.2,106611.3,98243.7,188780.9,364.3,140.4,665.7
2020/03/17,1309257.0,40490.8,14825.0,28787.0,159121.2,111913.5,91926.1,196948.5,416.3,163.4,754.9
2020/03/18,1249278.8,37054.3,14388.1,27695.2,147917.5,113175.3,88843.4,191689.7,472.5,190.8,851.7
2020/03/19,1233854.2,32285.2,13654.7,27339.9,146883.7,110326.9,87397.3,184930.5,533.8,221.1,956.8
2020/03/20,1154136.7,34037.7,11453.6,29619.6,125905.7,128562.6,97300.7,184850.9,602.5,258.2,1069.9
2020/03/21,969791.1,32099.9,9332.0,27190.6,94150.2,127774.1,103551.5,165022.7,680.9,304.1,1193.3
2020/03/22,1101142.9,63839.4,16351.3,26846.7,115593.8,112568.1,109065.0,146997.1,766.4,353.9,1330.2
2020/03/23,1220172.4,34223.4,14047.1,30067.7,140892.0,106611.3,98243.7,188780.9,856.5,402.8,1469.5
2020/03/24,1204186.2,40490.8,13016.4,28787.0,140316.8,111913.5,91926.1,196948.5,952.5,458.9,1620.2
2020/03/25,1332509.2,37054.3,15553.0,27695.2,163396.4,113175.3,88843.4,191689.7,1054.0,524.4,1778.8
2020/03/26,1184796.7,32285.2,13853.9,27339.9,137963.0,110326.9,87397.3,184930.5,1157.2,589.3,1934.6
2020/03/27,1181442.1,34037.7,14290.8,29619.6,136121.9,128562.6,97300.7,184850.9,1264.0,664.0,2091.8
2020/03/28,1066746.3,32099.9,16842.4,27190.6,121728.5,127774.1,103551.5,165022.7,1372.4,737.9,2250.1
2020/03/29,1018959.3,63839.4,14833.9,26846.7,105788.1,112568.1,109065.0,146997.1,1481.9,815.5,2406.7
2020/03/30,1205620.3,34223.4,13417.2,30067.7,136875.7,106611.3,98243.7,188780.9,1593.3,893.2,2564.2
2020/03/31,1213918.2,40490.8,13500.1,28787.0,134691.8,111913.5,91926.1,196948.5,1710.1,981.3,2724.4
2020/04/01,1209250.0,37054.3,13529.3,27695.2,141856.6,113175.3,88843.4,191689.7,1833.1,1073.0,2888.0
2020/04/02,1142009.4,32285.2,13402.5,27339.9,130617.6,110326.9,87397.3,184930.5,1964.7,1175.9,3068.2
2020/04/03,1187160.6,34037.7,15216.2,29619.6,143045.1,128562.6,97300.7,184850.9,2104.4,1287.8,3254.8
2020/04/04,1035290.2,32099.9,16134.0,27190.6,122303.2,127774.1,103551.5,165022.7,2249.2,1414.8,3439.7
2020/04/05,941445.0,63839.4,13908.5,26846.7,95693.2,112568.1,109065.0,146997.1,2395.5,1528.9,3633.5
2020/04/06,1040709.6,34223.4,11846.4,30067.7,110666.7,106611.3,98243.7,188780.9,2542.5,1642.2,3817.2
2020/04/07,1131076.0,40490.8,12904.9,28787.0,125406.0,111913.5,91926.1,196948.5,2695.1,1763.6,4006.9
2020/04/08,1092651.0,37054.3,12114.8,27695.2,121381.8,113175.3,88843.4,191689.7,2856.8,1889.0,4205.9
2020/04/09,1074820.5,32285.2,12403.5,27339.9,122309.0,110326.9,87397.3,184930.5,3024.4,2016.9,4411.1
2020/04/10,1143981.0,34037.7,15000.8,29619.6,135354.4,128562.6,97300.7,184850.9,3200.8,2150.9,4629.8
2020/04/11,1067659.8,32099.9,16836.6,27190.6,122777.8,127774.1,103551.5,165022.7,3377.2,2288.0,4857.0
2020/04/12,894129.6,63839.4,1418.3,26846.7,88661.9,112568.1,109065.0,146997.1,3551.3,2395.5,5066.1
2020/04/13,1071426.0,34223.4,12031.7,30067.7,115956.6,106611.3,98243.7,188780.9,3722.4,2503.4,5278.6
2020/04/14,1113889.6,40490.8,10915.1,28787.0,123129.7,111913.5,91926.1,196948.5,3894.3,2618.1,5487.1
2020/04/15,1131743.6,37054.3,12400.1,27695.2,127531.3,113175.3,88843.4,191689.7,4066.2,2731.5,5693.3
2020/04/16,1090238.4,32285.2,11966.2,27339.9,124894.6,110326.9,87397.3,184930.5,4241.8,2852.0,5901.7
2020/04/17,1162027.4,34037.7,12967.1,29619.6,137675.0,128562.6,97300.7,184850.9,4419.1,2974.4,6111.5
2020/04/18,1097377.0,32099.9,14584.4,27190.6,127024.8,127774.1,103551.5,165022.7,4595.2,3099.8,6317.9
2020/04/19,1037207.3,63839.4,13286.4,26846.7,108509.7,112568.1,109065.0,146997.1,4771.9,3226.2,6524.8
2020/04/20,1146682.9,34223.4,11344.7,30067.7,130871.4,106611.3,98243.7,188780.9,4947.6,3353.1,6720.5
2020/04/21,1206118.2,40490.8,12333.8,28787.0,139428.2,111913.5,91926.1,196948.5,5126.7,3480.2,6921.5
2020/04/22,1222827.9,37054.3,12433.8,27695.2,141288.6,113175.3,88843.4,191689.7,5309.7,3625.0,7131.3
2020/04/23,1217449.9,32285.2,13490.3,27339.9,144227.4,110326.9,87397.3,184930.5,5496.3,3770.1,7344.8
2020/04/24,1285685.4,34037.7,14042.9,29619.6,157226.9,128562.6,97300.7,184850.9,5685.1,3917.1,7579.5
2020/04/25,1218594.7,32099.9,16490.3,27190.6,147803.9,127774.1,103551.5,165022.7,5876.9,4071.7,7815.6
2020/04/26,1079937.3,63839.4,13171.5,26846.7,114976.4,112568.1,109065.0,146997.1,6071.5,4225.6,8017.7
2020/04/27,1220020.0,34223.4,13111.5,30067.7,135050.4,106611.3,98243.7,188780.9,6265.7,4380.9,8200.7
2020/04/28,1258214.2,40490.8,13039.2,28787.0,143648.3,111913.5,91926.1,196948.5,6462.7,4547.7,8383.9
2020/04/29,1218692.6,37054.3,13284.0,27695.2,136297.3,113175.3,88843.4,191689.7,6668.1,4717.9,8572.3
2020/04/30,1188513.8,32285.2,13468.9,27339.9,136383.2,110326.9,87397.3,184930.5,6879.4,4911.6,8762.7
2020/05/01,1313436.8,34037.7,14442.3,29619.6,157730.8,128562.6,97300.7,184850.9,7097.2,5152.8,8958.0
2020/05/02,1179144.9,32099.9,16148.9,27190.6,138265.9,127774.1,103551.5,165022.7,7320.9,5348.0,9191.5
2020/05/03,,,,,,,,,7547.4,5533.0,9475.2
2020/05/04,,,,,,,,,7777.7,5726.8,9744.4
2020/05/05,,,,,,,,,8009.8,5937.2,10015.7
2020/05/06,,,,,,,,,8244.8,6158.3,10339.1
2020/05/07,,,,,,,,,8481.5,6375.8,10609.0
