date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1876437.6,63839.4,38465.2,26846.7,354702.4,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2104830.7,34223.4,27845.2,30067.7,340025.1,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2147986.9,40490.8,28802.9,28787.0,356041.7,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2165596.4,37054.3,28360.6,27695.2,356927.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2163168.0,32285.2,31391.9,27339.9,363743.7,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2272178.7,34037.7,36733.9,29619.6,406703.4,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1704060.5,32099.9,35412.8,27190.6,313212.8,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1466452.0,63839.4,30674.4,26846.7,230681.4,72052.1,109065.0,146997.1,315.1,119.4,578.3
2020/03/16,1643760.4,34223.4,28838.2,30067.7,256878.2,79560.6,98243.7,188780.9,364.1,139.6,665.8
2020/03/17,1248530.1,40490.8,14825.0,28787.0,159121.2,51186.6,91926.1,196948.5,415.8,162.4,756.3
2020/03/18,1185605.7,37054.3,14388.1,27695.2,147917.5,49502.1,88843.4,191689.7,471.7,188.6,853.4
2020/03/19,1171821.5,32285.2,13654.7,27339.9,146883.7,48294.2,87397.3,184930.5,532.8,217.8,953.0
2020/03/20,1064879.5,34037.7,11453.6,29619.6,125905.7,39305.4,97300.7,184850.9,601.3,255.5,1067.2
2020/03/21,869275.8,32099.9,9332.0,27190.6,94150.2,27258.8,103551.5,165022.7,679.3,299.2,1193.6
2020/03/22,1030876.2,63839.4,16351.3,26846.7,115593.8,42301.5,109065.0,146997.1,763.7,349.5,1328.3
2020/03/23,1159900.2,34223.4,14047.1,30067.7,140892.0,46339.1,98243.7,188780.9,852.4,404.8,1465.8
2020/03/24,1138084.7,40490.8,13016.4,28787.0,140316.8,45811.9,91926.1,196948.5,947.3,468.8,1612.0
2020/03/25,1275100.6,37054.3,15553.0,27695.2,163396.4,55766.6,88843.4,191689.7,1047.0,534.4,1765.8
2020/03/26,1124058.8,32285.2,13853.9,27339.9,137963.0,49589.0,87397.3,184930.5,1148.5,602.9,1923.6
2020/03/27,1103684.1,34037.7,14290.8,29619.6,136121.9,50804.6,97300.7,184850.9,1253.2,669.8,2070.9
2020/03/28,985261.5,32099.9,16842.4,27190.6,121728.5,46289.3,103551.5,165022.7,1358.8,742.7,2227.9
2020/03/29,946662.2,63839.4,14833.9,26846.7,105788.1,40271.0,109065.0,146997.1,1465.5,814.7,2379.1
2020/03/30,1146512.9,34223.4,13417.2,30067.7,136875.7,47503.9,98243.7,188780.9,1574.4,893.0,2529.6
2020/03/31,1152116.8,40490.8,13500.1,28787.0,134691.8,50112.1,91926.1,196948.5,1687.9,979.9,2684.2
2020/04/01,1145753.2,37054.3,13529.3,27695.2,141856.6,49678.4,88843.4,191689.7,1807.6,1074.1,2855.9
2020/04/02,1081291.6,32285.2,13402.5,27339.9,130617.6,49609.2,87397.3,184930.5,1934.7,1178.9,3032.8
2020/04/03,1113892.5,34037.7,15216.2,29619.6,143045.1,55294.5,97300.7,184850.9,2069.2,1288.0,3222.1
2020/04/04,953356.5,32099.9,16134.0,27190.6,122303.2,45840.3,103551.5,165022.7,2209.3,1406.3,3416.5
2020/04/05,863559.4,63839.4,13908.5,26846.7,95693.2,34682.5,109065.0,146997.1,2351.1,1514.1,3603.4
2020/04/06,974365.6,34223.4,11846.4,30067.7,110666.7,40267.3,98243.7,188780.9,2492.7,1609.4,3786.0
2020/04/07,1064744.0,40490.8,12904.9,28787.0,125406.0,45581.5,91926.1,196948.5,2639.8,1711.2,3972.5
2020/04/08,1024901.9,37054.3,12114.8,27695.2,121381.8,45426.1,88843.4,191689.7,2795.6,1817.0,4171.7
2020/04/09,1009661.3,32285.2,12403.5,27339.9,122309.0,45167.7,87397.3,184930.5,2956.8,1928.3,4372.4
2020/04/10,1069224.5,34037.7,15000.8,29619.6,135354.4,53806.1,97300.7,184850.9,3126.1,2072.4,4587.9
2020/04/11,989053.1,32099.9,16836.6,27190.6,122777.8,49167.4,103551.5,165022.7,3295.1,2182.5,4797.6
2020/04/12,811325.8,63839.4,1418.3,26846.7,88661.9,29764.3,109065.0,146997.1,3462.4,2287.3,5002.0
2020/04/13,1007331.7,34223.4,12031.7,30067.7,115956.6,42516.9,98243.7,188780.9,3625.9,2404.5,5196.4
2020/04/14,1047498.8,40490.8,10915.1,28787.0,123129.7,45522.8,91926.1,196948.5,3788.9,2522.3,5393.4
2020/04/15,1068259.1,37054.3,12400.1,27695.2,127531.3,49690.8,88843.4,191689.7,3952.1,2633.5,5587.4
2020/04/16,1027636.5,32285.2,11966.2,27339.9,124894.6,47725.0,87397.3,184930.5,4117.6,2750.3,5780.4
2020/04/17,1086975.3,34037.7,12967.1,29619.6,137675.0,53510.5,97300.7,184850.9,4284.9,2877.3,5968.5
2020/04/18,1023609.7,32099.9,14584.4,27190.6,127024.8,54006.8,103551.5,165022.7,4450.6,2995.9,6156.5
2020/04/19,970193.1,63839.4,13286.4,26846.7,108509.7,45553.9,109065.0,146997.1,4616.4,3118.8,6336.7
2020/04/20,1086010.1,34223.4,11344.7,30067.7,130871.4,45938.4,98243.7,188780.9,4781.4,3234.8,6514.7
2020/04/21,1145848.8,40490.8,12333.8,28787.0,139428.2,51644.2,91926.1,196948.5,4948.8,3357.9,6721.0
2020/04/22,1165246.4,37054.3,12433.8,27695.2,141288.6,55593.8,88843.4,191689.7,5120.6,3486.3,6932.8
2020/04/23,1163398.2,32285.2,13490.3,27339.9,144227.4,56275.2,87397.3,184930.5,5295.2,3620.5,7143.3
2020/04/24,1221496.5,34037.7,14042.9,29619.6,157226.9,64373.7,97300.7,184850.9,5471.7,3759.3,7345.8
2020/04/25,1153052.9,32099.9,16490.3,27190.6,147803.9,62232.2,103551.5,165022.7,5649.4,3897.4,7525.5
2020/04/26,1017225.3,63839.4,13171.5,26846.7,114976.4,49856.1,109065.0,146997.1,5830.4,4037.3,7705.4
2020/04/27,1164893.1,34223.4,13111.5,30067.7,135050.4,51484.3,98243.7,188780.9,6011.8,4182.5,7879.9
2020/04/28,1201328.5,40490.8,13039.2,28787.0,143648.3,55027.8,91926.1,196948.5,6194.1,4326.3,8051.0
2020/04/29,1158602.8,37054.3,13284.0,27695.2,136297.3,53085.4,88843.4,191689.7,6383.9,4476.7,8226.0
2020/04/30,1134804.9,32285.2,13468.9,27339.9,136383.2,56617.9,87397.3,184930.5,6579.6,4633.4,8407.7
2020/05/01,1248908.9,34037.7,14442.3,29619.6,157730.8,64034.6,97300.7,184850.9,6781.4,4805.0,8593.6
2020/05/02,1114384.5,32099.9,16148.9,27190.6,138265.9,63013.7,103551.5,165022.7,6989.4,4979.0,8782.9
2020/05/03,,,,,,,,,7199.4,5156.8,8967.7
2020/05/04,,,,,,,,,7412.6,5319.4,9189.3
2020/05/05,,,,,,,,,7628.8,5488.3,9454.2
2020/05/06,,,,,,,,,7847.2,5659.0,9661.5
2020/05/07,,,,,,,,,8067.1,5836.7,9877.1
