date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1873918.5,63839.4,38465.2,24327.6,354702.4,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2101248.1,34223.4,27845.2,26485.2,340025.1,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2147230.0,40490.8,28802.9,28030.0,356041.7,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2167417.1,37054.3,28360.6,29515.9,356927.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2168621.9,32285.2,31391.9,32793.8,363743.7,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2282560.6,34037.7,36733.9,40001.6,406703.4,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1708213.5,32099.9,35412.8,31343.7,313212.8,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1467113.5,63839.4,30674.4,27508.1,230681.4,72052.1,109065.0,146997.1,315.1,119.4,578.3
2020/03/16,1651255.9,34223.4,28838.2,37563.2,256878.2,79560.6,98243.7,188780.9,364.1,139.1,664.1
2020/03/17,1242062.1,40490.8,14825.0,22319.0,159121.2,51186.6,91926.1,196948.5,416.1,162.0,756.7
2020/03/18,1179108.4,37054.3,14388.1,21197.9,147917.5,49502.1,88843.4,191689.7,472.4,187.5,852.0
2020/03/19,1166263.4,32285.2,13654.7,21781.8,146883.7,48294.2,87397.3,184930.5,533.9,217.4,954.1
2020/03/20,1050110.7,34037.7,11453.6,14850.9,125905.7,39305.4,97300.7,184850.9,602.6,251.9,1067.7
2020/03/21,851266.0,32099.9,9332.0,9180.9,94150.2,27258.8,103551.5,165022.7,681.0,295.8,1190.5
2020/03/22,1021431.8,63839.4,16351.3,17402.2,115593.8,42301.5,109065.0,146997.1,766.0,346.2,1325.8
2020/03/23,1148602.6,34223.4,14047.1,18770.1,140892.0,46339.1,98243.7,188780.9,856.1,399.3,1469.0
2020/03/24,1127834.1,40490.8,13016.4,18536.4,140316.8,45811.9,91926.1,196948.5,951.5,461.7,1614.4
2020/03/25,1268049.8,37054.3,15553.0,20644.5,163396.4,55766.6,88843.4,191689.7,1052.2,526.6,1767.6
2020/03/26,1113501.0,32285.2,13853.9,16782.0,137963.0,49589.0,87397.3,184930.5,1154.6,600.6,1924.5
2020/03/27,1092191.7,34037.7,14290.8,18127.2,136121.9,50804.6,97300.7,184850.9,1259.7,670.6,2075.5
2020/03/28,975207.1,32099.9,16842.4,17136.3,121728.5,46289.3,103551.5,165022.7,1366.7,740.7,2242.7
2020/03/29,934860.8,63839.4,14833.9,15045.3,105788.1,40271.0,109065.0,146997.1,1474.3,816.5,2404.4
2020/03/30,1133981.1,34223.4,13417.2,17536.0,136875.7,47503.9,98243.7,188780.9,1583.6,892.5,2561.9
2020/03/31,1141166.2,40490.8,13500.1,17836.4,134691.8,50112.1,91926.1,196948.5,1697.8,978.7,2727.4
2020/04/01,1135986.8,37054.3,13529.3,17928.9,141856.6,49678.4,88843.4,191689.7,1818.6,1068.3,2893.6
2020/04/02,1070731.7,32285.2,13402.5,16779.9,130617.6,49609.2,87397.3,184930.5,1946.8,1167.2,3071.6
2020/04/03,1103739.8,34037.7,15216.2,19467.0,143045.1,55294.5,97300.7,184850.9,2083.0,1278.2,3256.0
2020/04/04,942549.7,32099.9,16134.0,16383.9,122303.2,45840.3,103551.5,165022.7,2224.3,1399.8,3443.5
2020/04/05,851724.4,63839.4,13908.5,15011.7,95693.2,34682.5,109065.0,146997.1,2367.3,1523.9,3625.7
2020/04/06,960325.0,34223.4,11846.4,16027.1,110666.7,40267.3,98243.7,188780.9,2510.9,1642.2,3805.5
2020/04/07,1053347.3,40490.8,12904.9,17390.3,125406.0,45581.5,91926.1,196948.5,2659.0,1752.8,3986.6
2020/04/08,1013954.7,37054.3,12114.8,16748.1,121381.8,45426.1,88843.4,191689.7,2815.6,1866.0,4176.9
2020/04/09,999753.6,32285.2,12403.5,17432.2,122309.0,45167.7,87397.3,184930.5,2978.5,1985.5,4371.4
2020/04/10,1058411.2,34037.7,15000.8,18806.4,135354.4,53806.1,97300.7,184850.9,3149.4,2101.7,4575.6
2020/04/11,981455.3,32099.9,16836.6,19592.8,122777.8,49167.4,103551.5,165022.7,3319.7,2211.7,4789.8
2020/04/12,797267.7,63839.4,1418.3,12788.6,88661.9,29764.3,109065.0,146997.1,3488.8,2322.6,5002.7
2020/04/13,991860.2,34223.4,12031.7,14596.2,115956.6,42516.9,98243.7,188780.9,3654.4,2435.1,5234.1
2020/04/14,1034766.1,40490.8,10915.1,16054.3,123129.7,45522.8,91926.1,196948.5,3818.8,2551.7,5461.8
2020/04/15,1056734.0,37054.3,12400.1,16170.2,127531.3,49690.8,88843.4,191689.7,3983.8,2667.8,5674.2
2020/04/16,1015158.6,32285.2,11966.2,14861.9,124894.6,47725.0,87397.3,184930.5,4150.6,2783.6,5862.0
2020/04/17,1075339.9,34037.7,12967.1,17984.2,137675.0,53510.5,97300.7,184850.9,4319.2,2906.4,6054.8
2020/04/18,1013146.1,32099.9,14584.4,16727.0,127024.8,54006.8,103551.5,165022.7,4486.9,3036.8,6237.4
2020/04/19,958026.4,63839.4,13286.4,14680.0,108509.7,45553.9,109065.0,146997.1,4654.5,3176.4,6417.6
2020/04/20,1071495.7,34223.4,11344.7,15553.3,130871.4,45938.4,98243.7,188780.9,4821.2,3312.4,6596.2
2020/04/21,1134744.2,40490.8,12333.8,17682.4,139428.2,51644.2,91926.1,196948.5,4989.7,3460.2,6770.1
2020/04/22,1154685.8,37054.3,12433.8,17134.6,141288.6,55593.8,88843.4,191689.7,5163.1,3607.3,6947.1
2020/04/23,1152808.7,32285.2,13490.3,16750.3,144227.4,56275.2,87397.3,184930.5,5339.2,3745.2,7122.0
2020/04/24,1209413.5,34037.7,14042.9,17536.7,157226.9,64373.7,97300.7,184850.9,5517.4,3880.1,7299.3
2020/04/25,1142494.8,32099.9,16490.3,16632.6,147803.9,62232.2,103551.5,165022.7,5697.2,4020.8,7472.5
2020/04/26,1004975.3,63839.4,13171.5,14596.6,114976.4,49856.1,109065.0,146997.1,5879.4,4158.9,7650.0
2020/04/27,1151904.3,34223.4,13111.5,17078.9,135050.4,51484.3,98243.7,188780.9,6062.6,4310.4,7836.8
2020/04/28,1190776.5,40490.8,13039.2,18235.0,143648.3,55027.8,91926.1,196948.5,6247.3,4467.8,8020.7
2020/04/29,1147826.1,37054.3,13284.0,16918.6,136297.3,53085.4,88843.4,191689.7,6438.4,4612.4,8208.6
2020/04/30,1124097.4,32285.2,13468.9,16632.4,136383.2,56617.9,87397.3,184930.5,6636.1,4753.5,8404.7
2020/05/01,1237077.2,34037.7,14442.3,17787.9,157730.8,64034.6,97300.7,184850.9,6839.8,4894.5,8600.4
2020/05/02,1103917.2,32099.9,16148.9,16723.3,138265.9,63013.7,103551.5,165022.7,7049.2,5045.3,8844.0
2020/05/03,,,,,,,,,7261.2,5196.3,9033.4
2020/05/04,,,,,,,,,7476.5,5346.9,9223.2
2020/05/05,,,,,,,,,7694.7,5513.8,9440.2
2020/05/06,,,,,,,,,7915.0,5699.6,9658.1
2020/05/07,,,,,,,,,8137.0,5910.1,9926.2
