date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1868249.9,53757.0,38465.2,26846.7,354702.4,112568.1,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2101606.7,28652.2,27845.2,30067.7,340025.1,106611.3,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2150163.6,34395.3,28802.9,28787.0,356041.7,111913.5,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2180463.2,34867.8,28360.6,27695.2,356927.2,113175.3,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2189173.6,30304.5,31391.9,27339.9,363743.7,110326.9,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2324945.6,29895.4,36733.9,29619.6,406703.4,128562.6,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1757452.9,23801.3,35412.8,27190.6,313212.8,127774.1,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1482626.8,31604.8,30674.4,26846.7,230681.4,112568.1,116958.3,146997.1,315.1,119.5,577.8
2020/03/16,1704916.6,19228.4,28838.2,30067.7,256878.2,106611.3,147344.3,188780.9,364.1,140.8,663.4
2020/03/17,1276206.2,16503.9,14825.0,28787.0,159121.2,111913.5,82862.2,196948.5,415.5,162.8,756.8
2020/03/18,1215247.5,15142.4,14388.1,27695.2,147917.5,113175.3,76723.9,191689.7,471.5,189.4,851.9
2020/03/19,1207715.0,16883.5,13654.7,27339.9,146883.7,110326.9,76659.9,184930.5,532.7,216.6,953.4
2020/03/20,1100222.5,15886.5,11453.6,29619.6,125905.7,128562.6,61537.8,184850.9,601.2,250.4,1071.0
2020/03/21,892821.0,14134.8,9332.0,27190.6,94150.2,127774.1,44546.5,165022.7,679.9,294.2,1193.1
2020/03/22,1015207.1,15017.0,16351.3,26846.7,115593.8,112568.1,71951.6,146997.1,764.6,343.6,1332.3
2020/03/23,1174673.2,15515.0,14047.1,30067.7,140892.0,106611.3,71453.0,188780.9,854.0,399.1,1471.0
2020/03/24,1156596.4,14633.7,13016.4,28787.0,140316.8,111913.5,70193.3,196948.5,948.8,458.4,1626.3
2020/03/25,1303940.5,18905.2,15553.0,27695.2,163396.4,113175.3,78423.8,191689.7,1049.0,525.2,1781.6
2020/03/26,1147488.0,15549.9,13853.9,27339.9,137963.0,110326.9,66823.9,184930.5,1150.9,592.0,1931.5
2020/03/27,1136551.0,14790.8,14290.8,29619.6,136121.9,128562.6,71656.6,184850.9,1255.2,669.7,2081.4
2020/03/28,1016298.3,12983.0,16842.4,27190.6,121728.5,127774.1,72220.4,165022.7,1361.3,749.9,2235.2
2020/03/29,927403.1,15361.1,14833.9,26846.7,105788.1,112568.1,65987.1,146997.1,1468.6,828.6,2392.9
2020/03/30,1156072.8,15263.9,13417.2,30067.7,136875.7,106611.3,67655.7,188780.9,1576.1,908.6,2549.7
2020/03/31,1166059.5,15528.0,13500.1,28787.0,134691.8,111913.5,69030.1,196948.5,1688.2,996.8,2707.8
2020/04/01,1167123.1,16125.1,13529.3,27695.2,141856.6,113175.3,67645.6,191689.7,1806.3,1094.6,2869.6
2020/04/02,1105039.4,14852.1,13402.5,27339.9,130617.6,110326.9,67860.4,184930.5,1932.0,1198.0,3037.0
2020/04/03,1144986.5,14186.5,15216.2,29619.6,143045.1,128562.6,74978.0,184850.9,2065.2,1298.5,3222.9
2020/04/04,985762.7,11709.3,16134.0,27190.6,122303.2,127774.1,74414.5,165022.7,2203.6,1407.9,3403.4
2020/04/05,842723.6,11921.7,13908.5,26846.7,95693.2,112568.1,62261.4,146997.1,2343.5,1520.9,3588.1
2020/04/06,981227.3,10430.2,11846.4,30067.7,110666.7,106611.3,62554.7,188780.9,2482.5,1632.8,3783.5
2020/04/07,1076460.4,13049.2,12904.9,28787.0,125406.0,111913.5,64752.0,196948.5,2625.2,1738.8,3971.1
2020/04/08,1044634.6,13329.9,12114.8,27695.2,121381.8,113175.3,64551.4,191689.7,2777.3,1848.7,4175.9
2020/04/09,1030719.3,12576.0,12403.5,27339.9,122309.0,110326.9,63005.3,184930.5,2934.1,1961.3,4383.2
2020/04/10,1096488.1,12544.2,15000.8,29619.6,135354.4,128562.6,71301.3,184850.9,3099.6,2071.8,4599.9
2020/04/11,1021424.8,12625.9,16836.6,27190.6,122777.8,127774.1,76790.5,165022.7,3265.4,2182.4,4810.3
2020/04/12,785375.2,11695.3,1418.3,26846.7,88661.9,112568.1,52454.6,146997.1,3428.0,2294.0,5012.6
2020/04/13,1008727.3,11519.1,12031.7,30067.7,115956.6,106611.3,58249.3,188780.9,3586.0,2402.8,5205.9
2020/04/14,1056583.1,13530.9,10915.1,28787.0,123129.7,111913.5,61579.5,196948.5,3742.2,2507.2,5397.9
2020/04/15,1080149.7,13653.1,12400.1,27695.2,127531.3,113175.3,60650.7,191689.7,3898.5,2620.2,5582.6
2020/04/16,1043850.2,13353.6,11966.2,27339.9,124894.6,110326.9,59940.7,184930.5,4057.6,2736.8,5768.7
2020/04/17,1109173.1,13476.5,12967.1,29619.6,137675.0,128562.6,65007.7,184850.9,4218.8,2866.1,5956.6
2020/04/18,1043954.8,12988.0,14584.4,27190.6,127024.8,127774.1,69241.2,165022.7,4378.6,2989.0,6139.2
2020/04/19,940797.2,14625.7,13286.4,26846.7,108509.7,112568.1,61868.6,146997.1,4537.3,3115.4,6319.7
2020/04/20,1089552.9,13805.1,11344.7,30067.7,130871.4,106611.3,61532.0,188780.9,4693.0,3249.4,6489.2
2020/04/21,1156414.1,15916.1,12333.8,28787.0,139428.2,111913.5,66796.6,196948.5,4850.6,3367.5,6660.4
2020/04/22,1180633.1,16134.6,12433.8,27695.2,141288.6,113175.3,67568.2,191689.7,5012.4,3473.2,6834.5
2020/04/23,1179163.8,15505.7,13490.3,27339.9,144227.4,110326.9,65890.7,184930.5,5176.8,3584.4,7019.1
2020/04/24,1243093.3,16071.0,14042.9,29619.6,157226.9,128562.6,72675.4,184850.9,5343.3,3703.7,7218.4
2020/04/25,1171365.8,15369.4,16490.3,27190.6,147803.9,127774.1,73053.0,165022.7,5511.3,3831.9,7410.3
2020/04/26,985657.9,14538.7,13171.5,26846.7,114976.4,112568.1,64086.4,146997.1,5681.9,3965.1,7608.6
2020/04/27,1164870.5,13533.2,13111.5,30067.7,135050.4,106611.3,63784.4,188780.9,5851.4,4100.9,7799.6
2020/04/28,1204842.8,14565.1,13039.2,28787.0,143648.3,111913.5,64480.3,196948.5,6021.5,4238.0,7991.5
2020/04/29,1171779.5,14758.4,13284.0,27695.2,136297.3,113175.3,64226.1,191689.7,6198.2,4384.4,8162.2
2020/04/30,1144563.9,13562.7,13468.9,27339.9,136383.2,110326.9,62169.9,184930.5,6380.7,4537.4,8326.3
2020/05/01,1269122.4,15411.6,14442.3,29619.6,157730.8,128562.6,71612.4,184850.9,6569.2,4696.9,8495.2
2020/05/02,1127446.2,13191.7,16148.9,27190.6,138265.9,127774.1,70761.0,165022.7,6764.7,4861.6,8663.5
2020/05/03,,,,,,,,,6961.5,5029.7,8858.7
2020/05/04,,,,,,,,,7158.8,5203.6,9082.2
2020/05/05,,,,,,,,,7356.0,5381.5,9272.0
2020/05/06,,,,,,,,,7555.9,5557.4,9439.5
2020/05/07,,,,,,,,,7757.6,5732.8,9613.5
