date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1866888.4,63839.4,38465.2,26846.7,354702.4,101124.2,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2099973.1,34223.4,27845.2,30067.7,340025.1,99406.5,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2147598.3,40490.8,28802.9,28787.0,356041.7,103252.8,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2174709.0,37054.3,28360.6,27695.2,356927.2,105234.6,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2189000.9,32285.2,31391.9,27339.9,363743.7,108173.5,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2321623.8,34037.7,36733.9,29619.6,406703.4,121098.5,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1730177.1,32099.9,35412.8,27190.6,313212.8,92199.6,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1474345.3,63839.4,30674.4,26846.7,230681.4,72052.1,116958.3,146997.1,315.1,119.4,577.8
2020/03/16,1692861.0,34223.4,28838.2,30067.7,256878.2,79560.6,147344.3,188780.9,364.1,139.9,663.3
2020/03/17,1239466.2,40490.8,14825.0,28787.0,159121.2,51186.6,82862.2,196948.5,416.0,163.2,753.7
2020/03/18,1173486.1,37054.3,14388.1,27695.2,147917.5,49502.1,76723.9,191689.7,472.0,189.4,851.9
2020/03/19,1161084.0,32285.2,13654.7,27339.9,146883.7,48294.2,76659.9,184930.5,533.2,220.2,954.7
2020/03/20,1029116.6,34037.7,11453.6,29619.6,125905.7,39305.4,61537.8,184850.9,601.5,256.5,1066.5
2020/03/21,810270.8,32099.9,9332.0,27190.6,94150.2,27258.8,44546.5,165022.7,679.8,300.2,1192.1
2020/03/22,993762.8,63839.4,16351.3,26846.7,115593.8,42301.5,71951.6,146997.1,765.1,352.2,1326.2
2020/03/23,1133109.5,34223.4,14047.1,30067.7,140892.0,46339.1,71453.0,188780.9,854.8,400.2,1464.5
2020/03/24,1116351.8,40490.8,13016.4,28787.0,140316.8,45811.9,70193.3,196948.5,949.2,457.9,1607.9
2020/03/25,1264681.0,37054.3,15553.0,27695.2,163396.4,55766.6,78423.8,191689.7,1049.3,527.7,1762.8
2020/03/26,1103485.4,32285.2,13853.9,27339.9,137963.0,49589.0,66823.9,184930.5,1151.4,595.1,1918.2
2020/03/27,1078039.9,34037.7,14290.8,29619.6,136121.9,50804.6,71656.6,184850.9,1255.4,674.2,2072.8
2020/03/28,953930.4,32099.9,16842.4,27190.6,121728.5,46289.3,72220.4,165022.7,1360.6,753.2,2232.6
2020/03/29,903584.3,63839.4,14833.9,26846.7,105788.1,40271.0,65987.1,146997.1,1467.0,834.3,2382.9
2020/03/30,1115924.9,34223.4,13417.2,30067.7,136875.7,47503.9,67655.7,188780.9,1575.4,914.4,2533.9
2020/03/31,1129220.8,40490.8,13500.1,28787.0,134691.8,50112.1,69030.1,196948.5,1688.5,1006.6,2692.1
2020/04/01,1124555.3,37054.3,13529.3,27695.2,141856.6,49678.4,67645.6,191689.7,1807.5,1098.2,2863.1
2020/04/02,1061754.7,32285.2,13402.5,27339.9,130617.6,49609.2,67860.4,184930.5,1933.3,1200.0,3031.6
2020/04/03,1091569.7,34037.7,15216.2,29619.6,143045.1,55294.5,74978.0,184850.9,2067.0,1301.0,3217.5
2020/04/04,924219.5,32099.9,16134.0,27190.6,122303.2,45840.3,74414.5,165022.7,2205.6,1405.5,3412.6
2020/04/05,816755.7,63839.4,13908.5,26846.7,95693.2,34682.5,62261.4,146997.1,2345.6,1517.1,3590.6
2020/04/06,938676.6,34223.4,11846.4,30067.7,110666.7,40267.3,62554.7,188780.9,2484.9,1628.9,3775.2
2020/04/07,1037569.9,40490.8,12904.9,28787.0,125406.0,45581.5,64752.0,196948.5,2630.0,1742.3,3968.1
2020/04/08,1000609.8,37054.3,12114.8,27695.2,121381.8,45426.1,64551.4,191689.7,2783.0,1856.9,4168.8
2020/04/09,985269.2,32285.2,12403.5,27339.9,122309.0,45167.7,63005.3,184930.5,2941.5,1972.9,4376.1
2020/04/10,1043225.1,34037.7,15000.8,29619.6,135354.4,53806.1,71301.3,184850.9,3107.5,2075.6,4584.9
2020/04/11,962292.1,32099.9,16836.6,27190.6,122777.8,49167.4,76790.5,165022.7,3273.0,2177.4,4793.0
2020/04/12,754715.4,63839.4,1418.3,26846.7,88661.9,29764.3,52454.6,146997.1,3437.3,2284.7,4998.2
2020/04/13,967337.3,34223.4,12031.7,30067.7,115956.6,42516.9,58249.3,188780.9,3596.5,2393.6,5189.9
2020/04/14,1017152.2,40490.8,10915.1,28787.0,123129.7,45522.8,61579.5,196948.5,3755.6,2509.7,5379.7
2020/04/15,1040066.4,37054.3,12400.1,27695.2,127531.3,49690.8,60650.7,191689.7,3913.5,2629.0,5562.3
2020/04/16,1000179.9,32285.2,11966.2,27339.9,124894.6,47725.0,59940.7,184930.5,4074.1,2756.1,5748.4
2020/04/17,1054682.3,34037.7,12967.1,29619.6,137675.0,53510.5,65007.7,184850.9,4236.3,2867.0,5938.8
2020/04/18,989299.5,32099.9,14584.4,27190.6,127024.8,54006.8,69241.2,165022.7,4396.5,2986.3,6121.6
2020/04/19,922996.7,63839.4,13286.4,26846.7,108509.7,45553.9,61868.6,146997.1,4557.3,3101.0,6298.3
2020/04/20,1049298.4,34223.4,11344.7,30067.7,130871.4,45938.4,61532.0,188780.9,4716.8,3221.5,6501.1
2020/04/21,1120719.3,40490.8,12333.8,28787.0,139428.2,51644.2,66796.6,196948.5,4878.6,3345.3,6706.4
2020/04/22,1143971.3,37054.3,12433.8,27695.2,141288.6,55593.8,67568.2,191689.7,5044.7,3476.8,6884.4
2020/04/23,1141891.6,32285.2,13490.3,27339.9,144227.4,56275.2,65890.7,184930.5,5213.0,3611.8,7061.7
2020/04/24,1196871.1,34037.7,14042.9,29619.6,157226.9,64373.7,72675.4,184850.9,5383.4,3752.5,7235.9
2020/04/25,1122554.4,32099.9,16490.3,27190.6,147803.9,62232.2,73053.0,165022.7,5554.6,3886.5,7409.2
2020/04/26,972246.6,63839.4,13171.5,26846.7,114976.4,49856.1,64086.4,146997.1,5729.0,4037.4,7581.2
2020/04/27,1130433.8,34223.4,13111.5,30067.7,135050.4,51484.3,63784.4,188780.9,5902.6,4172.8,7757.6
2020/04/28,1173882.7,40490.8,13039.2,28787.0,143648.3,55027.8,64480.3,196948.5,6078.1,4310.2,7931.1
2020/04/29,1133985.5,37054.3,13284.0,27695.2,136297.3,53085.4,64226.1,191689.7,6259.5,4460.7,8101.2
2020/04/30,1109577.4,32285.2,13468.9,27339.9,136383.2,56617.9,62169.9,184930.5,6447.7,4620.0,8274.9
2020/05/01,1223220.6,34037.7,14442.3,29619.6,157730.8,64034.6,71612.4,184850.9,6641.3,4816.3,8450.4
2020/05/02,1081594.0,32099.9,16148.9,27190.6,138265.9,63013.7,70761.0,165022.7,6841.5,4983.7,8626.1
2020/05/03,,,,,,,,,7044.7,5158.2,8886.4
2020/05/04,,,,,,,,,7250.7,5335.2,9110.4
2020/05/05,,,,,,,,,7458.8,5509.7,9318.8
2020/05/06,,,,,,,,,7668.7,5689.2,9508.8
2020/05/07,,,,,,,,,7881.0,5871.2,9776.8
