date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1864369.3,63839.4,38465.2,24327.6,354702.4,101124.2,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2096390.6,34223.4,27845.2,26485.2,340025.1,99406.5,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2146841.3,40490.8,28802.9,28030.0,356041.7,103252.8,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2176529.6,37054.3,28360.6,29515.9,356927.2,105234.6,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2194454.8,32285.2,31391.9,32793.8,363743.7,108173.5,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2332005.8,34037.7,36733.9,40001.6,406703.4,121098.5,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1734330.1,32099.9,35412.8,31343.7,313212.8,92199.6,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1475006.8,63839.4,30674.4,27508.1,230681.4,72052.1,116958.3,146997.1,315.1,119.4,577.8
2020/03/16,1700356.5,34223.4,28838.2,37563.2,256878.2,79560.6,147344.3,188780.9,364.1,139.1,663.6
2020/03/17,1232998.2,40490.8,14825.0,22319.0,159121.2,51186.6,82862.2,196948.5,416.0,161.4,754.4
2020/03/18,1166988.8,37054.3,14388.1,21197.9,147917.5,49502.1,76723.9,191689.7,471.8,186.4,849.3
2020/03/19,1155525.9,32285.2,13654.7,21781.8,146883.7,48294.2,76659.9,184930.5,533.4,215.5,953.6
2020/03/20,1014347.8,34037.7,11453.6,14850.9,125905.7,39305.4,61537.8,184850.9,601.6,253.0,1065.7
2020/03/21,792261.0,32099.9,9332.0,9180.9,94150.2,27258.8,44546.5,165022.7,679.9,296.0,1197.4
2020/03/22,984318.3,63839.4,16351.3,17402.2,115593.8,42301.5,71951.6,146997.1,764.7,342.5,1336.8
2020/03/23,1121811.9,34223.4,14047.1,18770.1,140892.0,46339.1,71453.0,188780.9,854.2,391.7,1484.1
2020/03/24,1106101.3,40490.8,13016.4,18536.4,140316.8,45811.9,70193.3,196948.5,948.9,448.2,1636.4
2020/03/25,1257630.2,37054.3,15553.0,20644.5,163396.4,55766.6,78423.8,191689.7,1049.6,511.6,1796.1
2020/03/26,1092927.6,32285.2,13853.9,16782.0,137963.0,49589.0,66823.9,184930.5,1151.2,575.6,1944.4
2020/03/27,1066547.5,34037.7,14290.8,18127.2,136121.9,50804.6,71656.6,184850.9,1255.3,646.0,2094.3
2020/03/28,943876.0,32099.9,16842.4,17136.3,121728.5,46289.3,72220.4,165022.7,1361.0,722.9,2254.0
2020/03/29,891782.9,63839.4,14833.9,15045.3,105788.1,40271.0,65987.1,146997.1,1468.3,800.8,2409.1
2020/03/30,1103393.1,34223.4,13417.2,17536.0,136875.7,47503.9,67655.7,188780.9,1576.5,879.0,2564.2
2020/03/31,1118270.2,40490.8,13500.1,17836.4,134691.8,50112.1,69030.1,196948.5,1689.9,966.3,2732.6
2020/04/01,1114789.0,37054.3,13529.3,17928.9,141856.6,49678.4,67645.6,191689.7,1808.9,1059.4,2905.5
2020/04/02,1051194.7,32285.2,13402.5,16779.9,130617.6,49609.2,67860.4,184930.5,1935.8,1161.0,3081.3
2020/04/03,1081417.0,34037.7,15216.2,19467.0,143045.1,55294.5,74978.0,184850.9,2069.6,1255.4,3271.2
2020/04/04,913412.7,32099.9,16134.0,16383.9,122303.2,45840.3,74414.5,165022.7,2208.5,1355.0,3463.7
2020/04/05,804920.7,63839.4,13908.5,15011.7,95693.2,34682.5,62261.4,146997.1,2349.0,1461.1,3656.3
2020/04/06,924636.0,34223.4,11846.4,16027.1,110666.7,40267.3,62554.7,188780.9,2489.1,1562.4,3844.8
2020/04/07,1026173.3,40490.8,12904.9,17390.3,125406.0,45581.5,64752.0,196948.5,2634.0,1673.0,4040.4
2020/04/08,989662.7,37054.3,12114.8,16748.1,121381.8,45426.1,64551.4,191689.7,2787.1,1799.2,4239.4
2020/04/09,975361.6,32285.2,12403.5,17432.2,122309.0,45167.7,63005.3,184930.5,2946.0,1921.8,4456.0
2020/04/10,1032411.9,34037.7,15000.8,18806.4,135354.4,53806.1,71301.3,184850.9,3111.8,2049.3,4677.5
2020/04/11,954694.3,32099.9,16836.6,19592.8,122777.8,49167.4,76790.5,165022.7,3277.4,2187.0,4895.0
2020/04/12,740657.3,63839.4,1418.3,12788.6,88661.9,29764.3,52454.6,146997.1,3441.3,2310.3,5108.1
2020/04/13,951865.8,34223.4,12031.7,14596.2,115956.6,42516.9,58249.3,188780.9,3601.2,2415.2,5310.1
2020/04/14,1004419.5,40490.8,10915.1,16054.3,123129.7,45522.8,61579.5,196948.5,3760.0,2520.1,5510.2
2020/04/15,1028541.3,37054.3,12400.1,16170.2,127531.3,49690.8,60650.7,191689.7,3918.7,2628.3,5702.7
2020/04/16,987702.0,32285.2,11966.2,14861.9,124894.6,47725.0,59940.7,184930.5,4079.8,2737.1,5888.9
2020/04/17,1043046.8,34037.7,12967.1,17984.2,137675.0,53510.5,65007.7,184850.9,4242.2,2851.1,6092.7
2020/04/18,978835.8,32099.9,14584.4,16727.0,127024.8,54006.8,69241.2,165022.7,4402.8,2961.5,6293.5
2020/04/19,910830.0,63839.4,13286.4,14680.0,108509.7,45553.9,61868.6,146997.1,4563.3,3074.5,6485.6
2020/04/20,1034783.9,34223.4,11344.7,15553.3,130871.4,45938.4,61532.0,188780.9,4722.1,3191.7,6676.8
2020/04/21,1109614.7,40490.8,12333.8,17682.4,139428.2,51644.2,66796.6,196948.5,4882.7,3309.9,6852.1
2020/04/22,1133410.7,37054.3,12433.8,17134.6,141288.6,55593.8,67568.2,191689.7,5047.8,3436.1,7028.8
2020/04/23,1131302.1,32285.2,13490.3,16750.3,144227.4,56275.2,65890.7,184930.5,5215.7,3565.5,7204.5
2020/04/24,1184788.2,34037.7,14042.9,17536.7,157226.9,64373.7,72675.4,184850.9,5385.4,3692.8,7378.0
2020/04/25,1111996.3,32099.9,16490.3,16632.6,147803.9,62232.2,73053.0,165022.7,5555.8,3822.5,7548.3
2020/04/26,959996.6,63839.4,13171.5,14596.6,114976.4,49856.1,64086.4,146997.1,5728.8,3954.1,7717.7
2020/04/27,1117445.0,34223.4,13111.5,17078.9,135050.4,51484.3,63784.4,188780.9,5901.9,4094.0,7887.9
2020/04/28,1163330.7,40490.8,13039.2,18235.0,143648.3,55027.8,64480.3,196948.5,6077.3,4235.9,8059.1
2020/04/29,1123208.9,37054.3,13284.0,16918.6,136297.3,53085.4,64226.1,191689.7,6259.4,4378.4,8231.8
2020/04/30,1098870.0,32285.2,13468.9,16632.4,136383.2,56617.9,62169.9,184930.5,6446.7,4535.2,8405.9
2020/05/01,1211388.9,34037.7,14442.3,17787.9,157730.8,64034.6,71612.4,184850.9,6639.4,4692.4,8600.4
2020/05/02,1071126.7,32099.9,16148.9,16723.3,138265.9,63013.7,70761.0,165022.7,6838.6,4848.4,8808.9
2020/05/03,,,,,,,,,7039.7,5010.3,9016.7
2020/05/04,,,,,,,,,7243.9,5175.5,9208.1
2020/05/05,,,,,,,,,7449.9,5354.7,9397.6
2020/05/06,,,,,,,,,7658.4,5546.9,9584.4
2020/05/07,,,,,,,,,7867.4,5746.3,9777.9
2020/05/08,,,,,,,,,8076.5,5928.8,9965.5
