date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1876187.0,53757.0,38465.2,24327.6,395764.5,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2104414.1,28652.2,27845.2,26485.2,369868.4,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2156280.1,34395.3,28802.9,28030.0,388568.8,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2185464.4,34867.8,28360.6,29515.9,384269.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2190800.5,30304.5,31391.9,32793.8,381278.4,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2350565.6,29895.4,36733.9,40001.6,456198.3,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1802522.6,23801.3,35412.8,31343.7,446784.7,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1543590.8,31604.8,30674.4,27508.1,395764.5,72052.1,116958.3,82732.7,315.1,119.8,577.6
2020/03/16,1705685.2,19228.4,28838.2,37563.2,369868.4,79560.6,147344.3,96114.4,364.2,140.5,664.6
2020/03/17,1294902.1,16503.9,14825.0,22319.0,388568.8,51186.6,82862.2,53391.6,416.3,161.2,757.1
2020/03/18,1241498.6,15142.4,14388.1,21197.9,384269.2,49502.1,76723.9,51759.5,473.5,189.3,853.0
2020/03/19,1241919.8,16883.5,13654.7,21781.8,381278.4,48294.2,76659.9,52331.4,536.5,222.5,958.6
2020/03/20,1186152.8,15886.5,11453.6,14850.9,456198.3,39305.4,61537.8,44514.5,607.4,260.0,1079.1
2020/03/21,993788.6,14134.8,9332.0,9180.9,446784.7,27258.8,44546.5,31880.8,689.4,306.3,1208.7
2020/03/22,1106199.9,15017.0,16351.3,17402.2,395764.5,42301.5,71951.6,37530.5,783.1,361.4,1358.2
2020/03/23,1193501.1,15515.0,14047.1,18770.1,369868.4,46339.1,71453.0,50202.1,886.2,427.0,1518.0
2020/03/24,1179542.3,14633.7,13016.4,18536.4,388568.8,45811.9,70193.3,47994.5,1000.5,505.2,1694.1
2020/03/25,1326978.5,18905.2,15553.0,20644.5,384269.2,55766.6,78423.8,58314.2,1127.5,599.8,1888.5
2020/03/26,1182973.3,15549.9,13853.9,16782.0,381278.4,49589.0,66823.9,48396.1,1262.4,696.8,2098.4
2020/03/27,1229465.8,14790.8,14290.8,18127.2,456198.3,50804.6,71656.6,46939.7,1405.2,796.8,2321.5
2020/03/28,1120003.5,12983.0,16842.4,17136.3,446784.7,46289.3,72220.4,35211.0,1559.2,927.4,2558.1
2020/03/29,1020728.8,15361.1,14833.9,15045.3,395764.5,40271.0,65987.1,34445.0,1730.8,1081.9,2807.2
2020/03/30,1176958.6,15263.9,13417.2,17536.0,369868.4,47503.9,67655.7,48313.1,1912.8,1243.5,3072.4
2020/03/31,1199225.3,15528.0,13500.1,17836.4,388568.8,50112.1,69030.1,48989.4,2107.6,1352.8,3338.3
2020/04/01,1193572.9,16125.1,13529.3,17928.9,384269.2,49678.4,67645.6,48990.0,2319.0,1458.9,3619.0
2020/04/02,1145765.7,14852.1,13402.5,16779.9,381278.4,49609.2,67860.4,46273.6,2546.6,1570.3,3912.2
2020/04/03,1236681.7,14186.5,15216.2,19467.0,456198.3,55294.5,74978.0,46813.5,2789.1,1702.4,4223.3
2020/04/04,1085721.1,11709.3,16134.0,16383.9,446784.7,45840.3,74414.5,33240.1,3046.8,1870.7,4543.7
2020/04/05,934171.8,11921.7,13908.5,15011.7,395764.5,34682.5,62261.4,28094.6,3324.1,2030.3,4882.0
2020/04/06,1009760.9,10430.2,11846.4,16027.1,369868.4,40267.3,62554.7,38497.4,3608.4,2210.2,5219.0
2020/04/07,1108105.5,13049.2,12904.9,17390.3,388568.8,45581.5,64752.0,43159.5,3906.1,2421.7,5567.6
2020/04/08,1080979.0,13329.9,12114.8,16748.1,384269.2,45426.1,64551.4,43842.8,4225.6,2614.0,5938.9
2020/04/09,1071146.1,12576.0,12403.5,17432.2,381278.4,45167.7,63005.3,41454.8,4559.5,2815.2,6332.0
2020/04/10,1191322.8,12544.2,15000.8,18806.4,456198.3,53806.1,71301.3,44411.5,4905.3,3022.1,6747.5
2020/04/11,1130023.5,12625.9,16836.6,19592.8,446784.7,49167.4,76790.5,35819.1,5261.3,3273.6,7153.3
2020/04/12,873561.9,11695.3,1418.3,12788.6,395764.5,29764.3,52454.6,24943.3,5632.1,3566.0,7569.9
2020/04/13,1033274.9,11519.1,12031.7,14596.2,369868.4,42516.9,58249.3,38982.5,6005.4,3801.6,7997.9
2020/04/14,1086919.9,13530.9,10915.1,16054.3,388568.8,45522.8,61579.5,40969.7,6383.8,4048.1,8421.0
2020/04/15,1112765.7,13653.1,12400.1,16170.2,384269.2,49690.8,60650.7,42577.3,6771.8,4311.6,8832.9
2020/04/16,1081379.0,13353.6,11966.2,14861.9,381278.4,47725.0,59940.7,41155.4,7167.6,4574.0,9254.6
2020/04/17,1200158.3,13476.5,12967.1,17984.2,456198.3,53510.5,65007.7,44000.3,7570.5,4853.6,9678.6
2020/04/18,1153204.4,12988.0,14584.4,16727.0,446784.7,54006.8,69241.2,38743.4,7981.5,5147.5,10151.1
2020/04/19,1034526.4,14625.7,13286.4,14680.0,395764.5,45553.9,61868.6,32652.4,8408.1,5456.8,10576.4
2020/04/20,1109413.3,13805.1,11344.7,15553.3,369868.4,45938.4,61532.0,44831.6,8839.7,5770.0,11039.0
2020/04/21,1186248.9,15916.1,12333.8,17682.4,388568.8,51644.2,66796.6,49016.8,9271.9,6077.2,11516.1
2020/04/22,1213175.2,16134.6,12433.8,17134.6,384269.2,55593.8,67568.2,49393.2,9713.0,6410.1,11976.8
2020/04/23,1216711.1,15505.7,13490.3,16750.3,381278.4,56275.2,65890.7,50068.0,10159.3,6751.0,12573.5
2020/04/24,1332795.3,16071.0,14042.9,17536.7,456198.3,64373.7,72675.4,51853.4,10612.2,7097.6,13191.6
2020/04/25,1273078.4,15369.4,16490.3,16632.6,446784.7,62232.2,73053.0,43854.5,11071.3,7442.8,13801.8
2020/04/26,1079377.0,14538.7,13171.5,14596.6,395764.5,49856.1,64086.4,34890.2,11544.6,7805.6,14423.0
2020/04/27,1190655.2,13533.2,13111.5,17078.9,369868.4,51484.3,63784.4,47863.3,12019.8,8162.2,15044.5
2020/04/28,1236269.5,14565.1,13039.2,18235.0,388568.8,55027.8,64480.3,50892.5,12496.6,8532.0,15680.7
2020/04/29,1206021.0,14758.4,13284.0,16918.6,384269.2,53085.4,64226.1,48825.6,12979.2,8912.9,16317.8
2020/04/30,1187129.4,13562.7,13468.9,16632.4,381278.4,56617.9,62169.9,47017.2,13468.2,9300.3,16955.2
2020/05/01,1357394.9,15411.6,14442.3,17787.9,456198.3,64034.6,71612.4,51015.6,13964.6,9695.0,17603.9
2020/05/02,1235872.9,13191.7,16148.9,16723.3,446784.7,63013.7,70761.0,40158.4,14473.4,10105.5,18255.9
2020/05/03,,,,,,,,,14994.1,10531.1,18943.8
2020/05/04,,,,,,,,,15520.5,10962.1,19629.4
2020/05/05,,,,,,,,,16045.2,11398.9,20339.4
2020/05/06,,,,,,,,,16566.2,11835.9,21023.6
2020/05/07,,,,,,,,,17085.6,12267.2,21701.7
