date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1899699.2,53757.0,38465.2,26846.7,395764.5,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2120058.9,28652.2,27845.2,30067.7,369868.4,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2166086.4,34395.3,28802.9,28787.0,388568.8,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2182471.9,34867.8,28360.6,27695.2,384269.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2161667.2,30304.5,31391.9,27339.9,381278.4,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2298202.6,29895.4,36733.9,29619.6,456198.3,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1807827.4,23801.3,35412.8,27190.6,446784.7,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1575552.2,31604.8,30674.4,26846.7,395764.5,112568.1,109065.0,82732.7,315.2,119.6,577.8
2020/03/16,1676139.8,19228.4,28838.2,30067.7,369868.4,106611.3,98243.7,96114.4,364.0,139.5,664.2
2020/03/17,1371160.9,16503.9,14825.0,28787.0,388568.8,111913.5,91926.1,53391.6,416.3,163.6,757.5
2020/03/18,1323788.6,15142.4,14388.1,27695.2,384269.2,113175.3,88843.4,51759.5,473.5,187.2,855.5
2020/03/19,1320248.1,16883.5,13654.7,27339.9,381278.4,110326.9,87397.3,52331.4,536.7,218.5,963.9
2020/03/20,1325941.7,15886.5,11453.6,29619.6,456198.3,128562.6,97300.7,44514.5,607.8,256.6,1081.7
2020/03/21,1171318.6,14134.8,9332.0,27190.6,446784.7,127774.1,103551.5,31880.8,689.8,303.8,1215.7
2020/03/22,1223024.5,15017.0,16351.3,26846.7,395764.5,112568.1,109065.0,37530.5,783.8,357.2,1368.0
2020/03/23,1291861.6,15515.0,14047.1,30067.7,369868.4,106611.3,98243.7,50202.1,887.1,419.3,1531.7
2020/03/24,1277627.3,14633.7,13016.4,28787.0,388568.8,111913.5,91926.1,47994.5,1000.6,492.9,1706.6
2020/03/25,1401857.5,18905.2,15553.0,27695.2,384269.2,113175.3,88843.4,58314.2,1128.4,584.3,1902.2
2020/03/26,1274842.4,15549.9,13853.9,27339.9,381278.4,110326.9,87397.3,48396.1,1264.1,674.7,2110.8
2020/03/27,1344360.3,14790.8,14290.8,29619.6,456198.3,128562.6,97300.7,46939.7,1408.7,777.6,2323.2
2020/03/28,1242873.8,12983.0,16842.4,27190.6,446784.7,127774.1,103551.5,35211.0,1566.5,898.7,2551.8
2020/03/29,1147905.2,15361.1,14833.9,26846.7,395764.5,112568.1,109065.0,34445.0,1742.2,1037.8,2799.9
2020/03/30,1279185.8,15263.9,13417.2,30067.7,369868.4,106611.3,98243.7,48313.1,1928.7,1186.3,3053.5
2020/03/31,1294873.4,15528.0,13500.1,28787.0,388568.8,111913.5,91926.1,48989.4,2127.1,1337.9,3329.5
2020/04/01,1288033.9,16125.1,13529.3,27695.2,384269.2,113175.3,88843.4,48990.0,2344.4,1456.4,3616.9
2020/04/02,1236580.3,14852.1,13402.5,27339.9,381278.4,110326.9,87397.3,46273.6,2578.2,1569.5,3932.3
2020/04/03,1342425.2,14186.5,15216.2,29619.6,456198.3,128562.6,97300.7,46813.5,2827.4,1692.3,4261.5
2020/04/04,1207598.6,11709.3,16134.0,27190.6,446784.7,127774.1,103551.5,33240.1,3093.0,1841.7,4607.1
2020/04/05,1070696.0,11921.7,13908.5,26846.7,395764.5,112568.1,109065.0,28094.6,3378.4,1999.5,4966.4
2020/04/06,1125834.6,10430.2,11846.4,30067.7,369868.4,106611.3,98243.7,38497.4,3673.2,2169.0,5326.7
2020/04/07,1213008.2,13049.2,12904.9,28787.0,388568.8,111913.5,91926.1,43159.5,3982.1,2380.7,5691.2
2020/04/08,1183967.3,13329.9,12114.8,27695.2,384269.2,113175.3,88843.4,43842.8,4313.4,2574.5,6083.2
2020/04/09,1170605.1,12576.0,12403.5,27339.9,381278.4,110326.9,87397.3,41454.8,4659.5,2767.1,6499.8
2020/04/10,1302891.9,12544.2,15000.8,29619.6,456198.3,128562.6,97300.7,44411.5,5020.1,2973.0,6931.9
2020/04/11,1242989.0,12625.9,16836.6,27190.6,446784.7,127774.1,103551.5,35819.1,5391.9,3181.7,7372.5
2020/04/12,1027034.3,11695.3,1418.3,26846.7,395764.5,112568.1,109065.0,24943.3,5779.7,3417.1,7796.6
2020/04/13,1152835.1,11519.1,12031.7,30067.7,369868.4,106611.3,98243.7,38982.5,6170.9,3665.2,8204.1
2020/04/14,1196390.0,13530.9,10915.1,28787.0,388568.8,111913.5,91926.1,40969.7,6568.8,3916.0,8640.8
2020/04/15,1215968.0,13653.1,12400.1,27695.2,384269.2,113175.3,88843.4,42577.3,6977.2,4177.1,9088.8
2020/04/16,1183915.5,13353.6,11966.2,27339.9,381278.4,110326.9,87397.3,41155.4,7393.8,4443.6,9550.4
2020/04/17,1319138.8,13476.5,12967.1,29619.6,456198.3,128562.6,97300.7,44000.3,7818.6,4729.4,10025.8
2020/04/18,1271745.6,12988.0,14584.4,27190.6,446784.7,127774.1,103551.5,38743.4,8252.4,5021.2,10524.0
2020/04/19,1160903.6,14625.7,13286.4,26846.7,395764.5,112568.1,109065.0,32652.4,8701.9,5322.6,10997.2
2020/04/20,1221312.3,13805.1,11344.7,30067.7,369868.4,106611.3,98243.7,44831.6,9159.7,5632.8,11499.8
2020/04/21,1282752.4,15916.1,12333.8,28787.0,388568.8,111913.5,91926.1,49016.8,9617.8,5954.6,12052.3
2020/04/22,1302592.4,16134.6,12433.8,27695.2,384269.2,113175.3,88843.4,49393.2,10085.9,6295.7,12582.1
2020/04/23,1302859.0,15505.7,13490.3,27339.9,381278.4,110326.9,87397.3,50068.0,10559.4,6647.4,13230.1
2020/04/24,1433692.6,16071.0,14042.9,29619.6,456198.3,128562.6,97300.7,51853.4,11039.3,7004.7,13875.8
2020/04/25,1379676.8,15369.4,16490.3,27190.6,446784.7,127774.1,103551.5,43854.5,11527.3,7374.8,14542.6
2020/04/26,1199317.7,14538.7,13171.5,26846.7,395764.5,112568.1,109065.0,34890.2,12029.0,7757.4,15225.7
2020/04/27,1293230.2,13533.2,13111.5,30067.7,369868.4,106611.3,98243.7,47863.3,12534.8,8152.1,15890.9
2020/04/28,1331153.1,14565.1,13039.2,28787.0,388568.8,111913.5,91926.1,50892.5,13042.8,8526.2,16572.8
2020/04/29,1301504.7,14758.4,13284.0,27695.2,384269.2,113175.3,88843.4,48825.6,13557.7,8928.8,17264.1
2020/04/30,1276773.3,13562.7,13468.9,27339.9,381278.4,110326.9,87397.3,47017.2,14078.5,9353.3,17969.8
2020/05/01,1459442.9,15411.6,14442.3,29619.6,456198.3,128562.6,97300.7,51015.6,14607.9,9786.8,18684.0
2020/05/02,1343891.1,13191.7,16148.9,27190.6,446784.7,127774.1,103551.5,40158.4,15150.4,10226.5,19417.8
2020/05/03,,,,,,,,,15706.7,10693.5,20174.7
2020/05/04,,,,,,,,,16269.6,11173.7,20933.4
2020/05/05,,,,,,,,,16831.5,11646.9,21702.5
2020/05/06,,,,,,,,,17389.3,12112.3,22447.3
2020/05/07,,,,,,,,,17947.2,12590.4,23178.0
