date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1909781.6,63839.4,38465.2,26846.7,395764.5,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2125630.2,34223.4,27845.2,30067.7,369868.4,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2172181.8,40490.8,28802.9,28787.0,388568.8,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2184658.4,37054.3,28360.6,27695.2,384269.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2163647.8,32285.2,31391.9,27339.9,381278.4,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2302344.9,34037.7,36733.9,29619.6,456198.3,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1816126.0,32099.9,35412.8,27190.6,446784.7,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1607786.7,63839.4,30674.4,26846.7,395764.5,112568.1,109065.0,82732.7,315.2,119.6,577.8
2020/03/16,1691134.8,34223.4,28838.2,30067.7,369868.4,106611.3,98243.7,96114.4,364.1,139.6,663.8
2020/03/17,1395147.8,40490.8,14825.0,28787.0,388568.8,111913.5,91926.1,53391.6,416.4,160.4,756.1
2020/03/18,1345700.4,37054.3,14388.1,27695.2,384269.2,113175.3,88843.4,51759.5,473.8,184.4,855.6
2020/03/19,1335649.8,32285.2,13654.7,27339.9,381278.4,110326.9,87397.3,52331.4,537.2,214.9,963.6
2020/03/20,1344093.0,34037.7,11453.6,29619.6,456198.3,128562.6,97300.7,44514.5,608.5,252.9,1084.4
2020/03/21,1189283.7,32099.9,9332.0,27190.6,446784.7,127774.1,103551.5,31880.8,690.8,298.6,1221.7
2020/03/22,1271846.9,63839.4,16351.3,26846.7,395764.5,112568.1,109065.0,37530.5,785.0,354.3,1373.8
2020/03/23,1310570.1,34223.4,14047.1,30067.7,369868.4,106611.3,98243.7,50202.1,889.4,420.7,1538.4
2020/03/24,1303484.3,40490.8,13016.4,28787.0,388568.8,111913.5,91926.1,47994.5,1004.3,496.1,1720.8
2020/03/25,1420006.6,37054.3,15553.0,27695.2,384269.2,113175.3,88843.4,58314.2,1133.0,574.2,1921.9
2020/03/26,1291577.7,32285.2,13853.9,27339.9,381278.4,110326.9,87397.3,48396.1,1270.5,657.8,2126.3
2020/03/27,1363607.3,34037.7,14290.8,29619.6,456198.3,128562.6,97300.7,46939.7,1416.1,757.2,2344.1
2020/03/28,1261990.7,32099.9,16842.4,27190.6,446784.7,127774.1,103551.5,35211.0,1573.7,877.7,2574.3
2020/03/29,1196383.5,63839.4,14833.9,26846.7,395764.5,112568.1,109065.0,34445.0,1750.5,1022.7,2825.4
2020/03/30,1298145.3,34223.4,13417.2,30067.7,369868.4,106611.3,98243.7,48313.1,1938.7,1160.5,3093.6
2020/03/31,1319836.1,40490.8,13500.1,28787.0,388568.8,111913.5,91926.1,48989.4,2140.9,1306.3,3377.6
2020/04/01,1308963.1,37054.3,13529.3,27695.2,384269.2,113175.3,88843.4,48990.0,2359.5,1466.6,3671.7
2020/04/02,1254013.4,32285.2,13402.5,27339.9,381278.4,110326.9,87397.3,46273.6,2595.8,1595.4,3984.8
2020/04/03,1362276.4,34037.7,15216.2,29619.6,456198.3,128562.6,97300.7,46813.5,2847.8,1731.0,4306.5
2020/04/04,1227989.1,32099.9,16134.0,27190.6,446784.7,127774.1,103551.5,33240.1,3116.2,1860.4,4653.6
2020/04/05,1122613.7,63839.4,13908.5,26846.7,395764.5,112568.1,109065.0,28094.6,3405.5,2002.4,5022.4
2020/04/06,1149627.8,34223.4,11846.4,30067.7,369868.4,106611.3,98243.7,38497.4,3704.3,2146.7,5396.8
2020/04/07,1240449.8,40490.8,12904.9,28787.0,388568.8,111913.5,91926.1,43159.5,4019.8,2307.5,5787.5
2020/04/08,1207691.6,37054.3,12114.8,27695.2,384269.2,113175.3,88843.4,43842.8,4357.4,2486.4,6195.7
2020/04/09,1190314.3,32285.2,12403.5,27339.9,381278.4,110326.9,87397.3,41454.8,4712.3,2700.4,6619.8
2020/04/10,1324385.5,34037.7,15000.8,29619.6,456198.3,128562.6,97300.7,44411.5,5079.8,2976.2,7062.7
2020/04/11,1262463.0,32099.9,16836.6,27190.6,446784.7,127774.1,103551.5,35819.1,5459.8,3265.3,7505.1
2020/04/12,1079178.4,63839.4,1418.3,26846.7,395764.5,112568.1,109065.0,24943.3,5856.2,3503.2,7956.7
2020/04/13,1175539.4,34223.4,12031.7,30067.7,369868.4,106611.3,98243.7,38982.5,6258.0,3757.6,8407.0
2020/04/14,1223349.9,40490.8,10915.1,28787.0,388568.8,111913.5,91926.1,40969.7,6668.8,4012.9,8867.5
2020/04/15,1239369.2,37054.3,12400.1,27695.2,384269.2,113175.3,88843.4,42577.3,7089.4,4289.0,9322.0
2020/04/16,1202847.1,32285.2,11966.2,27339.9,381278.4,110326.9,87397.3,41155.4,7520.8,4584.8,9781.1
2020/04/17,1339700.0,34037.7,12967.1,29619.6,456198.3,128562.6,97300.7,44000.3,7959.7,4916.4,10291.0
2020/04/18,1290857.6,32099.9,14584.4,27190.6,446784.7,127774.1,103551.5,38743.4,8409.0,5256.1,10773.3
2020/04/19,1210117.3,63839.4,13286.4,26846.7,395764.5,112568.1,109065.0,32652.4,8876.6,5611.8,11254.1
2020/04/20,1241730.6,34223.4,11344.7,30067.7,369868.4,106611.3,98243.7,44831.6,9353.1,5960.4,11740.0
2020/04/21,1307327.0,40490.8,12333.8,28787.0,388568.8,111913.5,91926.1,49016.8,9833.5,6308.8,12310.6
2020/04/22,1323512.1,37054.3,12433.8,27695.2,384269.2,113175.3,88843.4,49393.2,10322.7,6664.9,12898.0
2020/04/23,1319638.5,32285.2,13490.3,27339.9,381278.4,110326.9,87397.3,50068.0,10820.6,7030.5,13532.3
2020/04/24,1451659.3,34037.7,14042.9,29619.6,456198.3,128562.6,97300.7,51853.4,11323.7,7385.3,14070.7
2020/04/25,1396407.2,32099.9,16490.3,27190.6,446784.7,127774.1,103551.5,43854.5,11835.8,7746.2,14662.9
2020/04/26,1248618.4,63839.4,13171.5,26846.7,395764.5,112568.1,109065.0,34890.2,12364.5,8124.5,15352.3
2020/04/27,1313920.4,34223.4,13111.5,30067.7,369868.4,106611.3,98243.7,47863.3,12898.5,8527.1,16043.7
2020/04/28,1357078.7,40490.8,13039.2,28787.0,388568.8,111913.5,91926.1,50892.5,13437.8,8936.7,16743.4
2020/04/29,1323800.5,37054.3,13284.0,27695.2,384269.2,113175.3,88843.4,48825.6,13983.4,9344.2,17452.1
2020/04/30,1295495.8,32285.2,13468.9,27339.9,381278.4,110326.9,87397.3,47017.2,14536.1,9760.3,18157.3
2020/05/01,1478069.0,34037.7,14442.3,29619.6,456198.3,128562.6,97300.7,51015.6,15096.8,10186.3,18899.7
2020/05/02,1362799.3,32099.9,16148.9,27190.6,446784.7,127774.1,103551.5,40158.4,15671.1,10632.1,19713.7
2020/05/03,,,,,,,,,16260.8,11093.2,20542.7
2020/05/04,,,,,,,,,16859.1,11558.6,21379.6
2020/05/05,,,,,,,,,17458.1,12037.7,22223.9
2020/05/06,,,,,,,,,18054.2,12525.4,23064.7
2020/05/07,,,,,,,,,18648.4,13010.3,23880.0
