date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1907262.5,63839.4,38465.2,24327.6,395764.5,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2122047.6,34223.4,27845.2,26485.2,369868.4,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2171424.9,40490.8,28802.9,28030.0,388568.8,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2186479.0,37054.3,28360.6,29515.9,384269.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2169101.7,32285.2,31391.9,32793.8,381278.4,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2312726.8,34037.7,36733.9,40001.6,456198.3,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1820279.0,32099.9,35412.8,31343.7,446784.7,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1608448.2,63839.4,30674.4,27508.1,395764.5,112568.1,109065.0,82732.7,315.1,119.7,577.9
2020/03/16,1698630.3,34223.4,28838.2,37563.2,369868.4,106611.3,98243.7,96114.4,364.2,139.1,665.0
2020/03/17,1388679.9,40490.8,14825.0,22319.0,388568.8,111913.5,91926.1,53391.6,416.4,161.0,757.2
2020/03/18,1339203.1,37054.3,14388.1,21197.9,384269.2,113175.3,88843.4,51759.5,473.7,186.0,862.4
2020/03/19,1330091.7,32285.2,13654.7,21781.8,381278.4,110326.9,87397.3,52331.4,537.2,217.9,968.2
2020/03/20,1329324.2,34037.7,11453.6,14850.9,456198.3,128562.6,97300.7,44514.5,608.5,258.0,1084.2
2020/03/21,1171273.9,32099.9,9332.0,9180.9,446784.7,127774.1,103551.5,31880.8,690.6,307.5,1213.0
2020/03/22,1262402.4,63839.4,16351.3,17402.2,395764.5,112568.1,109065.0,37530.5,784.5,364.2,1362.9
2020/03/23,1299272.4,34223.4,14047.1,18770.1,369868.4,106611.3,98243.7,50202.1,888.2,428.3,1523.6
2020/03/24,1293233.8,40490.8,13016.4,18536.4,388568.8,111913.5,91926.1,47994.5,1002.9,496.1,1700.4
2020/03/25,1412955.8,37054.3,15553.0,20644.5,384269.2,113175.3,88843.4,58314.2,1131.5,583.1,1889.1
2020/03/26,1281019.9,32285.2,13853.9,16782.0,381278.4,110326.9,87397.3,48396.1,1268.4,683.7,2092.0
2020/03/27,1352114.9,34037.7,14290.8,18127.2,456198.3,128562.6,97300.7,46939.7,1414.3,786.9,2305.1
2020/03/28,1251936.3,32099.9,16842.4,17136.3,446784.7,127774.1,103551.5,35211.0,1571.9,912.0,2529.4
2020/03/29,1184582.1,63839.4,14833.9,15045.3,395764.5,112568.1,109065.0,34445.0,1748.3,1058.1,2773.9
2020/03/30,1285613.5,34223.4,13417.2,17536.0,369868.4,106611.3,98243.7,48313.1,1936.8,1186.8,3028.9
2020/03/31,1308885.5,40490.8,13500.1,17836.4,388568.8,111913.5,91926.1,48989.4,2138.5,1326.7,3295.1
2020/04/01,1299196.7,37054.3,13529.3,17928.9,384269.2,113175.3,88843.4,48990.0,2358.2,1468.6,3577.6
2020/04/02,1243453.4,32285.2,13402.5,16779.9,381278.4,110326.9,87397.3,46273.6,2594.4,1578.1,3873.6
2020/04/03,1352123.8,34037.7,15216.2,19467.0,456198.3,128562.6,97300.7,46813.5,2847.2,1715.3,4193.8
2020/04/04,1217182.4,32099.9,16134.0,16383.9,446784.7,127774.1,103551.5,33240.1,3116.8,1867.0,4521.8
2020/04/05,1110778.7,63839.4,13908.5,15011.7,395764.5,112568.1,109065.0,28094.6,3406.9,2077.4,4870.6
2020/04/06,1135587.2,34223.4,11846.4,16027.1,369868.4,106611.3,98243.7,38497.4,3708.1,2285.9,5228.1
2020/04/07,1229053.1,40490.8,12904.9,17390.3,388568.8,111913.5,91926.1,43159.5,4024.6,2492.0,5591.2
2020/04/08,1196744.4,37054.3,12114.8,16748.1,384269.2,113175.3,88843.4,43842.8,4363.8,2695.9,5977.6
2020/04/09,1180406.6,32285.2,12403.5,17432.2,381278.4,110326.9,87397.3,41454.8,4719.7,2911.0,6381.6
2020/04/10,1313572.2,34037.7,15000.8,18806.4,456198.3,128562.6,97300.7,44411.5,5089.2,3145.3,6804.2
2020/04/11,1254865.2,32099.9,16836.6,19592.8,446784.7,127774.1,103551.5,35819.1,5470.3,3403.9,7215.9
2020/04/12,1065120.3,63839.4,1418.3,12788.6,395764.5,112568.1,109065.0,24943.3,5869.2,3695.8,7655.3
2020/04/13,1160068.0,34223.4,12031.7,14596.2,369868.4,106611.3,98243.7,38982.5,6273.0,3959.0,8149.9
2020/04/14,1210617.2,40490.8,10915.1,16054.3,388568.8,111913.5,91926.1,40969.7,6684.9,4217.5,8591.4
2020/04/15,1227844.1,37054.3,12400.1,16170.2,384269.2,113175.3,88843.4,42577.3,7108.2,4487.5,9041.1
2020/04/16,1190369.1,32285.2,11966.2,14861.9,381278.4,110326.9,87397.3,41155.4,7541.3,4762.6,9489.2
2020/04/17,1328064.6,34037.7,12967.1,17984.2,456198.3,128562.6,97300.7,44000.3,7981.9,5037.0,10012.2
2020/04/18,1280393.9,32099.9,14584.4,16727.0,446784.7,127774.1,103551.5,38743.4,8433.1,5324.5,10606.1
2020/04/19,1197950.7,63839.4,13286.4,14680.0,395764.5,112568.1,109065.0,32652.4,8902.5,5618.8,11211.7
2020/04/20,1227216.2,34223.4,11344.7,15553.3,369868.4,106611.3,98243.7,44831.6,9380.9,5929.4,11824.6
2020/04/21,1296222.4,40490.8,12333.8,17682.4,388568.8,111913.5,91926.1,49016.8,9863.1,6237.9,12402.0
2020/04/22,1312951.4,37054.3,12433.8,17134.6,384269.2,113175.3,88843.4,49393.2,10353.7,6553.5,13022.9
2020/04/23,1309048.9,32285.2,13490.3,16750.3,381278.4,110326.9,87397.3,50068.0,10851.2,6880.9,13653.9
2020/04/24,1439576.3,34037.7,14042.9,17536.7,456198.3,128562.6,97300.7,51853.4,11353.7,7223.2,14332.9
2020/04/25,1385849.2,32099.9,16490.3,16632.6,446784.7,127774.1,103551.5,43854.5,11865.6,7577.3,15033.4
2020/04/26,1236368.3,63839.4,13171.5,14596.6,395764.5,112568.1,109065.0,34890.2,12393.7,7942.4,15745.7
2020/04/27,1300931.6,34223.4,13111.5,17078.9,369868.4,106611.3,98243.7,47863.3,12927.6,8312.0,16452.4
2020/04/28,1346526.7,40490.8,13039.2,18235.0,388568.8,111913.5,91926.1,50892.5,13465.7,8690.5,17181.6
2020/04/29,1313023.9,37054.3,13284.0,16918.6,384269.2,113175.3,88843.4,48825.6,14010.1,9080.6,17915.6
2020/04/30,1284788.3,32285.2,13468.9,16632.4,381278.4,110326.9,87397.3,47017.2,14559.7,9491.0,18653.9
2020/05/01,1466237.3,34037.7,14442.3,17787.9,456198.3,128562.6,97300.7,51015.6,15118.7,9897.7,19416.1
2020/05/02,1352332.0,32099.9,16148.9,16723.3,446784.7,127774.1,103551.5,40158.4,15690.2,10320.2,20191.8
2020/05/03,,,,,,,,,16278.0,10766.1,20979.4
2020/05/04,,,,,,,,,16874.9,11219.1,21782.6
2020/05/05,,,,,,,,,17472.2,11687.2,22572.2
2020/05/06,,,,,,,,,18067.0,12155.6,23352.9
2020/05/07,,,,,,,,,18658.7,12632.9,24134.4
