date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1888255.3,53757.0,38465.2,26846.7,395764.5,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2112854.1,28652.2,27845.2,30067.7,369868.4,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2157425.7,34395.3,28802.9,28787.0,388568.8,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2174531.2,34867.8,28360.6,27695.2,384269.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2159513.8,30304.5,31391.9,27339.9,381278.4,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2290738.5,29895.4,36733.9,29619.6,456198.3,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1772252.9,23801.3,35412.8,27190.6,446784.7,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1535036.1,31604.8,30674.4,26846.7,395764.5,72052.1,109065.0,82732.7,315.1,119.3,577.5
2020/03/16,1649089.1,19228.4,28838.2,30067.7,369868.4,79560.6,98243.7,96114.4,364.0,139.9,663.3
2020/03/17,1310434.0,16503.9,14825.0,28787.0,388568.8,51186.6,91926.1,53391.6,416.0,160.3,756.0
2020/03/18,1260115.4,15142.4,14388.1,27695.2,384269.2,49502.1,88843.4,51759.5,473.2,188.3,855.2
2020/03/19,1258215.4,16883.5,13654.7,27339.9,381278.4,48294.2,87397.3,52331.4,536.5,220.9,960.8
2020/03/20,1236684.5,15886.5,11453.6,29619.6,456198.3,39305.4,97300.7,44514.5,607.3,260.6,1080.0
2020/03/21,1070803.3,14134.8,9332.0,27190.6,446784.7,27258.8,103551.5,31880.8,689.0,307.5,1218.1
2020/03/22,1152757.8,15017.0,16351.3,26846.7,395764.5,42301.5,109065.0,37530.5,782.2,362.2,1364.3
2020/03/23,1231589.5,15515.0,14047.1,30067.7,369868.4,46339.1,98243.7,50202.1,884.6,424.3,1525.6
2020/03/24,1211525.7,14633.7,13016.4,28787.0,388568.8,45811.9,91926.1,47994.5,997.9,504.5,1703.8
2020/03/25,1344448.9,18905.2,15553.0,27695.2,384269.2,55766.6,88843.4,58314.2,1124.2,591.0,1899.7
2020/03/26,1214104.5,15549.9,13853.9,27339.9,381278.4,49589.0,87397.3,48396.1,1258.3,688.4,2096.9
2020/03/27,1266602.4,14790.8,14290.8,29619.6,456198.3,50804.6,97300.7,46939.7,1400.3,786.6,2310.0
2020/03/28,1161389.0,12983.0,16842.4,27190.6,446784.7,46289.3,103551.5,35211.0,1553.7,910.4,2537.5
2020/03/29,1075608.1,15361.1,14833.9,26846.7,395764.5,40271.0,109065.0,34445.0,1724.7,1058.9,2784.8
2020/03/30,1220078.4,15263.9,13417.2,30067.7,369868.4,47503.9,98243.7,48313.1,1907.0,1216.2,3037.4
2020/03/31,1233071.9,15528.0,13500.1,28787.0,388568.8,50112.1,91926.1,48989.4,2101.8,1343.0,3299.3
2020/04/01,1224537.0,16125.1,13529.3,27695.2,384269.2,49678.4,88843.4,48990.0,2313.1,1448.8,3574.4
2020/04/02,1175862.6,14852.1,13402.5,27339.9,381278.4,49609.2,87397.3,46273.6,2541.4,1554.3,3867.3
2020/04/03,1269157.1,14186.5,15216.2,29619.6,456198.3,55294.5,97300.7,46813.5,2784.9,1669.9,4168.8
2020/04/04,1125664.8,11709.3,16134.0,27190.6,446784.7,45840.3,103551.5,33240.1,3044.0,1790.4,4484.7
2020/04/05,992810.4,11921.7,13908.5,26846.7,395764.5,34682.5,109065.0,28094.6,3322.2,1923.5,4825.7
2020/04/06,1059490.6,10430.2,11846.4,30067.7,369868.4,40267.3,98243.7,38497.4,3609.5,2080.5,5161.3
2020/04/07,1146676.2,13049.2,12904.9,28787.0,388568.8,45581.5,91926.1,43159.5,3909.9,2280.4,5511.1
2020/04/08,1116218.2,13329.9,12114.8,27695.2,384269.2,45426.1,88843.4,43842.8,4232.1,2539.0,5876.8
2020/04/09,1105445.8,12576.0,12403.5,27339.9,381278.4,45167.7,87397.3,41454.8,4568.3,2801.5,6253.9
2020/04/10,1228135.4,12544.2,15000.8,29619.6,456198.3,53806.1,97300.7,44411.5,4919.0,3035.6,6636.7
2020/04/11,1164382.3,12625.9,16836.6,27190.6,446784.7,49167.4,103551.5,35819.1,5279.2,3298.7,7048.1
2020/04/12,944230.4,11695.3,1418.3,26846.7,395764.5,29764.3,109065.0,24943.3,5654.4,3540.7,7483.8
2020/04/13,1088740.7,11519.1,12031.7,30067.7,369868.4,42516.9,98243.7,38982.5,6033.4,3792.2,7913.8
2020/04/14,1129999.2,13530.9,10915.1,28787.0,388568.8,45522.8,91926.1,40969.7,6418.4,4050.7,8334.7
2020/04/15,1152483.5,13653.1,12400.1,27695.2,384269.2,49690.8,88843.4,42577.3,6812.9,4320.6,8756.1
2020/04/16,1121313.5,13353.6,11966.2,27339.9,381278.4,47725.0,87397.3,41155.4,7216.0,4598.7,9184.8
2020/04/17,1244086.8,13476.5,12967.1,29619.6,456198.3,53510.5,97300.7,44000.3,7627.3,4876.1,9639.8
2020/04/18,1197978.4,12988.0,14584.4,27190.6,446784.7,54006.8,103551.5,38743.4,8046.7,5164.6,10088.0
2020/04/19,1093889.4,14625.7,13286.4,26846.7,395764.5,45553.9,109065.0,32652.4,8481.7,5475.2,10620.3
2020/04/20,1160639.5,13805.1,11344.7,30067.7,369868.4,45938.4,98243.7,44831.6,8922.5,5794.3,11204.3
2020/04/21,1222483.0,15916.1,12333.8,28787.0,388568.8,51644.2,91926.1,49016.8,9364.9,6109.2,11705.5
2020/04/22,1245011.0,16134.6,12433.8,27695.2,384269.2,55593.8,88843.4,49393.2,9814.7,6430.9,12152.2
2020/04/23,1248807.3,15505.7,13490.3,27339.9,381278.4,56275.2,87397.3,50068.0,10272.3,6767.7,12764.4
2020/04/24,1369503.7,16071.0,14042.9,29619.6,456198.3,64373.7,97300.7,51853.4,10733.9,7100.1,13387.1
2020/04/25,1314134.9,15369.4,16490.3,27190.6,446784.7,62232.2,103551.5,43854.5,11204.6,7438.0,14010.0
2020/04/26,1136605.7,14538.7,13171.5,26846.7,395764.5,49856.1,109065.0,34890.2,11689.5,7794.6,14655.9
2020/04/27,1238103.3,13533.2,13111.5,30067.7,369868.4,51484.3,98243.7,47863.3,12176.7,8154.7,15315.1
2020/04/28,1274267.4,14565.1,13039.2,28787.0,388568.8,55027.8,91926.1,50892.5,12666.6,8516.5,15958.9
2020/04/29,1241414.9,14758.4,13284.0,27695.2,384269.2,53085.4,88843.4,48825.6,13160.9,8894.1,16616.7
2020/04/30,1223064.3,13562.7,13468.9,27339.9,381278.4,56617.9,87397.3,47017.2,13661.8,9252.9,17277.8
2020/05/01,1394914.9,15411.6,14442.3,29619.6,456198.3,64034.6,97300.7,51015.6,14171.4,9618.3,17935.7
2020/05/02,1279130.8,13191.7,16148.9,27190.6,446784.7,63013.7,103551.5,40158.4,14692.3,9994.8,18611.9
2020/05/03,,,,,,,,,15227.0,10378.1,19298.0
2020/05/04,,,,,,,,,15768.0,10765.6,19989.9
2020/05/05,,,,,,,,,16305.5,11176.0,20672.1
2020/05/06,,,,,,,,,16842.0,11585.1,21350.2
2020/05/07,,,,,,,,,17376.9,12015.6,22023.6
