date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1895818.5,63839.4,38465.2,24327.6,395764.5,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2114842.8,34223.4,27845.2,26485.2,369868.4,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2162764.2,40490.8,28802.9,28030.0,388568.8,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2178538.3,37054.3,28360.6,29515.9,384269.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2166948.3,32285.2,31391.9,32793.8,381278.4,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2305262.8,34037.7,36733.9,40001.6,456198.3,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1784704.6,32099.9,35412.8,31343.7,446784.7,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1567932.2,63839.4,30674.4,27508.1,395764.5,72052.1,109065.0,82732.7,315.1,119.6,577.5
2020/03/16,1671579.6,34223.4,28838.2,37563.2,369868.4,79560.6,98243.7,96114.4,364.2,138.8,663.7
2020/03/17,1327952.9,40490.8,14825.0,22319.0,388568.8,51186.6,91926.1,53391.6,416.1,162.1,755.0
2020/03/18,1275530.0,37054.3,14388.1,21197.9,384269.2,49502.1,88843.4,51759.5,473.4,188.9,855.4
2020/03/19,1268059.0,32285.2,13654.7,21781.8,381278.4,48294.2,87397.3,52331.4,536.8,222.5,956.8
2020/03/20,1240067.0,34037.7,11453.6,14850.9,456198.3,39305.4,97300.7,44514.5,608.5,260.0,1071.8
2020/03/21,1070758.6,32099.9,9332.0,9180.9,446784.7,27258.8,103551.5,31880.8,690.4,302.9,1206.2
2020/03/22,1192135.7,63839.4,16351.3,17402.2,395764.5,42301.5,109065.0,37530.5,784.1,364.6,1358.2
2020/03/23,1239000.3,34223.4,14047.1,18770.1,369868.4,46339.1,98243.7,50202.1,887.9,433.0,1523.7
2020/03/24,1227132.2,40490.8,13016.4,18536.4,388568.8,45811.9,91926.1,47994.5,1001.8,512.1,1703.9
2020/03/25,1355547.2,37054.3,15553.0,20644.5,384269.2,55766.6,88843.4,58314.2,1129.4,594.1,1898.6
2020/03/26,1220282.0,32285.2,13853.9,16782.0,381278.4,49589.0,87397.3,48396.1,1265.3,680.6,2105.1
2020/03/27,1274356.9,34037.7,14290.8,18127.2,456198.3,50804.6,97300.7,46939.7,1409.7,767.5,2313.2
2020/03/28,1170451.5,32099.9,16842.4,17136.3,446784.7,46289.3,103551.5,35211.0,1565.4,867.7,2540.4
2020/03/29,1112285.0,63839.4,14833.9,15045.3,395764.5,40271.0,109065.0,34445.0,1739.1,1002.5,2778.7
2020/03/30,1226506.1,34223.4,13417.2,17536.0,369868.4,47503.9,98243.7,48313.1,1924.1,1158.1,3031.7
2020/03/31,1247084.1,40490.8,13500.1,17836.4,388568.8,50112.1,91926.1,48989.4,2122.6,1326.1,3305.1
2020/04/01,1235699.8,37054.3,13529.3,17928.9,384269.2,49678.4,88843.4,48990.0,2337.5,1466.8,3589.1
2020/04/02,1182735.7,32285.2,13402.5,16779.9,381278.4,49609.2,87397.3,46273.6,2568.6,1603.3,3887.3
2020/04/03,1278855.7,34037.7,15216.2,19467.0,456198.3,55294.5,97300.7,46813.5,2816.1,1728.9,4203.8
2020/04/04,1135248.6,32099.9,16134.0,16383.9,446784.7,45840.3,103551.5,33240.1,3078.2,1862.6,4520.0
2020/04/05,1032893.1,63839.4,13908.5,15011.7,395764.5,34682.5,109065.0,28094.6,3359.9,2015.5,4863.4
2020/04/06,1069243.2,34223.4,11846.4,16027.1,369868.4,40267.3,98243.7,38497.4,3651.6,2169.8,5218.2
2020/04/07,1162721.1,40490.8,12904.9,17390.3,388568.8,45581.5,91926.1,43159.5,3959.1,2354.3,5582.4
2020/04/08,1128995.3,37054.3,12114.8,16748.1,384269.2,45426.1,88843.4,43842.8,4288.6,2555.7,5963.1
2020/04/09,1115247.4,32285.2,12403.5,17432.2,381278.4,45167.7,87397.3,41454.8,4633.2,2802.8,6347.8
2020/04/10,1238815.7,34037.7,15000.8,18806.4,456198.3,53806.1,97300.7,44411.5,4991.5,3036.0,6770.6
2020/04/11,1176258.5,32099.9,16836.6,19592.8,446784.7,49167.4,103551.5,35819.1,5361.2,3274.6,7192.8
2020/04/12,982316.4,63839.4,1418.3,12788.6,395764.5,29764.3,109065.0,24943.3,5747.7,3523.1,7604.7
2020/04/13,1095973.6,34223.4,12031.7,14596.2,369868.4,42516.9,98243.7,38982.5,6138.9,3763.4,8015.4
2020/04/14,1144226.4,40490.8,10915.1,16054.3,388568.8,45522.8,91926.1,40969.7,6537.8,4018.0,8426.1
2020/04/15,1164359.6,37054.3,12400.1,16170.2,384269.2,49690.8,88843.4,42577.3,6947.8,4280.5,8845.3
2020/04/16,1127767.2,32285.2,11966.2,14861.9,381278.4,47725.0,87397.3,41155.4,7367.3,4571.2,9291.4
2020/04/17,1253012.6,34037.7,12967.1,17984.2,456198.3,53510.5,97300.7,44000.3,7794.7,4926.6,9797.4
2020/04/18,1206626.6,32099.9,14584.4,16727.0,446784.7,54006.8,103551.5,38743.4,8230.6,5218.4,10311.5
2020/04/19,1130936.5,63839.4,13286.4,14680.0,395764.5,45553.9,109065.0,32652.4,8684.3,5537.5,10856.6
2020/04/20,1166543.4,34223.4,11344.7,15553.3,369868.4,45938.4,98243.7,44831.6,9145.8,5851.0,11361.4
2020/04/21,1235953.0,40490.8,12333.8,17682.4,388568.8,51644.2,91926.1,49016.8,9611.8,6183.8,11993.2
2020/04/22,1255370.0,37054.3,12433.8,17134.6,384269.2,55593.8,88843.4,49393.2,10085.6,6526.4,12635.8
2020/04/23,1254997.2,32285.2,13490.3,16750.3,381278.4,56275.2,87397.3,50068.0,10566.9,6875.4,13295.8
2020/04/24,1375387.4,34037.7,14042.9,17536.7,456198.3,64373.7,97300.7,51853.4,11053.6,7232.5,13947.2
2020/04/25,1320307.3,32099.9,16490.3,16632.6,446784.7,62232.2,103551.5,43854.5,11547.3,7585.8,14531.1
2020/04/26,1173656.3,63839.4,13171.5,14596.6,395764.5,49856.1,109065.0,34890.2,12057.0,7957.6,15149.7
2020/04/27,1245804.7,34223.4,13111.5,17078.9,369868.4,51484.3,98243.7,47863.3,12572.2,8343.9,15820.4
2020/04/28,1289640.9,40490.8,13039.2,18235.0,388568.8,55027.8,91926.1,50892.5,13090.3,8730.0,16504.2
2020/04/29,1252934.1,37054.3,13284.0,16918.6,384269.2,53085.4,88843.4,48825.6,13613.7,9113.9,17193.8
2020/04/30,1231079.3,32285.2,13468.9,16632.4,381278.4,56617.9,87397.3,47017.2,14143.5,9531.2,17883.5
2020/05/01,1401709.4,34037.7,14442.3,17787.9,456198.3,64034.6,97300.7,51015.6,14682.0,9955.4,18585.7
2020/05/02,1287571.6,32099.9,16148.9,16723.3,446784.7,63013.7,103551.5,40158.4,15232.2,10405.8,19319.9
2020/05/03,,,,,,,,,15796.6,10857.7,20059.6
2020/05/04,,,,,,,,,16370.8,11319.2,20820.7
2020/05/05,,,,,,,,,16943.8,11778.4,21579.3
2020/05/06,,,,,,,,,17514.3,12224.5,22321.9
2020/05/07,,,,,,,,,18082.2,12677.8,23065.1
