date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1887630.9,53757.0,38465.2,24327.6,395764.5,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2111618.9,28652.2,27845.2,26485.2,369868.4,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2164940.8,34395.3,28802.9,28030.0,388568.8,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2193405.1,34867.8,28360.6,29515.9,384269.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2192953.9,30304.5,31391.9,32793.8,381278.4,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2358029.7,29895.4,36733.9,40001.6,456198.3,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1838097.0,23801.3,35412.8,31343.7,446784.7,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1584106.9,31604.8,30674.4,27508.1,395764.5,112568.1,116958.3,82732.7,315.2,119.5,578.0
2020/03/16,1732735.9,19228.4,28838.2,37563.2,369868.4,106611.3,147344.3,96114.4,364.1,141.5,664.6
2020/03/17,1355629.1,16503.9,14825.0,22319.0,388568.8,111913.5,82862.2,53391.6,415.9,162.4,756.3
2020/03/18,1305171.7,15142.4,14388.1,21197.9,384269.2,113175.3,76723.9,51759.5,473.1,189.8,856.9
2020/03/19,1303952.5,16883.5,13654.7,21781.8,381278.4,110326.9,76659.9,52331.4,536.5,219.6,957.4
2020/03/20,1275410.0,15886.5,11453.6,14850.9,456198.3,128562.6,61537.8,44514.5,607.5,256.9,1074.0
2020/03/21,1094303.9,14134.8,9332.0,9180.9,446784.7,127774.1,44546.5,31880.8,689.8,303.8,1204.3
2020/03/22,1176466.6,15017.0,16351.3,17402.2,395764.5,112568.1,71951.6,37530.5,784.1,364.1,1356.4
2020/03/23,1253773.3,15515.0,14047.1,18770.1,369868.4,106611.3,71453.0,50202.1,888.2,435.7,1517.1
2020/03/24,1245643.9,14633.7,13016.4,18536.4,388568.8,111913.5,70193.3,47994.5,1002.2,514.2,1696.9
2020/03/25,1384387.2,18905.2,15553.0,20644.5,384269.2,113175.3,78423.8,58314.2,1130.6,606.4,1895.7
2020/03/26,1243711.2,15549.9,13853.9,16782.0,381278.4,110326.9,66823.9,48396.1,1266.8,717.0,2100.5
2020/03/27,1307223.8,14790.8,14290.8,18127.2,456198.3,128562.6,71656.6,46939.7,1411.9,837.8,2312.5
2020/03/28,1201488.4,12983.0,16842.4,17136.3,446784.7,127774.1,72220.4,35211.0,1568.4,965.3,2542.3
2020/03/29,1093025.9,15361.1,14833.9,15045.3,395764.5,112568.1,65987.1,34445.0,1743.0,1107.0,2791.5
2020/03/30,1236066.0,15263.9,13417.2,17536.0,369868.4,106611.3,67655.7,48313.1,1928.8,1249.1,3055.3
2020/03/31,1261026.8,15528.0,13500.1,17836.4,388568.8,111913.5,69030.1,48989.4,2126.3,1378.7,3325.2
2020/04/01,1257069.8,16125.1,13529.3,17928.9,384269.2,113175.3,67645.6,48990.0,2341.5,1487.5,3609.7
2020/04/02,1206483.4,14852.1,13402.5,16779.9,381278.4,110326.9,67860.4,46273.6,2572.8,1630.3,3903.8
2020/04/03,1309949.7,14186.5,15216.2,19467.0,456198.3,128562.6,74978.0,46813.5,2819.1,1749.9,4205.4
2020/04/04,1167654.8,11709.3,16134.0,16383.9,446784.7,127774.1,74414.5,33240.1,3081.1,1881.4,4526.3
2020/04/05,1012057.4,11921.7,13908.5,15011.7,395764.5,112568.1,62261.4,28094.6,3362.1,2033.7,4865.4
2020/04/06,1076104.9,10430.2,11846.4,16027.1,369868.4,106611.3,62554.7,38497.4,3651.9,2195.2,5205.8
2020/04/07,1174437.5,13049.2,12904.9,17390.3,388568.8,111913.5,64752.0,43159.5,3955.8,2362.3,5553.7
2020/04/08,1148728.1,13329.9,12114.8,16748.1,384269.2,113175.3,64551.4,43842.8,4281.1,2548.2,5926.4
2020/04/09,1136305.3,12576.0,12403.5,17432.2,381278.4,110326.9,63005.3,41454.8,4621.0,2743.4,6297.9
2020/04/10,1266079.3,12544.2,15000.8,18806.4,456198.3,128562.6,71301.3,44411.5,4974.6,2954.8,6689.7
2020/04/11,1208630.2,12625.9,16836.6,19592.8,446784.7,127774.1,76790.5,35819.1,5338.4,3234.3,7087.3
2020/04/12,956365.8,11695.3,1418.3,12788.6,395764.5,112568.1,52454.6,24943.3,5717.6,3480.5,7495.7
2020/04/13,1097369.2,11519.1,12031.7,14596.2,369868.4,106611.3,58249.3,38982.5,6100.2,3727.7,7907.6
2020/04/14,1153310.7,13530.9,10915.1,16054.3,388568.8,111913.5,61579.5,40969.7,6487.9,3974.7,8326.1
2020/04/15,1176250.2,13653.1,12400.1,16170.2,384269.2,113175.3,60650.7,42577.3,6885.0,4235.9,8763.5
2020/04/16,1143980.9,13353.6,11966.2,14861.9,381278.4,110326.9,59940.7,41155.4,7292.0,4507.9,9244.1
2020/04/17,1275210.4,13476.5,12967.1,17984.2,456198.3,128562.6,65007.7,44000.3,7705.6,4783.6,9707.3
2020/04/18,1226971.7,12988.0,14584.4,16727.0,446784.7,127774.1,69241.2,38743.4,8127.2,5069.5,10147.9
2020/04/19,1101540.6,14625.7,13286.4,14680.0,395764.5,112568.1,61868.6,32652.4,8565.3,5372.5,10637.0
2020/04/20,1170086.2,13805.1,11344.7,15553.3,369868.4,106611.3,61532.0,44831.6,9008.6,5676.9,11248.6
2020/04/21,1246518.3,15916.1,12333.8,17682.4,388568.8,111913.5,66796.6,49016.8,9454.1,5998.8,11778.4
2020/04/22,1270756.6,16134.6,12433.8,17134.6,384269.2,113175.3,67568.2,49393.2,9906.0,6301.0,12259.6
2020/04/23,1270762.8,15505.7,13490.3,16750.3,381278.4,110326.9,65890.7,50068.0,10366.2,6607.2,12875.2
2020/04/24,1396984.3,16071.0,14042.9,17536.7,456198.3,128562.6,72675.4,51853.4,10831.3,6918.8,13494.6
2020/04/25,1338620.2,15369.4,16490.3,16632.6,446784.7,127774.1,73053.0,43854.5,11304.4,7277.8,14122.8
2020/04/26,1142089.0,14538.7,13171.5,14596.6,395764.5,112568.1,64086.4,34890.2,11792.1,7652.2,14776.2
2020/04/27,1245782.1,13533.2,13111.5,17078.9,369868.4,106611.3,63784.4,47863.3,12281.6,8032.8,15421.2
2020/04/28,1293155.3,14565.1,13039.2,18235.0,388568.8,111913.5,64480.3,50892.5,12773.2,8414.2,16089.5
2020/04/29,1266110.8,14758.4,13284.0,16918.6,384269.2,113175.3,64226.1,48825.6,13271.0,8805.3,16758.0
2020/04/30,1240838.4,13562.7,13468.9,16632.4,381278.4,110326.9,62169.9,47017.2,13774.2,9208.5,17441.6
2020/05/01,1421922.9,15411.6,14442.3,17787.9,456198.3,128562.6,71612.4,51015.6,14287.7,9619.2,18140.2
2020/05/02,1300633.3,13191.7,16148.9,16723.3,446784.7,127774.1,70761.0,40158.4,14813.1,10021.3,18842.3
2020/05/03,,,,,,,,,15352.2,10445.6,19551.2
2020/05/04,,,,,,,,,15896.1,10876.4,20250.2
2020/05/05,,,,,,,,,16439.2,11309.2,20926.2
2020/05/06,,,,,,,,,16979.6,11744.6,21591.7
2020/05/07,,,,,,,,,17519.9,12193.4,22258.8
