date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1890150.0,53757.0,38465.2,26846.7,395764.5,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2115201.4,28652.2,27845.2,30067.7,369868.4,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2165697.8,34395.3,28802.9,28787.0,388568.8,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2191584.4,34867.8,28360.6,27695.2,384269.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2187500.0,30304.5,31391.9,27339.9,381278.4,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2347647.7,29895.4,36733.9,29619.6,456198.3,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1833944.0,23801.3,35412.8,27190.6,446784.7,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1583445.4,31604.8,30674.4,26846.7,395764.5,112568.1,116958.3,82732.7,315.1,119.5,577.8
2020/03/16,1725240.4,19228.4,28838.2,30067.7,369868.4,106611.3,147344.3,96114.4,363.8,139.1,663.7
2020/03/17,1362097.0,16503.9,14825.0,28787.0,388568.8,111913.5,82862.2,53391.6,415.5,160.9,756.5
2020/03/18,1311669.1,15142.4,14388.1,27695.2,384269.2,113175.3,76723.9,51759.5,473.0,187.7,851.1
2020/03/19,1309510.6,16883.5,13654.7,27339.9,381278.4,110326.9,76659.9,52331.4,536.6,219.1,954.4
2020/03/20,1290178.8,15886.5,11453.6,29619.6,456198.3,128562.6,61537.8,44514.5,607.7,255.9,1069.8
2020/03/21,1112313.6,14134.8,9332.0,27190.6,446784.7,127774.1,44546.5,31880.8,689.9,301.8,1206.7
2020/03/22,1185911.1,15017.0,16351.3,26846.7,395764.5,112568.1,71951.6,37530.5,783.9,359.4,1357.6
2020/03/23,1265070.9,15515.0,14047.1,30067.7,369868.4,106611.3,71453.0,50202.1,888.1,420.2,1522.6
2020/03/24,1255894.5,14633.7,13016.4,28787.0,388568.8,111913.5,70193.3,47994.5,1002.2,494.7,1703.5
2020/03/25,1391438.0,18905.2,15553.0,27695.2,384269.2,113175.3,78423.8,58314.2,1130.1,586.7,1898.0
2020/03/26,1254269.0,15549.9,13853.9,27339.9,381278.4,110326.9,66823.9,48396.1,1265.6,689.9,2100.3
2020/03/27,1318716.2,14790.8,14290.8,29619.6,456198.3,128562.6,71656.6,46939.7,1409.9,799.5,2317.4
2020/03/28,1211542.7,12983.0,16842.4,27190.6,446784.7,127774.1,72220.4,35211.0,1565.9,921.0,2536.3
2020/03/29,1104827.3,15361.1,14833.9,26846.7,395764.5,112568.1,65987.1,34445.0,1739.9,1063.5,2772.1
2020/03/30,1248597.8,15263.9,13417.2,30067.7,369868.4,106611.3,67655.7,48313.1,1924.5,1206.5,3023.5
2020/03/31,1271977.4,15528.0,13500.1,28787.0,388568.8,111913.5,69030.1,48989.4,2121.6,1312.2,3288.1
2020/04/01,1266836.1,16125.1,13529.3,27695.2,384269.2,113175.3,67645.6,48990.0,2335.7,1466.4,3567.5
2020/04/02,1217043.4,14852.1,13402.5,27339.9,381278.4,110326.9,67860.4,46273.6,2567.0,1608.7,3851.3
2020/04/03,1320102.4,14186.5,15216.2,29619.6,456198.3,128562.6,74978.0,46813.5,2813.4,1749.2,4157.5
2020/04/04,1178461.6,11709.3,16134.0,27190.6,446784.7,127774.1,74414.5,33240.1,3076.1,1910.6,4493.8
2020/04/05,1023892.4,11921.7,13908.5,26846.7,395764.5,112568.1,62261.4,28094.6,3358.3,2062.7,4837.3
2020/04/06,1090145.5,10430.2,11846.4,30067.7,369868.4,106611.3,62554.7,38497.4,3648.2,2219.5,5174.6
2020/04/07,1185834.2,13049.2,12904.9,28787.0,388568.8,111913.5,64752.0,43159.5,3952.9,2375.4,5536.9
2020/04/08,1159675.3,13329.9,12114.8,27695.2,384269.2,113175.3,64551.4,43842.8,4279.7,2556.9,5932.6
2020/04/09,1146213.0,12576.0,12403.5,27339.9,381278.4,110326.9,63005.3,41454.8,4620.3,2745.4,6330.7
2020/04/10,1276892.5,12544.2,15000.8,29619.6,456198.3,128562.6,71301.3,44411.5,4975.0,2999.0,6744.1
2020/04/11,1216228.0,12625.9,16836.6,27190.6,446784.7,127774.1,76790.5,35819.1,5339.3,3260.7,7155.0
2020/04/12,970423.9,11695.3,1418.3,26846.7,395764.5,112568.1,52454.6,24943.3,5719.6,3497.0,7578.8
2020/04/13,1112840.7,11519.1,12031.7,30067.7,369868.4,106611.3,58249.3,38982.5,6104.3,3749.7,7999.4
2020/04/14,1166043.4,13530.9,10915.1,28787.0,388568.8,111913.5,61579.5,40969.7,6493.8,4011.9,8417.4
2020/04/15,1187775.3,13653.1,12400.1,27695.2,384269.2,113175.3,60650.7,42577.3,6893.4,4286.6,8847.7
2020/04/16,1156458.9,13353.6,11966.2,27339.9,381278.4,110326.9,59940.7,41155.4,7302.5,4580.5,9273.6
2020/04/17,1286845.8,13476.5,12967.1,29619.6,456198.3,128562.6,65007.7,44000.3,7719.7,4875.6,9745.9
2020/04/18,1237435.4,12988.0,14584.4,27190.6,446784.7,127774.1,69241.2,38743.4,8143.8,5183.5,10327.8
2020/04/19,1113707.2,14625.7,13286.4,26846.7,395764.5,112568.1,61868.6,32652.4,8585.4,5495.7,10872.4
2020/04/20,1184600.6,13805.1,11344.7,30067.7,369868.4,106611.3,61532.0,44831.6,9032.6,5809.8,11375.2
2020/04/21,1257622.9,15916.1,12333.8,28787.0,388568.8,111913.5,66796.6,49016.8,9481.1,6123.0,11864.5
2020/04/22,1281317.3,16134.6,12433.8,27695.2,384269.2,113175.3,67568.2,49393.2,9937.5,6447.7,12373.5
2020/04/23,1281352.3,15505.7,13490.3,27339.9,381278.4,110326.9,65890.7,50068.0,10402.0,6776.6,12980.6
2020/04/24,1409067.2,16071.0,14042.9,29619.6,456198.3,128562.6,72675.4,51853.4,10871.1,7110.3,13597.2
2020/04/25,1349178.3,15369.4,16490.3,27190.6,446784.7,127774.1,73053.0,43854.5,11348.4,7461.9,14217.3
2020/04/26,1154339.0,14538.7,13171.5,26846.7,395764.5,112568.1,64086.4,34890.2,11839.5,7837.1,14855.7
2020/04/27,1258770.9,13533.2,13111.5,30067.7,369868.4,106611.3,63784.4,47863.3,12333.5,8219.2,15496.1
2020/04/28,1303707.3,14565.1,13039.2,28787.0,388568.8,111913.5,64480.3,50892.5,12829.4,8618.4,16140.0
2020/04/29,1276887.4,14758.4,13284.0,27695.2,384269.2,113175.3,64226.1,48825.6,13330.9,9026.5,16793.8
2020/04/30,1251545.9,13562.7,13468.9,27339.9,381278.4,110326.9,62169.9,47017.2,13838.1,9428.2,17455.4
2020/05/01,1433754.6,15411.6,14442.3,29619.6,456198.3,128562.6,71612.4,51015.6,14355.2,9836.0,18118.7
2020/05/02,1311100.6,13191.7,16148.9,27190.6,446784.7,127774.1,70761.0,40158.4,14884.0,10258.8,18807.1
2020/05/03,,,,,,,,,15425.8,10696.8,19516.4
2020/05/04,,,,,,,,,15973.9,11151.1,20228.6
2020/05/05,,,,,,,,,16519.4,11607.1,20935.2
2020/05/06,,,,,,,,,17061.5,12075.7,21645.7
2020/05/07,,,,,,,,,17603.6,12545.1,22331.0
