date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1897713.3,63839.4,38465.2,24327.6,395764.5,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2117190.1,34223.4,27845.2,26485.2,369868.4,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2171036.3,40490.8,28802.9,28030.0,388568.8,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2195591.5,37054.3,28360.6,29515.9,384269.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2194934.5,32285.2,31391.9,32793.8,381278.4,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2362172.0,34037.7,36733.9,40001.6,456198.3,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1846395.6,32099.9,35412.8,31343.7,446784.7,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1616341.5,63839.4,30674.4,27508.1,395764.5,112568.1,116958.3,82732.7,315.2,119.5,578.6
2020/03/16,1747731.0,34223.4,28838.2,37563.2,369868.4,106611.3,147344.3,96114.4,364.1,139.7,663.8
2020/03/17,1379615.9,40490.8,14825.0,22319.0,388568.8,111913.5,82862.2,53391.6,415.9,163.4,754.8
2020/03/18,1327083.6,37054.3,14388.1,21197.9,384269.2,113175.3,76723.9,51759.5,473.2,190.8,855.3
2020/03/19,1319354.2,32285.2,13654.7,21781.8,381278.4,110326.9,76659.9,52331.4,536.6,219.4,960.7
2020/03/20,1293561.3,34037.7,11453.6,14850.9,456198.3,128562.6,61537.8,44514.5,607.4,258.0,1077.5
2020/03/21,1112268.9,32099.9,9332.0,9180.9,446784.7,127774.1,44546.5,31880.8,689.3,307.1,1210.1
2020/03/22,1225289.0,63839.4,16351.3,17402.2,395764.5,112568.1,71951.6,37530.5,782.9,366.7,1356.3
2020/03/23,1272481.7,34223.4,14047.1,18770.1,369868.4,106611.3,71453.0,50202.1,887.1,434.0,1516.5
2020/03/24,1271500.9,40490.8,13016.4,18536.4,388568.8,111913.5,70193.3,47994.5,1001.8,516.4,1698.3
2020/03/25,1402536.3,37054.3,15553.0,20644.5,384269.2,113175.3,78423.8,58314.2,1129.9,601.3,1895.8
2020/03/26,1260446.5,32285.2,13853.9,16782.0,381278.4,110326.9,66823.9,48396.1,1266.5,695.8,2104.1
2020/03/27,1326470.7,34037.7,14290.8,18127.2,456198.3,128562.6,71656.6,46939.7,1411.8,800.8,2319.0
2020/03/28,1220605.2,32099.9,16842.4,17136.3,446784.7,127774.1,72220.4,35211.0,1568.1,923.9,2550.1
2020/03/29,1141504.2,63839.4,14833.9,15045.3,395764.5,112568.1,65987.1,34445.0,1743.4,1076.3,2796.9
2020/03/30,1255025.5,34223.4,13417.2,17536.0,369868.4,106611.3,67655.7,48313.1,1930.0,1204.1,3054.2
2020/03/31,1285989.6,40490.8,13500.1,17836.4,388568.8,111913.5,69030.1,48989.4,2129.7,1324.5,3326.1
2020/04/01,1277998.9,37054.3,13529.3,17928.9,384269.2,113175.3,67645.6,48990.0,2345.6,1440.1,3609.5
2020/04/02,1223916.5,32285.2,13402.5,16779.9,381278.4,110326.9,67860.4,46273.6,2579.9,1576.0,3917.7
2020/04/03,1329801.0,34037.7,15216.2,19467.0,456198.3,128562.6,74978.0,46813.5,2829.4,1693.3,4233.9
2020/04/04,1188045.4,32099.9,16134.0,16383.9,446784.7,127774.1,74414.5,33240.1,3095.2,1830.7,4567.2
2020/04/05,1063975.0,63839.4,13908.5,15011.7,395764.5,112568.1,62261.4,28094.6,3381.0,1984.8,4911.3
2020/04/06,1099898.1,34223.4,11846.4,16027.1,369868.4,106611.3,62554.7,38497.4,3677.1,2150.1,5261.5
2020/04/07,1201879.1,40490.8,12904.9,17390.3,388568.8,111913.5,64752.0,43159.5,3988.7,2334.1,5627.0
2020/04/08,1172452.4,37054.3,12114.8,16748.1,384269.2,113175.3,64551.4,43842.8,4322.4,2558.0,6021.4
2020/04/09,1156014.5,32285.2,12403.5,17432.2,381278.4,110326.9,63005.3,41454.8,4671.5,2807.1,6411.7
2020/04/10,1287572.8,34037.7,15000.8,18806.4,456198.3,128562.6,71301.3,44411.5,5033.9,3055.1,6830.6
2020/04/11,1228104.2,32099.9,16836.6,19592.8,446784.7,127774.1,76790.5,35819.1,5407.2,3288.4,7256.3
2020/04/12,1008509.9,63839.4,1418.3,12788.6,395764.5,112568.1,52454.6,24943.3,5797.5,3526.1,7688.3
2020/04/13,1120073.6,34223.4,12031.7,14596.2,369868.4,106611.3,58249.3,38982.5,6192.3,3799.2,8130.8
2020/04/14,1180270.6,40490.8,10915.1,16054.3,388568.8,111913.5,61579.5,40969.7,6594.7,4120.0,8548.5
2020/04/15,1199651.4,37054.3,12400.1,16170.2,384269.2,113175.3,60650.7,42577.3,7008.0,4389.0,8996.6
2020/04/16,1162912.5,32285.2,11966.2,14861.9,381278.4,110326.9,59940.7,41155.4,7430.6,4674.5,9470.1
2020/04/17,1295771.6,34037.7,12967.1,17984.2,456198.3,128562.6,65007.7,44000.3,7859.5,4968.9,9906.0
2020/04/18,1246083.6,32099.9,14584.4,16727.0,446784.7,127774.1,69241.2,38743.4,8298.3,5273.1,10352.7
2020/04/19,1150754.3,63839.4,13286.4,14680.0,395764.5,112568.1,61868.6,32652.4,8754.3,5585.4,10848.3
2020/04/20,1190504.5,34223.4,11344.7,15553.3,369868.4,106611.3,61532.0,44831.6,9219.2,5905.7,11449.5
2020/04/21,1271093.0,40490.8,12333.8,17682.4,388568.8,111913.5,66796.6,49016.8,9687.1,6234.5,12064.4
2020/04/22,1291676.3,37054.3,12433.8,17134.6,384269.2,113175.3,67568.2,49393.2,10162.5,6574.8,12655.4
2020/04/23,1287542.3,32285.2,13490.3,16750.3,381278.4,110326.9,65890.7,50068.0,10645.4,6920.0,13269.4
2020/04/24,1414951.0,34037.7,14042.9,17536.7,456198.3,128562.6,72675.4,51853.4,11133.3,7277.6,13929.7
2020/04/25,1355350.7,32099.9,16490.3,16632.6,446784.7,127774.1,73053.0,43854.5,11629.2,7650.7,14591.2
2020/04/26,1191389.7,63839.4,13171.5,14596.6,395764.5,112568.1,64086.4,34890.2,12140.1,8041.5,15276.9
2020/04/27,1266472.3,34223.4,13111.5,17078.9,369868.4,106611.3,63784.4,47863.3,12656.5,8432.6,15956.2
2020/04/28,1319080.9,40490.8,13039.2,18235.0,388568.8,111913.5,64480.3,50892.5,13176.2,8802.3,16645.0
2020/04/29,1288406.6,37054.3,13284.0,16918.6,384269.2,113175.3,64226.1,48825.6,13702.2,9180.2,17341.2
2020/04/30,1259560.9,32285.2,13468.9,16632.4,381278.4,110326.9,62169.9,47017.2,14235.4,9583.2,18047.9
2020/05/01,1440549.1,34037.7,14442.3,17787.9,456198.3,128562.6,71612.4,51015.6,14777.3,9980.0,18755.5
2020/05/02,1319541.5,32099.9,16148.9,16723.3,446784.7,127774.1,70761.0,40158.4,15330.3,10400.1,19474.6
2020/05/03,,,,,,,,,15898.9,10835.9,20205.3
2020/05/04,,,,,,,,,16476.1,11290.0,20959.3
2020/05/05,,,,,,,,,17052.7,11742.4,21733.4
2020/05/06,,,,,,,,,17627.7,12200.3,22518.2
2020/05/07,,,,,,,,,18201.8,12668.9,23294.0
