date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1888788.5,63839.4,38465.2,26846.7,395764.5,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2113567.9,34223.4,27845.2,30067.7,369868.4,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2163132.5,40490.8,28802.9,28787.0,388568.8,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2185830.2,37054.3,28360.6,27695.2,384269.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2187327.3,32285.2,31391.9,27339.9,381278.4,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2344326.0,34037.7,36733.9,29619.6,456198.3,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1806668.1,32099.9,35412.8,27190.6,446784.7,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1575163.9,63839.4,30674.4,26846.7,395764.5,72052.1,116958.3,82732.7,315.1,119.5,577.7
2020/03/16,1713184.8,34223.4,28838.2,30067.7,369868.4,79560.6,147344.3,96114.4,364.1,141.0,664.9
2020/03/17,1325356.9,40490.8,14825.0,28787.0,388568.8,51186.6,82862.2,53391.6,416.4,163.7,757.0
2020/03/18,1269907.7,37054.3,14388.1,27695.2,384269.2,49502.1,76723.9,51759.5,474.1,190.5,857.8
2020/03/19,1262879.6,32285.2,13654.7,27339.9,381278.4,48294.2,76659.9,52331.4,537.3,219.5,962.1
2020/03/20,1219072.9,34037.7,11453.6,29619.6,456198.3,39305.4,61537.8,44514.5,608.1,257.8,1079.2
2020/03/21,1029763.4,32099.9,9332.0,27190.6,446784.7,27258.8,44546.5,31880.8,690.0,304.9,1209.1
2020/03/22,1164466.8,63839.4,16351.3,26846.7,395764.5,42301.5,71951.6,37530.5,783.9,366.5,1362.3
2020/03/23,1223507.3,34223.4,14047.1,30067.7,369868.4,46339.1,71453.0,50202.1,888.4,431.3,1527.8
2020/03/24,1215649.9,40490.8,13016.4,28787.0,388568.8,45811.9,70193.3,47994.5,1002.8,505.8,1707.6
2020/03/25,1352178.4,37054.3,15553.0,27695.2,384269.2,55766.6,78423.8,58314.2,1130.9,592.7,1912.1
2020/03/26,1210266.4,32285.2,13853.9,27339.9,381278.4,49589.0,66823.9,48396.1,1267.6,692.8,2118.6
2020/03/27,1260205.2,34037.7,14290.8,29619.6,456198.3,50804.6,71656.6,46939.7,1411.8,800.7,2326.6
2020/03/28,1149174.8,32099.9,16842.4,27190.6,446784.7,46289.3,72220.4,35211.0,1567.9,912.9,2545.9
2020/03/29,1081008.5,63839.4,14833.9,26846.7,395764.5,40271.0,65987.1,34445.0,1741.0,1053.0,2781.8
2020/03/30,1208449.9,34223.4,13417.2,30067.7,369868.4,47503.9,67655.7,48313.1,1926.3,1210.2,3024.3
2020/03/31,1235138.7,40490.8,13500.1,28787.0,388568.8,50112.1,69030.1,48989.4,2123.8,1355.0,3278.2
2020/04/01,1224268.4,37054.3,13529.3,27695.2,384269.2,49678.4,67645.6,48990.0,2338.2,1478.0,3563.6
2020/04/02,1173758.7,32285.2,13402.5,27339.9,381278.4,49609.2,67860.4,46273.6,2569.5,1624.3,3871.8
2020/04/03,1266685.6,34037.7,15216.2,29619.6,456198.3,55294.5,74978.0,46813.5,2816.0,1749.7,4187.0
2020/04/04,1116918.3,32099.9,16134.0,27190.6,446784.7,45840.3,74414.5,33240.1,3078.2,1886.5,4520.1
2020/04/05,997924.4,63839.4,13908.5,26846.7,395764.5,34682.5,62261.4,28094.6,3359.7,2045.6,4863.9
2020/04/06,1047594.8,34223.4,11846.4,30067.7,369868.4,40267.3,62554.7,38497.4,3651.7,2212.4,5205.3
2020/04/07,1146943.7,40490.8,12904.9,28787.0,388568.8,45581.5,64752.0,43159.5,3957.6,2431.3,5560.7
2020/04/08,1115650.5,37054.3,12114.8,27695.2,384269.2,45426.1,64551.4,43842.8,4285.6,2663.9,5944.2
2020/04/09,1100763.0,32285.2,12403.5,27339.9,381278.4,45167.7,63005.3,41454.8,4628.3,2878.3,6341.2
2020/04/10,1223629.6,34037.7,15000.8,29619.6,456198.3,53806.1,71301.3,44411.5,4984.3,3102.2,6740.9
2020/04/11,1157095.3,32099.9,16836.6,27190.6,446784.7,49167.4,76790.5,35819.1,5349.9,3361.8,7163.6
2020/04/12,939764.1,63839.4,1418.3,26846.7,395764.5,29764.3,52454.6,24943.3,5732.0,3652.0,7585.5
2020/04/13,1071450.7,34223.4,12031.7,30067.7,369868.4,42516.9,58249.3,38982.5,6118.9,3915.9,8009.2
2020/04/14,1126612.5,40490.8,10915.1,28787.0,388568.8,45522.8,61579.5,40969.7,6513.2,4184.3,8433.4
2020/04/15,1147692.0,37054.3,12400.1,27695.2,384269.2,49690.8,60650.7,42577.3,6916.1,4465.4,8862.1
2020/04/16,1112788.5,32285.2,11966.2,27339.9,381278.4,47725.0,59940.7,41155.4,7329.2,4762.3,9294.7
2020/04/17,1232355.0,34037.7,12967.1,29619.6,456198.3,53510.5,65007.7,44000.3,7748.1,5062.8,9736.4
2020/04/18,1182780.0,32099.9,14584.4,27190.6,446784.7,54006.8,69241.2,38743.4,8176.3,5368.8,10197.6
2020/04/19,1095906.7,63839.4,13286.4,26846.7,395764.5,45553.9,61868.6,32652.4,8620.8,5694.9,10636.6
2020/04/20,1144346.1,34223.4,11344.7,30067.7,369868.4,45938.4,61532.0,44831.6,9073.4,6006.4,11113.0
2020/04/21,1221928.2,40490.8,12333.8,28787.0,388568.8,51644.2,66796.6,49016.8,9529.1,6330.8,11630.2
2020/04/22,1244655.5,37054.3,12433.8,27695.2,384269.2,55593.8,67568.2,49393.2,9991.1,6652.2,12236.8
2020/04/23,1244080.2,32285.2,13490.3,27339.9,381278.4,56275.2,65890.7,50068.0,10460.5,6984.3,12789.6
2020/04/24,1362845.1,34037.7,14042.9,29619.6,456198.3,64373.7,72675.4,51853.4,10935.2,7323.4,13395.3
2020/04/25,1300366.9,32099.9,16490.3,27190.6,446784.7,62232.2,73053.0,43854.5,11417.0,7683.2,14021.8
2020/04/26,1140927.7,63839.4,13171.5,26846.7,395764.5,49856.1,64086.4,34890.2,11914.2,8049.4,14671.5
2020/04/27,1224334.2,34223.4,13111.5,30067.7,369868.4,51484.3,63784.4,47863.3,12416.6,8432.1,15331.3
2020/04/28,1272747.2,40490.8,13039.2,28787.0,388568.8,55027.8,64480.3,50892.5,12921.7,8825.4,15991.6
2020/04/29,1239093.5,37054.3,13284.0,27695.2,384269.2,53085.4,64226.1,48825.6,13433.4,9230.7,16722.5
2020/04/30,1216559.4,32285.2,13468.9,27339.9,381278.4,56617.9,62169.9,47017.2,13949.7,9653.0,17443.1
2020/05/01,1387852.8,34037.7,14442.3,29619.6,456198.3,64034.6,71612.4,51015.6,14475.2,10099.3,18175.5
2020/05/02,1265248.5,32099.9,16148.9,27190.6,446784.7,63013.7,70761.0,40158.4,15011.8,10544.5,18928.1
2020/05/03,,,,,,,,,15562.8,11004.9,19695.1
2020/05/04,,,,,,,,,16123.1,11475.2,20493.3
2020/05/05,,,,,,,,,16681.8,11963.9,21260.0
2020/05/06,,,,,,,,,17238.3,12448.6,22032.6
2020/05/07,,,,,,,,,17793.5,12943.0,22780.1
