date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1886269.4,63839.4,38465.2,24327.6,395764.5,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2109985.3,34223.4,27845.2,26485.2,369868.4,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2162375.6,40490.8,28802.9,28030.0,388568.8,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2187650.8,37054.3,28360.6,29515.9,384269.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2192781.2,32285.2,31391.9,32793.8,381278.4,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2354707.9,34037.7,36733.9,40001.6,456198.3,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1810821.2,32099.9,35412.8,31343.7,446784.7,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1575825.4,63839.4,30674.4,27508.1,395764.5,72052.1,116958.3,82732.7,315.1,119.5,578.5
2020/03/16,1720680.3,34223.4,28838.2,37563.2,369868.4,79560.6,147344.3,96114.4,364.0,138.8,666.9
2020/03/17,1318889.0,40490.8,14825.0,22319.0,388568.8,51186.6,82862.2,53391.6,415.9,161.0,759.4
2020/03/18,1263410.4,37054.3,14388.1,21197.9,384269.2,49502.1,76723.9,51759.5,473.2,187.7,857.7
2020/03/19,1257321.5,32285.2,13654.7,21781.8,381278.4,48294.2,76659.9,52331.4,536.5,220.3,967.4
2020/03/20,1204304.1,34037.7,11453.6,14850.9,456198.3,39305.4,61537.8,44514.5,607.6,259.1,1079.4
2020/03/21,1011753.6,32099.9,9332.0,9180.9,446784.7,27258.8,44546.5,31880.8,689.9,306.6,1214.6
2020/03/22,1155022.3,63839.4,16351.3,17402.2,395764.5,42301.5,71951.6,37530.5,784.1,363.8,1367.1
2020/03/23,1212209.6,34223.4,14047.1,18770.1,369868.4,46339.1,71453.0,50202.1,888.8,427.7,1526.6
2020/03/24,1205399.4,40490.8,13016.4,18536.4,388568.8,45811.9,70193.3,47994.5,1003.9,504.3,1708.0
2020/03/25,1345127.7,37054.3,15553.0,20644.5,384269.2,55766.6,78423.8,58314.2,1132.6,597.1,1902.8
2020/03/26,1199708.6,32285.2,13853.9,16782.0,381278.4,49589.0,66823.9,48396.1,1269.2,689.2,2100.5
2020/03/27,1248712.7,34037.7,14290.8,18127.2,456198.3,50804.6,71656.6,46939.7,1413.8,793.2,2322.9
2020/03/28,1139120.4,32099.9,16842.4,17136.3,446784.7,46289.3,72220.4,35211.0,1570.5,906.0,2550.3
2020/03/29,1069207.1,63839.4,14833.9,15045.3,395764.5,40271.0,65987.1,34445.0,1745.1,1052.5,2797.8
2020/03/30,1195918.1,34223.4,13417.2,17536.0,369868.4,47503.9,67655.7,48313.1,1930.2,1210.2,3050.3
2020/03/31,1224188.1,40490.8,13500.1,17836.4,388568.8,50112.1,69030.1,48989.4,2127.8,1343.4,3316.0
2020/04/01,1214502.0,37054.3,13529.3,17928.9,384269.2,49678.4,67645.6,48990.0,2341.9,1460.7,3605.6
2020/04/02,1163198.7,32285.2,13402.5,16779.9,381278.4,49609.2,67860.4,46273.6,2572.2,1570.5,3910.5
2020/04/03,1256532.9,34037.7,15216.2,19467.0,456198.3,55294.5,74978.0,46813.5,2817.7,1691.5,4224.1
2020/04/04,1106111.6,32099.9,16134.0,16383.9,446784.7,45840.3,74414.5,33240.1,3078.8,1818.7,4568.6
2020/04/05,986089.4,63839.4,13908.5,15011.7,395764.5,34682.5,62261.4,28094.6,3359.3,1965.6,4918.8
2020/04/06,1033554.2,34223.4,11846.4,16027.1,369868.4,40267.3,62554.7,38497.4,3649.0,2122.2,5275.8
2020/04/07,1135547.1,40490.8,12904.9,17390.3,388568.8,45581.5,64752.0,43159.5,3952.2,2295.6,5644.8
2020/04/08,1104703.3,37054.3,12114.8,16748.1,384269.2,45426.1,64551.4,43842.8,4278.3,2491.0,6040.6
2020/04/09,1090855.3,32285.2,12403.5,17432.2,381278.4,45167.7,63005.3,41454.8,4618.5,2697.7,6434.4
2020/04/10,1212816.3,34037.7,15000.8,18806.4,456198.3,53806.1,71301.3,44411.5,4972.9,2911.3,6836.7
2020/04/11,1149497.5,32099.9,16836.6,19592.8,446784.7,49167.4,76790.5,35819.1,5336.3,3132.2,7238.4
2020/04/12,925706.0,63839.4,1418.3,12788.6,395764.5,29764.3,52454.6,24943.3,5715.2,3376.6,7647.3
2020/04/13,1055979.2,34223.4,12031.7,14596.2,369868.4,42516.9,58249.3,38982.5,6099.3,3633.7,8072.2
2020/04/14,1113879.8,40490.8,10915.1,16054.3,388568.8,45522.8,61579.5,40969.7,6491.3,3893.1,8489.3
2020/04/15,1136166.9,37054.3,12400.1,16170.2,384269.2,49690.8,60650.7,42577.3,6892.1,4162.8,8917.5
2020/04/16,1100310.6,32285.2,11966.2,14861.9,381278.4,47725.0,59940.7,41155.4,7302.2,4451.2,9340.1
2020/04/17,1220719.5,34037.7,12967.1,17984.2,456198.3,53510.5,65007.7,44000.3,7719.9,4745.4,9809.5
2020/04/18,1172316.3,32099.9,14584.4,16727.0,446784.7,54006.8,69241.2,38743.4,8146.7,5046.8,10296.2
2020/04/19,1083740.1,63839.4,13286.4,14680.0,395764.5,45553.9,61868.6,32652.4,8589.1,5366.9,10808.6
2020/04/20,1129831.6,34223.4,11344.7,15553.3,369868.4,45938.4,61532.0,44831.6,9040.0,5682.2,11287.2
2020/04/21,1210823.6,40490.8,12333.8,17682.4,388568.8,51644.2,66796.6,49016.8,9493.4,5998.7,11792.5
2020/04/22,1234094.8,37054.3,12433.8,17134.6,384269.2,55593.8,67568.2,49393.2,9954.8,6338.8,12272.9
2020/04/23,1233490.6,32285.2,13490.3,16750.3,381278.4,56275.2,65890.7,50068.0,10424.2,6663.9,12878.5
2020/04/24,1350762.1,34037.7,14042.9,17536.7,456198.3,64373.7,72675.4,51853.4,10898.1,7003.0,13507.3
2020/04/25,1289808.8,32099.9,16490.3,16632.6,446784.7,62232.2,73053.0,43854.5,11379.0,7353.1,14138.2
2020/04/26,1128677.7,63839.4,13171.5,14596.6,395764.5,49856.1,64086.4,34890.2,11875.4,7719.8,14803.4
2020/04/27,1211345.4,34223.4,13111.5,17078.9,369868.4,51484.3,63784.4,47863.3,12376.1,8087.7,15459.0
2020/04/28,1262195.2,40490.8,13039.2,18235.0,388568.8,55027.8,64480.3,50892.5,12879.5,8459.0,16124.9
2020/04/29,1228316.8,37054.3,13284.0,16918.6,384269.2,53085.4,64226.1,48825.6,13388.3,8845.4,16799.2
2020/04/30,1205851.9,32285.2,13468.9,16632.4,381278.4,56617.9,62169.9,47017.2,13903.7,9244.9,17468.1
2020/05/01,1376021.1,34037.7,14442.3,17787.9,456198.3,64034.6,71612.4,51015.6,14427.5,9652.2,18147.5
2020/05/02,1254781.2,32099.9,16148.9,16723.3,446784.7,63013.7,70761.0,40158.4,14963.8,10077.7,18847.0
2020/05/03,,,,,,,,,15513.3,10518.1,19572.7
2020/05/04,,,,,,,,,16070.9,10965.7,20292.6
2020/05/05,,,,,,,,,16628.1,11428.9,21009.9
2020/05/06,,,,,,,,,17182.7,11889.4,21728.2
2020/05/07,,,,,,,,,17735.7,12357.1,22442.7
