date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1844674.1,53757.0,38465.2,24327.6,354702.4,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2079428.3,28652.2,27845.2,26485.2,340025.1,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2124141.7,34395.3,28802.9,28030.0,356041.7,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2149009.8,34867.8,28360.6,29515.9,356927.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2147433.0,30304.5,31391.9,32793.8,363743.7,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2251625.6,29895.4,36733.9,40001.6,406703.4,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1642834.1,23801.3,35412.8,31343.7,313212.8,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1370614.5,31604.8,30674.4,27508.1,230681.4,72052.1,109065.0,82732.7,315.1,119.3,578.3
2020/03/16,1543594.4,19228.4,28838.2,37563.2,256878.2,79560.6,98243.7,96114.4,364.0,140.6,665.4
2020/03/17,1074518.4,16503.9,14825.0,22319.0,159121.2,51186.6,91926.1,53391.6,415.6,161.3,755.0
2020/03/18,1017266.3,15142.4,14388.1,21197.9,147917.5,49502.1,88843.4,51759.5,471.3,187.0,851.2
2020/03/19,1018262.6,16883.5,13654.7,21781.8,146883.7,48294.2,87397.3,52331.4,531.9,216.7,954.3
2020/03/20,891623.1,15886.5,11453.6,14850.9,125905.7,39305.4,97300.7,44514.5,599.9,253.0,1066.3
2020/03/21,700159.0,14134.8,9332.0,9180.9,94150.2,27258.8,103551.5,31880.8,677.4,293.0,1191.5
2020/03/22,863142.7,15017.0,16351.3,17402.2,115593.8,42301.5,109065.0,37530.5,761.4,340.6,1328.0
2020/03/23,991315.4,15515.0,14047.1,18770.1,140892.0,46339.1,98243.7,50202.1,848.8,390.5,1466.7
2020/03/24,953023.1,14633.7,13016.4,18536.4,140316.8,45811.9,91926.1,47994.5,940.6,445.5,1610.2
2020/03/25,1116525.3,18905.2,15553.0,20644.5,163396.4,55766.6,88843.4,58314.2,1036.6,504.0,1762.3
2020/03/26,960231.3,15549.9,13853.9,16782.0,137963.0,49589.0,87397.3,48396.1,1132.6,560.9,1913.8
2020/03/27,935033.5,14790.8,14290.8,18127.2,136121.9,50804.6,97300.7,46939.7,1230.7,627.0,2063.1
2020/03/28,826278.5,12983.0,16842.4,17136.3,121728.5,46289.3,103551.5,35211.0,1328.9,697.0,2212.8
2020/03/29,773830.3,15361.1,14833.9,15045.3,105788.1,40271.0,109065.0,34445.0,1427.0,766.7,2356.0
2020/03/30,974553.9,15263.9,13417.2,17536.0,136875.7,47503.9,98243.7,48313.1,1525.2,839.7,2500.6
2020/03/31,968244.4,15528.0,13500.1,17836.4,134691.8,50112.1,91926.1,48989.4,1627.0,919.6,2646.6
2020/04/01,972358.0,16125.1,13529.3,17928.9,141856.6,49678.4,88843.4,48990.0,1733.5,1004.8,2795.2
2020/04/02,914641.8,14852.1,13402.5,16779.9,130617.6,49609.2,87397.3,46273.6,1846.5,1087.4,2949.5
2020/04/03,945851.3,14186.5,15216.2,19467.0,143045.1,55294.5,97300.7,46813.5,1965.2,1166.8,3106.4
2020/04/04,790376.6,11709.3,16134.0,16383.9,122303.2,45840.3,103551.5,33240.1,2088.0,1259.2,3269.8
2020/04/05,680904.1,11921.7,13908.5,15011.7,95693.2,34682.5,109065.0,28094.6,2210.9,1355.6,3439.7
2020/04/06,786248.3,10430.2,11846.4,16027.1,110666.7,40267.3,98243.7,38497.4,2331.8,1446.8,3600.7
2020/04/07,872116.8,13049.2,12904.9,17390.3,125406.0,45581.5,91926.1,43159.5,2455.5,1539.3,3762.8
2020/04/08,842383.5,13329.9,12114.8,16748.1,121381.8,45426.1,88843.4,43842.8,2585.7,1637.9,3938.0
2020/04/09,836568.7,12576.0,12403.5,17432.2,122309.0,45167.7,87397.3,41454.8,2719.5,1741.6,4110.1
2020/04/10,896478.3,12544.2,15000.8,18806.4,135354.4,53806.1,97300.7,44411.5,2859.2,1854.3,4302.9
2020/04/11,832777.6,12625.9,16836.6,19592.8,122777.8,49167.4,103551.5,35819.1,2998.7,1962.2,4483.2
2020/04/12,623069.8,11695.3,1418.3,12788.6,88661.9,29764.3,109065.0,24943.3,3134.0,2066.1,4653.8
2020/04/13,819357.4,11519.1,12031.7,14596.2,115956.6,42516.9,98243.7,38982.5,3264.3,2152.0,4814.1
2020/04/14,851827.5,13530.9,10915.1,16054.3,123129.7,45522.8,91926.1,40969.7,3392.3,2238.4,4964.1
2020/04/15,884220.5,13653.1,12400.1,16170.2,127531.3,49690.8,88843.4,42577.3,3517.5,2320.8,5109.8
2020/04/16,852451.8,13353.6,11966.2,14861.9,124894.6,47725.0,87397.3,41155.4,3644.2,2405.3,5256.3
2020/04/17,913928.1,13476.5,12967.1,17984.2,137675.0,53510.5,97300.7,44000.3,3771.0,2492.6,5397.7
2020/04/18,867754.8,12988.0,14584.4,16727.0,127024.8,54006.8,103551.5,38743.4,3895.1,2578.3,5534.8
2020/04/19,794468.0,14625.7,13286.4,14680.0,108509.7,45553.9,109065.0,32652.4,4017.7,2667.1,5683.6
2020/04/20,907128.1,13805.1,11344.7,15553.3,130871.4,45938.4,98243.7,44831.6,4138.1,2756.0,5838.0
2020/04/21,962237.8,15916.1,12333.8,17682.4,139428.2,51644.2,91926.1,49016.8,4257.6,2842.8,5975.3
2020/04/22,991469.7,16134.6,12433.8,17134.6,141288.6,55593.8,88843.4,49393.2,4379.8,2938.7,6106.7
2020/04/23,1001166.8,15505.7,13490.3,16750.3,144227.4,56275.2,87397.3,50068.0,4502.1,3031.8,6234.8
2020/04/24,1058449.3,16071.0,14042.9,17536.7,157226.9,64373.7,97300.7,51853.4,4626.0,3126.9,6366.3
2020/04/25,1004596.1,15369.4,16490.3,16632.6,147803.9,62232.2,103551.5,43854.5,4750.0,3225.5,6490.2
2020/04/26,843567.6,14538.7,13171.5,14596.6,114976.4,49856.1,109065.0,34890.2,4875.2,3322.5,6610.9
2020/04/27,990296.5,13533.2,13111.5,17078.9,135050.4,51484.3,98243.7,47863.3,4999.1,3421.7,6727.2
2020/04/28,1018794.9,14565.1,13039.2,18235.0,143648.3,55027.8,91926.1,50892.5,5122.1,3523.9,6839.6
2020/04/29,982666.2,14758.4,13284.0,16918.6,136297.3,53085.4,88843.4,48825.6,5248.4,3629.4,6952.6
2020/04/30,967461.6,13562.7,13468.9,16632.4,136383.2,56617.9,87397.3,47017.2,5378.2,3739.4,7082.4
2020/05/01,1084615.8,15411.6,14442.3,17787.9,157730.8,64034.6,97300.7,51015.6,5512.8,3855.4,7208.2
2020/05/02,960144.7,13191.7,16148.9,16723.3,138265.9,63013.7,103551.5,40158.4,5651.9,3975.9,7370.6
2020/05/03,,,,,,,,,5791.5,4090.2,7526.6
2020/05/04,,,,,,,,,5932.3,4211.1,7683.1
2020/05/05,,,,,,,,,6072.9,4328.6,7833.3
2020/05/06,,,,,,,,,6213.1,4448.4,7973.1
2020/05/07,,,,,,,,,6353.9,4572.5,8138.2
2020/05/08,,,,,,,,,6493.8,4695.7,8302.0
