date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1856118.1,53757.0,38465.2,24327.6,354702.4,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2086633.1,28652.2,27845.2,26485.2,340025.1,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2132802.4,34395.3,28802.9,28030.0,356041.7,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2156950.5,34867.8,28360.6,29515.9,356927.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2149586.3,30304.5,31391.9,32793.8,363743.7,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2259089.7,29895.4,36733.9,40001.6,406703.4,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1678408.5,23801.3,35412.8,31343.7,313212.8,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1411130.6,31604.8,30674.4,27508.1,230681.4,112568.1,109065.0,82732.7,315.2,119.8,577.8
2020/03/16,1570645.1,19228.4,28838.2,37563.2,256878.2,106611.3,98243.7,96114.4,363.9,140.3,665.1
2020/03/17,1135245.4,16503.9,14825.0,22319.0,159121.2,111913.5,91926.1,53391.6,415.4,161.6,755.4
2020/03/18,1080939.5,15142.4,14388.1,21197.9,147917.5,113175.3,88843.4,51759.5,471.1,186.7,851.1
2020/03/19,1080295.3,16883.5,13654.7,21781.8,146883.7,110326.9,87397.3,52331.4,531.8,214.5,954.5
2020/03/20,980880.3,15886.5,11453.6,14850.9,125905.7,128562.6,97300.7,44514.5,599.7,252.1,1067.2
2020/03/21,800674.3,14134.8,9332.0,9180.9,94150.2,127774.1,103551.5,31880.8,677.4,297.2,1194.5
2020/03/22,933409.4,15017.0,16351.3,17402.2,115593.8,112568.1,109065.0,37530.5,761.8,343.4,1330.7
2020/03/23,1051587.5,15515.0,14047.1,18770.1,140892.0,106611.3,98243.7,50202.1,850.0,396.3,1466.7
2020/03/24,1019124.7,14633.7,13016.4,18536.4,140316.8,111913.5,91926.1,47994.5,943.0,453.8,1610.8
2020/03/25,1173933.9,18905.2,15553.0,20644.5,163396.4,113175.3,88843.4,58314.2,1040.4,517.8,1763.2
2020/03/26,1020969.2,15549.9,13853.9,16782.0,137963.0,110326.9,87397.3,48396.1,1138.3,584.0,1917.7
2020/03/27,1012791.5,14790.8,14290.8,18127.2,136121.9,128562.6,97300.7,46939.7,1238.2,659.0,2066.9
2020/03/28,907763.3,12983.0,16842.4,17136.3,121728.5,127774.1,103551.5,35211.0,1338.9,735.3,2212.3
2020/03/29,846127.4,15361.1,14833.9,15045.3,105788.1,112568.1,109065.0,34445.0,1440.4,812.9,2356.0
2020/03/30,1033661.3,15263.9,13417.2,17536.0,136875.7,106611.3,98243.7,48313.1,1541.8,885.6,2492.3
2020/03/31,1030045.8,15528.0,13500.1,17836.4,134691.8,111913.5,91926.1,48989.4,1647.4,959.4,2637.3
2020/04/01,1035854.9,16125.1,13529.3,17928.9,141856.6,113175.3,88843.4,48990.0,1757.7,1038.4,2796.0
2020/04/02,975359.5,14852.1,13402.5,16779.9,130617.6,110326.9,87397.3,46273.6,1874.6,1124.2,2956.5
2020/04/03,1019119.3,14186.5,15216.2,19467.0,143045.1,128562.6,97300.7,46813.5,1997.5,1214.5,3128.5
2020/04/04,872310.4,11709.3,16134.0,16383.9,122303.2,127774.1,103551.5,33240.1,2125.3,1312.8,3308.8
2020/04/05,758789.8,11921.7,13908.5,15011.7,95693.2,112568.1,109065.0,28094.6,2253.1,1401.1,3488.6
2020/04/06,852592.3,10430.2,11846.4,16027.1,110666.7,106611.3,98243.7,38497.4,2379.6,1489.6,3653.9
2020/04/07,938448.8,13049.2,12904.9,17390.3,125406.0,111913.5,91926.1,43159.5,2509.6,1582.3,3825.0
2020/04/08,910132.6,13329.9,12114.8,16748.1,121381.8,113175.3,88843.4,43842.8,2646.4,1682.8,4002.3
2020/04/09,901727.9,12576.0,12403.5,17432.2,122309.0,110326.9,87397.3,41454.8,2787.1,1783.3,4183.2
2020/04/10,971234.8,12544.2,15000.8,18806.4,135354.4,128562.6,97300.7,44411.5,2934.3,1898.5,4371.9
2020/04/11,911384.3,12625.9,16836.6,19592.8,122777.8,127774.1,103551.5,35819.1,3080.6,1993.5,4556.4
2020/04/12,705873.6,11695.3,1418.3,12788.6,88661.9,112568.1,109065.0,24943.3,3223.7,2091.3,4732.9
2020/04/13,883451.8,11519.1,12031.7,14596.2,115956.6,106611.3,98243.7,38982.5,3361.5,2184.1,4903.9
2020/04/14,918218.2,13530.9,10915.1,16054.3,123129.7,111913.5,91926.1,40969.7,3496.8,2277.6,5065.6
2020/04/15,947705.0,13653.1,12400.1,16170.2,127531.3,113175.3,88843.4,42577.3,3629.7,2372.4,5225.4
2020/04/16,915053.8,13353.6,11966.2,14861.9,124894.6,110326.9,87397.3,41155.4,3763.6,2465.6,5381.7
2020/04/17,988980.2,13476.5,12967.1,17984.2,137675.0,128562.6,97300.7,44000.3,3897.7,2565.0,5531.1
2020/04/18,941522.1,12988.0,14584.4,16727.0,127024.8,127774.1,103551.5,38743.4,4029.8,2665.5,5678.1
2020/04/19,861482.2,14625.7,13286.4,14680.0,108509.7,112568.1,109065.0,32652.4,4160.5,2766.0,5815.4
2020/04/20,967800.9,13805.1,11344.7,15553.3,130871.4,106611.3,98243.7,44831.6,4288.8,2864.6,5953.0
2020/04/21,1022507.2,15916.1,12333.8,17682.4,139428.2,111913.5,91926.1,49016.8,4415.9,2966.5,6090.3
2020/04/22,1049051.2,16134.6,12433.8,17134.6,141288.6,113175.3,88843.4,49393.2,4545.7,3078.4,6229.5
2020/04/23,1055218.4,15505.7,13490.3,16750.3,144227.4,110326.9,87397.3,50068.0,4675.7,3186.8,6389.8
2020/04/24,1122638.2,16071.0,14042.9,17536.7,157226.9,128562.6,97300.7,51853.4,4807.9,3295.9,6536.8
2020/04/25,1070137.9,15369.4,16490.3,16632.6,147803.9,127774.1,103551.5,43854.5,4940.1,3412.8,6682.2
2020/04/26,906279.6,14538.7,13171.5,14596.6,114976.4,112568.1,109065.0,34890.2,5073.7,3528.5,6825.9
2020/04/27,1045423.5,13533.2,13111.5,17078.9,135050.4,106611.3,98243.7,47863.3,5206.2,3642.9,6951.5
2020/04/28,1075680.6,14565.1,13039.2,18235.0,143648.3,111913.5,91926.1,50892.5,5337.8,3747.6,7075.2
2020/04/29,1042756.1,14758.4,13284.0,16918.6,136297.3,113175.3,88843.4,48825.6,5473.8,3862.9,7198.6
2020/04/30,1021170.6,13562.7,13468.9,16632.4,136383.2,110326.9,87397.3,47017.2,5613.2,3975.7,7328.9
2020/05/01,1149143.8,15411.6,14442.3,17787.9,157730.8,128562.6,97300.7,51015.6,5757.3,4079.0,7491.2
2020/05/02,1024905.0,13191.7,16148.9,16723.3,138265.9,127774.1,103551.5,40158.4,5906.4,4187.2,7684.8
2020/05/03,,,,,,,,,6056.0,4295.5,7853.1
2020/05/04,,,,,,,,,6207.0,4409.9,7976.1
2020/05/05,,,,,,,,,6358.0,4527.6,8095.3
2020/05/06,,,,,,,,,6509.4,4640.4,8210.6
2020/05/07,,,,,,,,,6660.9,4750.9,8338.8
2020/05/08,,,,,,,,,6812.1,4861.8,8509.4
