date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1858637.2,53757.0,38465.2,26846.7,354702.4,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2090215.7,28652.2,27845.2,30067.7,340025.1,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2133559.3,34395.3,28802.9,28787.0,356041.7,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2155129.8,34867.8,28360.6,27695.2,356927.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2144132.5,30304.5,31391.9,27339.9,363743.7,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2248707.7,29895.4,36733.9,29619.6,406703.4,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1674255.5,23801.3,35412.8,27190.6,313212.8,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1410469.1,31604.8,30674.4,26846.7,230681.4,112568.1,109065.0,82732.7,315.2,119.7,577.4
2020/03/16,1563149.6,19228.4,28838.2,30067.7,256878.2,106611.3,98243.7,96114.4,364.2,139.8,666.5
2020/03/17,1141713.3,16503.9,14825.0,28787.0,159121.2,111913.5,91926.1,53391.6,415.5,160.0,757.2
2020/03/18,1087436.8,15142.4,14388.1,27695.2,147917.5,113175.3,88843.4,51759.5,471.0,184.6,852.3
2020/03/19,1085853.4,16883.5,13654.7,27339.9,146883.7,110326.9,87397.3,52331.4,532.1,212.8,956.9
2020/03/20,995649.1,15886.5,11453.6,29619.6,125905.7,128562.6,97300.7,44514.5,600.0,249.9,1068.3
2020/03/21,818684.1,14134.8,9332.0,27190.6,94150.2,127774.1,103551.5,31880.8,677.9,294.7,1192.8
2020/03/22,942853.9,15017.0,16351.3,26846.7,115593.8,112568.1,109065.0,37530.5,762.0,343.4,1325.3
2020/03/23,1062885.2,15515.0,14047.1,30067.7,140892.0,106611.3,98243.7,50202.1,850.0,397.9,1458.3
2020/03/24,1029375.3,14633.7,13016.4,28787.0,140316.8,111913.5,91926.1,47994.5,943.0,458.8,1599.8
2020/03/25,1180984.7,18905.2,15553.0,27695.2,163396.4,113175.3,88843.4,58314.2,1040.5,528.1,1750.7
2020/03/26,1031527.1,15549.9,13853.9,27339.9,137963.0,110326.9,87397.3,48396.1,1138.3,596.7,1895.0
2020/03/27,1024283.9,14790.8,14290.8,29619.6,136121.9,128562.6,97300.7,46939.7,1238.0,667.7,2039.6
2020/03/28,917817.7,12983.0,16842.4,27190.6,121728.5,127774.1,103551.5,35211.0,1338.4,739.6,2181.9
2020/03/29,857928.8,15361.1,14833.9,26846.7,105788.1,112568.1,109065.0,34445.0,1438.9,814.1,2322.6
2020/03/30,1046193.0,15263.9,13417.2,30067.7,136875.7,106611.3,98243.7,48313.1,1540.2,883.6,2463.7
2020/03/31,1040996.4,15528.0,13500.1,28787.0,134691.8,111913.5,91926.1,48989.4,1645.2,956.9,2607.1
2020/04/01,1045621.3,16125.1,13529.3,27695.2,141856.6,113175.3,88843.4,48990.0,1755.1,1042.0,2761.0
2020/04/02,985919.5,14852.1,13402.5,27339.9,130617.6,110326.9,87397.3,46273.6,1871.6,1131.6,2917.3
2020/04/03,1029272.0,14186.5,15216.2,29619.6,143045.1,128562.6,97300.7,46813.5,1994.3,1216.4,3073.9
2020/04/04,883117.1,11709.3,16134.0,27190.6,122303.2,127774.1,103551.5,33240.1,2121.5,1310.7,3243.8
2020/04/05,770624.8,11921.7,13908.5,26846.7,95693.2,112568.1,109065.0,28094.6,2248.8,1408.6,3406.6
2020/04/06,866632.9,10430.2,11846.4,30067.7,110666.7,106611.3,98243.7,38497.4,2375.3,1502.1,3575.3
2020/04/07,949845.5,13049.2,12904.9,28787.0,125406.0,111913.5,91926.1,43159.5,2505.0,1599.7,3741.0
2020/04/08,921079.8,13329.9,12114.8,27695.2,121381.8,113175.3,88843.4,43842.8,2641.0,1718.8,3917.2
2020/04/09,911635.6,12576.0,12403.5,27339.9,122309.0,110326.9,87397.3,41454.8,2780.8,1825.5,4090.1
2020/04/10,982048.0,12544.2,15000.8,29619.6,135354.4,128562.6,97300.7,44411.5,2927.2,1919.6,4279.5
2020/04/11,918982.1,12625.9,16836.6,27190.6,122777.8,127774.1,103551.5,35819.1,3073.1,2019.1,4460.2
2020/04/12,719931.7,11695.3,1418.3,26846.7,88661.9,112568.1,109065.0,24943.3,3215.3,2115.4,4663.7
2020/04/13,898923.3,11519.1,12031.7,30067.7,115956.6,106611.3,98243.7,38982.5,3352.5,2225.6,4850.5
2020/04/14,930950.9,13530.9,10915.1,28787.0,123129.7,111913.5,91926.1,40969.7,3487.0,2334.7,5020.6
2020/04/15,959230.0,13653.1,12400.1,27695.2,127531.3,113175.3,88843.4,42577.3,3618.8,2441.8,5186.2
2020/04/16,927531.7,13353.6,11966.2,27339.9,124894.6,110326.9,87397.3,41155.4,3752.3,2549.3,5351.0
2020/04/17,1000615.6,13476.5,12967.1,29619.6,137675.0,128562.6,97300.7,44000.3,3886.6,2663.1,5507.8
2020/04/18,951985.8,12988.0,14584.4,27190.6,127024.8,127774.1,103551.5,38743.4,4018.9,2773.9,5660.7
2020/04/19,873648.9,14625.7,13286.4,26846.7,108509.7,112568.1,109065.0,32652.4,4149.3,2871.6,5805.6
2020/04/20,982315.3,13805.1,11344.7,30067.7,130871.4,106611.3,98243.7,44831.6,4277.9,2969.5,5949.0
2020/04/21,1033611.8,15916.1,12333.8,28787.0,139428.2,111913.5,91926.1,49016.8,4405.5,3061.6,6088.5
2020/04/22,1059611.8,16134.6,12433.8,27695.2,141288.6,113175.3,88843.4,49393.2,4535.8,3164.1,6231.2
2020/04/23,1065808.0,15505.7,13490.3,27339.9,144227.4,110326.9,87397.3,50068.0,4666.9,3266.8,6370.1
2020/04/24,1134721.2,16071.0,14042.9,29619.6,157226.9,128562.6,97300.7,51853.4,4799.7,3370.9,6513.4
2020/04/25,1080696.0,15369.4,16490.3,27190.6,147803.9,127774.1,103551.5,43854.5,4932.3,3480.5,6655.2
2020/04/26,918529.6,14538.7,13171.5,26846.7,114976.4,112568.1,109065.0,34890.2,5066.6,3597.1,6792.7
2020/04/27,1058412.2,13533.2,13111.5,30067.7,135050.4,106611.3,98243.7,47863.3,5199.7,3711.5,6927.1
2020/04/28,1086232.6,14565.1,13039.2,28787.0,143648.3,111913.5,91926.1,50892.5,5331.8,3823.1,7048.3
2020/04/29,1053532.7,14758.4,13284.0,27695.2,136297.3,113175.3,88843.4,48825.6,5467.9,3944.1,7179.5
2020/04/30,1031878.1,13562.7,13468.9,27339.9,136383.2,110326.9,87397.3,47017.2,5608.2,4064.3,7310.9
2020/05/01,1160975.4,15411.6,14442.3,29619.6,157730.8,128562.6,97300.7,51015.6,5752.8,4192.2,7448.0
2020/05/02,1035372.4,13191.7,16148.9,27190.6,138265.9,127774.1,103551.5,40158.4,5903.0,4323.7,7585.5
2020/05/03,,,,,,,,,6053.8,4461.8,7725.1
2020/05/04,,,,,,,,,6205.8,4597.5,7864.7
2020/05/05,,,,,,,,,6357.6,4732.1,8000.7
2020/05/06,,,,,,,,,6509.2,4869.4,8191.1
2020/05/07,,,,,,,,,6661.9,5009.7,8347.5
2020/05/08,,,,,,,,,6813.6,5145.7,8464.6
