date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1866200.4,63839.4,38465.2,24327.6,354702.4,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2092204.4,34223.4,27845.2,26485.2,340025.1,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2138897.8,40490.8,28802.9,28030.0,356041.7,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2159136.9,37054.3,28360.6,29515.9,356927.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2151567.0,32285.2,31391.9,32793.8,363743.7,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2263232.0,34037.7,36733.9,40001.6,406703.4,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1686707.1,32099.9,35412.8,31343.7,313212.8,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1443365.2,63839.4,30674.4,27508.1,230681.4,112568.1,109065.0,82732.7,315.2,119.8,578.3
2020/03/16,1585640.2,34223.4,28838.2,37563.2,256878.2,106611.3,98243.7,96114.4,364.3,139.7,665.7
2020/03/17,1159232.3,40490.8,14825.0,22319.0,159121.2,111913.5,91926.1,53391.6,416.3,163.0,753.5
2020/03/18,1102851.3,37054.3,14388.1,21197.9,147917.5,113175.3,88843.4,51759.5,472.4,189.3,852.7
2020/03/19,1095697.0,32285.2,13654.7,21781.8,146883.7,110326.9,87397.3,52331.4,533.7,218.5,955.2
2020/03/20,999031.6,34037.7,11453.6,14850.9,125905.7,128562.6,97300.7,44514.5,601.9,252.4,1065.6
2020/03/21,818639.4,32099.9,9332.0,9180.9,94150.2,127774.1,103551.5,31880.8,679.5,293.9,1189.5
2020/03/22,982231.8,63839.4,16351.3,17402.2,115593.8,112568.1,109065.0,37530.5,763.8,343.0,1320.7
2020/03/23,1070296.0,34223.4,14047.1,18770.1,140892.0,106611.3,98243.7,50202.1,852.4,400.2,1459.3
2020/03/24,1044981.7,40490.8,13016.4,18536.4,140316.8,111913.5,91926.1,47994.5,945.6,463.0,1605.7
2020/03/25,1192083.0,37054.3,15553.0,20644.5,163396.4,113175.3,88843.4,58314.2,1043.5,522.5,1758.9
2020/03/26,1037704.5,32285.2,13853.9,16782.0,137963.0,110326.9,87397.3,48396.1,1142.3,582.9,1912.0
2020/03/27,1032038.4,34037.7,14290.8,18127.2,136121.9,128562.6,97300.7,46939.7,1242.7,647.5,2062.0
2020/03/28,926880.1,32099.9,16842.4,17136.3,121728.5,127774.1,103551.5,35211.0,1344.5,718.5,2210.4
2020/03/29,894605.7,63839.4,14833.9,15045.3,105788.1,112568.1,109065.0,34445.0,1446.8,786.7,2360.7
2020/03/30,1052620.8,34223.4,13417.2,17536.0,136875.7,106611.3,98243.7,48313.1,1550.1,852.4,2507.9
2020/03/31,1055008.6,40490.8,13500.1,17836.4,134691.8,111913.5,91926.1,48989.4,1656.9,925.7,2658.7
2020/04/01,1056784.1,37054.3,13529.3,17928.9,141856.6,113175.3,88843.4,48990.0,1769.5,1005.2,2815.9
2020/04/02,992792.6,32285.2,13402.5,16779.9,130617.6,110326.9,87397.3,46273.6,1889.1,1089.5,2976.1
2020/04/03,1038970.6,34037.7,15216.2,19467.0,143045.1,128562.6,97300.7,46813.5,2014.9,1189.2,3144.8
2020/04/04,892700.9,32099.9,16134.0,16383.9,122303.2,127774.1,103551.5,33240.1,2145.3,1294.9,3314.0
2020/04/05,810707.4,63839.4,13908.5,15011.7,95693.2,112568.1,109065.0,28094.6,2276.2,1394.9,3488.6
2020/04/06,876385.5,34223.4,11846.4,16027.1,110666.7,106611.3,98243.7,38497.4,2407.1,1478.3,3664.5
2020/04/07,965890.4,40490.8,12904.9,17390.3,125406.0,111913.5,91926.1,43159.5,2541.5,1559.1,3851.1
2020/04/08,933857.0,37054.3,12114.8,16748.1,121381.8,113175.3,88843.4,43842.8,2682.8,1665.4,4031.9
2020/04/09,921437.2,32285.2,12403.5,17432.2,122309.0,110326.9,87397.3,41454.8,2829.3,1772.8,4225.0
2020/04/10,992728.3,34037.7,15000.8,18806.4,135354.4,128562.6,97300.7,44411.5,2981.2,1895.9,4420.8
2020/04/11,930858.3,32099.9,16836.6,19592.8,122777.8,127774.1,103551.5,35819.1,3132.2,2021.0,4608.5
2020/04/12,758017.7,63839.4,1418.3,12788.6,88661.9,112568.1,109065.0,24943.3,3281.7,2119.4,4796.9
2020/04/13,906156.1,34223.4,12031.7,14596.2,115956.6,106611.3,98243.7,38982.5,3427.0,2217.9,4973.9
2020/04/14,945178.1,40490.8,10915.1,16054.3,123129.7,111913.5,91926.1,40969.7,3570.6,2316.9,5148.6
2020/04/15,971106.2,37054.3,12400.1,16170.2,127531.3,113175.3,88843.4,42577.3,3712.1,2416.2,5315.9
2020/04/16,933985.4,32285.2,11966.2,14861.9,124894.6,110326.9,87397.3,41155.4,3855.7,2519.0,5483.5
2020/04/17,1009541.4,34037.7,12967.1,17984.2,137675.0,128562.6,97300.7,44000.3,3999.3,2625.6,5658.6
2020/04/18,960634.0,32099.9,14584.4,16727.0,127024.8,127774.1,103551.5,38743.4,4141.0,2738.2,5829.2
2020/04/19,910695.9,63839.4,13286.4,14680.0,108509.7,112568.1,109065.0,32652.4,4282.3,2853.0,5998.3
2020/04/20,988219.2,34223.4,11344.7,15553.3,130871.4,106611.3,98243.7,44831.6,4421.8,2970.0,6169.6
2020/04/21,1047081.8,40490.8,12333.8,17682.4,139428.2,111913.5,91926.1,49016.8,4561.6,3087.1,6331.5
2020/04/22,1069970.8,37054.3,12433.8,17134.6,141288.6,113175.3,88843.4,49393.2,4703.2,3206.1,6484.1
2020/04/23,1071997.9,32285.2,13490.3,16750.3,144227.4,110326.9,87397.3,50068.0,4847.2,3328.2,6639.7
2020/04/24,1140604.9,34037.7,14042.9,17536.7,157226.9,128562.6,97300.7,51853.4,4991.4,3449.9,6795.3
2020/04/25,1086868.4,32099.9,16490.3,16632.6,147803.9,127774.1,103551.5,43854.5,5136.3,3575.1,6948.6
2020/04/26,955580.3,63839.4,13171.5,14596.6,114976.4,112568.1,109065.0,34890.2,5283.6,3708.4,7103.1
2020/04/27,1066113.6,34223.4,13111.5,17078.9,135050.4,106611.3,98243.7,47863.3,5430.5,3844.2,7249.0
2020/04/28,1101606.2,40490.8,13039.2,18235.0,143648.3,111913.5,91926.1,50892.5,5576.7,3977.1,7390.6
2020/04/29,1065051.9,37054.3,13284.0,16918.6,136297.3,113175.3,88843.4,48825.6,5727.3,4115.8,7543.6
2020/04/30,1039893.1,32285.2,13468.9,16632.4,136383.2,110326.9,87397.3,47017.2,5882.4,4260.6,7690.0
2020/05/01,1167769.9,34037.7,14442.3,17787.9,157730.8,128562.6,97300.7,51015.6,6042.3,4391.2,7838.2
2020/05/02,1043813.2,32099.9,16148.9,16723.3,138265.9,127774.1,103551.5,40158.4,6207.3,4528.4,7993.5
2020/05/03,,,,,,,,,6373.7,4680.5,8139.8
2020/05/04,,,,,,,,,6543.7,4835.4,8307.7
2020/05/05,,,,,,,,,6712.9,4991.7,8479.8
2020/05/06,,,,,,,,,6882.3,5141.5,8649.1
2020/05/07,,,,,,,,,7053.7,5284.7,8816.7
2020/05/08,,,,,,,,,7223.3,5423.8,8966.7
