date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1847193.2,53757.0,38465.2,26846.7,354702.4,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2083010.9,28652.2,27845.2,30067.7,340025.1,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2124898.6,34395.3,28802.9,28787.0,356041.7,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2147189.1,34867.8,28360.6,27695.2,356927.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2141979.1,30304.5,31391.9,27339.9,363743.7,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2241243.7,29895.4,36733.9,29619.6,406703.4,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1638681.0,23801.3,35412.8,27190.6,313212.8,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1369953.1,31604.8,30674.4,26846.7,230681.4,72052.1,109065.0,82732.7,315.1,119.6,578.3
2020/03/16,1536098.9,19228.4,28838.2,30067.7,256878.2,79560.6,98243.7,96114.4,364.3,140.1,662.4
2020/03/17,1080986.4,16503.9,14825.0,28787.0,159121.2,51186.6,91926.1,53391.6,415.5,162.2,756.0
2020/03/18,1023763.6,15142.4,14388.1,27695.2,147917.5,49502.1,88843.4,51759.5,471.1,188.6,851.9
2020/03/19,1023820.7,16883.5,13654.7,27339.9,146883.7,48294.2,87397.3,52331.4,531.9,218.1,951.1
2020/03/20,906391.9,15886.5,11453.6,29619.6,125905.7,39305.4,97300.7,44514.5,599.7,253.2,1063.9
2020/03/21,718168.8,14134.8,9332.0,27190.6,94150.2,27258.8,103551.5,31880.8,677.2,298.4,1187.7
2020/03/22,872587.2,15017.0,16351.3,26846.7,115593.8,42301.5,109065.0,37530.5,761.0,349.1,1318.6
2020/03/23,1002613.0,15515.0,14047.1,30067.7,140892.0,46339.1,98243.7,50202.1,848.8,401.8,1453.9
2020/03/24,963273.7,14633.7,13016.4,28787.0,140316.8,45811.9,91926.1,47994.5,941.2,461.6,1591.5
2020/03/25,1123576.1,18905.2,15553.0,27695.2,163396.4,55766.6,88843.4,58314.2,1037.5,526.5,1735.8
2020/03/26,970789.2,15549.9,13853.9,27339.9,137963.0,49589.0,87397.3,48396.1,1133.6,581.4,1879.0
2020/03/27,946525.9,14790.8,14290.8,29619.6,136121.9,50804.6,97300.7,46939.7,1231.6,638.7,2026.7
2020/03/28,836332.9,12983.0,16842.4,27190.6,121728.5,46289.3,103551.5,35211.0,1330.1,709.2,2163.3
2020/03/29,785631.7,15361.1,14833.9,26846.7,105788.1,40271.0,109065.0,34445.0,1429.0,777.9,2301.4
2020/03/30,987085.6,15263.9,13417.2,30067.7,136875.7,47503.9,98243.7,48313.1,1527.6,846.3,2435.1
2020/03/31,979195.0,15528.0,13500.1,28787.0,134691.8,50112.1,91926.1,48989.4,1629.5,910.3,2578.8
2020/04/01,982124.4,16125.1,13529.3,27695.2,141856.6,49678.4,88843.4,48990.0,1735.5,983.4,2719.7
2020/04/02,925201.8,14852.1,13402.5,27339.9,130617.6,49609.2,87397.3,46273.6,1847.6,1060.0,2870.4
2020/04/03,956003.9,14186.5,15216.2,29619.6,143045.1,55294.5,97300.7,46813.5,1966.5,1143.7,3023.2
2020/04/04,801183.3,11709.3,16134.0,27190.6,122303.2,45840.3,103551.5,33240.1,2089.2,1235.0,3185.2
2020/04/05,692739.1,11921.7,13908.5,26846.7,95693.2,34682.5,109065.0,28094.6,2212.3,1328.5,3346.3
2020/04/06,800288.9,10430.2,11846.4,30067.7,110666.7,40267.3,98243.7,38497.4,2333.3,1418.8,3501.7
2020/04/07,883513.4,13049.2,12904.9,28787.0,125406.0,45581.5,91926.1,43159.5,2457.2,1502.5,3661.5
2020/04/08,853330.7,13329.9,12114.8,27695.2,121381.8,45426.1,88843.4,43842.8,2587.1,1585.4,3832.4
2020/04/09,846476.4,12576.0,12403.5,27339.9,122309.0,45167.7,87397.3,41454.8,2721.3,1679.5,4009.6
2020/04/10,907291.5,12544.2,15000.8,29619.6,135354.4,53806.1,97300.7,44411.5,2861.8,1777.8,4194.2
2020/04/11,840375.5,12625.9,16836.6,27190.6,122777.8,49167.4,103551.5,35819.1,3002.0,1878.6,4375.9
2020/04/12,637127.9,11695.3,1418.3,26846.7,88661.9,29764.3,109065.0,24943.3,3138.6,1974.0,4547.9
2020/04/13,834828.9,11519.1,12031.7,30067.7,115956.6,42516.9,98243.7,38982.5,3269.9,2062.8,4711.8
2020/04/14,864560.2,13530.9,10915.1,28787.0,123129.7,45522.8,91926.1,40969.7,3398.2,2156.0,4884.8
2020/04/15,895745.5,13653.1,12400.1,27695.2,127531.3,49690.8,88843.4,42577.3,3524.6,2249.4,5045.7
2020/04/16,864929.8,13353.6,11966.2,27339.9,124894.6,47725.0,87397.3,41155.4,3651.7,2330.1,5203.4
2020/04/17,925563.5,13476.5,12967.1,29619.6,137675.0,53510.5,97300.7,44000.3,3779.4,2417.0,5350.1
2020/04/18,878218.5,12988.0,14584.4,27190.6,127024.8,54006.8,103551.5,38743.4,3904.5,2507.9,5491.1
2020/04/19,806634.7,14625.7,13286.4,26846.7,108509.7,45553.9,109065.0,32652.4,4028.1,2604.7,5631.5
2020/04/20,921642.5,13805.1,11344.7,30067.7,130871.4,45938.4,98243.7,44831.6,4149.6,2702.0,5764.7
2020/04/21,973342.4,15916.1,12333.8,28787.0,139428.2,51644.2,91926.1,49016.8,4270.1,2796.7,5894.4
2020/04/22,1002030.3,16134.6,12433.8,27695.2,141288.6,55593.8,88843.4,49393.2,4392.5,2883.0,6022.5
2020/04/23,1011756.3,15505.7,13490.3,27339.9,144227.4,56275.2,87397.3,50068.0,4516.3,2971.6,6147.9
2020/04/24,1070532.2,16071.0,14042.9,29619.6,157226.9,64373.7,97300.7,51853.4,4640.7,3070.1,6275.2
2020/04/25,1015154.1,15369.4,16490.3,27190.6,147803.9,62232.2,103551.5,43854.5,4765.5,3166.0,6401.7
2020/04/26,855817.7,14538.7,13171.5,26846.7,114976.4,49856.1,109065.0,34890.2,4891.9,3265.7,6522.7
2020/04/27,1003285.3,13533.2,13111.5,30067.7,135050.4,51484.3,98243.7,47863.3,5016.4,3368.0,6642.5
2020/04/28,1029346.9,14565.1,13039.2,28787.0,143648.3,55027.8,91926.1,50892.5,5140.1,3464.3,6762.6
2020/04/29,993442.9,14758.4,13284.0,27695.2,136297.3,53085.4,88843.4,48825.6,5266.8,3569.9,6894.5
2020/04/30,978169.1,13562.7,13468.9,27339.9,136383.2,56617.9,87397.3,47017.2,5397.6,3676.0,7019.5
2020/05/01,1096447.5,15411.6,14442.3,29619.6,157730.8,64034.6,97300.7,51015.6,5532.8,3788.4,7148.7
2020/05/02,970612.0,13191.7,16148.9,27190.6,138265.9,63013.7,103551.5,40158.4,5673.0,3908.4,7280.5
2020/05/03,,,,,,,,,5814.0,4037.0,7411.7
2020/05/04,,,,,,,,,5956.0,4161.6,7545.9
2020/05/05,,,,,,,,,6096.8,4297.3,7677.4
2020/05/06,,,,,,,,,6238.3,4435.8,7796.1
2020/05/07,,,,,,,,,6380.0,4577.0,7915.5
2020/05/08,,,,,,,,,6521.0,4718.4,8031.2
