date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1857275.6,63839.4,38465.2,26846.7,354702.4,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2088582.1,34223.4,27845.2,30067.7,340025.1,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2130994.0,40490.8,28802.9,28787.0,356041.7,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2149375.6,37054.3,28360.6,27695.2,356927.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2143959.7,32285.2,31391.9,27339.9,363743.7,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2245386.0,34037.7,36733.9,29619.6,406703.4,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1646979.6,32099.9,35412.8,27190.6,313212.8,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1402187.6,63839.4,30674.4,26846.7,230681.4,72052.1,109065.0,82732.7,315.1,119.6,577.6
2020/03/16,1551094.0,34223.4,28838.2,30067.7,256878.2,79560.6,98243.7,96114.4,363.9,139.9,663.0
2020/03/17,1104973.2,40490.8,14825.0,28787.0,159121.2,51186.6,91926.1,53391.6,415.5,160.9,754.5
2020/03/18,1045675.5,37054.3,14388.1,27695.2,147917.5,49502.1,88843.4,51759.5,471.3,186.9,850.1
2020/03/19,1039222.4,32285.2,13654.7,27339.9,146883.7,48294.2,87397.3,52331.4,531.9,217.0,948.7
2020/03/20,924543.2,34037.7,11453.6,29619.6,125905.7,39305.4,97300.7,44514.5,599.6,253.1,1057.3
2020/03/21,736133.9,32099.9,9332.0,27190.6,94150.2,27258.8,103551.5,31880.8,676.9,297.4,1185.6
2020/03/22,921409.6,63839.4,16351.3,26846.7,115593.8,42301.5,109065.0,37530.5,760.1,347.5,1317.3
2020/03/23,1021321.5,34223.4,14047.1,30067.7,140892.0,46339.1,98243.7,50202.1,847.5,403.0,1460.8
2020/03/24,989130.7,40490.8,13016.4,28787.0,140316.8,45811.9,91926.1,47994.5,939.8,461.2,1613.1
2020/03/25,1141725.2,37054.3,15553.0,27695.2,163396.4,55766.6,88843.4,58314.2,1035.7,521.0,1765.7
2020/03/26,987524.4,32285.2,13853.9,27339.9,137963.0,49589.0,87397.3,48396.1,1132.5,579.6,1920.0
2020/03/27,965772.9,34037.7,14290.8,29619.6,136121.9,50804.6,97300.7,46939.7,1230.9,645.7,2073.1
2020/03/28,855449.7,32099.9,16842.4,27190.6,121728.5,46289.3,103551.5,35211.0,1330.2,720.0,2221.6
2020/03/29,834110.0,63839.4,14833.9,26846.7,105788.1,40271.0,109065.0,34445.0,1428.9,801.2,2366.9
2020/03/30,1006045.1,34223.4,13417.2,30067.7,136875.7,47503.9,98243.7,48313.1,1528.8,877.6,2503.9
2020/03/31,1004157.7,40490.8,13500.1,28787.0,134691.8,50112.1,91926.1,48989.4,1632.2,958.1,2645.3
2020/04/01,1003053.5,37054.3,13529.3,27695.2,141856.6,49678.4,88843.4,48990.0,1740.5,1032.7,2787.6
2020/04/02,942634.8,32285.2,13402.5,27339.9,130617.6,49609.2,87397.3,46273.6,1855.2,1110.4,2935.7
2020/04/03,975855.2,34037.7,15216.2,29619.6,143045.1,55294.5,97300.7,46813.5,1976.2,1199.0,3090.1
2020/04/04,821573.9,32099.9,16134.0,27190.6,122303.2,45840.3,103551.5,33240.1,2101.0,1294.4,3262.3
2020/04/05,744656.8,63839.4,13908.5,26846.7,95693.2,34682.5,109065.0,28094.6,2226.3,1396.5,3429.4
2020/04/06,824082.1,34223.4,11846.4,30067.7,110666.7,40267.3,98243.7,38497.4,2350.6,1503.4,3594.2
2020/04/07,910955.0,40490.8,12904.9,28787.0,125406.0,45581.5,91926.1,43159.5,2479.0,1616.9,3750.2
2020/04/08,877055.0,37054.3,12114.8,27695.2,121381.8,45426.1,88843.4,43842.8,2613.6,1718.4,3923.2
2020/04/09,866185.6,32285.2,12403.5,27339.9,122309.0,45167.7,87397.3,41454.8,2753.2,1810.0,4101.7
2020/04/10,928785.1,34037.7,15000.8,29619.6,135354.4,53806.1,97300.7,44411.5,2899.6,1900.0,4288.2
2020/04/11,859849.5,32099.9,16836.6,27190.6,122777.8,49167.4,103551.5,35819.1,3044.6,1994.9,4474.2
2020/04/12,689272.0,63839.4,1418.3,26846.7,88661.9,29764.3,109065.0,24943.3,3187.4,2087.1,4675.9
2020/04/13,857533.3,34223.4,12031.7,30067.7,115956.6,42516.9,98243.7,38982.5,3326.1,2182.7,4849.0
2020/04/14,891520.1,40490.8,10915.1,28787.0,123129.7,45522.8,91926.1,40969.7,3462.4,2282.2,5009.8
2020/04/15,919146.7,37054.3,12400.1,27695.2,127531.3,49690.8,88843.4,42577.3,3596.3,2379.7,5165.0
2020/04/16,883861.4,32285.2,11966.2,27339.9,124894.6,47725.0,87397.3,41155.4,3732.5,2479.9,5332.3
2020/04/17,946124.7,34037.7,12967.1,29619.6,137675.0,53510.5,97300.7,44000.3,3868.5,2578.2,5493.8
2020/04/18,897330.4,32099.9,14584.4,27190.6,127024.8,54006.8,103551.5,38743.4,4002.0,2678.6,5648.3
2020/04/19,855848.3,63839.4,13286.4,26846.7,108509.7,45553.9,109065.0,32652.4,4135.4,2780.6,5797.2
2020/04/20,942060.8,34223.4,11344.7,30067.7,130871.4,45938.4,98243.7,44831.6,4266.8,2881.2,5940.3
2020/04/21,997917.1,40490.8,12333.8,28787.0,139428.2,51644.2,91926.1,49016.8,4398.0,2979.4,6076.5
2020/04/22,1022950.0,37054.3,12433.8,27695.2,141288.6,55593.8,88843.4,49393.2,4531.6,3084.0,6218.3
2020/04/23,1028535.8,32285.2,13490.3,27339.9,144227.4,56275.2,87397.3,50068.0,4666.0,3190.8,6354.9
2020/04/24,1088499.0,34037.7,14042.9,29619.6,157226.9,64373.7,97300.7,51853.4,4802.2,3298.7,6491.2
2020/04/25,1031884.6,32099.9,16490.3,27190.6,147803.9,62232.2,103551.5,43854.5,4938.1,3405.5,6628.4
2020/04/26,905118.3,63839.4,13171.5,26846.7,114976.4,49856.1,109065.0,34890.2,5076.3,3516.6,6768.5
2020/04/27,1023975.5,34223.4,13111.5,30067.7,135050.4,51484.3,98243.7,47863.3,5214.2,3629.7,6908.4
2020/04/28,1055272.5,40490.8,13039.2,28787.0,143648.3,55027.8,91926.1,50892.5,5352.1,3741.2,7047.7
2020/04/29,1015738.7,37054.3,13284.0,27695.2,136297.3,53085.4,88843.4,48825.6,5494.0,3867.2,7184.2
2020/04/30,996891.6,32285.2,13468.9,27339.9,136383.2,56617.9,87397.3,47017.2,5640.0,3993.7,7324.3
2020/05/01,1115073.6,34037.7,14442.3,29619.6,157730.8,64034.6,97300.7,51015.6,5790.5,4129.0,7460.3
2020/05/02,989520.2,32099.9,16148.9,27190.6,138265.9,63013.7,103551.5,40158.4,5946.0,4272.1,7602.1
2020/05/03,,,,,,,,,6102.6,4413.3,7744.8
2020/05/04,,,,,,,,,6262.2,4561.2,7883.6
2020/05/05,,,,,,,,,6421.7,4698.1,8023.3
2020/05/06,,,,,,,,,6581.5,4826.0,8195.8
2020/05/07,,,,,,,,,6741.8,4953.7,8332.8
2020/05/08,,,,,,,,,6900.4,5085.6,8463.8
