date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1854756.5,63839.4,38465.2,24327.6,354702.4,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2084999.6,34223.4,27845.2,26485.2,340025.1,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2130237.1,40490.8,28802.9,28030.0,356041.7,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2151196.2,37054.3,28360.6,29515.9,356927.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2149413.6,32285.2,31391.9,32793.8,363743.7,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2255767.9,34037.7,36733.9,40001.6,406703.4,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1651132.7,32099.9,35412.8,31343.7,313212.8,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1402849.1,63839.4,30674.4,27508.1,230681.4,72052.1,109065.0,82732.7,315.1,119.3,577.6
2020/03/16,1558589.5,34223.4,28838.2,37563.2,256878.2,79560.6,98243.7,96114.4,364.1,139.6,661.6
2020/03/17,1098505.3,40490.8,14825.0,22319.0,159121.2,51186.6,91926.1,53391.6,415.9,161.7,755.6
2020/03/18,1039178.2,37054.3,14388.1,21197.9,147917.5,49502.1,88843.4,51759.5,471.8,185.0,849.3
2020/03/19,1033664.3,32285.2,13654.7,21781.8,146883.7,48294.2,87397.3,52331.4,532.8,215.7,954.7
2020/03/20,909774.4,34037.7,11453.6,14850.9,125905.7,39305.4,97300.7,44514.5,600.8,254.4,1061.6
2020/03/21,718124.1,32099.9,9332.0,9180.9,94150.2,27258.8,103551.5,31880.8,678.5,301.7,1188.8
2020/03/22,911965.1,63839.4,16351.3,17402.2,115593.8,42301.5,109065.0,37530.5,762.5,353.0,1317.6
2020/03/23,1010023.8,34223.4,14047.1,18770.1,140892.0,46339.1,98243.7,50202.1,850.6,408.8,1452.8
2020/03/24,978880.2,40490.8,13016.4,18536.4,140316.8,45811.9,91926.1,47994.5,943.8,467.5,1594.7
2020/03/25,1134674.4,37054.3,15553.0,20644.5,163396.4,55766.6,88843.4,58314.2,1040.8,531.8,1744.4
2020/03/26,976966.6,32285.2,13853.9,16782.0,137963.0,49589.0,87397.3,48396.1,1138.5,589.3,1892.3
2020/03/27,954280.5,34037.7,14290.8,18127.2,136121.9,50804.6,97300.7,46939.7,1237.3,650.6,2037.2
2020/03/28,845395.3,32099.9,16842.4,17136.3,121728.5,46289.3,103551.5,35211.0,1337.1,719.8,2181.8
2020/03/29,822308.6,63839.4,14833.9,15045.3,105788.1,40271.0,109065.0,34445.0,1437.2,789.3,2325.4
2020/03/30,993513.4,34223.4,13417.2,17536.0,136875.7,47503.9,98243.7,48313.1,1537.9,860.9,2464.3
2020/03/31,993207.1,40490.8,13500.1,17836.4,134691.8,50112.1,91926.1,48989.4,1642.3,940.2,2607.6
2020/04/01,993287.2,37054.3,13529.3,17928.9,141856.6,49678.4,88843.4,48990.0,1751.5,1031.1,2765.3
2020/04/02,932074.8,32285.2,13402.5,16779.9,130617.6,49609.2,87397.3,46273.6,1866.7,1129.7,2932.2
2020/04/03,965702.5,34037.7,15216.2,19467.0,143045.1,55294.5,97300.7,46813.5,1989.3,1227.9,3100.2
2020/04/04,810767.1,32099.9,16134.0,16383.9,122303.2,45840.3,103551.5,33240.1,2115.3,1318.4,3267.3
2020/04/05,732821.8,63839.4,13908.5,15011.7,95693.2,34682.5,109065.0,28094.6,2241.4,1404.0,3430.7
2020/04/06,810041.5,34223.4,11846.4,16027.1,110666.7,40267.3,98243.7,38497.4,2367.3,1492.5,3602.6
2020/04/07,899558.3,40490.8,12904.9,17390.3,125406.0,45581.5,91926.1,43159.5,2496.9,1584.0,3777.0
2020/04/08,866107.8,37054.3,12114.8,16748.1,121381.8,45426.1,88843.4,43842.8,2633.2,1678.5,3957.2
2020/04/09,856277.9,32285.2,12403.5,17432.2,122309.0,45167.7,87397.3,41454.8,2773.1,1779.5,4139.9
2020/04/10,917971.8,34037.7,15000.8,18806.4,135354.4,53806.1,97300.7,44411.5,2920.1,1889.2,4335.2
2020/04/11,852251.6,32099.9,16836.6,19592.8,122777.8,49167.4,103551.5,35819.1,3066.2,1996.7,4515.4
2020/04/12,675213.9,63839.4,1418.3,12788.6,88661.9,29764.3,109065.0,24943.3,3209.1,2102.3,4692.3
2020/04/13,842061.8,34223.4,12031.7,14596.2,115956.6,42516.9,98243.7,38982.5,3347.8,2206.3,4864.5
2020/04/14,878787.4,40490.8,10915.1,16054.3,123129.7,45522.8,91926.1,40969.7,3485.0,2304.4,5029.5
2020/04/15,907621.7,37054.3,12400.1,16170.2,127531.3,49690.8,88843.4,42577.3,3619.0,2406.4,5189.5
2020/04/16,871383.4,32285.2,11966.2,14861.9,124894.6,47725.0,87397.3,41155.4,3755.2,2513.2,5351.4
2020/04/17,934489.3,34037.7,12967.1,17984.2,137675.0,53510.5,97300.7,44000.3,3891.1,2615.9,5508.9
2020/04/18,886866.7,32099.9,14584.4,16727.0,127024.8,54006.8,103551.5,38743.4,4024.2,2719.7,5680.9
2020/04/19,843681.7,63839.4,13286.4,14680.0,108509.7,45553.9,109065.0,32652.4,4157.0,2821.5,5834.9
2020/04/20,927546.4,34223.4,11344.7,15553.3,130871.4,45938.4,98243.7,44831.6,4287.8,2925.7,5985.7
2020/04/21,986812.5,40490.8,12333.8,17682.4,139428.2,51644.2,91926.1,49016.8,4419.3,3029.7,6143.9
2020/04/22,1012389.4,37054.3,12433.8,17134.6,141288.6,55593.8,88843.4,49393.2,4552.2,3137.4,6294.5
2020/04/23,1017946.2,32285.2,13490.3,16750.3,144227.4,56275.2,87397.3,50068.0,4686.5,3246.0,6444.3
2020/04/24,1076416.0,34037.7,14042.9,17536.7,157226.9,64373.7,97300.7,51853.4,4822.1,3353.7,6589.0
2020/04/25,1021326.5,32099.9,16490.3,16632.6,147803.9,62232.2,103551.5,43854.5,4957.3,3466.1,6728.8
2020/04/26,892868.3,63839.4,13171.5,14596.6,114976.4,49856.1,109065.0,34890.2,5095.4,3580.8,6878.4
2020/04/27,1010986.7,34223.4,13111.5,17078.9,135050.4,51484.3,98243.7,47863.3,5231.7,3692.6,7017.7
2020/04/28,1044720.5,40490.8,13039.2,18235.0,143648.3,55027.8,91926.1,50892.5,5368.0,3808.1,7164.8
2020/04/29,1004962.1,37054.3,13284.0,16918.6,136297.3,53085.4,88843.4,48825.6,5508.1,3933.3,7310.4
2020/04/30,986184.1,32285.2,13468.9,16632.4,136383.2,56617.9,87397.3,47017.2,5652.1,4062.4,7455.0
2020/05/01,1103241.9,34037.7,14442.3,17787.9,157730.8,64034.6,97300.7,51015.6,5800.3,4192.4,7608.1
2020/05/02,979052.9,32099.9,16148.9,16723.3,138265.9,63013.7,103551.5,40158.4,5953.5,4328.9,7754.6
2020/05/03,,,,,,,,,6107.8,4465.5,7905.2
2020/05/04,,,,,,,,,6264.7,4613.9,8054.9
2020/05/05,,,,,,,,,6421.7,4774.5,8199.7
2020/05/06,,,,,,,,,6579.2,4915.6,8356.7
2020/05/07,,,,,,,,,6736.8,5044.8,8548.0
2020/05/08,,,,,,,,,6892.9,5187.4,8686.3
