date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1846568.9,53757.0,38465.2,24327.6,354702.4,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2081775.6,28652.2,27845.2,26485.2,340025.1,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2132413.7,34395.3,28802.9,28030.0,356041.7,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2166063.0,34867.8,28360.6,29515.9,356927.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2175419.2,30304.5,31391.9,32793.8,363743.7,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2308534.8,29895.4,36733.9,40001.6,406703.4,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1704525.1,23801.3,35412.8,31343.7,313212.8,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1419023.9,31604.8,30674.4,27508.1,230681.4,112568.1,116958.3,82732.7,315.1,119.9,577.4
2020/03/16,1619745.7,19228.4,28838.2,37563.2,256878.2,106611.3,147344.3,96114.4,364.1,139.6,665.0
2020/03/17,1126181.5,16503.9,14825.0,22319.0,159121.2,111913.5,82862.2,53391.6,415.7,160.8,754.6
2020/03/18,1068820.0,15142.4,14388.1,21197.9,147917.5,113175.3,76723.9,51759.5,471.4,185.2,848.4
2020/03/19,1069557.8,16883.5,13654.7,21781.8,146883.7,110326.9,76659.9,52331.4,532.4,216.8,950.0
2020/03/20,945117.4,15886.5,11453.6,14850.9,125905.7,128562.6,61537.8,44514.5,600.6,253.4,1061.1
2020/03/21,741669.4,14134.8,9332.0,9180.9,94150.2,127774.1,44546.5,31880.8,678.3,298.2,1189.3
2020/03/22,896296.0,15017.0,16351.3,17402.2,115593.8,112568.1,71951.6,37530.5,762.2,347.1,1325.9
2020/03/23,1024796.8,15515.0,14047.1,18770.1,140892.0,106611.3,71453.0,50202.1,850.5,401.8,1462.2
2020/03/24,997391.9,14633.7,13016.4,18536.4,140316.8,111913.5,70193.3,47994.5,943.0,457.8,1608.5
2020/03/25,1163514.4,18905.2,15553.0,20644.5,163396.4,113175.3,78423.8,58314.2,1040.0,523.4,1757.0
2020/03/26,1000395.8,15549.9,13853.9,16782.0,137963.0,110326.9,66823.9,48396.1,1137.2,590.6,1904.8
2020/03/27,987147.3,14790.8,14290.8,18127.2,136121.9,128562.6,71656.6,46939.7,1236.4,661.2,2048.6
2020/03/28,876432.2,12983.0,16842.4,17136.3,121728.5,127774.1,72220.4,35211.0,1336.6,728.3,2192.8
2020/03/29,803049.5,15361.1,14833.9,15045.3,105788.1,112568.1,65987.1,34445.0,1436.5,795.4,2335.4
2020/03/30,1003073.3,15263.9,13417.2,17536.0,136875.7,106611.3,67655.7,48313.1,1536.6,861.4,2470.7
2020/03/31,1007149.9,15528.0,13500.1,17836.4,134691.8,111913.5,69030.1,48989.4,1639.8,935.6,2607.6
2020/04/01,1014657.1,16125.1,13529.3,17928.9,141856.6,113175.3,67645.6,48990.0,1747.8,1007.9,2754.0
2020/04/02,955822.6,14852.1,13402.5,16779.9,130617.6,110326.9,67860.4,46273.6,1862.0,1086.6,2904.3
2020/04/03,996796.5,14186.5,15216.2,19467.0,143045.1,128562.6,74978.0,46813.5,1982.8,1166.3,3065.1
2020/04/04,843173.4,11709.3,16134.0,16383.9,122303.2,127774.1,74414.5,33240.1,2108.0,1248.2,3237.1
2020/04/05,711986.1,11921.7,13908.5,15011.7,95693.2,112568.1,62261.4,28094.6,2233.5,1332.0,3405.8
2020/04/06,816903.2,10430.2,11846.4,16027.1,110666.7,106611.3,62554.7,38497.4,2357.4,1415.0,3567.4
2020/04/07,911274.7,13049.2,12904.9,17390.3,125406.0,111913.5,64752.0,43159.5,2484.8,1497.4,3724.6
2020/04/08,885840.6,13329.9,12114.8,16748.1,121381.8,113175.3,64551.4,43842.8,2618.1,1588.0,3888.1
2020/04/09,877335.9,12576.0,12403.5,17432.2,122309.0,110326.9,63005.3,41454.8,2755.7,1676.9,4052.4
2020/04/10,945235.4,12544.2,15000.8,18806.4,135354.4,128562.6,71301.3,44411.5,2899.2,1779.6,4224.2
2020/04/11,884623.3,12625.9,16836.6,19592.8,122777.8,127774.1,76790.5,35819.1,3041.1,1887.1,4401.2
2020/04/12,649263.2,11695.3,1418.3,12788.6,88661.9,112568.1,52454.6,24943.3,3180.4,1992.4,4570.3
2020/04/13,843457.4,11519.1,12031.7,14596.2,115956.6,106611.3,58249.3,38982.5,3314.7,2093.6,4736.2
2020/04/14,887871.6,13530.9,10915.1,16054.3,123129.7,111913.5,61579.5,40969.7,3446.0,2194.1,4897.6
2020/04/15,919512.3,13653.1,12400.1,16170.2,127531.3,113175.3,60650.7,42577.3,3574.4,2292.8,5050.5
2020/04/16,887597.2,13353.6,11966.2,14861.9,124894.6,110326.9,59940.7,41155.4,3704.7,2395.7,5200.9
2020/04/17,956687.1,13476.5,12967.1,17984.2,137675.0,128562.6,65007.7,44000.3,3834.9,2500.2,5340.6
2020/04/18,907211.8,12988.0,14584.4,16727.0,127024.8,127774.1,69241.2,38743.4,3962.4,2612.8,5480.1
2020/04/19,814285.8,14625.7,13286.4,14680.0,108509.7,112568.1,61868.6,32652.4,4088.5,2717.7,5627.1
2020/04/20,931089.2,13805.1,11344.7,15553.3,130871.4,106611.3,61532.0,44831.6,4212.1,2807.4,5759.4
2020/04/21,997377.7,15916.1,12333.8,17682.4,139428.2,111913.5,66796.6,49016.8,4335.3,2898.3,5888.0
2020/04/22,1027776.0,16134.6,12433.8,17134.6,141288.6,113175.3,67568.2,49393.2,4460.6,2992.6,6018.7
2020/04/23,1033711.8,15505.7,13490.3,16750.3,144227.4,110326.9,65890.7,50068.0,4586.4,3090.8,6147.5
2020/04/24,1098012.8,16071.0,14042.9,17536.7,157226.9,128562.6,72675.4,51853.4,4713.4,3190.4,6272.6
2020/04/25,1039639.5,15369.4,16490.3,16632.6,147803.9,127774.1,73053.0,43854.5,4840.9,3292.6,6399.5
2020/04/26,861300.9,14538.7,13171.5,14596.6,114976.4,112568.1,64086.4,34890.2,4969.6,3394.9,6528.2
2020/04/27,1010964.2,13533.2,13111.5,17078.9,135050.4,106611.3,63784.4,47863.3,5097.2,3500.4,6650.5
2020/04/28,1048234.8,14565.1,13039.2,18235.0,143648.3,111913.5,64480.3,50892.5,5223.4,3604.9,6777.8
2020/04/29,1018138.8,14758.4,13284.0,16918.6,136297.3,113175.3,64226.1,48825.6,5353.4,3717.3,6909.8
2020/04/30,995943.2,13562.7,13468.9,16632.4,136383.2,110326.9,62169.9,47017.2,5487.6,3834.7,7038.5
2020/05/01,1123455.5,15411.6,14442.3,17787.9,157730.8,128562.6,71612.4,51015.6,5625.5,3957.5,7170.3
2020/05/02,992114.6,13191.7,16148.9,16723.3,138265.9,127774.1,70761.0,40158.4,5768.0,4085.5,7304.8
2020/05/03,,,,,,,,,5911.1,4213.4,7441.5
2020/05/04,,,,,,,,,6055.7,4353.0,7581.0
2020/05/05,,,,,,,,,6199.4,4479.6,7712.6
2020/05/06,,,,,,,,,6343.3,4599.3,7840.2
2020/05/07,,,,,,,,,6487.4,4719.3,7968.8
2020/05/08,,,,,,,,,6630.7,4851.3,8107.6
