date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1849088.0,53757.0,38465.2,26846.7,354702.4,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2085358.1,28652.2,27845.2,30067.7,340025.1,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2133170.7,34395.3,28802.9,28787.0,356041.7,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2164242.4,34867.8,28360.6,27695.2,356927.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2169965.3,30304.5,31391.9,27339.9,363743.7,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2298152.9,29895.4,36733.9,29619.6,406703.4,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1700372.1,23801.3,35412.8,27190.6,313212.8,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1418362.4,31604.8,30674.4,26846.7,230681.4,112568.1,116958.3,82732.7,315.1,119.7,578.4
2020/03/16,1612250.2,19228.4,28838.2,30067.7,256878.2,106611.3,147344.3,96114.4,364.2,141.4,666.0
2020/03/17,1132649.4,16503.9,14825.0,28787.0,159121.2,111913.5,82862.2,53391.6,415.5,163.2,754.8
2020/03/18,1075317.3,15142.4,14388.1,27695.2,147917.5,113175.3,76723.9,51759.5,471.6,189.0,847.1
2020/03/19,1075115.9,16883.5,13654.7,27339.9,146883.7,110326.9,76659.9,52331.4,532.8,220.9,949.7
2020/03/20,959886.2,15886.5,11453.6,29619.6,125905.7,128562.6,61537.8,44514.5,601.0,255.7,1060.0
2020/03/21,759679.1,14134.8,9332.0,27190.6,94150.2,127774.1,44546.5,31880.8,678.7,298.1,1189.1
2020/03/22,905740.5,15017.0,16351.3,26846.7,115593.8,112568.1,71951.6,37530.5,762.7,345.2,1329.7
2020/03/23,1036094.5,15515.0,14047.1,30067.7,140892.0,106611.3,71453.0,50202.1,850.3,398.9,1471.8
2020/03/24,1007642.4,14633.7,13016.4,28787.0,140316.8,111913.5,70193.3,47994.5,943.0,462.1,1613.0
2020/03/25,1170565.1,18905.2,15553.0,27695.2,163396.4,113175.3,78423.8,58314.2,1039.7,525.9,1761.6
2020/03/26,1010953.7,15549.9,13853.9,27339.9,137963.0,110326.9,66823.9,48396.1,1136.7,596.5,1902.8
2020/03/27,998639.8,14790.8,14290.8,29619.6,136121.9,128562.6,71656.6,46939.7,1235.6,668.2,2055.3
2020/03/28,886486.6,12983.0,16842.4,27190.6,121728.5,127774.1,72220.4,35211.0,1335.2,733.6,2205.5
2020/03/29,814850.9,15361.1,14833.9,26846.7,105788.1,112568.1,65987.1,34445.0,1434.8,804.7,2356.1
2020/03/30,1015605.0,15263.9,13417.2,30067.7,136875.7,106611.3,67655.7,48313.1,1534.7,874.4,2496.4
2020/03/31,1018100.4,15528.0,13500.1,28787.0,134691.8,111913.5,69030.1,48989.4,1637.3,947.0,2636.1
2020/04/01,1024423.4,16125.1,13529.3,27695.2,141856.6,113175.3,67645.6,48990.0,1745.3,1024.8,2786.3
2020/04/02,966382.5,14852.1,13402.5,27339.9,130617.6,110326.9,67860.4,46273.6,1859.6,1109.4,2945.8
2020/04/03,1006949.2,14186.5,15216.2,29619.6,143045.1,128562.6,74978.0,46813.5,1980.6,1203.9,3105.5
2020/04/04,853980.1,11709.3,16134.0,27190.6,122303.2,127774.1,74414.5,33240.1,2105.5,1292.4,3272.7
2020/04/05,723821.1,11921.7,13908.5,26846.7,95693.2,112568.1,62261.4,28094.6,2230.8,1378.7,3451.2
2020/04/06,830943.8,10430.2,11846.4,30067.7,110666.7,106611.3,62554.7,38497.4,2353.9,1465.6,3616.4
2020/04/07,922671.4,13049.2,12904.9,28787.0,125406.0,111913.5,64752.0,43159.5,2481.0,1559.5,3780.6
2020/04/08,896787.8,13329.9,12114.8,27695.2,121381.8,113175.3,64551.4,43842.8,2614.2,1660.6,3950.1
2020/04/09,887243.6,12576.0,12403.5,27339.9,122309.0,110326.9,63005.3,41454.8,2751.3,1766.9,4127.1
2020/04/10,956048.7,12544.2,15000.8,29619.6,135354.4,128562.6,71301.3,44411.5,2894.9,1884.8,4311.3
2020/04/11,892221.2,12625.9,16836.6,27190.6,122777.8,127774.1,76790.5,35819.1,3037.6,1996.2,4490.7
2020/04/12,663321.3,11695.3,1418.3,26846.7,88661.9,112568.1,52454.6,24943.3,3176.8,2086.5,4667.8
2020/04/13,858928.9,11519.1,12031.7,30067.7,115956.6,106611.3,58249.3,38982.5,3310.8,2178.6,4832.9
2020/04/14,900604.3,13530.9,10915.1,28787.0,123129.7,111913.5,61579.5,40969.7,3441.8,2271.1,4989.7
2020/04/15,931037.3,13653.1,12400.1,27695.2,127531.3,113175.3,60650.7,42577.3,3570.6,2367.0,5148.3
2020/04/16,900075.1,13353.6,11966.2,27339.9,124894.6,110326.9,59940.7,41155.4,3699.8,2458.8,5296.8
2020/04/17,968322.5,13476.5,12967.1,29619.6,137675.0,128562.6,65007.7,44000.3,3830.1,2557.7,5450.9
2020/04/18,917675.5,12988.0,14584.4,27190.6,127024.8,127774.1,69241.2,38743.4,3958.4,2651.8,5595.4
2020/04/19,826452.5,14625.7,13286.4,26846.7,108509.7,112568.1,61868.6,32652.4,4085.1,2751.8,5739.2
2020/04/20,945603.6,13805.1,11344.7,30067.7,130871.4,106611.3,61532.0,44831.6,4209.1,2850.7,5881.0
2020/04/21,1008482.3,15916.1,12333.8,28787.0,139428.2,111913.5,66796.6,49016.8,4332.7,2951.6,6046.4
2020/04/22,1038336.6,16134.6,12433.8,27695.2,141288.6,113175.3,67568.2,49393.2,4458.2,3054.7,6212.5
2020/04/23,1044301.4,15505.7,13490.3,27339.9,144227.4,110326.9,65890.7,50068.0,4585.1,3151.0,6361.7
2020/04/24,1110095.8,16071.0,14042.9,29619.6,157226.9,128562.6,72675.4,51853.4,4713.3,3251.4,6507.5
2020/04/25,1050197.6,15369.4,16490.3,27190.6,147803.9,127774.1,73053.0,43854.5,4841.1,3355.1,6635.9
2020/04/26,873551.0,14538.7,13171.5,26846.7,114976.4,112568.1,64086.4,34890.2,4971.0,3460.8,6771.8
2020/04/27,1023953.0,13533.2,13111.5,30067.7,135050.4,106611.3,63784.4,47863.3,5098.6,3569.8,6902.1
2020/04/28,1058786.8,14565.1,13039.2,28787.0,143648.3,111913.5,64480.3,50892.5,5225.9,3675.2,7033.0
2020/04/29,1028915.5,14758.4,13284.0,27695.2,136297.3,113175.3,64226.1,48825.6,5356.6,3784.4,7163.3
2020/04/30,1006650.6,13562.7,13468.9,27339.9,136383.2,110326.9,62169.9,47017.2,5491.7,3894.6,7294.2
2020/05/01,1135287.2,15411.6,14442.3,29619.6,157730.8,128562.6,71612.4,51015.6,5631.2,4014.3,7420.4
2020/05/02,1002581.9,13191.7,16148.9,27190.6,138265.9,127774.1,70761.0,40158.4,5775.4,4143.3,7546.3
2020/05/03,,,,,,,,,5920.7,4270.4,7676.5
2020/05/04,,,,,,,,,6066.3,4404.4,7800.0
2020/05/05,,,,,,,,,6211.4,4544.3,7922.0
2020/05/06,,,,,,,,,6356.5,4682.1,8046.6
2020/05/07,,,,,,,,,6502.2,4821.7,8165.1
2020/05/08,,,,,,,,,6647.7,4963.1,8281.0
