date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1859170.3,63839.4,38465.2,26846.7,354702.4,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2090929.4,34223.4,27845.2,30067.7,340025.1,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2139266.1,40490.8,28802.9,28787.0,356041.7,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2166428.8,37054.3,28360.6,27695.2,356927.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2171946.0,32285.2,31391.9,27339.9,363743.7,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2302295.2,34037.7,36733.9,29619.6,406703.4,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1708670.7,32099.9,35412.8,27190.6,313212.8,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1450597.0,63839.4,30674.4,26846.7,230681.4,112568.1,116958.3,82732.7,315.1,119.3,577.7
2020/03/16,1627245.3,34223.4,28838.2,30067.7,256878.2,106611.3,147344.3,96114.4,364.3,140.3,665.2
2020/03/17,1156636.3,40490.8,14825.0,28787.0,159121.2,111913.5,82862.2,53391.6,415.9,163.4,754.9
2020/03/18,1097229.1,37054.3,14388.1,27695.2,147917.5,113175.3,76723.9,51759.5,471.6,190.1,850.6
2020/03/19,1090517.7,32285.2,13654.7,27339.9,146883.7,110326.9,76659.9,52331.4,532.5,221.6,955.5
2020/03/20,978037.5,34037.7,11453.6,29619.6,125905.7,128562.6,61537.8,44514.5,601.0,258.8,1068.2
2020/03/21,777644.2,32099.9,9332.0,27190.6,94150.2,127774.1,44546.5,31880.8,679.2,305.1,1195.3
2020/03/22,954562.8,63839.4,16351.3,26846.7,115593.8,112568.1,71951.6,37530.5,762.9,353.3,1331.3
2020/03/23,1054802.9,34223.4,14047.1,30067.7,140892.0,106611.3,71453.0,50202.1,851.5,405.6,1471.5
2020/03/24,1033499.5,40490.8,13016.4,28787.0,140316.8,111913.5,70193.3,47994.5,945.2,466.8,1620.9
2020/03/25,1188714.3,37054.3,15553.0,27695.2,163396.4,113175.3,78423.8,58314.2,1043.5,532.9,1777.6
2020/03/26,1027688.9,32285.2,13853.9,27339.9,137963.0,110326.9,66823.9,48396.1,1142.2,598.2,1929.7
2020/03/27,1017886.7,34037.7,14290.8,29619.6,136121.9,128562.6,71656.6,46939.7,1242.8,667.8,2086.8
2020/03/28,905603.4,32099.9,16842.4,27190.6,121728.5,127774.1,72220.4,35211.0,1344.6,740.7,2243.9
2020/03/29,863329.2,63839.4,14833.9,26846.7,105788.1,112568.1,65987.1,34445.0,1446.8,813.4,2396.0
2020/03/30,1034564.5,34223.4,13417.2,30067.7,136875.7,106611.3,67655.7,48313.1,1549.4,890.0,2545.6
2020/03/31,1043063.2,40490.8,13500.1,28787.0,134691.8,111913.5,69030.1,48989.4,1655.7,974.1,2699.6
2020/04/01,1045352.6,37054.3,13529.3,27695.2,141856.6,113175.3,67645.6,48990.0,1766.9,1058.4,2855.4
2020/04/02,983815.6,32285.2,13402.5,27339.9,130617.6,110326.9,67860.4,46273.6,1885.0,1151.6,3019.6
2020/04/03,1026800.5,34037.7,15216.2,29619.6,143045.1,128562.6,74978.0,46813.5,2009.3,1248.2,3187.3
2020/04/04,874370.7,32099.9,16134.0,27190.6,122303.2,127774.1,74414.5,33240.1,2138.0,1354.9,3354.6
2020/04/05,775738.8,63839.4,13908.5,26846.7,95693.2,112568.1,62261.4,28094.6,2267.5,1450.1,3526.5
2020/04/06,854737.0,34223.4,11846.4,30067.7,110666.7,106611.3,62554.7,38497.4,2395.6,1542.7,3691.2
2020/04/07,950113.0,40490.8,12904.9,28787.0,125406.0,111913.5,64752.0,43159.5,2527.6,1637.1,3866.9
2020/04/08,920512.1,37054.3,12114.8,27695.2,121381.8,113175.3,64551.4,43842.8,2666.5,1742.5,4044.2
2020/04/09,906952.8,32285.2,12403.5,27339.9,122309.0,110326.9,63005.3,41454.8,2809.8,1864.2,4225.7
2020/04/10,977542.2,34037.7,15000.8,29619.6,135354.4,128562.6,71301.3,44411.5,2959.5,1979.7,4415.3
2020/04/11,911695.2,32099.9,16836.6,27190.6,122777.8,127774.1,76790.5,35819.1,3109.1,2068.3,4606.6
2020/04/12,715465.4,63839.4,1418.3,26846.7,88661.9,112568.1,52454.6,24943.3,3255.8,2154.7,4790.0
2020/04/13,881633.2,34223.4,12031.7,30067.7,115956.6,106611.3,58249.3,38982.5,3397.6,2242.7,4965.5
2020/04/14,927564.2,40490.8,10915.1,28787.0,123129.7,111913.5,61579.5,40969.7,3537.4,2332.4,5133.2
2020/04/15,954438.5,37054.3,12400.1,27695.2,127531.3,113175.3,60650.7,42577.3,3675.8,2420.8,5301.4
2020/04/16,919006.7,32285.2,11966.2,27339.9,124894.6,110326.9,59940.7,41155.4,3815.7,2507.2,5475.7
2020/04/17,988883.8,34037.7,12967.1,29619.6,137675.0,128562.6,65007.7,44000.3,3955.4,2598.2,5663.7
2020/04/18,936787.4,32099.9,14584.4,27190.6,127024.8,127774.1,69241.2,38743.4,4093.0,2692.6,5828.3
2020/04/19,875666.2,63839.4,13286.4,26846.7,108509.7,112568.1,61868.6,32652.4,4230.7,2789.4,5993.6
2020/04/20,966021.9,34223.4,11344.7,30067.7,130871.4,106611.3,61532.0,44831.6,4366.5,2890.5,6145.1
2020/04/21,1033057.0,40490.8,12333.8,28787.0,139428.2,111913.5,66796.6,49016.8,4502.5,2987.3,6299.6
2020/04/22,1059256.3,37054.3,12433.8,27695.2,141288.6,113175.3,67568.2,49393.2,4640.2,3090.0,6447.8
2020/04/23,1061080.9,32285.2,13490.3,27339.9,144227.4,110326.9,65890.7,50068.0,4779.3,3195.6,6590.6
2020/04/24,1128062.6,34037.7,14042.9,29619.6,157226.9,128562.6,72675.4,51853.4,4919.4,3302.0,6731.7
2020/04/25,1066928.0,32099.9,16490.3,27190.6,147803.9,127774.1,73053.0,43854.5,5060.3,3408.1,6875.0
2020/04/26,922851.7,63839.4,13171.5,26846.7,114976.4,112568.1,64086.4,34890.2,5202.7,3520.2,7015.5
2020/04/27,1044643.2,34223.4,13111.5,30067.7,135050.4,106611.3,63784.4,47863.3,5345.4,3636.3,7159.0
2020/04/28,1084712.5,40490.8,13039.2,28787.0,143648.3,111913.5,64480.3,50892.5,5487.3,3749.7,7293.4
2020/04/29,1051211.3,37054.3,13284.0,27695.2,136297.3,113175.3,64226.1,48825.6,5632.9,3865.9,7433.4
2020/04/30,1025373.1,32285.2,13468.9,27339.9,136383.2,110326.9,62169.9,47017.2,5783.0,3987.3,7577.4
2020/05/01,1153913.3,34037.7,14442.3,29619.6,157730.8,128562.6,71612.4,51015.6,5936.7,4112.0,7715.3
2020/05/02,1021490.1,32099.9,16148.9,27190.6,138265.9,127774.1,70761.0,40158.4,6096.3,4241.3,7851.9
2020/05/03,,,,,,,,,6257.2,4378.2,7987.1
2020/05/04,,,,,,,,,6420.6,4518.3,8120.9
2020/05/05,,,,,,,,,6584.2,4669.8,8253.5
2020/05/06,,,,,,,,,6748.5,4844.5,8402.2
2020/05/07,,,,,,,,,6912.7,4989.9,8546.5
2020/05/08,,,,,,,,,7076.3,5145.0,8697.9
