date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1837644.0,53757.0,38465.2,26846.7,354702.4,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2078153.3,28652.2,27845.2,30067.7,340025.1,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2124510.0,34395.3,28802.9,28787.0,356041.7,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2156301.7,34867.8,28360.6,27695.2,356927.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2167811.9,30304.5,31391.9,27339.9,363743.7,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2290688.8,29895.4,36733.9,29619.6,406703.4,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1664797.6,23801.3,35412.8,27190.6,313212.8,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1377846.3,31604.8,30674.4,26846.7,230681.4,72052.1,116958.3,82732.7,315.1,119.3,577.9
2020/03/16,1585199.5,19228.4,28838.2,30067.7,256878.2,79560.6,147344.3,96114.4,364.1,139.3,667.8
2020/03/17,1071922.5,16503.9,14825.0,28787.0,159121.2,51186.6,82862.2,53391.6,415.3,160.3,755.5
2020/03/18,1011644.1,15142.4,14388.1,27695.2,147917.5,49502.1,76723.9,51759.5,470.7,187.1,850.3
2020/03/19,1013083.2,16883.5,13654.7,27339.9,146883.7,48294.2,76659.9,52331.4,531.5,218.4,954.4
2020/03/20,870629.0,15886.5,11453.6,29619.6,125905.7,39305.4,61537.8,44514.5,599.2,254.1,1062.5
2020/03/21,659163.8,14134.8,9332.0,27190.6,94150.2,27258.8,44546.5,31880.8,677.0,296.8,1189.2
2020/03/22,835473.8,15017.0,16351.3,26846.7,115593.8,42301.5,71951.6,37530.5,760.9,343.5,1324.1
2020/03/23,975822.3,15515.0,14047.1,30067.7,140892.0,46339.1,71453.0,50202.1,848.4,396.6,1457.8
2020/03/24,941540.9,14633.7,13016.4,28787.0,140316.8,45811.9,70193.3,47994.5,940.6,459.0,1601.9
2020/03/25,1113156.5,18905.2,15553.0,27695.2,163396.4,55766.6,78423.8,58314.2,1036.9,521.3,1753.1
2020/03/26,950215.8,15549.9,13853.9,27339.9,137963.0,49589.0,66823.9,48396.1,1132.9,586.1,1895.5
2020/03/27,920881.8,14790.8,14290.8,29619.6,136121.9,50804.6,71656.6,46939.7,1230.7,653.7,2040.9
2020/03/28,805001.8,12983.0,16842.4,27190.6,121728.5,46289.3,72220.4,35211.0,1328.8,722.3,2187.2
2020/03/29,742553.8,15361.1,14833.9,26846.7,105788.1,40271.0,65987.1,34445.0,1426.7,790.8,2331.5
2020/03/30,956497.6,15263.9,13417.2,30067.7,136875.7,47503.9,67655.7,48313.1,1524.8,864.2,2472.3
2020/03/31,956299.0,15528.0,13500.1,28787.0,134691.8,50112.1,69030.1,48989.4,1626.0,945.8,2618.0
2020/04/01,960926.6,16125.1,13529.3,27695.2,141856.6,49678.4,67645.6,48990.0,1732.3,1028.9,2772.9
2020/04/02,905664.8,14852.1,13402.5,27339.9,130617.6,49609.2,67860.4,46273.6,1844.1,1115.0,2935.5
2020/04/03,933681.2,14186.5,15216.2,29619.6,143045.1,55294.5,74978.0,46813.5,1962.3,1210.1,3102.6
2020/04/04,772046.4,11709.3,16134.0,27190.6,122303.2,45840.3,74414.5,33240.1,2084.2,1306.4,3274.3
2020/04/05,645935.5,11921.7,13908.5,26846.7,95693.2,34682.5,62261.4,28094.6,2206.8,1389.8,3438.2
2020/04/06,764599.9,10430.2,11846.4,30067.7,110666.7,40267.3,62554.7,38497.4,2326.8,1468.3,3592.4
2020/04/07,856339.4,13049.2,12904.9,28787.0,125406.0,45581.5,64752.0,43159.5,2450.4,1549.3,3750.3
2020/04/08,829038.7,13329.9,12114.8,27695.2,121381.8,45426.1,64551.4,43842.8,2579.4,1642.7,3919.8
2020/04/09,822084.3,12576.0,12403.5,27339.9,122309.0,45167.7,63005.3,41454.8,2711.9,1750.3,4086.0
2020/04/10,881292.2,12544.2,15000.8,29619.6,135354.4,53806.1,71301.3,44411.5,2850.4,1852.7,4260.7
2020/04/11,813614.5,12625.9,16836.6,27190.6,122777.8,49167.4,76790.5,35819.1,2987.8,1940.3,4434.4
2020/04/12,580517.5,11695.3,1418.3,26846.7,88661.9,29764.3,52454.6,24943.3,3121.9,2025.6,4605.6
2020/04/13,794834.5,11519.1,12031.7,30067.7,115956.6,42516.9,58249.3,38982.5,3250.2,2105.6,4764.2
2020/04/14,834213.6,13530.9,10915.1,28787.0,123129.7,45522.8,61579.5,40969.7,3375.5,2189.6,4913.0
2020/04/15,867552.8,13653.1,12400.1,27695.2,127531.3,49690.8,60650.7,42577.3,3498.2,2274.0,5049.6
2020/04/16,837473.2,13353.6,11966.2,27339.9,124894.6,47725.0,59940.7,41155.4,3622.4,2362.0,5190.4
2020/04/17,893270.5,13476.5,12967.1,29619.6,137675.0,53510.5,65007.7,44000.3,3746.4,2445.4,5330.2
2020/04/18,843908.2,12988.0,14584.4,27190.6,127024.8,54006.8,69241.2,38743.4,3867.9,2533.1,5465.9
2020/04/19,759438.3,14625.7,13286.4,26846.7,108509.7,45553.9,61868.6,32652.4,3987.6,2622.2,5631.3
2020/04/20,884930.8,13805.1,11344.7,30067.7,130871.4,45938.4,61532.0,44831.6,4105.2,2707.9,5782.3
2020/04/21,948213.0,15916.1,12333.8,28787.0,139428.2,51644.2,66796.6,49016.8,4222.1,2798.2,5913.2
2020/04/22,980755.2,16134.6,12433.8,27695.2,141288.6,55593.8,67568.2,49393.2,4339.9,2883.7,6037.6
2020/04/23,990249.7,15505.7,13490.3,27339.9,144227.4,56275.2,65890.7,50068.0,4459.3,2975.8,6168.2
2020/04/24,1045906.9,16071.0,14042.9,29619.6,157226.9,64373.7,72675.4,51853.4,4579.7,3072.7,6293.6
2020/04/25,984655.7,15369.4,16490.3,27190.6,147803.9,62232.2,73053.0,43854.5,4700.4,3169.0,6426.4
2020/04/26,810839.0,14538.7,13171.5,26846.7,114976.4,49856.1,64086.4,34890.2,4821.8,3268.6,6550.4
2020/04/27,968826.0,13533.2,13111.5,30067.7,135050.4,51484.3,63784.4,47863.3,4942.1,3369.2,6669.3
2020/04/28,1001901.1,14565.1,13039.2,28787.0,143648.3,55027.8,64480.3,50892.5,5061.2,3468.8,6789.1
2020/04/29,968825.6,14758.4,13284.0,27695.2,136297.3,53085.4,64226.1,48825.6,5184.3,3578.3,6909.0
2020/04/30,952941.7,13562.7,13468.9,27339.9,136383.2,56617.9,62169.9,47017.2,5310.7,3696.4,7034.9
2020/05/01,1070759.2,15411.6,14442.3,29619.6,157730.8,64034.6,71612.4,51015.6,5441.4,3817.3,7153.5
2020/05/02,937821.6,13191.7,16148.9,27190.6,138265.9,63013.7,70761.0,40158.4,5575.6,3943.4,7283.4
2020/05/03,,,,,,,,,5711.2,4074.4,7410.0
2020/05/04,,,,,,,,,5846.8,4206.8,7533.2
2020/05/05,,,,,,,,,5982.0,4326.5,7653.8
2020/05/06,,,,,,,,,6117.4,4441.9,7774.0
2020/05/07,,,,,,,,,6252.3,4563.6,7890.8
2020/05/08,,,,,,,,,6386.4,4685.3,7998.7
