date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1847726.4,63839.4,38465.2,26846.7,354702.4,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2083724.6,34223.4,27845.2,30067.7,340025.1,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2130605.4,40490.8,28802.9,28787.0,356041.7,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2158488.1,37054.3,28360.6,27695.2,356927.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2169792.6,32285.2,31391.9,27339.9,363743.7,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2294831.1,34037.7,36733.9,29619.6,406703.4,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1673096.2,32099.9,35412.8,27190.6,313212.8,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1410080.9,63839.4,30674.4,26846.7,230681.4,72052.1,116958.3,82732.7,315.1,119.7,577.6
2020/03/16,1600194.6,34223.4,28838.2,30067.7,256878.2,79560.6,147344.3,96114.4,363.9,138.9,663.8
2020/03/17,1095909.3,40490.8,14825.0,28787.0,159121.2,51186.6,82862.2,53391.6,415.6,158.4,756.1
2020/03/18,1033555.9,37054.3,14388.1,27695.2,147917.5,49502.1,76723.9,51759.5,471.0,184.6,849.8
2020/03/19,1028485.0,32285.2,13654.7,27339.9,146883.7,48294.2,76659.9,52331.4,531.8,212.5,952.4
2020/03/20,888780.3,34037.7,11453.6,29619.6,125905.7,39305.4,61537.8,44514.5,599.7,247.7,1065.7
2020/03/21,677128.9,32099.9,9332.0,27190.6,94150.2,27258.8,44546.5,31880.8,677.4,293.0,1188.3
2020/03/22,884296.2,63839.4,16351.3,26846.7,115593.8,42301.5,71951.6,37530.5,761.2,342.4,1315.4
2020/03/23,994530.8,34223.4,14047.1,30067.7,140892.0,46339.1,71453.0,50202.1,849.3,399.9,1448.8
2020/03/24,967397.9,40490.8,13016.4,28787.0,140316.8,45811.9,70193.3,47994.5,942.1,458.0,1588.5
2020/03/25,1131305.6,37054.3,15553.0,27695.2,163396.4,55766.6,78423.8,58314.2,1039.0,518.2,1736.6
2020/03/26,966951.0,32285.2,13853.9,27339.9,137963.0,49589.0,66823.9,48396.1,1136.2,583.6,1884.3
2020/03/27,940128.7,34037.7,14290.8,29619.6,136121.9,50804.6,71656.6,46939.7,1235.0,653.9,2026.9
2020/03/28,824118.6,32099.9,16842.4,27190.6,121728.5,46289.3,72220.4,35211.0,1334.1,727.2,2168.4
2020/03/29,791032.1,63839.4,14833.9,26846.7,105788.1,40271.0,65987.1,34445.0,1434.0,802.4,2316.3
2020/03/30,975457.1,34223.4,13417.2,30067.7,136875.7,47503.9,67655.7,48313.1,1534.1,877.9,2457.1
2020/03/31,981261.7,40490.8,13500.1,28787.0,134691.8,50112.1,69030.1,48989.4,1637.6,951.5,2604.1
2020/04/01,981855.7,37054.3,13529.3,27695.2,141856.6,49678.4,67645.6,48990.0,1745.8,1030.7,2757.7
2020/04/02,923097.9,32285.2,13402.5,27339.9,130617.6,49609.2,67860.4,46273.6,1861.0,1112.1,2912.4
2020/04/03,953532.4,34037.7,15216.2,29619.6,143045.1,55294.5,74978.0,46813.5,1982.0,1203.2,3064.7
2020/04/04,792436.9,32099.9,16134.0,27190.6,122303.2,45840.3,74414.5,33240.1,2107.7,1290.4,3237.7
2020/04/05,697853.2,63839.4,13908.5,26846.7,95693.2,34682.5,62261.4,28094.6,2234.0,1387.5,3401.3
2020/04/06,788393.1,34223.4,11846.4,30067.7,110666.7,40267.3,62554.7,38497.4,2359.2,1486.0,3562.0
2020/04/07,883780.9,40490.8,12904.9,28787.0,125406.0,45581.5,64752.0,43159.5,2487.8,1590.6,3721.3
2020/04/08,852763.0,37054.3,12114.8,27695.2,121381.8,45426.1,64551.4,43842.8,2623.5,1706.1,3894.1
2020/04/09,841793.5,32285.2,12403.5,27339.9,122309.0,45167.7,63005.3,41454.8,2763.1,1825.8,4068.7
2020/04/10,902785.7,34037.7,15000.8,29619.6,135354.4,53806.1,71301.3,44411.5,2909.1,1961.5,4250.8
2020/04/11,833088.5,32099.9,16836.6,27190.6,122777.8,49167.4,76790.5,35819.1,3054.1,2084.1,4428.0
2020/04/12,632661.5,63839.4,1418.3,26846.7,88661.9,29764.3,52454.6,24943.3,3195.6,2173.3,4594.3
2020/04/13,817538.9,34223.4,12031.7,30067.7,115956.6,42516.9,58249.3,38982.5,3332.9,2264.3,4782.6
2020/04/14,861173.5,40490.8,10915.1,28787.0,123129.7,45522.8,61579.5,40969.7,3467.8,2353.3,4950.7
2020/04/15,890954.0,37054.3,12400.1,27695.2,127531.3,49690.8,60650.7,42577.3,3600.3,2442.5,5104.2
2020/04/16,856404.8,32285.2,11966.2,27339.9,124894.6,47725.0,59940.7,41155.4,3734.6,2530.5,5254.7
2020/04/17,913831.7,34037.7,12967.1,29619.6,137675.0,53510.5,65007.7,44000.3,3868.5,2614.1,5398.5
2020/04/18,863020.1,32099.9,14584.4,27190.6,127024.8,54006.8,69241.2,38743.4,4000.0,2698.8,5545.9
2020/04/19,808652.0,63839.4,13286.4,26846.7,108509.7,45553.9,61868.6,32652.4,4130.7,2791.2,5688.3
2020/04/20,905349.1,34223.4,11344.7,30067.7,130871.4,45938.4,61532.0,44831.6,4259.8,2886.3,5825.7
2020/04/21,972787.6,40490.8,12333.8,28787.0,139428.2,51644.2,66796.6,49016.8,4388.3,2982.6,5963.3
2020/04/22,1001674.8,37054.3,12433.8,27695.2,141288.6,55593.8,67568.2,49393.2,4518.6,3078.5,6099.0
2020/04/23,1007029.2,32285.2,13490.3,27339.9,144227.4,56275.2,65890.7,50068.0,4649.6,3181.9,6236.1
2020/04/24,1063873.7,34037.7,14042.9,29619.6,157226.9,64373.7,72675.4,51853.4,4782.0,3286.3,6370.5
2020/04/25,1001386.2,32099.9,16490.3,27190.6,147803.9,62232.2,73053.0,43854.5,4914.5,3392.1,6505.7
2020/04/26,860139.7,63839.4,13171.5,26846.7,114976.4,49856.1,64086.4,34890.2,5047.7,3503.4,6640.9
2020/04/27,989516.2,34223.4,13111.5,30067.7,135050.4,51484.3,63784.4,47863.3,5181.4,3612.1,6766.0
2020/04/28,1027826.7,40490.8,13039.2,28787.0,143648.3,55027.8,64480.3,50892.5,5314.1,3719.1,6894.4
2020/04/29,991121.5,37054.3,13284.0,27695.2,136297.3,53085.4,64226.1,48825.6,5450.6,3832.2,7025.6
2020/04/30,971664.2,32285.2,13468.9,27339.9,136383.2,56617.9,62169.9,47017.2,5591.1,3946.0,7155.4
2020/05/01,1089385.3,34037.7,14442.3,29619.6,157730.8,64034.6,71612.4,51015.6,5735.7,4065.4,7284.3
2020/05/02,956729.8,32099.9,16148.9,27190.6,138265.9,63013.7,70761.0,40158.4,5885.0,4187.1,7417.7
2020/05/03,,,,,,,,,6034.9,4311.8,7549.0
2020/05/04,,,,,,,,,6187.5,4435.6,7684.5
2020/05/05,,,,,,,,,6339.2,4562.0,7839.2
2020/05/06,,,,,,,,,6491.0,4680.9,7994.1
2020/05/07,,,,,,,,,6642.4,4804.2,8149.5
2020/05/08,,,,,,,,,6793.4,4926.8,8362.4
