date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1845207.3,63839.4,38465.2,24327.6,354702.4,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2080142.0,34223.4,27845.2,26485.2,340025.1,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2129848.4,40490.8,28802.9,28030.0,356041.7,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2160308.8,37054.3,28360.6,29515.9,356927.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2175246.5,32285.2,31391.9,32793.8,363743.7,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2305213.1,34037.7,36733.9,40001.6,406703.4,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1677249.3,32099.9,35412.8,31343.7,313212.8,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1410742.4,63839.4,30674.4,27508.1,230681.4,72052.1,116958.3,82732.7,315.1,119.7,577.6
2020/03/16,1607690.1,34223.4,28838.2,37563.2,256878.2,79560.6,147344.3,96114.4,364.3,139.8,662.1
2020/03/17,1089441.4,40490.8,14825.0,22319.0,159121.2,51186.6,82862.2,53391.6,416.0,159.2,751.2
2020/03/18,1027058.6,37054.3,14388.1,21197.9,147917.5,49502.1,76723.9,51759.5,471.7,184.1,846.4
2020/03/19,1022926.9,32285.2,13654.7,21781.8,146883.7,48294.2,76659.9,52331.4,532.5,213.6,950.4
2020/03/20,874011.5,34037.7,11453.6,14850.9,125905.7,39305.4,61537.8,44514.5,600.5,247.5,1060.8
2020/03/21,659119.1,32099.9,9332.0,9180.9,94150.2,27258.8,44546.5,31880.8,678.2,289.7,1185.7
2020/03/22,874851.7,63839.4,16351.3,17402.2,115593.8,42301.5,71951.6,37530.5,762.6,333.2,1320.7
2020/03/23,983233.2,34223.4,14047.1,18770.1,140892.0,46339.1,71453.0,50202.1,850.7,384.9,1462.1
2020/03/24,957147.3,40490.8,13016.4,18536.4,140316.8,45811.9,70193.3,47994.5,943.5,441.8,1611.8
2020/03/25,1124254.8,37054.3,15553.0,20644.5,163396.4,55766.6,78423.8,58314.2,1040.2,499.1,1761.5
2020/03/26,956393.2,32285.2,13853.9,16782.0,137963.0,49589.0,66823.9,48396.1,1138.0,561.2,1914.7
2020/03/27,928636.3,34037.7,14290.8,18127.2,136121.9,50804.6,71656.6,46939.7,1237.5,628.3,2065.2
2020/03/28,814064.2,32099.9,16842.4,17136.3,121728.5,46289.3,72220.4,35211.0,1337.0,694.0,2217.1
2020/03/29,779230.7,63839.4,14833.9,15045.3,105788.1,40271.0,65987.1,34445.0,1436.5,761.6,2358.9
2020/03/30,962925.4,34223.4,13417.2,17536.0,136875.7,47503.9,67655.7,48313.1,1536.9,833.9,2502.6
2020/03/31,970311.2,40490.8,13500.1,17836.4,134691.8,50112.1,69030.1,48989.4,1640.7,914.0,2645.5
2020/04/01,972089.4,37054.3,13529.3,17928.9,141856.6,49678.4,67645.6,48990.0,1749.2,996.1,2789.0
2020/04/02,912537.9,32285.2,13402.5,16779.9,130617.6,49609.2,67860.4,46273.6,1864.1,1084.8,2939.1
2020/04/03,943379.7,34037.7,15216.2,19467.0,143045.1,55294.5,74978.0,46813.5,1985.3,1184.4,3092.8
2020/04/04,781630.2,32099.9,16134.0,16383.9,122303.2,45840.3,74414.5,33240.1,2109.9,1286.6,3260.5
2020/04/05,686018.1,63839.4,13908.5,15011.7,95693.2,34682.5,62261.4,28094.6,2235.3,1376.4,3433.1
2020/04/06,774352.5,34223.4,11846.4,16027.1,110666.7,40267.3,62554.7,38497.4,2359.8,1465.0,3596.0
2020/04/07,872384.3,40490.8,12904.9,17390.3,125406.0,45581.5,64752.0,43159.5,2487.5,1570.6,3766.0
2020/04/08,841815.8,37054.3,12114.8,16748.1,121381.8,45426.1,64551.4,43842.8,2622.6,1673.0,3942.3
2020/04/09,831885.9,32285.2,12403.5,17432.2,122309.0,45167.7,63005.3,41454.8,2761.3,1779.1,4126.4
2020/04/10,891972.5,34037.7,15000.8,18806.4,135354.4,53806.1,71301.3,44411.5,2907.0,1897.4,4307.0
2020/04/11,825490.6,32099.9,16836.6,19592.8,122777.8,49167.4,76790.5,35819.1,3051.2,1992.2,4495.0
2020/04/12,618603.4,63839.4,1418.3,12788.6,88661.9,29764.3,52454.6,24943.3,3192.3,2085.6,4672.2
2020/04/13,802067.4,34223.4,12031.7,14596.2,115956.6,42516.9,58249.3,38982.5,3328.8,2174.3,4836.0
2020/04/14,848440.8,40490.8,10915.1,16054.3,123129.7,45522.8,61579.5,40969.7,3463.9,2264.5,5004.7
2020/04/15,879428.9,37054.3,12400.1,16170.2,127531.3,49690.8,60650.7,42577.3,3596.6,2354.4,5169.3
2020/04/16,843926.8,32285.2,11966.2,14861.9,124894.6,47725.0,59940.7,41155.4,3730.9,2444.0,5342.5
2020/04/17,902196.3,34037.7,12967.1,17984.2,137675.0,53510.5,65007.7,44000.3,3865.2,2535.5,5527.1
2020/04/18,852556.4,32099.9,14584.4,16727.0,127024.8,54006.8,69241.2,38743.4,3997.6,2625.3,5691.7
2020/04/19,796485.3,63839.4,13286.4,14680.0,108509.7,45553.9,61868.6,32652.4,4128.4,2711.1,5852.5
2020/04/20,890834.7,34223.4,11344.7,15553.3,130871.4,45938.4,61532.0,44831.6,4257.6,2795.0,6001.0
2020/04/21,961683.0,40490.8,12333.8,17682.4,139428.2,51644.2,66796.6,49016.8,4386.7,2888.2,6147.1
2020/04/22,991114.2,37054.3,12433.8,17134.6,141288.6,55593.8,67568.2,49393.2,4517.7,2990.1,6290.6
2020/04/23,996439.6,32285.2,13490.3,16750.3,144227.4,56275.2,65890.7,50068.0,4649.4,3097.2,6432.2
2020/04/24,1051790.7,34037.7,14042.9,17536.7,157226.9,64373.7,72675.4,51853.4,4783.0,3209.5,6580.3
2020/04/25,990828.1,32099.9,16490.3,16632.6,147803.9,62232.2,73053.0,43854.5,4916.2,3320.6,6728.5
2020/04/26,847889.6,63839.4,13171.5,14596.6,114976.4,49856.1,64086.4,34890.2,5050.9,3428.3,6870.6
2020/04/27,976527.4,34223.4,13111.5,17078.9,135050.4,51484.3,63784.4,47863.3,5185.2,3542.7,7009.6
2020/04/28,1017274.7,40490.8,13039.2,18235.0,143648.3,55027.8,64480.3,50892.5,5318.7,3652.5,7153.5
2020/04/29,980344.8,37054.3,13284.0,16918.6,136297.3,53085.4,64226.1,48825.6,5455.9,3770.2,7299.1
2020/04/30,960956.7,32285.2,13468.9,16632.4,136383.2,56617.9,62169.9,47017.2,5597.0,3896.0,7439.2
2020/05/01,1077553.6,34037.7,14442.3,17787.9,157730.8,64034.6,71612.4,51015.6,5743.0,4024.6,7581.5
2020/05/02,946262.4,32099.9,16148.9,16723.3,138265.9,63013.7,70761.0,40158.4,5893.1,4164.8,7733.3
2020/05/03,,,,,,,,,6044.3,4303.2,7879.2
2020/05/04,,,,,,,,,6197.6,4447.9,8026.2
2020/05/05,,,,,,,,,6350.7,4587.2,8173.6
2020/05/06,,,,,,,,,6504.0,4728.5,8309.7
2020/05/07,,,,,,,,,6657.0,4865.0,8445.4
2020/05/08,,,,,,,,,6808.6,5000.9,8598.5
