date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1835124.9,53757.0,38465.2,24327.6,354702.4,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2074570.8,28652.2,27845.2,26485.2,340025.1,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2123753.0,34395.3,28802.9,28030.0,356041.7,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2158122.3,34867.8,28360.6,29515.9,356927.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2173265.8,30304.5,31391.9,32793.8,363743.7,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2301070.8,29895.4,36733.9,40001.6,406703.4,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1668950.7,23801.3,35412.8,31343.7,313212.8,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1378507.8,31604.8,30674.4,27508.1,230681.4,72052.1,116958.3,82732.7,315.1,119.7,577.9
2020/03/16,1592695.0,19228.4,28838.2,37563.2,256878.2,79560.6,147344.3,96114.4,363.8,139.8,662.4
2020/03/17,1065454.5,16503.9,14825.0,22319.0,159121.2,51186.6,82862.2,53391.6,415.3,161.4,753.4
2020/03/18,1005146.8,15142.4,14388.1,21197.9,147917.5,49502.1,76723.9,51759.5,470.8,187.7,849.5
2020/03/19,1007525.1,16883.5,13654.7,21781.8,146883.7,48294.2,76659.9,52331.4,531.2,215.8,952.3
2020/03/20,855860.2,15886.5,11453.6,14850.9,125905.7,39305.4,61537.8,44514.5,598.8,250.4,1061.7
2020/03/21,641154.1,14134.8,9332.0,9180.9,94150.2,27258.8,44546.5,31880.8,676.5,291.8,1184.9
2020/03/22,826029.3,15017.0,16351.3,17402.2,115593.8,42301.5,71951.6,37530.5,760.1,341.2,1321.2
2020/03/23,964524.7,15515.0,14047.1,18770.1,140892.0,46339.1,71453.0,50202.1,847.7,395.1,1465.5
2020/03/24,931290.3,14633.7,13016.4,18536.4,140316.8,45811.9,70193.3,47994.5,940.0,453.4,1613.1
2020/03/25,1106105.7,18905.2,15553.0,20644.5,163396.4,55766.6,78423.8,58314.2,1036.1,519.1,1759.7
2020/03/26,939657.9,15549.9,13853.9,16782.0,137963.0,49589.0,66823.9,48396.1,1132.1,580.5,1905.9
2020/03/27,909389.4,14790.8,14290.8,18127.2,136121.9,50804.6,71656.6,46939.7,1229.4,640.4,2053.7
2020/03/28,794947.4,12983.0,16842.4,17136.3,121728.5,46289.3,72220.4,35211.0,1328.0,705.1,2196.0
2020/03/29,730752.4,15361.1,14833.9,15045.3,105788.1,40271.0,65987.1,34445.0,1426.0,771.3,2338.0
2020/03/30,943965.9,15263.9,13417.2,17536.0,136875.7,47503.9,67655.7,48313.1,1523.9,840.0,2476.9
2020/03/31,945348.4,15528.0,13500.1,17836.4,134691.8,50112.1,69030.1,48989.4,1625.4,913.4,2621.5
2020/04/01,951160.2,16125.1,13529.3,17928.9,141856.6,49678.4,67645.6,48990.0,1731.1,993.1,2769.2
2020/04/02,895104.9,14852.1,13402.5,16779.9,130617.6,49609.2,67860.4,46273.6,1842.8,1081.1,2929.5
2020/04/03,923528.5,14186.5,15216.2,19467.0,143045.1,55294.5,74978.0,46813.5,1960.5,1170.3,3092.1
2020/04/04,761239.6,11709.3,16134.0,16383.9,122303.2,45840.3,74414.5,33240.1,2081.9,1249.0,3259.4
2020/04/05,634100.5,11921.7,13908.5,15011.7,95693.2,34682.5,62261.4,28094.6,2203.8,1343.2,3425.6
2020/04/06,750559.2,10430.2,11846.4,16027.1,110666.7,40267.3,62554.7,38497.4,2323.2,1438.8,3583.5
2020/04/07,844942.7,13049.2,12904.9,17390.3,125406.0,45581.5,64752.0,43159.5,2445.6,1533.5,3742.1
2020/04/08,818091.5,13329.9,12114.8,16748.1,121381.8,45426.1,64551.4,43842.8,2574.3,1631.8,3908.4
2020/04/09,812176.7,12576.0,12403.5,17432.2,122309.0,45167.7,63005.3,41454.8,2706.3,1731.2,4077.9
2020/04/10,870478.9,12544.2,15000.8,18806.4,135354.4,53806.1,71301.3,44411.5,2844.2,1832.6,4250.1
2020/04/11,806016.6,12625.9,16836.6,19592.8,122777.8,49167.4,76790.5,35819.1,2981.2,1928.7,4421.6
2020/04/12,566459.4,11695.3,1418.3,12788.6,88661.9,29764.3,52454.6,24943.3,3114.2,2019.7,4579.7
2020/04/13,779363.0,11519.1,12031.7,14596.2,115956.6,42516.9,58249.3,38982.5,3241.8,2101.6,4738.3
2020/04/14,821480.9,13530.9,10915.1,16054.3,123129.7,45522.8,61579.5,40969.7,3366.9,2185.6,4892.9
2020/04/15,856027.8,13653.1,12400.1,16170.2,127531.3,49690.8,60650.7,42577.3,3488.8,2272.3,5044.8
2020/04/16,824995.2,13353.6,11966.2,14861.9,124894.6,47725.0,59940.7,41155.4,3611.7,2357.7,5202.1
2020/04/17,881635.1,13476.5,12967.1,17984.2,137675.0,53510.5,65007.7,44000.3,3733.8,2443.9,5347.9
2020/04/18,833444.5,12988.0,14584.4,16727.0,127024.8,54006.8,69241.2,38743.4,3854.5,2533.0,5491.6
2020/04/19,747271.6,14625.7,13286.4,14680.0,108509.7,45553.9,61868.6,32652.4,3972.9,2621.2,5626.7
2020/04/20,870416.4,13805.1,11344.7,15553.3,130871.4,45938.4,61532.0,44831.6,4088.6,2716.8,5761.4
2020/04/21,937108.4,15916.1,12333.8,17682.4,139428.2,51644.2,66796.6,49016.8,4204.4,2809.2,5898.0
2020/04/22,970194.6,16134.6,12433.8,17134.6,141288.6,55593.8,67568.2,49393.2,4321.8,2910.2,6041.9
2020/04/23,979660.1,15505.7,13490.3,16750.3,144227.4,56275.2,65890.7,50068.0,4439.1,3011.8,6172.5
2020/04/24,1033823.9,16071.0,14042.9,17536.7,157226.9,64373.7,72675.4,51853.4,4557.7,3115.7,6303.1
2020/04/25,974097.6,15369.4,16490.3,16632.6,147803.9,62232.2,73053.0,43854.5,4677.3,3222.7,6430.0
2020/04/26,798588.9,14538.7,13171.5,14596.6,114976.4,49856.1,64086.4,34890.2,4797.9,3332.0,6557.5
2020/04/27,955837.2,13533.2,13111.5,17078.9,135050.4,51484.3,63784.4,47863.3,4916.6,3444.2,6681.3
2020/04/28,991349.1,14565.1,13039.2,18235.0,143648.3,55027.8,64480.3,50892.5,5034.3,3557.8,6795.9
2020/04/29,958049.0,14758.4,13284.0,16918.6,136297.3,53085.4,64226.1,48825.6,5155.3,3673.6,6911.8
2020/04/30,942234.2,13562.7,13468.9,16632.4,136383.2,56617.9,62169.9,47017.2,5280.4,3784.1,7030.0
2020/05/01,1058927.5,15411.6,14442.3,17787.9,157730.8,64034.6,71612.4,51015.6,5409.6,3893.3,7155.0
2020/05/02,927354.2,13191.7,16148.9,16723.3,138265.9,63013.7,70761.0,40158.4,5543.3,4011.4,7273.4
2020/05/03,,,,,,,,,5677.8,4129.0,7395.5
2020/05/04,,,,,,,,,5812.3,4252.5,7522.9
2020/05/05,,,,,,,,,5946.5,4370.9,7683.2
2020/05/06,,,,,,,,,6080.9,4487.7,7826.5
2020/05/07,,,,,,,,,6215.1,4612.0,7958.2
2020/05/08,,,,,,,,,6348.1,4720.3,8079.8
