date,reported_cases
2020/03/01,5
2020/03/02,6
2020/03/03,8
2020/03/04,8
2020/03/05,10
2020/03/06,14
2020/03/07,20
2020/03/08,25
2020/03/09,60
2020/03/10,62
2020/03/11,70
2020/03/12,83
2020/03/13,104
2020/03/14,121
2020/03/15,135
2020/03/16,163
2020/03/17,197
2020/03/18,241
2020/03/19,286
2020/03/20,330
2020/03/21,370
2020/03/22,454
2020/03/23,533
2020/03/24,603
2020/03/25,663
2020/03/26,816
2020/03/27,982
2020/03/28,1101
2020/03/29,1179
2020/03/30,1273
2020/03/31,1367
2020/04/01,1563
2020/04/02,1714
2020/04/03,1888
2020/04/04,2021
2020/04/05,2240
2020/04/06,2334
2020/04/07,2456
2020/04/08,2602
2020/04/09,2732
2020/04/10,2869
2020/04/11,3022
2020/04/12,3094
2020/04/13,3290
2020/04/14,3416
2020/04/15,3565
2020/04/16,3676
2020/04/17,3777
2020/04/18,3987
2020/04/19,4071
2020/04/20,4257
2020/04/21,4378
2020/04/22,4420
2020/04/23,4602
2020/04/24,4752
2020/04/25,4862
2020/04/26,4960
2020/04/27,5081
2020/04/28,5194
2020/04/29,5316
2020/04/30,5431
2020/05/01,5527
2020/05/02,5687
2020/05/03,5862
2020/05/04,5960
2020/05/05,6118
2020/05/06,6233
2020/05/07,6364
2020/05/08,6502
2020/05/09,6656
